Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,28.81,29.55,28.56,29.38,24.1618,6352703
2009-01-05,29.37,30.05,29.37,29.8,24.5075,8583790
2009-01-06,30,30.47,29.09,29.35,24.1371,8915480
2009-01-07,29.01,29.58,28.75,29.39,24.1704,6758091
2009-01-08,28.43,29.39,27.95,29.34,24.129,8782763
2009-01-09,27,27.09,25.5,25.69,21.1275,47046255
2009-01-12,25.99,25.99,24.6,24.93,20.5022,21745247
2009-01-13,24.96,26.84,24.16,26.69,21.95,32529738
2009-01-14,26.13,26.69,25.7975,25.9,21.3001,22731550
2009-01-15,25.85,26.41,25.55,26.16,21.5138,13804692
2009-01-16,26.41,26.99,26.18,26.83,22.065,13394466
2009-01-20,26.8,26.84,26.03,26.19,21.5385,13950035
2009-01-21,26.5,26.58,25.84,26.35,21.7333,13800518
2009-01-22,25.77,27.7,25.75,27.34,22.5496,17449837
2009-01-23,26.86,28.24,26.6,27.73,22.8716,16093814
2009-01-26,28.18,28.55,27.42,27.93,23.0366,10416430
2009-01-27,28.05,28.27,27.39,27.59,22.7563,12131148
2009-01-28,27.95,28.48,27.85,28.09,23.1687,10437554
2009-01-29,27.93,28.12,27.29,27.37,22.5747,9260421
2009-01-30,27.53,27.53,26.62,26.88,22.1708,11673488
2009-02-02,26.56,27.13,26.4,26.79,22.0965,7683005
2009-02-03,26.95,27.48,26.49,27.41,22.6077,11340362
2009-02-04,27.44,28.2,27.08,27.48,22.6654,8743497
2009-02-05,27.23,28.7,27.17,28.56,23.5563,10501936
2009-02-06,28.5,29.14,28.25,29.04,23.9523,9747661
2009-02-09,28.97,28.97,27.96,28.68,23.6552,8463746
2009-02-10,28.6,28.68,27.57,27.8,22.9292,10172895
2009-02-11,27.98,28.13,27.04,27.65,22.8057,9761144
2009-02-12,27.33,28.15,26.95,28.07,23.1521,8108086
2009-02-13,28.04,28.1,27.31,27.47,22.6574,7813131
2009-02-17,27,27.56,26.6,27.3,22.517,11405713
2009-02-18,27.43,27.49,26.92,26.99,22.2613,11241464
2009-02-19,28.65,29.61,28.46,28.71,23.6801,18128099
2009-02-20,28.45,29.05,27.64,27.82,22.946,16169846
2009-02-23,28.11,28.52,26.84,26.95,22.2284,10928312
2009-02-24,26.96,27.32,26.53,26.96,22.2365,13211192
2009-02-25,26.89,27.05,26.07,26.45,21.8161,12002822
2009-02-26,26.62,26.92,25.52,25.87,21.3373,14398703
2009-02-27,25.74,26.17,25.57,25.74,21.2306,12770291
2009-03-02,25.56,25.645,24.6,25.36,20.917,16767413
2009-03-03,25.58,25.7,24.58,24.6,20.2903,15893230
2009-03-04,24.86,26.1,24.45,25.58,21.0984,16267148
2009-03-05,25.19,25.43,24.46,24.69,20.3643,13801992
2009-03-06,24.83,25.09,23.77,24.46,20.1746,11878771
2009-03-09,24.2,24.59,23.74,23.98,19.7784,9122962
2009-03-10,24.29,25.05,23.98,24.92,20.5539,15470456
2009-03-11,25.02,25.76,24.98,25.22,20.8014,11612763
2009-03-12,25.23,26.2,25,26.12,21.5438,9052332
2009-03-13,26.24,27.25,25.85,26.53,21.882,10884638
2009-03-16,26.77,27.5,26.56,26.86,22.1542,8640732
2009-03-17,26.84,27.66,26.72,27.66,22.8137,7499389
2009-03-18,27.56,28.34,27.16,27.46,22.649,13956556
2009-03-19,27.65,27.65,26.35,26.65,21.9809,9814073
2009-03-20,26.69,27.23,26.48,26.69,22.0136,12444638
2009-03-23,27.15,28.39,27.05,28.36,23.3912,11327680
2009-03-24,28.04,29.08,27.76,28.43,23.4491,12299883
2009-03-25,28.55,29.74,28.34,29.22,24.1005,10360559
2009-03-26,28.97,29,27.95,28.6,23.5893,16145951
2009-03-27,28.36,28.73,28.08,28.26,23.309,8051142
2009-03-30,27.6,27.85,26.85,27.3,22.517,8313177
2009-03-31,27.44,27.98,27.05,27.49,22.6734,9197655
2009-04-01,27.25,28.3101,27.08,28.1,23.1767,11651878
2009-04-02,28.56,29.59,28.47,29.39,24.2409,12127579
2009-04-03,29.35,29.55,28.15,28.45,23.4654,11747478
2009-04-06,28.53,29.02,27.75,28.99,23.9112,10036902
2009-04-07,28.66,28.81,28.38,28.57,23.5643,5827126
2009-04-08,28.72,29.501,28.63,29.5,24.3315,9118701
2009-04-09,29.39,30.24,29.02,30.09,24.818,8547605
2009-04-13,29.96,30.39,29.48,29.9,24.6614,7108803
2009-04-14,29.57,29.81,29.11,29.48,24.3152,8749589
2009-04-15,29.52,29.63,28.94,29.24,24.1172,9457200
2009-04-16,29.44,30.7,29.2,30.45,25.1151,11743728
2009-04-17,30.47,30.77,30.09,30.14,24.8599,9331599
2009-04-20,29.92,30.12,28.9,29.13,24.0897,11838971
2009-04-21,29.06,30.63,29.06,30.21,24.9825,11963868
2009-04-22,29.92,30.75,29.72,30.28,25.0404,10947549
2009-04-23,30.22,30.27,29.011,29.57,24.4532,12072477
2009-04-24,29.78,30.05,29.43,29.73,24.5858,9806296
2009-04-27,30.23,30.34,29.72,29.92,24.7428,8162290
2009-04-28,30.26,31.42,30.02,30.79,25.4624,14755851
2009-04-29,30.8,31.55,30.4499,30.8,25.4708,10273011
2009-04-30,31.08,31.89,31,31.78,26.2808,13293509
2009-05-01,31.83,32.27,31.355,32.26,26.6777,8564796
2009-05-04,32.27,32.27,31.51,32.03,26.488,13666753
2009-05-05,33.53,34.22,31.11,31.8,26.2974,24047483
2009-05-06,32.12,32.72,31.59,31.96,26.4298,10100864
2009-05-07,31.92,32.24,31.44,31.79,26.2891,12319296
2009-05-08,32.13,32.47,31.6,32.12,26.5623,10539646
2009-05-11,31.74,32.96,31.56,32.6,26.9588,11364999
2009-05-12,32.77,33.17,32.35,32.98,27.2732,11065548
2009-05-13,32.87,32.94,31.46,31.95,26.4216,12371205
2009-05-14,31.93,32.385,31.55,31.94,26.4131,11652207
2009-05-15,31.67,32.17,30.22,30.8,25.4708,17666170
2009-05-18,30.99,31.43,30.35,31.34,25.917,12310669
2009-05-19,31.49,31.59,30.91,30.94,25.5862,8798654
2009-05-20,31.09,31.12,29.76,29.84,24.6764,16910060
2009-05-21,29.54,29.97,29.28,29.64,24.5111,10294392
2009-05-22,29.75,30.04,29.34,29.53,24.4201,5406845
2009-05-26,29.36,30.4,29.34,29.87,24.7013,12319984
2009-05-27,29.94,30,28.96,28.99,23.9736,13755932
2009-05-28,29.12,29.74,28.9995,29.64,24.5111,13373607
2009-05-29,29.7,29.88,29.36,29.8,24.6437,9455170
2009-06-01,29.85,30.77,29.85,30.6,25.305,12633407
2009-06-02,30.69,31.74,30.3601,31.34,25.917,10557321
2009-06-03,31.04,31.19,30.21,30.61,25.3132,10662303
2009-06-04,30.17,30.85,29.8,30.35,25.0984,8074759
2009-06-05,31.02,31.16,30.03,30.19,24.9661,11902824
2009-06-08,30.1,31.04,30,30.78,25.4537,8727932
2009-06-09,30.92,30.92,30.53,30.82,25.4872,5356390
