Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,74.23,77.3,73.58,76.52,51.2478,13713735
2009-01-05,76.16,78.37,75.74,76.66,51.3417,16954668
2009-01-06,77.56,78.45,76.33,77.35,51.8037,15904517
2009-01-07,76.41,77.07,73.33,73.96,49.5332,12824855
2009-01-08,73.61,74.8425,73.22,74.24,49.7213,11397158
2009-01-09,73.88,74,72.2,72.82,48.7699,14191694
2009-01-12,72.23,72.61,70.44,70.82,47.4306,14195683
2009-01-13,70.58,72.7,70.58,71.82,48.1002,14379220
2009-01-14,70.81,71.18,68.83,69.69,46.6739,15158980
2009-01-15,69.7,71.25,68.25,70.77,47.397,19298897
2009-01-16,72.08,72.94,70.38,71.74,48.0468,15595661
2009-01-20,70.93,72.2,68,68.31,45.7495,16087614
2009-01-21,68.43,71.49,68.41,71.23,47.7055,15890540
2009-01-22,69.92,70.97,68.28,69.95,46.8475,14325604
2009-01-23,68.4,71.11,68.18,70.82,47.4306,13425750
2009-01-26,71.43,72.39,70.13,71.29,47.7452,14024684
2009-01-27,71.28,72.63,70.82,72.09,48.2808,13635131
2009-01-28,72.99,74.02,71.96,73.79,49.4198,14656708
2009-01-29,72.51,72.69,70.61,70.62,47.2965,15831898
2009-01-30,72.3,72.7,70.18,70.52,47.2295,17880060
2009-02-02,69.52,70.85,69.12,70.29,47.0758,12445413
2009-02-03,70.57,71.79,69.94,71.64,47.9798,12510411
2009-02-04,72.29,72.93,71.01,71.6,47.953,12058770
2009-02-05,71.48,73.42,70.97,73.25,49.0579,14934724
2009-02-06,72.58,75,72.29,74.9,50.1627,13353803
2009-02-09,74.41,75.56,73.59,74.42,49.8415,14895623
2009-02-10,74.36,75.24,70.56,71.12,47.6314,20154241
2009-02-11,71.47,72.1,70.28,71.26,47.7254,15541107
2009-02-12,69.95,70.06,67.94,69.86,47.2184,17237157
2009-02-13,69.71,70.74,63,69.73,47.1305,10854959
2009-02-17,67.23,67.93,66.11,66.18,44.731,18834742
2009-02-18,66.49,67.2,65.6,66.12,44.6906,12563984
2009-02-19,65.99,67.71,65.99,66.68,45.0688,10167308
2009-02-20,65.48,66.21,63.73,65.07,43.9808,19886981
2009-02-23,65.99,66.86,62.57,62.94,42.5409,18813613
2009-02-24,63.27,65.83,62.58,65.28,44.1227,19231694
2009-02-25,65.3,65.62,63.26,63.5,42.9196,26681025
2009-02-26,64.36,65.29,62.93,63.17,42.6962,15712300
2009-02-27,61.91,62.76,60.57,60.71,41.034,20504660
2009-03-02,59.37,60.1899,57.6,57.62,38.9452,19316038
2009-03-03,58.48,59.17,57.37,57.73,39.0195,19266779
2009-03-04,59.06,60.44,58.85,59.28,40.0673,19092553
2009-03-05,58.06,58.26,56.12,56.46,38.1611,22268132
2009-03-06,57.53,59.36,56.47,58.27,39.3848,22108787
2009-03-09,57.63,59.59,57.51,58.28,39.3915,17667095
2009-03-10,59.89,61.78,59.28,61.78,41.757,21946627
2009-03-11,61.1,62.8,60.34,61.22,41.3783,15361941
2009-03-12,61.71,63.51,61.14,63.4,42.8521,15603862
2009-03-13,63.88,63.98,62.1,62.91,42.5209,14356077
2009-03-16,61.66,64.2,61.66,62.94,42.5409,13272246
