Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,22.87,23.22,21.77,22.24,22.149,1146715
2009-01-05,22.37,24.66,22.32,23.96,23.862,985802
2009-01-06,24.14,24.92,23.58,23.95,23.8521,820508
2009-01-07,23.15,23.5,21.71,22.34,22.2486,630420
2009-01-08,21.89,22.89,21.76,22.09,21.9997,736052
2009-01-09,22.2,22.93,20.72,21.85,21.7606,948323
2009-01-12,21.43,21.94,19.84,20.73,20.6452,799547
2009-01-13,20.65,22.1,20.22,21.44,21.3523,538094
2009-01-14,21.01,21.51,19.81,20.04,19.958,370119
2009-01-15,19.99,21.36,19.06,21.26,21.173,1045933
2009-01-16,21.47,22.19,21.11,22.11,22.0195,688899
2009-01-20,21.69,22.23,19.73,19.85,19.7688,567531
2009-01-21,20.52,21.5,20.09,21.32,21.2328,1128635
2009-01-22,20.85,20.85,19.79,20.28,20.197,655801
2009-01-23,19.62,22.24,19.27,21.7,21.6112,373322
2009-01-26,21.67,23.47,21.59,23.13,23.0354,542963
2009-01-27,23.15,23.9,22.677,22.83,22.7366,631918
2009-01-28,23.2,24.17,23.01,24.02,23.9217,477434
2009-01-29,23.61,24.97,23.52,24.63,24.5293,886948
2009-01-30,24.86,25.49,24.23,25.22,25.1168,930494
2009-02-02,24.82,25.63,24.16,24.49,24.3898,1005016
2009-02-03,24.6,24.96,24.1,24.52,24.4197,643041
2009-02-04,25.005,25.35,24.35,24.65,24.5492,1050275
2009-02-05,24.52,25.14,24.01,24.99,24.8879,648209
2009-02-06,24.89,26.54,24.47,26.35,26.2422,711019
2009-02-09,26.31,27.34,26.13,26.98,26.8696,713110
2009-02-10,26.65,28.1,25.14,25.43,25.3261,1139384
2009-02-11,25.65,26,24.22,24.74,24.6388,542931
2009-02-12,24.34,24.97,23.74,24.88,24.7783,536970
2009-02-13,25.03,26.08,24.88,25.32,25.2165,656491
2009-02-17,24.25,24.4,22.35,22.49,22.3981,587398
2009-02-18,22.69,22.89,21.11,21.49,21.4021,656217
2009-02-19,21.89,22.31,21.26,21.68,21.5913,780945
2009-02-20,21.2,21.88,20.64,21.3,21.2129,428694
2009-02-23,21.61,21.88,20.49,20.5,20.4162,904344
2009-02-24,21,21,19.9,20.67,20.5855,622655
2009-02-25,20.42,20.6999,19.13,20.2,20.1174,1264328
2009-02-26,20.48,20.9,19.9,20.68,20.5955,1259272
2009-02-27,20.24,20.58,19.9,19.95,19.8684,1521965
2009-03-02,19.35,19.39,17.29,17.38,17.3089,681976
2009-03-03,17.73,18.61,17.39,18.25,18.1753,760098
2009-03-04,18.7,20.16,18.5,19.7,19.6195,862087
2009-03-05,19.21,20.09,18.95,19.73,19.6493,818467
2009-03-06,19.98,20.63,19.05,19.82,19.7389,652719
2009-03-09,19.64,20.52,19.48,19.72,19.6393,612908
2009-03-10,20.35,21.9,20.29,21.71,21.6212,724832
2009-03-11,21.81,22.44,21.1,21.46,21.3722,458389
2009-03-12,21.27,22.6,20.64,22.45,22.3582,1090915
2009-03-13,22.72,23.03,22.16,22.61,22.5175,454393
2009-03-16,22.8,23.44,22.16,22.29,22.1988,531501
2009-03-17,22.03,23.4,21.49,23.37,23.2744,615450
2009-03-18,23.28,23.97,22.14,23.91,23.8122,382003
2009-03-19,24.38,26.86,24.38,26.55,26.4414,1675878
2009-03-20,26.5,27,25.01,25.13,25.0272,787035
2009-03-23,26.02,27.1,25.74,27.09,26.9792,759265
2009-03-24,26.26,26.53,25.73,25.87,25.7643,655150
2009-03-25,26.04,27.3,25.6,27.27,27.1585,1149104
2009-03-26,27.46,27.82,26.22,27.2,27.0888,811952
2009-03-27,26.36,26.75,25.67,26.3,26.1925,648007
2009-03-30,25.42,26.17,24.84,25.7,25.595,879130
2009-03-31,26,26.4,25.5,25.59,25.4854,603125
2009-04-01,25,26.51,24.56,26.2,26.0928,446753
2009-04-02,26.96,28.41,26.96,27.98,27.8656,1336101
2009-04-03,27.97,28.6,27.55,27.96,27.8456,650137
2009-04-06,27.44,27.44,25.47,26.16,26.0529,633520
2009-04-07,25.65,25.89,23.56,24.07,23.9716,874807
2009-04-08,24.3,25.46,23.5,25.24,25.1368,480689
2009-04-09,26,27.21,26,26.85,26.7403,623428
2009-04-13,26.46,27.13,25.7,27.01,26.8996,545485
2009-04-14,26.6,27.27,26.58,26.94,26.8299,732049
2009-04-15,26.99,27.55,24.8,25.48,25.3758,724469
2009-04-16,26.2,27.12,26.06,26.63,26.5211,659721
2009-04-17,26.57,28.1,26.57,27.7,27.5867,969434
2009-04-20,27.31,27.31,24.84,24.98,24.8779,741236
2009-04-21,24.93,25.09,23.79,24.91,24.8081,1078780
2009-04-22,24.53,26.27,24.38,24.75,24.6487,792038
2009-04-23,25,25.33,23.62,24.65,24.5492,956268
2009-04-24,24.87,25.97,24.87,25.56,25.4554,651106
2009-04-27,24.89,25.95,24.41,25.39,25.2861,505250
2009-04-28,25.08,25.87,24.68,25.3,25.1965,546964
2009-04-29,25.63,26.97,25.52,26.88,26.77,727026
2009-04-30,26.18,28.09,26.18,27.42,27.3078,1306523
2009-05-01,27.42,28,26.8,27.57,27.4573,1223246
2009-05-04,27.79,28.5,27.79,28.03,27.9153,1499087
2009-05-05,28.2,28.2485,27.23,27.47,27.3577,1096113
2009-05-06,27.95,29.5,27.7,28.6,28.483,1091528
2009-05-07,28.95,31.2,28.95,29.01,28.8913,1920842
2009-05-08,29.62,30.83,29.34,30.79,30.664,1410455
2009-05-11,30,30.45,29.46,30.22,30.0964,784446
2009-05-12,30.53,30.65,29.63,30.16,30.0366,608132
2009-05-13,29.22,29.44,28.3,29,28.8814,1270796
2009-05-14,29.05,29.09,28.19,28.9,28.7818,837026
2009-05-15,28.67,28.83,27.39,27.72,27.6067,935130
2009-05-18,28.06,29.51,28.05,29.39,29.2698,701912
2009-05-19,29.11,30.25,28.89,29.93,29.8076,754625
2009-05-20,30.3,31.25,29.73,30.12,29.9969,986590
2009-05-21,29.68,29.68,28.82,29.4,29.2798,1229792
2009-05-22,29.69,29.7,29.12,29.13,29.0109,319033
2009-05-26,28.73,29.86,28.3,29.61,29.4889,573397
2009-05-27,29.48,29.88,28.96,29.17,29.0507,1003413
2009-05-28,29.35,30.99,29.14,30.8,30.674,1461407
2009-05-29,30.83,32.05,30.83,32.05,31.9189,1125712
2009-06-01,32.35,33.31,31.3,31.99,31.8591,1118275
2009-06-02,31.72,32.5599,31.13,32.22,32.0882,966613
2009-06-03,31.98,32.05,29.74,30.29,30.1661,937025
2009-06-04,30.35,30.5,29.4,30.37,30.2458,1784548
2009-06-05,31.06,32.36,30.71,31.9,31.7695,1546461
2009-06-08,31.21,31.6,31,31.38,31.2516,1091691
2009-06-09,32.07,32.23,31,31.9,31.7695,1339443
2009-06-10,32.68,32.68,31.24,32.19,32.0584,1026535
2009-06-11,32.64,33.57,32.28,33.21,33.0742,799056
