Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,33.08,34.29,32.8,34.07,14.569,426303
2009-01-05,34.13,34.43,33.38,33.81,14.4579,676407
2009-01-06,34.19,34.67,33.71,34.28,14.6588,593684
2009-01-07,34.03,34.22,33.07,33.62,14.3767,790343
2009-01-08,33.39,33.62,32.66,33.56,14.3508,509067
2009-01-09,33.42,33.42,32,32.72,13.9918,394178
2009-01-12,32.55,32.93,31.78,32.18,13.7608,417975
2009-01-13,31.94,32.66,31.89,32.33,13.8251,423468
2009-01-14,31.9,32,30.74,30.87,13.2007,442559
2009-01-15,30.96,31.95,30.17,31.73,13.5684,610492
2009-01-16,32.37,32.59,30.99,32.09,13.7225,522776
2009-01-20,31.8,32.13,30.27,30.37,12.9868,702724
2009-01-21,30.9,32.2,30.48,32.08,13.718,611769
2009-01-22,31.49,31.59,30.25,31.07,13.2863,529496
2009-01-23,30.11,30.93,29.76,30.37,12.9868,521260
2009-01-26,30.37,31.39,30.11,30.72,13.1366,432618
2009-01-27,30.86,31.56,30.65,31.08,13.2902,399048
2009-01-28,31.71,32.58,31.57,32.23,13.7822,483024
2009-01-29,31.88,32.01,30.89,31.05,13.2777,584348
2009-01-30,31.25,32.05,30.48,31.12,13.3076,929677
2009-02-02,30.55,30.81,29.93,30.4,12.9997,783804
2009-02-03,30.52,31.44,30.24,31.22,13.3502,416721
2009-02-04,31.3,31.91,30.93,31.1,13.299,407826
2009-02-05,30.87,31.62,30.61,31.31,13.3889,373834
2009-02-06,31.35,33.16,31.13,32.43,13.8677,676946
2009-02-09,32.5,32.85,32.21,32.56,13.9234,388431
2009-02-10,32.31,32.84,30.89,31.12,13.3076,367505
2009-02-11,31.18,31.86,30.47,31.02,13.2649,324977
2009-02-12,30.53,31.15,30,31.09,13.2947,291973
2009-02-13,31.09,31.81,30.9,31.03,13.2691,250993
2009-02-17,30.03,30.24,29.3045,29.83,12.7558,285009
2009-02-18,30.56,31.06,29.81,30.06,12.9042,665010
2009-02-19,30.24,30.6,29.15,29.35,12.5992,440075
2009-02-20,29.1,29.4,28.27,28.9,12.406,677459
