Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,12.9,13.08,12.38,12.57,9.2708,1307138
2009-01-05,12.64,13.28,12.16,12.91,9.5214,2630622
2009-01-06,13.16,14.25,12.83,13.97,10.3032,2380533
2009-01-07,13.6,13.96,12.83,12.96,9.5587,1910281
2009-01-08,12.89,13.31,12.62,13.09,9.6545,2183384
2009-01-09,13.09,13.2,12.34,12.49,9.2119,1922532
2009-01-12,12.25,12.28,11.05,11.42,8.4226,2248571
2009-01-13,11.2,11.96,10.96,11.26,8.3045,2217206
2009-01-14,10.89,11.33,10.17,10.28,7.5819,2475482
2009-01-15,10.3,10.78,9.77,10.43,7.6924,3172085
2009-01-16,10.92,11.06,10.44,10.94,8.0684,2496298
2009-01-20,10.72,10.79,9.37,9.54,7.0361,3681867
2009-01-21,9.62,10.58,9.48,10.4,7.6704,4269172
2009-01-22,9.99,10.62,9.74,10.08,7.4342,4072349
2009-01-23,9.95,10.67,9.69,10.43,7.6924,2157363
2009-01-26,10.55,10.64,10.01,10.26,7.5669,1624554
2009-01-27,10.29,10.57,9.91,10.03,7.3972,2135946
2009-01-28,10.51,11.23,10.23,10.8,7.9656,3977783
2009-01-29,10.54,10.59,9.64,9.7,7.1541,2485515
2009-01-30,9.97,9.97,9.13,9.3,6.8591,3061830
2009-02-02,9.13,9.91,9.03,9.76,7.1983,2175331
2009-02-03,9.86,10.32,9.78,10.13,7.4714,2967254
2009-02-04,10,10.62,9.93,10.11,7.4564,3001535
2009-02-05,10.04,10.45,9.77,10.12,7.4638,3625707
2009-02-06,10.1,10.95,10.09,10.89,8.032,2217872
2009-02-09,10.9,11.26,10.6,11.14,8.2159,1647682
2009-02-10,11,11.12,9.85,10,7.3755,3222474
2009-02-11,10.25,10.4,9.67,10.16,7.4933,2667597
2009-02-12,9.75,9.87,8.82,9.79,7.2205,4628889
2009-02-13,9.79,10.05,9.16,9.35,6.8959,2814094
2009-02-17,8.89,9.35,8.45,8.53,6.291,2665808
2009-02-18,8.67,8.82,8.16,8.5,6.2692,2633963
2009-02-19,8.28,8.705,7.88,8.04,5.9296,2303005
2009-02-20,7.72,8.59,7.7,8.38,6.1809,3420446
2009-02-23,8.54,8.66,7.59,7.72,5.6937,3252096
2009-02-24,7.9,8.35,7.59,8.31,6.129,4165524
2009-02-25,8.22,8.45,7.69,8.07,5.9519,2992643
2009-02-26,8.05,8.45,7.78,7.9,5.8264,3208867
2009-02-27,7.88,8.11,7.5,7.52,5.5461,2853636
2009-03-02,7.5,7.58,6.86,7,5.1629,3289568
2009-03-03,7.3,7.39,6.82,6.96,5.133,3173983
2009-03-04,7.12,7.33,6.835,7.1,5.2366,2594887
2009-03-05,7.07,7.09,6.29,6.36,4.6906,3659742
2009-03-06,6.58,6.58,5.97,6.45,4.7573,4470378
2009-03-09,6.5,6.7599,6.45,6.71,4.9486,3332998
2009-03-10,6.86,7.93,6.79,7.91,5.8341,4880870
2009-03-11,8.02,8.4,7.64,8.19,6.0404,4061327
2009-03-12,8.18,8.9,7.9,8.79,6.4829,3349289
2009-03-13,8.68,9.06,8.4,8.92,6.579,2596515
2009-03-16,8.99,9.06,8.04,8.07,5.9519,2726158
2009-03-17,8,8.69,7.8,8.64,6.3722,3601539
2009-03-18,8.35,9.46,8.22,9.25,6.8221,4297297
2009-03-19,9.5,9.6,8.21,8.3,6.1214,4105901
2009-03-20,8.28,8.39,7.6,7.7,5.6788,4197904
2009-03-23,7.9,8.81,7.83,8.66,6.3873,5395864
2009-03-24,8.61,8.88,7.93,8,5.9002,3298096
2009-03-25,8.19,8.32,7.37,7.99,5.8929,4242263
2009-03-26,8.07,8.4,7.61,8.35,6.1585,3014528
2009-03-27,7.77,8.06,7.61,7.68,5.7333,2655632
2009-03-30,7.45,7.53,7.09,7.12,5.315,2915478
2009-03-31,7.33,7.84,7.19,7.39,5.5163,4767042
2009-04-01,7.3,7.65,7.2,7.45,5.5613,2668290
2009-04-02,7.675,8.22,7.01,7.99,5.9641,5100013
2009-04-03,7.99,8.42,7.56,8.42,6.2853,3859302
2009-04-06,8.16,8.75,7.97,8.61,6.4269,3003430
2009-04-07,8.38,8.44,7.77,7.8,5.8227,3328261
2009-04-08,7.92,8.29,7.82,8.2,6.1209,2994706
2009-04-09,8.3,9.25,8.28,9.17,6.8451,6020571
2009-04-13,9.06,10.12,8.93,9.85,7.3524,3738669
2009-04-14,9.75,9.93,9.03,9.12,6.8078,4821403
2009-04-15,9.01,9.79,8.73,9.69,7.2333,4568116
2009-04-16,9.57,10.44,9.2,9.94,7.42,3550177
2009-04-17,10.18,10.79,9.69,10.42,7.7784,3687907
2009-04-20,9.98,10.37,8.6,8.73,6.5164,5326968
2009-04-21,8.6,9.33,8.35,9.13,6.8154,6013502
2009-04-22,8.84,9.405,8.67,8.88,6.6287,3923874
2009-04-23,9.12,9.16,8.47,9.01,6.7258,3917800
2009-04-24,9.14,9.76,8.84,9.47,7.069,5272126
2009-04-27,9.13,9.17,8.43,8.64,6.4493,3210347
2009-04-28,8.3,9.1,8.28,8.79,6.5615,2904790
2009-04-29,8.99,9.47,8.89,9.35,6.9795,2914258
2009-04-30,9.42,9.76,9.4,9.57,7.1438,2629182
2009-05-01,9.61,9.63,8.82,8.93,6.6659,2207952
