Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,9.69,9.71,9.29,9.51,8.089,4232080
2009-01-05,9.4,9.81,9.35,9.75,8.2932,4553300
2009-01-06,9.88,9.93,9.53,9.71,8.2596,6356567
2009-01-07,9.55,9.55,8.85,8.93,7.596,5060956
2009-01-08,8.89,9.02,8.68,8.9,7.57,3850926
2009-01-09,8.92,8.95,8.52,8.71,7.4084,3729405
2009-01-12,8.82,8.96,8.53,8.66,7.3665,5132440
2009-01-13,8.58,8.87,8.32,8.61,7.3236,6181946
2009-01-14,8.29,8.43,7.85,7.94,6.7537,6512644
2009-01-15,7.91,8.11,7.45,7.61,6.4729,9279528
2009-01-16,7.83,8.1,7.56,7.6,6.4646,9013170
2009-01-20,7.31,7.93,7.31,7.43,6.3197,9444074
2009-01-21,7.81,7.97,7.43,7.94,6.7537,7878012
2009-01-22,7.7,7.8,7.31,7.39,6.2856,6919100
2009-01-23,7.18,7.62,6.89,7.5,6.3793,6205133
2009-01-26,7.36,7.74,7.25,7.41,6.3031,4215693
2009-01-27,7.57,7.67,7.27,7.44,6.3287,3891551
2009-01-28,7.97,7.99,7.57,7.91,6.7283,9098643
2009-01-29,6.88,7.9,6.88,7.46,6.3456,4998125
2009-01-30,7.31,7.61,7.08,7.15,6.0819,7283077
2009-02-02,6.97,7.39,6.92,7.36,6.2603,5940843
2009-02-03,7.39,7.41,7.08,7.22,6.1411,4953465
2009-02-04,7.28,7.45,7.07,7.18,6.1075,7296433
2009-02-05,7.45,7.45,6.935,7.14,6.0732,9249431
2009-02-06,7.26,7.73,7.2,7.68,6.5327,13371020
2009-02-09,7.71,8.035,7.56,7.96,6.771,7938829
2009-02-10,7.87,7.96,6.96,7.01,5.9628,7197667
2009-02-11,7.01,7.25,6.94,7.21,6.1333,5771105
2009-02-12,6.89,7.18,6.76,7.14,6.0732,8220295
2009-02-13,7.08,7.36,6.95,7.01,5.9628,6397448
2009-02-17,6.75,6.93,6.08,6.1,5.1885,10773421
2009-02-18,6.19,6.36,5.91,6.3,5.3592,6690646
2009-02-19,6.4,6.46,5.54,5.56,4.7294,6089640
2009-02-20,5.41,5.94,5.05,5.74,4.8825,10795061
2009-02-23,5.83,6.04,5.56,5.57,4.7376,8805838
2009-02-24,5.61,6.23,5.26,6.19,5.2653,8416059
2009-02-25,6.26,6.35,5.7,6,5.1034,7651231
2009-02-26,6.11,6.97,6.06,6.18,5.2566,9599623
2009-02-27,5.98,6.28,5.72,5.73,4.874,8758474
2009-03-02,5.61,5.66,5.1,5.14,4.3722,7515474
2009-03-03,5.19,5.55,5.11,5.28,4.4912,8018047
2009-03-04,5.42,5.75,5.18,5.52,4.6951,6951588
2009-03-05,5.28,5.44,4.76,4.89,4.1594,9749027
2009-03-06,4.87,5.04,4.73,4.95,4.2104,6281864
2009-03-09,4.88,5.31,4.83,5.21,4.4318,5662067
2009-03-10,5.69,6.09,5.43,6.06,5.1547,12592370
2009-03-11,5.96,6.14,5.76,5.94,5.0525,8714982
2009-03-12,5.93,6.67,5.69,6.62,5.6309,10746377
2009-03-13,6.56,6.66,5.61,6.23,5.299,13885641
2009-03-16,6.6,6.79,6.1375,6.25,5.3162,11367243
2009-03-17,6.25,6.58,5.97,6.57,5.5883,9623027
2009-03-18,6.49,7.27,6.13,7.24,6.1581,15227358
2009-03-19,7.72,7.91,6.25,6.28,5.3418,14163134
2009-03-20,6.38,6.38,5.5,5.51,4.6867,12025753
2009-03-23,6.03,6.55,5.71,6.54,5.5628,10897960
2009-03-24,6.24,6.4925,5.92,6.03,5.1291,9813230
2009-03-25,6.05,6.52,6.02,6.47,5.5034,11011156
2009-03-26,6.52,7.17,6.4,7.14,6.0732,11061430
2009-03-27,7,7.03,6.7,6.8,5.784,5882923
2009-03-30,6.55,6.61,5.75,5.78,4.9333,10685071
2009-03-31,6.09,6.42,5.94,6.31,5.3858,9518087
2009-04-01,6.12,6.58,6.02,6.47,5.5224,7399067
2009-04-02,6.7,6.89,6.41,6.59,5.6253,9178409
2009-04-03,6.47,6.8,6.19,6.75,5.7615,7864175
2009-04-06,6.64,6.64,6.33,6.56,5.5991,5699172
2009-04-07,6.36,6.63,6.29,6.4,5.4629,6674978
2009-04-08,6.46,6.86,6.36,6.83,5.8298,7827149
2009-04-09,7.38,8.22,7.2,8.19,6.9906,16824607
2009-04-13,8.03,8.6,7.87,8.45,7.2125,12426732
2009-04-14,8.17,8.315,7.49,7.57,6.4615,13882039
2009-04-15,7.32,8.18,7.05,8.15,6.9566,14258994
2009-04-16,8.15,8.46,7.91,8.36,7.1358,11230444
2009-04-17,8.3,8.83,8.15,8.55,7.2981,9627772
2009-04-20,8.52,8.62,7.46,7.49,6.3931,12156020
2009-04-21,7.24,8.24,7.03,8.23,7.0247,9462339
2009-04-22,7.78,8.55,7.72,8.03,6.8541,9547418
2009-04-23,8.05,8.62,8,8.51,7.2635,6266276
2009-04-24,8.62,9.41,8.41,9.09,7.7589,11755584
2009-04-27,8.87,8.88,8.07,8.08,6.8968,8837563
2009-04-28,8.03,8.68,7.86,8.33,7.1103,9095103
2009-04-29,8.45,8.77,8.32,8.48,7.2381,10966366
2009-04-30,8.6,8.83,8.08,8.13,6.9395,12631994
2009-05-01,8.06,8.37,8.02,8.12,6.9307,5864642
2009-05-04,8.16,9.05,8.12,8.98,7.6649,10037197
2009-05-05,8.87,9.35,8.71,9.11,7.7759,9710387
2009-05-06,9.52,10.76,9.5,10.33,8.8171,15610358
2009-05-07,11.28,11.65,10.29,10.36,8.8429,17360210
2009-05-08,10.78,10.89,10.15,10.66,9.099,14691321
