Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,52.47,52.98,51.19,52.86,43.9526,1199850
2009-01-05,52.82,52.82,50.92,51.53,42.8464,1926851
2009-01-06,49.38,49.6,47.15,48.5,40.3271,4298564
2009-01-07,47.98,49.49,47.49,49.2,40.9935,2047918
2009-01-08,48.89,49.2,48.11,48.92,40.7605,1692442
2009-01-09,48.63,48.78,47.45,48.02,40.0105,1335129
2009-01-12,47.39,48.06,47.38,47.61,39.669,1008546
2009-01-13,47.49,48.7099,47.33,48.35,40.2854,1360817
2009-01-14,47.73,48.02,47.05,47.27,39.3858,1017486
2009-01-15,47.2,47.74,46.5,47.42,39.5108,1504139
2009-01-16,47.86,48.95,47.52,48.72,40.5938,1149121
2009-01-20,48.51,49.08,46.7,46.73,38.936,1028444
2009-01-21,47.16,47.95,46.64,47.89,39.9023,1275357
2009-01-22,47.41,47.89,46.55,47.34,39.444,1022044
2009-01-23,46.76,47.31,45.98,46.58,38.8109,2150628
2009-01-26,50.25,51.23,48.65,51.17,42.6353,4768095
2009-01-27,51.58,51.58,50.47,50.81,42.3352,1664042
2009-01-28,51.35,51.57,50,51.25,42.702,1912629
2009-01-29,50.75,51.06,49.46,49.87,41.552,1765859
2009-01-30,49.45,49.86,48.89,49.35,41.1187,1582836
2009-02-02,49.29,50.21,48.5,50.05,41.7021,1168382
2009-02-03,50.25,50.9,49.68,50.63,42.1852,1343571
2009-02-04,50.65,51.18,50.04,50.4,41.9938,2463153
2009-02-05,50.28,51.43,50,51.25,42.702,1674797
2009-02-06,50.96,52.25,50.89,52.16,43.4599,1785598
2009-02-09,52.01,52.27,51.27,52.12,43.4267,1320496
2009-02-10,51.97,52.12,50.44,50.62,42.1768,2208546
2009-02-11,51.95,52.46,49.94,51.18,42.6434,1250954
2009-02-12,48.01,51.13,46.42,51.13,42.6017,2529487
2009-02-13,51.25,52.4,50.74,52.03,43.3515,1929037
2009-02-17,50.43,50.99,50.05,50.52,42.0936,1116682
2009-02-18,50.72,50.97,50.09,50.53,42.1022,1259497
2009-02-19,50.76,51.34,50.4,50.85,42.3685,1264474
2009-02-20,50.09,51.33,49.8,51.17,42.6353,2025331
2009-02-23,51.5,51.5,49.66,49.97,41.6355,1992442
2009-02-24,50.35,51.49,50.02,51.35,42.7853,1756131
2009-02-25,51.03,51.58,50.2,50.49,42.0688,1444710
2009-02-26,51.07,51.07,48.08,48.13,40.1027,1837074
2009-02-27,47.44,47.9,45.72,45.83,38.186,2842905
2009-03-02,45.03,45.82,44.95,44.97,37.4691,1988666
2009-03-03,45.39,45.91,44.55,45.15,37.619,1772436
2009-03-04,45.42,47.15,45.33,46.29,38.5689,1550385
2009-03-05,45.4,45.86,44.75,45.03,37.5194,1565726
2009-03-06,42.84,44.41,42.36,44.41,37.0029,1872110
2009-03-09,43.84,44.31,43.11,43.46,36.2111,1425233
2009-03-10,43.69,45,43.46,44.93,37.4357,1618937
2009-03-11,45.11,45.88,44.1,44.2,36.8276,1094728
2009-03-12,44.21,46.04,43.97,46.01,38.3358,1360216
2009-03-13,45.96,46.57,45.45,46.4,38.6608,1368536
2009-03-16,46.73,47.18,45.86,46,38.3277,1493059
2009-03-17,46.1,46.33,44.89,45.77,38.1362,1753188
2009-03-18,45.82,46.57,45.16,45.51,37.9192,1751828
2009-03-19,45.54,46.04,44.05,44.36,36.9609,1432463
2009-03-20,44.55,45.51,44.45,45.02,37.511,2396299
2009-03-23,45.14,46.11,44.64,46.11,38.4191,1152030
2009-03-24,45.7,46.66,45.47,46.16,38.4608,1254044
2009-03-25,46.18,47.18,46.03,46.77,38.9692,1460149
2009-03-26,46.91,47.45,46.46,47.21,39.3357,1770431
2009-03-27,46.65,47.12,46.33,46.61,38.8357,1132274
2009-03-30,45.98,47.21,45.67,47.04,39.194,1193231
2009-03-31,47,48.3,46.97,47.48,39.5604,1083477
2009-04-01,47.05,47.47,46.17,47.36,39.4611,975013
2009-04-02,48.06,48.97,47.55,48.17,40.2204,1154068
2009-04-03,48.06,48.31,46.96,47.79,39.9031,872298
2009-04-06,47.5,48.67,47.3,47.8,39.9114,967206
2009-04-07,47.13,48.02,46.82,47.51,39.6694,929056
2009-04-08,47.76,48.19,46.92,47.56,39.7111,749487
2009-04-09,48.42,48.68,47.79,48.52,40.5125,775899
2009-04-13,48.33,48.83,48.06,48.64,40.6134,784255
2009-04-14,48.25,48.96,47.99,48.66,40.6297,983408
2009-04-15,48.56,49.22,48.3,49.13,41.0224,1221342
2009-04-16,49.4,49.61,48.7,49.4,41.2476,788411
2009-04-17,49.61,50.5,49.38,50.27,41.9738,1486836
2009-04-20,49.8,50.79,49.63,50.5,42.1656,1710248
2009-04-21,51.6,54.45,51.4,53.43,44.6125,3766960
2009-04-22,52.12,52.84,51.93,52.47,43.811,2465901
2009-04-23,52.46,52.64,50.02,50.37,42.0572,2442430
2009-04-24,50.79,51.07,50,50.23,41.9406,1018659
2009-04-27,50.43,52.06,50.14,51.68,43.1513,1788601
2009-04-28,51.64,52.56,51.46,51.72,43.1842,1538375
2009-04-29,51.79,52.17,51.1,51.42,42.9345,1334762
2009-04-30,49.59,52.65,49.59,51.33,42.8589,1712084
2009-05-01,51.39,51.63,49.83,50.5,42.1656,1414831
2009-05-04,50.99,50.99,49.79,50.9,42.4998,1314198
2009-05-05,50.7,51.73,50.25,51.6,43.0843,1327373
2009-05-06,51.97,52.135,51.02,51.52,43.0177,993437
2009-05-07,51.77,52.72,51.46,52.05,43.46,1252150
2009-05-08,52.26,53.01,51.91,52.24,43.6185,1135912
2009-05-11,52.13,52.62,51.56,52.24,43.6185,1190172
2009-05-12,52.24,52.94,52.06,52.36,43.7189,1555530
2009-05-13,51.95,52.42,51.38,51.59,43.0763,940412
2009-05-14,51.66,52.1,51,51.89,43.3267,989386
2009-05-15,51.82,51.82,50.12,50.4,42.0824,1453938
2009-05-18,50.68,51.05,49.76,51.05,42.6253,1314648
2009-05-19,52.2,52.46,51.43,51.75,43.2097,1652539
2009-05-20,52.18,52.25,51.13,51.25,42.7922,1463385
2009-05-21,51.17,51.24,50.03,50.22,41.9323,1087254
2009-05-22,50.38,50.82,49.88,50.19,41.9074,753211
2009-05-26,50.35,51.77,49.77,51.64,43.1181,1040564
2009-05-27,51.71,52,51.26,51.28,42.8171,1006035
2009-05-28,51.69,52.28,51.29,51.61,43.0925,945494
2009-05-29,51.51,52.22,51.1298,52.22,43.6018,1344525
2009-06-01,52.84,53.04,52.5,52.8,44.0865,1095266
2009-06-02,52.78,53.85,52.52,53.55,44.7126,862970
2009-06-03,53.29,53.93,53.15,53.53,44.6957,867916
2009-06-04,53.71,53.74,52.64,52.91,44.178,1031374
2009-06-05,53.01,53.41,51.74,52.14,43.5356,1335798
2009-06-08,52.13,52.46,51.15,51.26,42.8006,1133428
2009-06-09,51.56,51.64,50.94,51.2,42.7502,1023526
2009-06-10,51.51,51.73,50.89,51.22,42.7669,1181354
2009-06-11,51.37,51.99,51.3,51.56,43.0509,896579
2009-06-12,51.43,52.17,50.9,51.89,43.3267,935903
2009-06-15,51.75,51.76,50.17,50.32,42.0152,1170333
2009-06-16,50.57,51.07,49.87,50.6,42.2494,1072717
2009-06-17,50.64,52.73,50.5,52.25,43.6272,1117142
2009-06-18,52.28,54.02,52.12,53.85,44.9632,1333494
2009-06-19,54.12,54.62,53.26,53.75,44.8798,1881424
2009-06-22,53.45,53.45,52.54,52.81,44.0948,968397
2009-06-23,52.68,53.32,52.25,52.92,44.1867,1196466
2009-06-24,53.69,54.5,53.22,54.28,45.3222,1595722
2009-06-25,54.46,56.05,54.19,55.89,46.6663,1665473
2009-06-26,55.8,55.8,54.9,55.25,46.1321,1453784
2009-06-29,55.46,56.21,54.57,56.14,46.8751,877421
2009-06-30,56.26,56.82,55.71,56.43,47.1176,1268509
2009-07-01,56.56,57.19,56.09,56.73,47.4517,1060473
2009-07-02,56.2,56.25,54.9,55,46.0051,1896635
2009-07-06,54.75,56.05,54.75,55.9,46.7577,1067428
2009-07-07,55.9,56.82,55.78,55.87,46.7326,1336920
2009-07-08,56.23,56.34,55.75,56.07,46.8997,1740691
2009-07-09,56.42,56.5,54.66,54.98,45.9881,1575140
2009-07-10,54.65,55.21,53.73,54.14,45.2856,1284696
2009-07-13,54.14,54.71,53.32,54.68,45.7369,830498
2009-07-14,54.66,54.986,54.21,54.74,45.7873,1021425
2009-07-15,54.96,55.51,54.2,55.24,46.2057,1388067
2009-07-16,55.16,56.27,54.71,56.07,46.8997,1069514
2009-07-17,55.95,56.07,55.48,55.88,46.7408,904365
2009-07-20,56,56.22,54.9,56.01,46.8498,1887079
2009-07-21,56.71,57.15,54.35,55.78,46.6573,3075234
2009-07-22,55.62,56.25,54.84,55.14,46.1221,1723347
2009-07-23,55.26,56,54.56,55.39,46.3311,1748741
2009-07-24,55.12,55.94,54.95,55.94,46.7912,1160100
2009-07-27,56.02,56.24,54.92,55.52,46.4399,1256577
2009-07-28,55.45,56.2,52.06,53.73,44.9426,5220771
2009-07-29,54.28,55.74,53.97,55.21,46.1806,2869093
2009-07-30,55.39,55.39,54.31,54.37,45.4778,1613213
2009-07-31,54.19,55.05,53.84,54.62,45.6873,1890579
2009-08-03,54.9,54.9,53.14,53.81,45.0095,2196717
2009-08-04,53.74,54.08,53.5,53.59,44.8257,1753757
2009-08-05,53.52,53.71,52.49,52.63,44.0225,1419276
2009-08-06,52.5,53.41,52.07,53.1,44.4154,1821900
2009-08-07,53.36,53.67,53.15,53.29,44.5747,1316747
2009-08-10,53.31,53.88,53,53.78,44.9843,1342338
2009-08-11,53.5,54.14,53.24,53.36,44.6328,1332959
2009-08-12,53.34,53.97,52.95,53.62,44.8502,772191
2009-08-13,53.42,53.97,52.92,53.97,45.1431,844383
2009-08-14,54.04,54.45,53.26,53.73,44.9426,859743
2009-08-17,53.52,54.84,53.15,54.33,45.4443,1088655
2009-08-18,54.31,54.35,53.38,53.57,44.8091,890400
2009-08-19,53.31,54.19,53.2,53.88,45.0679,938816
2009-08-20,53.89,54.67,53.65,54.57,45.645,958142
2009-08-21,54.85,55.03,54.46,54.89,45.9129,1125194
2009-08-24,55.13,55.36,54.6,55.3,46.256,830189
2009-08-25,55.23,55.92,55.09,55.38,46.3224,1497274
2009-08-26,55.17,55.54,54.56,55.31,46.2641,1569309
2009-08-27,55.48,55.63,54.74,55.34,46.2895,1020097
2009-08-28,55.36,55.56,54.63,54.81,45.8459,972054
2009-08-31,54.59,54.82,53.59,53.96,45.135,1462906
2009-09-01,53.7,53.82,52.7,52.93,44.2732,1679424
2009-09-02,52.69,53.67,52.69,53.02,44.3486,1462266
2009-09-03,53.04,53.73,52.61,53.65,44.8759,1273690
2009-09-04,53.71,54.41,53.51,54.22,45.3525,890091
2009-09-08,54.33,54.56,52.83,53.35,44.6248,2042329
2009-09-09,53.3,54.09,53.13,53.82,45.0178,1174894
2009-09-10,53.83,54.55,53.39,54.55,45.6284,798362
2009-09-11,54.52,54.87,54.16,54.22,45.3525,1194547
2009-09-14,54.13,54.45,54.02,54.34,45.4529,1306377
2009-09-15,54.18,54.18,53.02,53.24,44.5329,2291321
2009-09-16,52.17,52.85,51.5,52.35,43.7881,2744382
2009-09-17,51.95,52.21,51.13,51.25,42.8683,3505797
2009-09-18,51.37,51.6,50.24,51,42.6592,3193979
2009-09-21,50.56,52.65,50.56,51.49,43.0692,2437726
2009-09-22,51.58,55.78,51.04,53.22,44.5162,7609869
2009-09-23,53.33,53.83,52.321,53.28,44.566,2216068
2009-09-24,53.46,53.77,52.04,52.41,43.8383,1780970
2009-09-25,51.99,53,51.02,52.19,43.6543,1706312
2009-09-28,52.24,52.79,52.18,52.63,44.0225,1327110
2009-09-29,52.7,52.8,51.77,52.26,43.713,1180069
2009-09-30,52.24,52.5,51.691,52.19,43.7382,1197557
2009-10-01,52,52.25,51.62,51.69,43.319,1307753
2009-10-02,51.59,52.37,51.2,52.08,43.6461,1401047
2009-10-05,52.14,52.58,51.63,52.53,44.023,1359798
2009-10-06,52.64,53.24,52.17,52.97,44.3918,975889
2009-10-07,52.79,53.42,52.68,53.34,44.7018,972158
2009-10-08,53.47,54.2,53.21,53.93,45.1962,1190283
2009-10-09,54.09,54.93,54.04,54.93,46.0345,998955
2009-10-12,54.91,55,54.45,54.61,45.7664,1079733
2009-10-13,54.5,54.75,53.93,54.29,45.4981,939232
2009-10-14,54.58,55.57,54.19,55.44,46.4619,1117040
2009-10-15,55.25,55.63,54.83,55.6,46.5963,1281280
2009-10-16,54.82,55.39,54.5,55.16,46.227,1385190
2009-10-19,55.26,56.9352,55.25,56.71,47.526,1968075
2009-10-20,58.28,58.28,55.5,56.63,47.4594,2517337
2009-10-21,56.77,57.19,55.9803,56.25,47.1407,2189673
2009-10-22,56.19,57,55.83,56.85,47.6434,2078888
2009-10-23,56.93,57.25,55.99,56.32,47.1995,1127942
2009-10-26,56.45,57.07,55.8,55.98,46.9141,910688
2009-10-27,56.01,56.79,55.71,56.15,47.0568,932559
2009-10-28,55.97,56.45,55.82,55.9,46.8471,1719451
2009-10-29,56.11,56.81,55.92,56.81,47.6096,1764819
2009-10-30,56.64,56.9,55.58,55.93,46.8728,1385757
2009-11-02,56.16,56.54,55.61,56.13,47.0399,1409884
2009-11-03,56.12,56.61,55.9,56.61,47.4423,1439781
2009-11-04,56.66,57.25,56.51,56.59,47.4259,1465598
2009-11-05,56.65,57.6,56.65,57.6,48.272,885459
2009-11-06,57.6,57.92,57.25,57.84,48.473,1181138
2009-11-09,58.1,58.77,57.8,58.69,49.1856,1413605
2009-11-10,58.44,59.015,58.31,58.54,49.0601,997110
2009-11-11,58.72,58.76,57.81,58.14,48.7246,1239325
2009-11-12,57.9,58.85,57.26,58.16,48.7412,1197690
2009-11-13,58.16,58.88,58.05,58.64,49.144,1192261
2009-11-16,58.87,59.57,58.63,59.42,49.7972,1003445
2009-11-17,59.4,59.4,58.6,59.07,49.504,1030595
2009-11-18,58.93,59.135,58.44,58.48,49.0095,893078
2009-11-19,58.32,58.32,57.5,58.13,48.716,1095357
2009-11-20,58.06,58.47,57.95,58.15,48.7328,1331928
2009-11-23,58.48,58.83,58.2,58.79,49.2694,1163684
2009-11-24,58.55,59.08,58.4,58.85,49.3197,917354
2009-11-25,59,59.1,58.68,59.04,49.4788,571443
2009-11-27,58.09,58.62,57.61,58.27,48.8336,331941
2009-11-30,58.12,58.45,57.7,57.94,48.5568,1054488
2009-12-01,58.53,58.98,58.31,58.56,49.0766,1130078
2009-12-02,58.4,59,58.4,58.63,49.135,874688
2009-12-03,58.43,58.78,57.65,57.75,48.3979,835169
2009-12-04,58.18,59.07,57.97,58.24,48.8084,876239
2009-12-07,58.14,59.335,58.06,59.03,49.4706,891712
2009-12-08,58.57,59.37,58.391,58.88,49.3447,798253
2009-12-09,58.97,59.24,58.64,58.79,49.2694,782315
2009-12-10,59.01,59.49,59.01,59.26,49.6632,1001240
2009-12-11,59.25,60.59,59.25,60.43,50.6439,1561837
2009-12-14,60.97,61.7,60.61,61.44,51.4902,1274037
2009-12-15,61.46,62.42,61.2,62.07,52.018,1021925
2009-12-16,62.32,62.83,61.58,61.75,51.7498,942968
2009-12-17,61.57,61.6676,60.74,60.88,51.0208,909709
2009-12-18,61.13,61.34,60.46,60.93,51.0627,1406572
2009-12-21,61.34,61.92,61.32,61.65,51.6662,683096
2009-12-22,61.66,62.11,61.23,61.45,51.4984,804816
2009-12-23,61.36,61.9699,61.34,61.35,51.4143,570957
2009-12-24,61.35,61.59,61.2585,61.58,51.6073,192023
2009-12-28,61.54,61.7,61.23,61.54,51.5738,492688
2009-12-29,61.48,61.92,61.48,61.61,51.6325,423658
2009-12-30,61.56,61.7,61,61.29,51.3646,366767
2009-12-31,61.16,61.28,60.33,60.38,50.6019,508635
2010-01-04,60.73,61.18,60.23,61.16,51.2554,1045965
2010-01-05,60.94,61.04,59.26,59.79,50.1896,1535162
2010-01-06,59.54,59.78,57.71,58.87,49.4171,3184248
2010-01-07,58.765,59.63,58.68,59.44,49.8954,1115982
2010-01-08,59.48,60.03,59.12,59.44,49.8954,1110157
2010-01-11,59.54,59.99,59.45,59.59,50.0214,646343
2010-01-12,59.5,59.82,58.94,59.21,49.7025,667027
2010-01-13,59.5,60.19,59.07,59.94,50.3155,1023734
2010-01-14,60.09,60.97,59.74,60.9,51.1212,773016
2010-01-15,60.73,60.73,59.84,60.25,50.5754,1186595
2010-01-19,60.41,61.66,60.26,61.61,51.7171,1072283
2010-01-20,61.61,61.72,59.99,60.64,50.9027,1179622
2010-01-21,60.56,60.89,59.41,59.77,50.1725,1246649
2010-01-22,59.37,59.64,58.61,58.8,49.3583,1764217
2010-01-25,57.23,58.25,55.56,57.44,48.2168,3785188
2010-01-26,57.19,57.75,56.88,57.52,48.2839,1405089
2010-01-27,57.56,57.69,56.16,56.63,47.5367,1924943
2010-01-28,56.61,57.17,55.99,56.05,47.05,841204
2010-01-29,54.93,56.33,54.93,55.67,46.7309,1656125
2010-02-01,55.87,56.91,55.77,56.44,47.3775,2009549
2010-02-02,56.53,57.28,56.18,57,47.8474,1373694
2010-02-03,56.95,56.95,56.2,56.48,47.4108,1176434
2010-02-04,56.24,56.32,55.41,55.43,46.5294,1752311
2010-02-05,55.52,55.69,54.7,55.6,46.6725,1174335
2010-02-08,55.4,55.42,54.63,55,46.1682,1301215
2010-02-09,54.99,56.11,54.99,55.68,46.7393,1148325
2010-02-10,55.42,56.14,55.16,55.76,46.8062,961557
2010-02-11,55.57,56.23,55.16,55.9,46.9241,1073462
2010-02-12,55.4,56.16,55.16,56.07,47.0668,1026405
2010-02-16,56.29,56.7,55.79,56.69,47.5872,1390718
2010-02-17,56.86,57.72,56.84,57.39,48.1748,1037254
2010-02-18,57.33,57.96,57.16,57.7,48.4349,859468
2010-02-19,57.51,57.6,56.99,57.5,48.267,1425978
2010-02-22,57.49,57.93,57.2601,57.37,48.158,1156921
2010-02-23,57.11,57.26,56.565,56.7,47.5955,1260191
2010-02-24,56.73,57.04,56.46,56.82,47.6964,898746
2010-02-25,56.5,56.76,56.18,56.69,47.5872,1264896
2010-02-26,56.83,57.08,56.45,56.75,47.6375,1005333
2010-03-01,56.78,57.47,56.7,56.84,47.7133,1246612
2010-03-02,56.95,57.2,56.59,56.65,47.5536,1524493
2010-03-03,56.67,56.82,55.77,55.83,46.8652,3129037
