Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,56.56,57.98,55.95,57.8,21.0873,1862285
2009-01-05,57.41,57.59,56.31,56.91,20.7627,2267661
2009-01-06,57.05,58.34,56.94,57.75,21.0691,1889945
2009-01-07,56.76,57.17,55.94,56.2,20.5036,2433703
2009-01-08,56.06,56.06,54.59,55.54,20.2629,2179282
2009-01-09,55.88,56.18,54.26,54.62,19.9271,1603124
2009-01-12,54.51,54.8,54.06,54.58,19.9126,1655210
2009-01-13,54.27,54.49,52.32,53.01,19.3398,3073123
2009-01-14,52.36,53.54,52.03,52.91,19.3033,2528539
2009-01-15,53.17,54.46,52.03,54.13,19.7484,2362384
2009-01-16,54.9,55.17,53.1,53.93,19.6754,2290056
2009-01-20,53.57,53.94,51.49,51.57,18.8146,2602255
2009-01-21,52.04,52.35,50.74,52.22,19.0516,2528476
2009-01-22,51.49,52.31,50.52,51.74,18.8763,2120301
2009-01-23,50.89,51.99,50,51.35,18.7343,3123749
2009-01-26,53.4,57.12,53.32,56.12,20.4745,5682197
2009-01-27,56.27,57.43,55.39,57.27,20.8941,3258574
2009-01-28,58.15,58.32,57.31,57.73,21.0619,2591947
2009-01-29,56.89,57.46,56.04,56.69,20.6823,2105611
2009-01-30,56.42,56.943,55.51,55.93,20.4052,2340359
2009-02-02,55.3,56.03,54.82,55.58,20.2775,2400083
2009-02-03,55.91,56.46,55.02,56.16,20.4888,1975658
2009-02-04,56.22,57.5,55.97,56.46,20.5986,2626491
2009-02-05,55.95,58.25,55.62,57.97,21.1494,2665822
2009-02-06,57.88,59,57.52,58.54,21.3574,2396940
2009-02-09,58.39,58.93,57.49,57.92,21.1312,2441287
2009-02-10,57.33,58.27,55.54,55.89,20.3905,2321140
2009-02-11,56.1,56.96,55.79,56.38,20.5692,2154397
2009-02-12,55.45,56.42,54.8,56.36,20.5619,1796901
2009-02-13,56.38,57.36,56.0775,56.38,20.5692,1667115
2009-02-17,54.37,55.05,53.14,54.02,19.7082,2712872
2009-02-18,54.04,54.39,53.03,53.89,19.6608,3199226
2009-02-19,53.88,54.65,53.05,53.2,19.4092,2828209
2009-02-20,52.36,54.11,51.29,52.44,19.1319,3512707
2009-02-23,52.89,53.34,51.17,51.33,18.7269,3209040
2009-02-24,51.68,52.75,51,52.59,19.1867,2538281
2009-02-25,52.2,52.9,51.01,51.93,18.9459,2708526
2009-02-26,52.21,52.88,51.32,51.45,18.7705,2300789
2009-02-27,50.73,51.31,50.21,50.76,18.5189,3848442
2009-03-02,50.46,51.25,48.73,48.85,17.8221,3625878
2009-03-03,49.43,50.72,48.77,49.71,18.1359,3206931
2009-03-04,50.29,53.04,50.29,51.97,18.9603,4136779
2009-03-05,50.74,52.13,49.32,49.7,18.1322,3615287
2009-03-06,50.09,50.78,48.19,49.31,17.99,3933949
2009-03-09,48.55,49.18,47.7299,48.03,17.523,3576133
2009-03-10,49,51.15,48.65,51.11,18.6464,5301756
2009-03-11,50.95,52.53,50.68,52.12,19.015,4237443
2009-03-12,51.95,54.67,51.61,54.42,19.8542,4992979
2009-03-13,54.42,54.565,53.33,54.11,19.7412,2665133
2009-03-16,53.77,55.18,53.77,54.04,19.7157,3474460
2009-03-17,53.54,55.26,53.26,55.26,20.1607,2370740
2009-03-18,56.31,56.7797,54.35,55.99,20.427,5221627
