Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,7.2182,7.5502,7.1875,7.4838,3.8241,1428940
2009-01-05,7.4276,7.7137,7.3357,7.5604,3.8633,2036371
2009-01-06,7.6064,7.7188,7.4481,7.6575,3.9129,1776403
2009-01-07,7.3663,7.6473,7.305,7.4378,3.8006,1221400
2009-01-08,7.2897,7.7188,7.162,7.7035,3.9364,1924008
2009-01-09,7.6371,7.7597,7.4123,7.54,3.8528,1412175
2009-01-12,7.494,7.6115,7.3868,7.4532,3.8085,1648890
2009-01-13,7.5145,7.7903,7.5145,7.6626,3.9155,2219304
2009-01-14,7.5451,7.6626,7.3306,7.5349,3.8502,1734612
2009-01-15,7.4276,7.6882,7.1722,7.5196,3.8424,1645280
2009-01-16,7.6626,7.8618,7.259,7.54,3.8528,2152797
2009-01-20,7.5094,7.5094,6.9679,6.9832,3.5683,1792554
2009-01-21,7.1518,7.4532,7.1518,7.351,3.7563,1888590
2009-01-22,7.2846,7.6269,7.2539,7.4634,3.8137,1798538
2009-01-23,7.3357,7.6013,7.3357,7.5094,3.8372,1617180
2009-01-26,7.5911,7.6166,7.2948,7.4429,3.8032,2087456
2009-01-27,7.5349,7.6575,7.374,7.5962,3.8816,926479
2009-01-28,7.5502,7.7239,7.5502,7.6422,3.9051,1561869
2009-01-29,7.5911,7.6064,7.3203,7.3561,3.7589,913843
2009-01-30,7.5911,7.6882,7.2437,7.4072,3.785,1503289
2009-02-02,7.2693,7.5145,7.1313,7.4327,3.798,1091877
2009-02-03,7.4532,7.5349,7.2335,7.4787,3.8215,1106310
2009-02-04,7.5094,7.6064,6.9909,7.0241,3.5892,3298629
2009-02-05,6.9372,7.019,6.784,6.9117,3.5318,2837203
2009-02-06,6.9372,7.208,6.8861,7.1211,3.6388,1765207
2009-02-09,7.07,7.2182,6.9985,7.1773,3.6675,1741344
2009-02-10,7.0854,7.1772,6.9117,6.9781,3.5657,1330843
2009-02-11,6.9985,7.1722,6.9679,7.0496,3.6022,1201577
2009-02-12,6.9577,7.2284,6.927,7.1211,3.6388,1757920
2009-02-13,7.1569,7.2233,7.116,7.1416,3.6493,986007
2009-02-17,6.9219,7.0854,6.7482,6.8912,3.5213,1547543
2009-02-18,6.927,6.9985,6.6563,6.6767,3.4117,1144627
2009-02-19,6.784,6.8402,6.6716,6.7022,3.4247,1792217
2009-02-20,6.6307,6.646,6.3651,6.4775,3.3099,1331448
2009-02-23,6.4826,6.6767,6.4621,6.4928,3.3177,1931829
2009-02-24,6.4162,6.8759,6.4162,6.7737,3.4613,3168369
2009-02-25,7.5247,7.8261,7.3306,7.6269,3.8972,6257557
2009-02-26,7.775,7.918,7.5349,7.54,3.8528,2362542
2009-02-27,7.5094,7.964,7.5094,7.9231,4.0486,3173509
2009-03-02,7.821,8.0713,7.7239,7.7954,3.9833,2525620
2009-03-03,7.8976,8.0611,7.8414,7.9998,4.0878,2717519
2009-03-04,8.0917,8.1326,7.7699,7.8925,4.033,2412821
2009-03-05,7.7954,7.9947,7.6984,7.7699,3.9703,2430641
2009-03-06,7.8414,7.918,7.494,7.7239,3.9468,4023836
2009-03-09,7.683,7.8108,7.3612,7.4021,3.7824,2003460
2009-03-10,7.5656,7.8516,7.54,7.8363,4.0042,1836179
2009-03-11,7.8823,8.0202,7.7597,7.8925,4.033,1412162
2009-03-12,7.9078,8.5668,7.8108,8.4544,4.3201,2769783
2009-03-13,8.4953,8.6792,8.3267,8.6434,4.4167,2378675
2009-03-16,8.7201,8.7456,8.48,8.5106,4.3488,1122831
2009-03-17,8.4953,8.5821,8.3625,8.5668,4.3775,1238752
2009-03-18,8.6894,8.8324,8.5055,8.766,4.4793,1584147
2009-03-19,8.7456,8.7456,8.2603,8.3114,4.247,1983899
2009-03-20,8.388,8.4646,8.0815,8.107,4.1426,1264573
2009-03-23,8.1735,8.5361,8.107,8.48,4.3332,2787134
2009-03-24,8.3471,8.4902,8.2143,8.2756,4.2287,1356505
2009-03-25,8.2399,8.3012,8.0304,8.2961,4.2392,1924347
2009-03-26,8.3471,8.5106,8.2705,8.4391,4.3123,1680110
2009-03-27,8.3063,8.3676,8.01,8.2348,4.2079,1424010
2009-03-30,8.1224,8.1888,7.8312,8.1683,4.1739,1679030
2009-03-31,8.1939,8.3625,8.0917,8.1837,4.1818,1545289
2009-04-01,8.199,8.7609,8.1735,8.7149,4.4532,3055500
2009-04-02,8.8886,9.2258,8.8733,9.0981,4.649,2516281
2009-04-03,9.1747,9.2258,8.9091,9.2105,4.7064,2825758
2009-04-06,9.0163,9.1287,8.8937,9.1134,4.6568,1565464
2009-04-07,8.7201,8.7711,8.4902,8.5617,4.3749,2881103
2009-04-08,8.5974,8.8886,8.5055,8.7814,4.4872,1702167
2009-04-09,9.1645,9.2105,9.0725,9.1696,4.6855,2401154
2009-04-13,9.1338,9.1696,8.9295,9.0214,4.6098,1640105
2009-04-14,8.9908,9.047,8.6639,8.6639,4.4271,1906751
2009-04-15,8.6434,8.9091,8.5617,8.6536,4.4219,1447692
