Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,28.49,29.76,27.83,29.54,18.8055,2569593
2009-01-05,29.26,29.56,28.4,28.74,18.2965,2739721
2009-01-06,29.09,29.34,28.05,28.94,18.4239,3214245
2009-01-07,28.25,28.6,27.3,27.46,17.5903,3392459
2009-01-08,27.26,28.19,26.56,27.63,17.6994,3304150
2009-01-09,27.59,27.69,26.62,26.68,17.091,1722958
2009-01-12,26.5,26.89,25.22,25.71,16.4692,3163208
2009-01-13,26.19,26.66,25.23,25.66,16.4375,2223563
2009-01-14,24.81,25.01,24.07,24.4,15.6299,2945102
2009-01-15,24.49,25.709,23.63,25.14,16.1042,2856187
2009-01-16,25.62,26.1,24.94,25.97,16.6358,2719378
2009-01-20,25.81,26.01,23.32,23.55,15.0855,2937395
2009-01-21,23.72,25.02,23.57,24.9,15.9505,3067019
2009-01-22,25.3,27.81,24.56,27,17.2958,4525902
2009-01-23,26.25,27.03,25.99,26.63,17.0586,2556527
2009-01-26,26.82,27.93,26.56,27.15,17.3918,2226261
2009-01-27,27.37,28,26.96,27.7,17.7439,2162710
2009-01-28,28.23,28.59,27.71,28.12,18.0132,2895857
2009-01-29,27.31,27.96,27.1,27.37,17.5325,2427703
2009-01-30,27.27,27.46,25.93,26.22,16.796,2221354
2009-02-02,25.5,26.49,25.41,26.18,16.7705,1983855
2009-02-03,26.19,27.34,25.44,27.03,17.3149,2310165
2009-02-04,27.03,28.44,26.59,27.89,17.8658,5044480
2009-02-05,27.82,28.55,27.62,28.45,18.2243,2396499
2009-02-06,28.49,29.28,28.22,28.69,18.3785,2563003
2009-02-09,28.65,28.72,27.77,28.6,18.3205,1879060
2009-02-10,28.29,28.6,27,27.24,17.4494,3319181
2009-02-11,27.55,28.39,27.39,28.18,18.0515,3400752
2009-02-12,27.5,29.38,27.5,29.27,18.75,5176400
2009-02-13,28.99,29.69,28.59,29.32,18.7818,4358435
2009-02-17,28.31,28.53,27.61,27.98,17.9236,4626036
2009-02-18,28.09,28.46,27.29,27.6,17.6801,4104543
2009-02-19,27.98,28.76,27.13,27.24,17.4494,2860745
2009-02-20,26.81,28.53,26.73,28.23,18.0832,5744473
2009-02-23,28.52,29,27.33,27.39,17.5455,4372938
2009-02-24,27.55,28.49,27.385,28.37,18.173,4685020
2009-02-25,28.17,28.75,27.64,28.11,18.0066,4177891
2009-02-26,28.55,28.55,26,26.34,16.8726,6314237
2009-02-27,25.99,27.44,25.82,27.14,17.3852,4936670
2009-03-02,26.65,27,25.49,25.72,16.4757,4343507
2009-03-03,25.88,26.46,24.81,25.24,16.1682,3806525
2009-03-04,25.8,26.25,25.28,25.49,16.3285,3946246
2009-03-05,24.99,25.74,24.26,24.73,15.8417,4604979
2009-03-06,24.95,25.63,24.11,24.86,15.9249,4002378
2009-03-09,24.43,25.18,24.22,24.32,15.5792,2558426
2009-03-10,24.78,27.2,24.51,26.97,17.2764,4632225
2009-03-11,25.92,27.33,25.92,26.79,17.161,4151018
2009-03-12,26.77,28.56,26.75,28.12,18.0132,4789805
2009-03-13,28.21,28.88,27.62,28.6,18.3205,3565857
2009-03-16,28.9,29.98,28.68,28.78,18.4361,5169732
2009-03-17,28.72,29.9,28.35,29.9,19.1535,5160993
2009-03-18,33.52,36.07,33.12,35.87,22.9777,17816381
2009-03-19,35.67,36.19,34.34,34.94,22.3817,6008760
2009-03-20,34.94,34.94,33.21,33.88,21.7027,5234303
2009-03-23,34.38,36.16,33.8,36.16,23.1635,4978513
2009-03-24,35.59,36.58,34.36,34.4,22.0363,4606878
2009-03-25,34.97,35.7,33.81,35.17,22.529,4504925
2009-03-26,35.47,37.59,35.32,37.01,23.7079,4879946
2009-03-27,36.11,36.45,35.32,35.41,22.6827,3486973
2009-03-30,34.94,35.03,34.31,34.95,22.3883,3489529
2009-03-31,35.24,35.66,33.52,34.26,21.9463,3327485
2009-04-01,34.01,35.23,33.62,34.9,22.3563,3337458
2009-04-02,35.76,36.93,35.19,36.28,23.2404,2927302
2009-04-03,35.97,36.49,35.47,36.49,23.3747,2789788
2009-04-06,36.13,36.44,35.47,35.83,22.952,2831994
2009-04-07,35.91,36.1,34.23,34.27,22.0628,4016973
2009-04-08,34.35,35.89,34.35,35.83,23.067,2946113
2009-04-09,36.72,37.56,36.07,37.04,23.846,2734092
2009-04-13,36.74,38.33,36.55,37.97,24.4449,3804355
2009-04-14,37.6,37.6,36.36,36.79,23.6853,4616681
2009-04-15,36.19,36.78,35.55,36.66,23.6014,3356772
2009-04-16,36.52,39.11,36.52,38.54,24.8117,3914089
2009-04-17,38.74,39.75,38.15,39.53,25.4489,3565738
2009-04-20,39.24,39.28,38.52,38.98,25.095,3805611
2009-04-21,38.02,39.25,38.02,39.12,25.1851,4409506
2009-04-22,38.64,41.21,38.63,40.26,25.9192,5439778
2009-04-23,40.51,41,39.14,40.19,25.8741,3182720
2009-04-24,40.51,40.94,39.52,39.72,25.5713,4106801
2009-04-27,39.15,39.55,37.83,38.53,24.8052,3236074
2009-04-28,38.37,39.4,38.03,38.11,24.535,2340783
2009-04-29,38.33,38.39,36.6,36.74,23.6529,3525648
2009-04-30,37.37,38.51,36.85,36.97,23.8011,3629689
2009-05-01,37.24,37.29,35.82,36.12,23.2538,2622110
2009-05-04,36.16,38.9,36.16,38.48,24.773,2797467
2009-05-05,38.04,39.5,37.7801,38.94,25.0693,2307201
2009-05-06,39.35,39.59,37.3801,37.82,24.3482,2615357
2009-05-07,38.27,38.885,36.88,37.06,23.8592,3307774
2009-05-08,37.49,37.91,35.74,36.02,23.1894,3223044
2009-05-11,35.63,36.39,34.94,35.94,23.138,3129844
2009-05-12,36.09,36.37,34.38,34.89,22.462,2969613
2009-05-13,34.25,34.5,32.92,33.38,21.4899,3061204
2009-05-14,33.39,34.93,33.39,34.3,22.0821,2368730
2009-05-15,34.22,34.96,33.9,34.1,21.9535,1836407
2009-05-18,34.43,35.71,34.18,35.69,22.9768,1793767
2009-05-19,35.81,36.32,34.86,35.34,22.7517,2475532
2009-05-20,35.74,36.55,34.7012,34.79,22.3974,2323660
2009-05-21,34.3,34.999,33.16,33.43,21.5217,2311609
2009-05-22,33.5,33.59,32.31,33.04,21.2709,2729223
2009-05-26,32.72,35.96,32.51,35.64,22.9445,3484623
2009-05-27,35.65,36.7,34.93,35.47,22.8354,3447512
2009-05-28,35.82,36.46,34.65,35.39,22.7838,2347622
2009-05-29,35.53,36.24,34.84,36.17,23.286,2449040
2009-06-01,36.77,38.1,36.63,37.59,24.2001,2376393
2009-06-02,37.5,37.5,36.46,36.93,23.7753,2111981
2009-06-03,36.46,36.87,35.68,36.28,23.3567,2497009
2009-06-04,36.54,36.66,34.61,35.04,22.5584,2875238
2009-06-05,35.6,35.83,34.71,34.93,22.4878,1616118
2009-06-08,34.86,34.88,33.76,34.16,21.9919,3569617
2009-06-09,34.28,34.95,34.12,34.59,22.2688,1804701
2009-06-10,35.17,35.21,33.5,33.85,21.7923,1859900
2009-06-11,33.9,34.23,32.79,32.97,21.2255,2673602
2009-06-12,32.84,33.83,32.67,33.8,21.76,2024967
2009-06-15,33.32,33.96,32.7825,33.87,21.8052,2648976
2009-06-16,34.04,34.12,32.96,33.07,21.29,2308271
2009-06-17,33.02,33.77,32.32,33.1,21.3095,2417502
2009-06-18,33.1,34.03,32.25,33.54,21.5928,2464728
2009-06-19,34.04,35.02,33.86,34.7,22.3395,2948477
2009-06-22,34.16,35.15,33.7,34.24,22.0435,4537268
2009-06-23,34.34,34.72,32.87,33,21.245,5083687
2009-06-24,32.16,33.26,31.7,31.94,20.5627,9316583
2009-06-25,31.69,33.33,31.69,32.78,21.1037,5169071
2009-06-26,32.47,32.88,32.05,32.21,20.7366,3566245
2009-06-29,32.41,33.94,32.29,33.78,21.7473,3209111
2009-06-30,33.78,34.17,32.78,32.98,21.2324,3089779
2009-07-01,33.34,34.33,33.02,34.07,21.9341,2403999
2009-07-02,33.51,33.64,33.02,33.06,21.2839,1741376
2009-07-06,32.96,33.36,32.49,33.22,21.3866,2609709
2009-07-07,33.39,33.39,32.09,32.15,20.6978,2261978
2009-07-08,32.08,32.74,31.8,32.36,20.9788,2387814
2009-07-09,32.56,32.73,31.83,32.46,21.0437,1908292
2009-07-10,32.16,33.08,31.95,32.36,20.9788,1831465
2009-07-13,32.35,32.8,31.7,32.69,21.1928,2118579
2009-07-14,32.81,33.76,32.28,33.69,21.8411,3351769
2009-07-15,34,34,32.98,33.32,21.6013,3057235
2009-07-16,33.31,34.01,32.94,33.86,21.9515,2069041
2009-07-17,34.14,34.14,33.3,33.71,21.8541,1853692
2009-07-20,33.99,34.22,33.48,33.98,22.0292,1827385
2009-07-21,34.36,34.36,33.02,33.62,21.796,2419921
2009-07-22,33.85,34.79,33.55,34.11,22.1133,2379480
2009-07-23,34.08,34.73,33.49,34.19,22.1654,2898907
2009-07-24,33.99,34.3,33.11,33.52,21.731,2538496
2009-07-27,33.44,33.86,32.97,33.65,21.8151,2120920
2009-07-28,33.53,33.64,33.01,33.51,21.7245,1578044
2009-07-29,33.4,33.62,32.43,32.55,21.1022,2177158
2009-07-30,32.9,33.36,32.66,32.86,21.3031,1790130
2009-07-31,32.94,33.08,32.25,32.39,20.9983,2394226
2009-08-03,32.93,33.365,32.59,33.29,21.5817,2137241
2009-08-04,33.25,34.21,33.04,33.76,21.8865,2433345
2009-08-05,33.75,34.23,33.46,34.03,22.0615,1647078
2009-08-06,32.65,33.1,32,32.1,20.8104,3797962
2009-08-07,32.34,32.94,31.8,31.92,20.6938,3014046
2009-08-10,31.93,32.69,31.93,32.61,21.1409,2858060
2009-08-11,32.63,32.74,31.71,31.75,20.5836,2142910
2009-08-12,31.7,32.05,31.0525,31.21,20.2336,4139248
2009-08-13,31.5,31.84,30.83,31.19,20.2203,3528147
2009-08-14,31.31,31.77,30.97,31.71,20.5576,3832435
2009-08-17,31.2,31.6,30.79,31.21,20.2336,3185447
2009-08-18,31.28,31.68,30.92,31.6,20.4865,2765883
2009-08-19,31.1,32.01,31,31.94,20.7067,2874721
2009-08-20,31.94,32.74,31.92,32.6,21.1344,2003274
2009-08-21,32.9,33.37,32.56,33.27,21.5692,2708822
2009-08-24,33.45,33.68,33.04,33.25,21.5561,3001074
2009-08-25,33.45,33.98,33.26,33.6,21.7831,2170375
2009-08-26,33.48,33.96,33.33,33.79,21.9061,1673022
2009-08-27,33.57,33.85,32.92,33.73,21.8671,2025753
2009-08-28,33.91,33.93,33.28,33.52,21.731,2173771
2009-08-31,33.23,33.48,32.75,32.93,21.3484,2299443
2009-09-01,32.99,33.8,32.69,32.96,21.368,2382518
2009-09-02,32.78,33.406,32.74,33.01,21.4003,1388125
2009-09-03,33.15,33.71,32.89,33.67,21.828,1816985
2009-09-04,33.86,34.45,33.6,34.41,22.3079,1290473
2009-09-08,34.82,35,33.99,34.15,22.1394,3041214
2009-09-09,34.12,34.71,33.7,34.7,22.4961,2006861
2009-09-10,34.69,34.975,34.18,34.7,22.4961,2393850
2009-09-11,34.82,34.98,34.22,34.55,22.3987,2015740
2009-09-14,34.32,35.13,34.25,34.9,22.6252,1723122
2009-09-15,34.86,35.13,34.69,34.95,22.6583,2950214
2009-09-16,34.99,36.51,34.99,36.36,23.5721,3655588
2009-09-17,36.33,36.99,35.99,36.64,23.7537,2184564
2009-09-18,36.88,37.31,36.41,37.12,24.065,2443014
2009-09-21,36.74,37.01,36.4,36.72,23.8056,2817959
2009-09-22,36.88,37,36.44,36.78,23.8447,3237640
2009-09-23,36.76,36.78,35.06,35.08,22.7422,4173964
2009-09-24,35.36,35.62,34.63,35.44,22.9756,3511970
2009-09-25,35.35,35.86,35.12,35.6,23.0794,3047876
2009-09-28,35.67,36.74,35.5,36.14,23.4297,3838047
2009-09-29,36.32,36.83,35.87,36.15,23.4359,3212889
2009-09-30,33.53,34.19,32.51,34.13,22.1266,12749560
2009-10-01,33.89,34.09,33.05,33.15,21.4912,5191281
2009-10-02,32.86,33.54,32.62,33.2,21.5236,2819731
2009-10-05,33.15,33.85,33.12,33.7,21.8475,2427346
2009-10-06,34.06,34.06,33.09,33.45,21.6856,4271787
2009-10-07,33.2,33.43,32.7,32.89,21.4658,2905699
2009-10-08,33.15,33.67,32.89,32.93,21.4922,3901667
2009-10-09,32.81,33.27,32.58,32.99,21.5312,2375680
2009-10-12,33.39,33.48,33.12,33.3,21.7337,2330433
2009-10-13,33.25,33.33,32.89,32.98,21.5247,2008699
2009-10-14,33.28,33.5,32.66,32.75,21.3743,2463584
2009-10-15,32.64,33.44,32.64,33.37,21.7792,2286063
2009-10-16,33.06,33.46,32.94,33.21,21.6748,2255345
2009-10-19,33.45,33.57,32.69,33.55,21.8968,2386341
2009-10-20,33.67,33.71,31.51,32.6,21.2765,5075854
2009-10-21,32.38,32.82,31.13,31.17,20.3435,5837568
2009-10-22,31.32,32.16,31.15,31.89,20.8131,3479411
2009-10-23,32.06,32.06,31.15,31.29,20.4216,3722438
2009-10-26,31.31,31.63,31.06,31.39,20.4874,3448088
2009-10-27,31.37,31.49,30.515,31.11,20.3044,2817412
2009-10-28,30.97,31.62,30.82,30.87,20.1476,2430396
2009-10-29,31.21,31.52,30.98,31.3,20.4281,1656206
2009-10-30,31.26,31.59,30.29,30.31,19.7821,2677589
2009-11-02,30.36,30.75,29.94,30.41,19.8473,2291944
2009-11-03,30.34,30.99,30.04,30.99,20.2261,2530345
2009-11-04,31.17,32.205,31.12,31.88,20.8068,3592139
2009-11-05,32.18,33.07,32.07,32.78,21.3942,2765358
2009-11-06,32.72,33.4,32.33,32.65,21.3094,2030656
2009-11-09,32.99,33.09,32.46,32.66,21.3159,3058958
2009-11-10,32.42,33.06,32.29,32.56,21.251,2635113
2009-11-11,32.89,32.93,32.29,32.62,21.2896,2037916
2009-11-12,32.63,32.79,31.78,31.88,20.8068,3216977
2009-11-13,31.87,32.26,31.71,32.1,20.9505,1613881
2009-11-16,32.38,32.78,32.24,32.78,21.3942,2262738
2009-11-17,32.78,32.9,32.35,32.48,21.1985,1765980
2009-11-18,32.42,32.66,32.08,32.52,21.2245,1721761
2009-11-19,32.45,32.45,31.58,31.7,20.6891,1828999
2009-11-20,31.4,31.82,31.06,31.44,20.5197,2099538
2009-11-23,31.75,32.13,31.64,31.8,20.7546,1410041
2009-11-24,31.92,31.92,31.12,31.37,20.474,2290625
2009-11-25,31.33,31.43,30.8,31.11,20.3044,2817600
2009-11-27,30.46,31.36,30.34,31.15,20.3304,806161
2009-11-30,31.11,31.5,30.95,31.43,20.5132,1913429
2009-12-01,31.77,32.1,31.33,31.83,20.7741,1676377
2009-12-02,31.74,32.46,31.69,32.31,21.0875,2083512
2009-12-03,32.16,32.3,31.57,31.64,20.6502,1838174
2009-12-04,32.14,32.5,31.55,32.21,21.022,1963042
2009-12-07,32.24,32.43,32.05,32.15,20.983,984674
2009-12-08,31.84,32.25,31.71,31.91,20.8262,1466861
2009-12-09,31.93,32.2,31.73,31.94,20.8458,1432879
2009-12-10,32.2,32.58,32.07,32.13,20.9699,2052415
2009-12-11,32.49,32.62,32.27,32.45,21.1788,2336830
2009-12-14,32.63,32.65,32.26,32.32,21.094,2859964
2009-12-15,32.36,32.94,32.11,32.56,21.251,2199293
2009-12-16,33.5,33.91,33.05,33.36,21.7725,3298501
2009-12-17,33.04,33.25,32.67,32.75,21.3743,2278515
2009-12-18,33.01,35.18,33,35.13,22.928,6167196
2009-12-21,35.09,35.92,34.96,35.65,23.2674,2478659
2009-12-22,35.6,36.1,35.52,35.92,23.4434,2244100
2009-12-23,36.12,36.12,35.51,35.94,23.4568,1501562
2009-12-24,35.86,35.9601,35.54,35.93,23.45,615692
2009-12-28,35.85,35.93,35.15,35.44,23.1301,1939146
2009-12-29,35.61,35.96,35.45,35.52,23.1824,1071807
2009-12-30,35.5,35.57,35.1,35.23,22.9932,1395010
2009-12-31,35.25,35.49,35.04,35.07,22.8887,1175131
2010-01-04,35.44,35.44,34.711,35,22.8433,2228039
2010-01-05,35.06,35.07,34.21,34.85,22.7451,2735135
2010-01-06,34.77,34.77,34.37,34.39,22.5897,3094490
2010-01-07,34.46,35.03,34.2,34.71,22.8003,2487148
2010-01-08,34.53,34.74,34.09,34.13,22.4193,2268135
2010-01-11,34.42,34.42,33.835,34.04,22.3597,1479032
2010-01-12,33.79,34.28,33.72,33.88,22.2548,1430391
2010-01-13,33.92,34.18,33.75,34.11,22.4061,1059630
2010-01-14,34.02,35.95,33.98,35.77,23.4961,3645594
2010-01-15,35.86,35.86,35.07,35.3,23.1873,2371192
2010-01-19,35.35,35.89,35.25,35.84,23.5423,1641773
2010-01-20,36.56,37.86,36.25,36.53,23.9954,3585721
2010-01-21,36.6,37.25,36.47,36.55,24.0086,2590559
2010-01-22,36.39,36.84,36.08,36.16,23.7525,2459569
2010-01-25,36.42,36.4395,35.86,36.01,23.654,1919654
2010-01-26,35.97,36.95,35.93,36.48,23.9627,2812415
2010-01-27,36.48,36.76,36.25,36.62,24.0546,2345824
2010-01-28,36.75,37.59,36.69,37.45,24.5999,3868057
2010-01-29,37.45,37.75,36.83,36.96,24.2781,3536496
2010-02-01,37.15,37.92,37.03,37.85,24.8625,2826430
2010-02-02,37.87,38.64,37.64,38.29,25.1516,2351987
