Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,15.05,15.48,14.99,15.4,27.7665,4867978
2009-01-05,15.56,15.79,15.4,15.77,28.4343,8897596
2009-01-06,15.8,15.96,15.29,15.34,27.6579,11248938
2009-01-07,15.28,15.59,15.23,15.38,27.7308,6989251
2009-01-08,15.38,15.51,15.3,15.41,27.7845,6379157
2009-01-09,15.42,15.5,15.21,15.27,27.5319,5305140
2009-01-12,15.3,15.5,15.28,15.37,27.7122,5846608
2009-01-13,15.39,15.45,15.01,15.16,27.3348,8247060
2009-01-14,15.13,15.15,14.79,14.99,27.0285,9227166
2009-01-15,15,15.03,14.57,14.86,26.7927,8970617
2009-01-16,15,15.14,14.8,15.02,27.0816,7828322
2009-01-20,15,15.27,14.82,14.88,26.8281,10474606
2009-01-21,15.1,15.1,14.5,14.85,26.775,12467223
2009-01-22,14.8,14.97,14.64,14.86,26.7927,8602519
2009-01-23,14.68,14.93,14.56,14.9,26.8659,6366404
2009-01-26,15.02,15.26,14.87,15.16,27.3348,7116167
2009-01-27,15.24,15.38,15.1001,15.3,27.5859,7983629
2009-01-28,15.43,15.49,15.17,15.4,27.7665,8737114
2009-01-29,15.3,15.64,15.29,15.41,27.7845,8339763
2009-01-30,15.36,15.6,15.04,15.15,27.3165,11317579
2009-02-02,15,15.156,14.9,15.01,27.0639,8332496
2009-02-03,15.18,15.18,14.865,15.05,27.1356,9860999
2009-02-04,15.39,15.5,15.24,15.36,27.6954,11662492
2009-02-05,15.75,15.86,15.41,15.47,27.8931,13089194
2009-02-06,15.58,15.86,15.4114,15.68,28.272,10900123
2009-02-09,15.7,15.75,15.38,15.66,28.2357,8061091
2009-02-10,15.55,15.66,15.11,15.21,27.4242,12539840
2009-02-11,15.3,15.3,14.85,14.94,27.351,7498031
2009-02-12,14.84,14.91,14.56,14.88,27.2412,8156991
2009-02-13,14.87,15.02,14.72,14.74,26.985,6657849
2009-02-17,14.56,14.56,14.1,14.11,25.8318,10164154
2009-02-18,14.23,14.46,14.03,14.41,26.3811,15160917
2009-02-19,14.45,14.62,14.29,14.5,26.5458,11955007
2009-02-20,14.44,14.52,14.03,14.16,25.9227,14195239
2009-02-23,14.3,14.35,13.85,13.91,25.4652,9239926
2009-02-24,13.99,14.36,13.9719,14.31,26.1987,8587746
2009-02-25,14.5,14.5,14.03,14.17,25.9425,10346586
2009-02-26,14.28,14.33,13.77,13.78,25.2273,7770165
2009-02-27,13.7,13.76,13.37,13.47,24.6591,11320701
2009-03-02,13.25,13.45,12.91,12.92,23.6526,11319467
2009-03-03,13.04,13.04,12.2,12.22,22.3722,12076043
2009-03-04,12.4,12.56,12.04,12.42,22.7376,10667610
2009-03-05,12.21,12.21,11.83,12.04,22.0416,13102590
2009-03-06,12.29,12.49,11.85,12.15,22.2438,9679177
2009-03-09,12.02,12.14,11.72,11.81,21.6213,9595626
2009-03-10,12.24,12.44,12,12.39,22.6824,14128606
2009-03-11,12.56,12.73,12.43,12.55,22.9752,10073894
2009-03-12,12.5,12.68,12.42,12.65,23.1591,6800552
2009-03-13,12.75,12.93,12.64,12.86,23.5431,7301973
2009-03-16,13.15,13.4,12.95,13.16,24.0936,8392408
2009-03-17,13.2,13.52,13.07,13.52,24.7512,10722203
2009-03-18,13.46,14.04,13.3,13.99,25.6125,14302725
2009-03-19,14.03,14.23,13.91,14.17,25.9425,9729830
2009-03-20,14.29,14.62,14.2,14.22,26.0334,15819638
2009-03-23,14.5,14.7,14.29,14.69,26.8941,9737498
2009-03-24,14.56,14.67,14.13,14.14,25.8876,10081734
2009-03-25,14.27,14.48,14.01,14.24,26.0691,7174566
2009-03-26,14.37,14.47,14.02,14.46,26.4723,9075272
2009-03-27,14.27,14.365,14.12,14.29,26.1615,6685149
2009-03-30,14.07,14.2,13.95,14.11,25.8318,8137606
2009-03-31,14.24,14.45,14.07,14.32,26.2155,11391456
2009-04-01,14.19,14.34,14.1,14.26,26.1063,11500022
2009-04-02,14.44,14.47,14,14.18,25.9599,10489550
2009-04-03,14.22,14.34,14.08,14.19,25.9779,5295051
2009-04-06,14.11,14.35,14,14.06,25.7406,6774893
2009-04-07,13.89,13.95,13.62,13.76,25.1913,10356630
2009-04-08,13.83,13.99,13.72,13.99,25.6125,6240794
2009-04-09,14.06,14.16,13.78,13.96,25.5573,9325305
2009-04-13,13.95,14,13.83,13.92,25.4838,7000475
2009-04-14,13.88,13.89,13.65,13.72,25.1178,7127659
2009-04-15,13.72,14,13.67,14,25.6311,11070520
2009-04-16,14.05,14.05,13.76,13.87,25.3923,13425052
2009-04-17,13.87,13.93,13.65,13.74,25.1547,12977885
2009-04-20,13.66,13.85,13.6,13.72,25.1178,6883884
2009-04-21,13.68,13.88,13.68,13.83,25.3188,6529304
2009-04-22,13.68,13.85,13.6,13.72,25.1178,14950161
2009-04-23,13.72,13.86,13.68,13.82,25.3008,8309562
2009-04-24,13.84,13.89,13.71,13.75,25.1721,7417471
2009-04-27,13.66,13.93,13.66,13.78,25.2273,5547662
2009-04-28,13.71,14,13.71,13.85,25.3557,5526049
2009-04-29,13.96,14,13.87,13.99,25.6125,5932043
2009-04-30,14.01,14.1,13.72,13.81,25.2831,7474320
2009-05-01,13.83,14.11,13.8,14.11,25.8318,5971940
2009-05-04,14.04,14.23,13.94,14.23,26.0511,10835744
2009-05-05,14.2,14.3,14.01,14.19,25.9779,10326712
2009-05-06,14.24,14.3,13.96,13.99,25.6125,7777191
2009-05-07,14.11,14.24,13.8,14.19,25.9779,11669818
2009-05-08,14.25,14.41,14.11,14.18,25.9599,13056434
2009-05-11,14.11,14.46,14.05,14.34,26.2533,11755716
2009-05-12,14.42,14.5,14.28,14.4,26.3631,9378342
2009-05-13,14.41,14.43,14,14.04,25.7031,11486686
2009-05-14,13.92,14,13.61,13.73,25.5546,8550197
2009-05-15,13.7,13.73,13.39,13.48,25.0893,7143152
2009-05-18,13.61,13.69,13.4,13.55,25.2198,6951972
2009-05-19,13.49,13.72,13.47,13.56,25.2381,9137619
2009-05-20,13.62,13.7,13.39,13.42,24.9777,8612601
2009-05-21,13.4,13.46,13.31,13.45,25.0335,10129343
2009-05-22,13.44,13.74,13.4,13.69,25.4808,8507150
2009-05-26,13.69,14.03,13.56,14.03,26.1138,8566561
2009-05-27,14.02,14.02,13.73,13.75,25.5918,8478777
2009-05-28,13.79,14.14,13.79,14.03,26.1138,9951717
2009-05-29,14.06,14.2,13.87,14.15,26.3367,9920034
2009-06-01,14.2,14.45,14.19,14.37,26.7462,7312387
2009-06-02,14.31,14.42,14.09,14.1,26.2431,7846515
2009-06-03,14.09,14.15,13.96,14.08,26.2059,6060598
2009-06-04,14.12,14.14,14.01,14.07,26.1876,6421807
2009-06-05,14.07,14.29,14,14.13,26.2995,6551884
2009-06-08,14.13,14.24,13.98,14.09,26.2254,5988528
2009-06-09,14.15,14.26,14.03,14.08,26.2059,10288155
2009-06-10,14.14,14.29,13.98,14.14,26.3178,8012922
2009-06-11,14.16,14.62,14.12,14.44,26.8761,10831871
2009-06-12,14.41,14.76,14.25,14.67,27.3048,14473344
2009-06-15,14.52,14.61,14.3,14.45,26.8947,6457591
2009-06-16,14.83,14.83,14.14,14.23,26.4855,12836340
2009-06-17,14.22,14.41,14.14,14.29,26.5968,11123465
2009-06-18,14.33,14.68,13.91,14.64,27.2487,9624110
2009-06-19,14.62,14.75,14.37,14.41,26.8206,11319653
2009-06-22,14.32,14.74,14.32,14.65,27.2667,9440087
2009-06-23,14.53,14.63,14.3,14.39,26.7843,10213715
2009-06-24,14.48,14.52,14.29,14.4,26.8017,7557290
2009-06-25,14.38,14.7,14.24,14.63,27.2295,9639097
2009-06-26,14.6,14.62,14.34,14.41,26.8206,7936953
2009-06-29,14.47,14.61,14.35,14.58,27.1365,5412482
2009-06-30,14.68,14.71,14.39,14.59,27.156,8481842
2009-07-01,14.57,14.94,14.54,14.83,27.6024,7860437
2009-07-02,14.71,14.71,14.3999,14.4,26.8017,6385940
2009-07-06,14.37,14.66,14.35,14.61,27.1923,5223861
2009-07-07,14.62,14.65,14.3,14.32,26.6523,9353424
2009-07-08,14.4,14.48,14.17,14.29,26.5968,8652860
2009-07-09,14.35,14.37,14.1,14.23,26.4855,6390380
2009-07-10,14.19,14.43,14.1,14.32,26.6523,13098112
2009-07-13,14.38,14.61,14.24,14.57,27.1179,8513901
2009-07-14,14.58,14.62,14.43,14.52,27.0249,7624767
2009-07-15,14.5,14.79,14.5,14.76,27.4713,6857914
2009-07-16,14.7,14.82,14.59,14.77,27.4899,6109854
2009-07-17,14.8,14.8,14.64,14.73,27.4152,6720560
2009-07-20,14.79,14.82,14.62,14.76,27.4713,6794000
2009-07-21,14.93,14.94,14.82,14.89,27.7131,6126815
2009-07-22,14.82,14.97,14.79,14.84,27.6213,5501299
2009-07-23,14.8,15.21,14.8,15.15,28.1973,8437974
2009-07-24,15.06,15.45,15.06,15.39,28.6443,7044647
2009-07-27,15.39,15.45,15.27,15.45,28.7562,5140513
2009-07-28,15.4,15.45,15.15,15.3,28.4772,5806086
2009-07-29,15.25,15.47,15.12,15.35,28.5696,10271328
2009-07-30,15.45,15.63,15.28,15.53,28.9053,7184557
2009-07-31,15.49,15.57,15.37,15.48,28.8117,5283751
2009-08-03,15.57,15.62,15.43,15.57,28.9794,9779692
2009-08-04,15.65,15.65,15.46,15.58,28.9977,8239141
2009-08-05,15.53,15.53,15.21,15.33,28.5333,7071519
2009-08-06,15.36,15.47,15.28,15.45,28.7562,4943216
2009-08-07,15.56,15.73,15.46,15.67,29.1654,7563920
2009-08-10,15.64,15.64,15.4,15.52,28.8858,6506845
2009-08-11,15.61,15.66,15.5,15.6,29.0355,5921603
2009-08-12,15.36,15.39,15.18,15.28,28.884,21933936
2009-08-13,15.34,15.34,15.13,15.3,28.9221,10969646
2009-08-14,15.34,15.38,15.17,15.38,29.0727,5808834
2009-08-17,15.14,15.33,15.14,15.27,28.8648,13540670
2009-08-18,15.32,15.32,15.16,15.25,28.827,12512498
2009-08-19,15.2,15.37,15.15,15.34,28.9971,7158770
2009-08-20,15.41,15.5,15.27,15.49,29.2806,5854925
2009-08-21,15.55,15.65,15.48,15.61,29.5083,6872812
2009-08-24,15.65,15.7,15.57,15.7,29.6781,4638066
2009-08-25,15.66,15.74,15.6,15.62,29.5269,4943442
2009-08-26,15.63,15.69,15.46,15.64,29.565,4486273
2009-08-27,15.6,15.68,15.51,15.62,29.5269,4775364
2009-08-28,15.69,15.69,15.51,15.61,29.5083,5180110
2009-08-31,15.56,15.6,15.4,15.49,29.2806,7235509
