Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,16.05,17.52,15.98,17.44,17.44,5874079
2009-01-05,17.45,17.68,16.58,16.7,16.7,8065002
2009-01-06,17.12,18.63,16.61,18.56,18.56,17914407
2009-01-07,18,18.23,17.4,17.76,17.76,9377582
2009-01-08,17.92,20.6,17.5,18.85,18.85,9923304
2009-01-09,18.85,18.95,17.68,17.79,17.79,7147781
2009-01-12,17.74,18.03,17.22,17.51,17.51,4368514
2009-01-13,17.4075,17.69,16.94,17.21,17.21,9160204
2009-01-14,16.96,17.04,16.27,16.67,16.67,6341935
2009-01-15,16.51,17.37,16.43,17.25,17.25,11001543
2009-01-16,17.28,17.86,16.72,17.53,17.53,8902806
2009-01-20,17.27,17.49,16.57,16.63,16.63,7776573
2009-01-21,16.91,17.59,16.64,17.56,17.56,5732256
2009-01-22,17.47,17.48,16.2602,16.5,16.5,6417025
2009-01-23,16.27,17.22,16.01,16.95,16.95,7135236
2009-01-26,16.79,17.14,16.01,16.32,16.32,6308814
2009-01-27,16.12,16.79,16.12,16.49,16.49,4936725
2009-01-28,16.8,17.12,16.61,16.88,16.88,5805088
2009-01-29,16.29,16.74,15.91,16.19,16.19,9374167
2009-01-30,16.305,16.305,15.3975,15.44,15.44,13189566
2009-02-02,15.2,15.37,14.66,14.86,14.86,14379229
2009-02-03,14.75,15.79,14.24,15.5,15.5,18053395
2009-02-04,16.3,17.6,16.03,17.27,17.27,24360887
2009-02-05,17.1,18.94,17.03,18.7,18.7,19736243
2009-02-06,18.93,19.45,18.7,19.34,19.34,13070622
2009-02-09,19.1,19.1,18.46,18.58,18.58,10132794
2009-02-10,18.45,18.58,16.57,16.84,16.84,16657133
2009-02-11,17,17.42,16.64,17.03,17.03,11442132
2009-02-12,16.79,16.98,16.38,16.95,16.95,6179604
2009-02-13,17.05,17.2,16.69,16.93,16.93,6629992
2009-02-17,16.46,16.74,16.16,16.45,16.45,7327944
2009-02-18,16.67,16.93,16.11,16.53,16.53,6415225
2009-02-19,16.88,17.08,16.19,16.19,16.19,6642600
2009-02-20,16.03,16.53,15.95,16.38,16.38,9148343
2009-02-23,16.2,16.77,15.93,16.02,16.02,7110421
2009-02-24,16.06,17.31,16.06,17.12,17.12,8448503
2009-02-25,16.71,17.18,16.13,16.75,16.75,7031793
2009-02-26,16.78,17.07,16.11,16.13,16.13,4976962
2009-02-27,15.63,16.65,15.53,16.31,16.31,6646158
2009-03-02,15.84,16.31,15.25,15.34,15.34,6056063
2009-03-03,15.95,15.95,14.75,14.92,14.92,9194080
2009-03-04,15.06,16.26,14.95,15.93,15.93,7597917
2009-03-05,15.52,15.92,15.14,15.29,15.29,6563858
2009-03-06,15.095,15.61,14.76,15.31,15.31,9533673
2009-03-09,15.12,16.02,15.07,15.7,15.7,6225357
2009-03-10,16.18,16.78,15.74,16.73,16.73,5393277
2009-03-11,16.82,17.66,16.57,17.51,17.51,6186152
2009-03-12,17.26,18.05,17.13,18,18,6562507
2009-03-13,17.63,17.95,17.33,17.76,17.76,3813501
2009-03-16,17.8,18.06,17.31,17.31,17.31,3971923
2009-03-17,17.31,18.4,17.31,18.38,18.38,5715981
2009-03-18,18.39,19.06,17.65,18.79,18.79,9831600
2009-03-19,18.99,19.43,18.47,18.94,18.94,7923895
2009-03-20,18.45,19.26,18.07,18.22,18.22,5455488
2009-03-23,18.3,19.78,18.3,19.65,19.65,5447914
2009-03-24,19.44,19.74,19.14,19.15,19.15,3508112
2009-03-25,19.45,19.75,18.34,18.99,18.99,7489392
2009-03-26,19.21,19.75,18.99,19.5,19.5,6875492
2009-03-27,19.63,19.63,18.48,18.69,18.69,6346298
2009-03-30,18.33,18.45,17.69,18.18,18.18,4904683
2009-03-31,18.15,18.57,17.78,18.19,18.19,5683068
2009-04-01,17.65,18.7,17.55,18.39,18.39,4941774
2009-04-02,18.47,20.05,18.47,19.45,19.45,7267449
2009-04-03,19.26,20.89,19.26,20.7,20.7,7973664
2009-04-06,20.485,20.6,19.19,19.69,19.69,7197073
2009-04-07,19.46,19.78,19.01,19.17,19.17,6599834
2009-04-08,19.35,19.85,19.04,19.62,19.62,7383856
2009-04-09,20.11,20.32,19.39,19.69,19.69,7097146
2009-04-13,20.1,20.11,19.15,19.42,19.42,4441053
2009-04-14,19.34,19.62,18.68,18.77,18.77,6107943
2009-04-15,18.64,19.4,18.6,19.16,19.16,7787424
2009-04-16,19.77,19.88,18.49,19,19,10590954
2009-04-17,18.94,18.94,18.1,18.62,18.62,11465239
2009-04-20,18.1,18.62,17.48,17.76,17.76,7678501
2009-04-21,18.05,19.29,18,19.19,19.19,10126582
2009-04-22,18.84,20.14,18.79,19.25,19.25,9413691
2009-04-23,19.29,19.48,18.55,19.39,19.39,5600131
2009-04-24,19.49,20.12,19.01,19.97,19.97,6234983
2009-04-27,19.54,20.34,19.32,19.97,19.97,6656808
2009-04-28,19.6,21.22,19.59,20.32,20.32,13553789
2009-04-29,20.6,21.125,20.25,20.45,20.45,8355405
2009-04-30,20.69,21.12,20.27,20.35,20.35,9389250
2009-05-01,20.35,20.67,19.49,20,20,9925387
2009-05-04,20.15,21.24,20.05,21.0373,21.0373,9366351
2009-05-05,21.58,22,21,21.38,21.38,11842881
2009-05-06,21.64,22.02,19.87,20.32,20.32,14924831
2009-05-07,20.21,20.382,19.37,19.46,19.46,7779737
2009-05-08,19.55,20.31,19.45,20.18,20.18,6833229
2009-05-11,19.73,20.65,19.66,20.17,20.17,6496836
2009-05-12,20.25,20.55,19.76,20.11,20.11,6309202
2009-05-13,19.77,20.02,19.48,19.48,19.48,7063320
2009-05-14,19.52,20.45,19.43,20.08,20.08,7769186
2009-05-15,19.95,21.61,19.95,21.03,21.03,14516881
2009-05-18,21.03,21.7185,21.01,21.53,21.53,6823950
2009-05-19,21.34,22.445,20.5,22.07,22.07,7913576
2009-05-20,22.15,23.23,21.98,22.08,22.08,9953285
2009-05-21,21.4,22.25,21.38,22.01,22.01,6690758
2009-05-22,22.07,22.365,21.49,21.9,21.9,4541222
2009-05-26,21.62,22.7,21.36,22.44,22.44,6268706
2009-05-27,22.33,22.69,22.1,22.14,22.14,5219314
2009-05-28,21.81,22.96,21.55,22.32,22.32,7006798
2009-05-29,21.91,23.04,21.86,22.99,22.99,8188117
2009-06-01,23.68,23.76,23.07,23.46,23.46,8074788
2009-06-02,23.25,23.64,23.02,23.1,23.1,5802557
2009-06-03,22.93,23.44,22.52,22.97,22.97,8071794
2009-06-04,23.11,23.41,22.73,23.13,23.13,5361943
2009-06-05,23.47,23.47,22.48,23,23,4183318
2009-06-08,22.99,22.99,21.79,22.17,22.17,8390169
2009-06-09,22.51,22.74,21.94,22,22,7168650
2009-06-10,22.04,22.35,21.53,21.96,21.96,10106288
2009-06-11,21.94,22.34,21.74,21.87,21.87,6032361
2009-06-12,21.8,22.035,21.6,21.93,21.93,5139125
2009-06-15,21.65,21.85,21.2,21.37,21.37,5966294
2009-06-16,21.15,21.79,20.8,20.8,20.8,5604241
2009-06-17,21,21.26,20.68,20.83,20.83,7022451
2009-06-18,20.79,20.89,20.24,20.52,20.52,6211163
2009-06-19,20.46,20.91,20.46,20.72,20.72,7715607
2009-06-22,20.43,20.55,19.91,19.97,19.97,6242014
2009-06-23,19.99,20.49,19.85,20.42,20.42,10453539
2009-06-24,20.1,21.06,20.1,20.94,20.94,6951464
2009-06-25,20.63,21.05,20.36,21.05,21.05,5866259
2009-06-26,20.88,21.36,20.81,20.9,20.9,5404450
2009-06-29,20.91,21.13,20.58,20.81,20.81,3535209
2009-06-30,21.68,22.085,21.34,21.72,21.72,11538884
