Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,35.7,35.98,34.8,35.83,31.3334,1196926
2009-01-05,35.56,35.74,34.56,35.15,30.7387,2352213
2009-01-06,35.56,35.69,33.92,34.4,30.0824,2537445
2009-01-07,34.14,35.22,33.69,34.33,30.0213,3624309
2009-01-08,34.24,34.34,33.67,34.02,29.7504,2592595
2009-01-09,34.2,34.2,33.39,33.51,29.3046,2139551
2009-01-12,33.37,33.81,33,33.57,29.3565,2145962
2009-01-13,33.37,34.06,33.23,33.8,29.5579,2380810
2009-01-14,33.27,33.99,32.86,33.01,28.8667,2252604
2009-01-15,34.5,36.08,34.3,35.52,31.0616,5758751
2009-01-16,36.45,36.78,35.65,36.6,32.0065,2851825
2009-01-20,36.04,36.35,34.81,34.87,30.4932,1908931
2009-01-21,35.06,36.43,34.69,36.37,31.8055,2260573
2009-01-22,35.69,36.14,35.06,35.48,31.0267,2308755
2009-01-23,35.04,35.51,34.44,34.97,30.5811,3091361
2009-01-26,35.06,35.47,34.43,34.72,30.3623,2596288
2009-01-27,35.07,35.3,34.4,34.74,30.3796,2068771
2009-01-28,35.35,35.49,34.84,35.26,30.8345,1817999
2009-01-29,35.07,35.53,34.57,34.71,30.3533,1553619
2009-01-30,34.56,34.94,33.68,33.96,29.6977,2542448
2009-02-02,33.47,34.18,33.28,33.82,29.5752,2292008
2009-02-03,33.85,34.14,33.63,34.07,29.7939,2313783
2009-02-04,34.05,34.88,33.79,34.18,29.8901,2014744
2009-02-05,33.85,35.05,33.62,34.81,30.4409,1712132
2009-02-06,34.61,35.86,34.61,35.78,31.2894,1867927
2009-02-09,35.85,36,34.96,35.18,30.7647,1482325
2009-02-10,34.63,35.18,33.75,33.96,29.6977,2336554
2009-02-11,34.15,34.59,33.7,34.25,29.9514,2205054
2009-02-12,33.21,33.55,29.9,32.6,28.5084,7335085
2009-02-13,32.09,33.3,31.54,32.88,28.7532,2271966
2009-02-17,32,33.24,31.5,32.74,28.6309,3211406
2009-02-18,32.75,33.42,32.19,32.44,28.3686,3062370
2009-02-19,33.12,33.7,32.79,33.48,29.278,3486588
2009-02-20,32.99,33.28,31.73,32.79,28.6747,2495668
2009-02-23,33.08,33.3,31.93,32.04,28.0188,3014778
2009-02-24,32.02,33.19,32.02,32.98,28.8406,3375900
2009-02-25,32.86,33.15,32.27,32.52,28.4388,2735151
2009-02-26,32.59,32.8,31.85,32,27.984,2364937
2009-02-27,31.44,32.15,31.44,31.78,27.7912,2737863
2009-03-02,31.2,31.93,30.99,31.1,27.1967,3815502
2009-03-03,31.46,31.62,30.48,30.56,26.7246,2916279
2009-03-04,30.97,31.185,30.51,30.77,26.9083,3680676
2009-03-05,30.15,30.33,29.51,30.1,26.3222,4389617
2009-03-06,30.33,30.45,29.27,29.9,26.2694,3080386
2009-03-09,29.6,30.24,29.41,29.85,26.2257,3155641
2009-03-10,30.36,31.13,29.62,30.85,27.1041,3695496
2009-03-11,30.88,31.3,30.7,31.1,27.3239,4420101
2009-03-12,30.92,31.78,30.45,31.69,27.8423,3038346
2009-03-13,31.87,32.36,31.45,32.23,28.3164,2333260
2009-03-16,32.44,32.91,32.08,32.14,28.2377,3037600
2009-03-17,32.08,33,31.83,33,28.993,2927143
2009-03-18,32.66,33.29,32.42,33.08,29.0631,3140956
2009-03-19,33.54,33.64,32.74,32.8,28.8177,2663700
2009-03-20,32.89,33.13,32.28,32.32,28.3957,2203974
2009-03-23,32.92,33.99,31.6,33.96,29.8365,2231633
2009-03-24,33.62,34.42,33.52,33.77,29.6699,2481702
2009-03-25,34.05,34.52,33.58,34.34,30.1706,3169036
2009-03-26,34.73,35.25,34.46,35.13,30.8642,2483698
2009-03-27,34.85,34.98,34,34.25,30.0915,1662215
2009-03-30,33.87,34.23,33.29,34.18,30.03,1947575
2009-03-31,34.59,35.12,33.99,34.73,30.5132,2218042
2009-04-01,34.33,35.03,34.11,34.81,30.5835,2583357
2009-04-02,35.4,35.91,35.04,35.33,31.0406,2764157
2009-04-03,35.36,35.82,35.01,35.82,31.4706,2077210
