Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,27.03,27.83,26.37,27.65,24.1703,839924
2009-01-05,27.47,27.83,27.27,27.72,24.2315,1126883
2009-01-06,27.99,28.43,27.73,28.33,24.7646,1396290
2009-01-07,28.01,28.27,27.39,27.6,24.1264,1186951
2009-01-08,26.56,28.05,26.56,28,24.4762,790712
2009-01-09,28,28.24,27.02,27.08,23.6719,999056
2009-01-12,27.07,27.2,26.66,26.81,23.436,924203
2009-01-13,26.82,27.05,26.11,26.38,23.0602,1454713
2009-01-14,25.965,26.14,25.12,25.36,22.1685,1563418
2009-01-15,25.46,25.55,24.45,25.36,22.1685,2417162
2009-01-16,25.79,26.09,24.66,25.32,22.1337,1846601
2009-01-20,25.13,25.67,24.78,24.82,21.6963,2932496
2009-01-21,25.56,25.69,24.51,25.25,22.0725,1865876
2009-01-22,24.52,25.14,24.25,24.71,21.6002,1617690
2009-01-23,23.68,24.45,23.67,24.11,21.0757,1569434
2009-01-26,24.2,24.93,23.95,24.49,21.4081,1501625
2009-01-27,24.7,25.1,24.55,24.99,21.8445,1381943
2009-01-28,25.53,26.37,25.34,26.16,22.8676,1775289
2009-01-29,26.06,26.06,25.3,25.33,22.1422,1297351
2009-01-30,25.44,25.61,24.62,24.72,21.6085,1081948
2009-02-02,24.38,24.71,24.01,24.67,21.5651,1603555
2009-02-03,24.7,25.15,24.33,25.01,21.8625,1382397
2009-02-04,25.18,25.52,24.8,25.18,22.0113,1245565
2009-02-05,24.6,27.3,24.42,25.27,22.09,3193596
2009-02-06,25.24,25.33,24.15,24.55,21.4601,2950710
2009-02-09,24.5,25.29,24.37,24.59,21.4954,1663233
2009-02-10,24.37,24.76,23.45,23.57,20.6034,1956967
2009-02-11,23.67,23.86,23.38,23.63,20.656,1137794
2009-02-12,23.25,23.76,23.0056,23.7,20.7173,1663713
2009-02-13,23.55,23.78,23.18,23.2,20.28,1297395
2009-02-17,22.29,23.3,22.14,22.44,19.6162,1592712
2009-02-18,22.58,22.79,22.18,22.25,19.4846,1300664
2009-02-19,22.5,22.87,22,22.07,19.3268,1411489
2009-02-20,21.77,21.8,21.01,21.33,18.6791,2706593
2009-02-23,21.6,21.82,20.86,20.91,18.3115,1879256
2009-02-24,21.1,21.98,20.91,21.9,19.1781,2078149
2009-02-25,21.66,22.55,21.39,22.1,19.3533,2677883
2009-02-26,22.43,22.43,21.64,21.79,19.0817,2352721
2009-02-27,21.47,22.02,21.31,21.5,18.8275,2142142
2009-03-02,21.03,21.38,20.58,20.61,18.0483,2452205
2009-03-03,20.77,21.31,20.76,21.23,18.5914,3528910
2009-03-04,21.41,22.34,21.39,22.09,19.3442,2491743
2009-03-05,21.4,21.94,20.51,20.71,18.1359,2350291
2009-03-06,20.88,21.04,19.79,20.21,17.6981,2437324
2009-03-09,20.02,20.28,19.63,19.79,17.3304,1311557
2009-03-10,20.22,20.77,19.8,20.75,18.1713,2071618
2009-03-11,20.74,21.09,20.32,20.7,18.127,1770691
2009-03-12,20.7,21.22,20.28,21.15,18.5212,1982652
2009-03-13,21.31,21.45,20.88,21.44,18.7751,1809241
2009-03-16,21.74,21.82,21.28,21.33,18.6791,1980350
2009-03-17,21.2,21.92,21.2,21.92,19.1954,1151872
2009-03-18,21.58,22.66,21.56,22.45,19.6596,1939176
2009-03-19,22.66,22.85,22.31,22.57,19.7645,2568603
2009-03-20,22.66,23.14,22.3,22.34,19.5632,1767155
2009-03-23,22.88,24.16,22.61,24.11,21.1134,2267254
2009-03-24,23.55,24.01,23.5,23.58,20.6493,1446813
2009-03-25,23.73,24.45,23.38,23.99,21.0081,1573612
2009-03-26,24.22,25.2,24.13,25.03,21.9186,1873368
2009-03-27,24.71,24.96,24.58,24.68,21.6123,1422713
2009-03-30,24.32,24.44,23.9,24.07,21.0782,1571235
2009-03-31,24.21,24.77,24.04,24.45,21.4114,1886294
2009-04-01,24.25,25.17,24,25.01,21.9016,2029124
2009-04-02,25.27,26.51,24.99,26.12,22.8733,2457870
2009-04-03,26.17,26.62,25.97,26.62,23.3114,1737825
2009-04-06,26.3,26.66,26.08,26.43,23.1452,1428884
2009-04-07,25.97,26.27,25.31,25.43,22.2692,1505542
2009-04-08,25.59,25.88,25.16,25.82,22.6109,1144975
2009-04-09,27.09,27.09,26.02,26.9,23.5563,2293904
2009-04-13,26.64,27.51,26.49,27.41,24.003,1461168
2009-04-14,27.03,27.33,26.72,26.75,23.4249,1493291
2009-04-15,26.6,27,26.29,26.99,23.635,1136312
2009-04-16,27.15,27.72,26.72,27.61,24.1782,1388443
2009-04-17,27.76,27.9,27.06,27.29,23.898,1944314
2009-04-20,26.78,27.25,26,26.17,22.9174,2595289
2009-04-21,25.98,26.56,25.98,26.53,23.2328,2268777
2009-04-22,26.23,26.94,26.12,26.36,23.0835,2944676
2009-04-23,28.04,28.87,27,28.48,24.9403,3107383
2009-04-24,28.8,29.03,28.28,28.81,25.2291,2527363
2009-04-27,28.56,29.21,28.45,28.95,25.3521,2228210
2009-04-28,28.68,28.8,28.39,28.57,25.0191,1457132
2009-04-29,28.74,29.18,28.46,29.07,25.4568,1362167
2009-04-30,29.36,29.62,29.07,29.16,25.5356,1906332
2009-05-01,29.19,29.24,28.73,28.9,25.3081,1339215
2009-05-04,29.24,29.24,28.33,28.95,25.3521,2413482
2009-05-05,28.76,29.06,28.49,28.95,25.3521,1125633
2009-05-06,28.9,29.09,28.39,28.94,25.3429,1764461
2009-05-07,29.25,29.28,28.31,28.54,24.9926,1418352
2009-05-08,28.94,29.46,28.51,29.07,25.4568,2091831
2009-05-11,28.42,28.96,28.42,28.6,25.0451,1493235
2009-05-12,28.81,28.87,28.12,28.44,24.9049,1294893
2009-05-13,27.96,28.125,27.33,27.41,24.003,1378674
2009-05-14,27.41,27.78,27.38,27.64,24.2047,1291490
2009-05-15,27.53,28,27.16,27.57,24.143,1167116
2009-05-18,27.78,28.48,27.51,28.43,24.8963,1541204
2009-05-19,28.35,28.98,28,28.74,25.168,1445391
2009-05-20,28.88,29.36,28.65,28.7,25.1327,1329816
2009-05-21,28.17,28.39,27.57,27.86,24.4311,792790
2009-05-22,27.89,27.93,27.3,27.47,24.0893,1694183
2009-05-26,27.23,28.37,27.03,28.28,24.7996,1226491
2009-05-27,28.17,28.37,27.52,27.52,24.1335,1370985
2009-05-28,27.77,27.87,26.56,26.73,23.4405,3308362
2009-05-29,26.75,27.22,26.54,27.22,23.8702,1663471
2009-06-01,27.66,27.7,27.21,27.3,23.9401,2703062
2009-06-02,27.28,27.59,27.28,27.31,23.949,1135168
2009-06-03,27.13,27.23,26.84,27.06,23.7295,1068485
2009-06-04,27.21,27.25,26.79,26.96,23.6422,1181202
2009-06-05,27.08,27.18,26.09,26.13,22.9142,2585501
2009-06-08,26.03,26.86,25.86,26.65,23.37,1353399
2009-06-09,26.69,27.17,26.6,26.98,23.6596,1019925
2009-06-10,27.25,27.46,27.08,27.42,24.0452,1616482
2009-06-11,27.43,27.77,27.04,27.3,23.9401,2105362
2009-06-12,27.07,27.29,26.73,27.29,23.9317,1170331
2009-06-15,26.99,27.04,26.36,26.41,23.1594,1074388
2009-06-16,26.55,26.7,26.13,26.14,22.9231,985699
2009-06-17,26.08,26.54,25.96,26.27,23.037,1174955
2009-06-18,26.28,26.34,25.79,26.17,22.9492,1321277
2009-06-19,26.28,26.4,25.97,26.11,22.8968,1371537
2009-06-22,25.75,25.99,25.33,25.36,22.2392,1642708
2009-06-23,25.39,25.6,25.24,25.54,22.3967,1346811
2009-06-24,25.65,26.13,25.58,25.75,22.5811,1002324
2009-06-25,25.71,26.28,25.48,26.28,23.0456,1239003
2009-06-26,26.14,26.19,25.87,26.07,22.8618,2036299
2009-06-29,26.32,26.42,25.95,26.28,23.0456,729680
2009-06-30,26.18,26.32,25.89,26.1,22.888,760770
2009-07-01,26.05,26.53,26,26.41,23.1594,716680
2009-07-02,26.03,26.06,25.42,25.42,22.2918,1258461
2009-07-06,25.4,25.82,25.28,25.82,22.6424,1006630
2009-07-07,25.73,25.75,25.15,25.17,22.0725,1191056
2009-07-08,25.2,25.56,25.13,25.3,22.1861,1533427
2009-07-09,25.44,25.58,25.23,25.39,22.2652,1346068
2009-07-10,25.25,25.52,25.19,25.36,22.2392,1171172
2009-07-13,25.48,25.59,24.89,25.59,22.4407,1651007
2009-07-14,25.5,25.56,25.27,25.56,22.4146,1309184
2009-07-15,25.67,25.85,25.54,25.8,22.6248,1976602
2009-07-16,25.88,26.04,25.44,25.97,22.7738,2310901
2009-07-17,25.71,25.9,25.45,25.71,22.546,1565194
2009-07-20,25.83,26.54,25.7,26.46,23.2039,1286008
2009-07-21,26.72,26.92,26.13,26.5,23.2385,1267863
2009-07-22,26.32,26.96,26.32,26.8,23.5019,1157917
2009-07-23,26.35,26.35,24.39,26.11,22.8968,4962361
