Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,32.03,33.21,31.75,33.03,23.2608,2048200
2009-01-05,32.8,33.56,32.62,33.43,23.5425,2602700
2009-01-06,33.61,34.17,33.05,33.4,23.5214,2286900
2009-01-07,33.04,33.26,32.42,32.61,22.965,1754000
2009-01-08,32.7,32.73,32.25,32.55,22.9228,3385500
2009-01-09,32.7,32.76,31.72,31.81,22.4016,2396200
2009-01-12,31.89,32.14,31.76,31.93,22.4861,1737900
2009-01-13,31.66,32.17,30.83,31.15,21.9368,2061800
2009-01-14,31.08,31.48,30.31,31.41,22.1199,3306900
2009-01-15,31.53,32.28,30.99,32.21,22.6833,3622200
2009-01-16,32.46,33.37,32.46,33.23,23.4016,3701000
2009-01-20,32.71,33.26,31.82,31.88,22.4509,3830900
2009-01-21,32.43,32.58,31.55,32.41,22.8242,2468500
2009-01-22,32.05,32.74,31.57,31.91,22.472,3522400
2009-01-23,31.27,32.33,31.04,32.21,22.6833,2760700
2009-01-26,32.27,33.64,32.19,33.47,23.5707,2796100
2009-01-27,33.7,33.9,33.06,33.44,23.5495,2818500
2009-01-28,33.89,33.9,33.31,33.74,23.7608,2091300
2009-01-29,33.38,33.84,32.75,32.94,23.1974,1457800
2009-01-30,32.81,33.26,32.36,32.57,22.9368,2310300
2009-02-02,32.1,33.13,32,32.97,23.2185,2351600
2009-02-03,33.08,33.16,31.9,32.56,22.9298,3994300
2009-02-04,31.86,33.04,31.86,32.94,23.1974,3180000
2009-02-05,32.9,32.99,32.05,32.74,23.0566,3377000
2009-02-06,32.61,33.57,32.48,33.28,23.4368,2793200
2009-02-09,33.24,33.48,32.81,33.04,23.2678,2567000
2009-02-10,32.81,33.04,31.31,31.55,22.2185,2631900
2009-02-11,31.67,32.5,31.07,31.64,22.2819,3417800
2009-02-12,31.18,31.4,30.67,31.32,22.0566,2589800
2009-02-13,31.15,31.75,31.05,31.2,21.972,2011300
2009-02-17,30.38,30.51,29.2,29.2,20.5636,3275800
2009-02-18,29.38,29.4,28.37,28.57,20.1199,4276700
2009-02-19,28.99,29.12,28.19,28.42,20.0143,3747900
2009-02-20,28.01,28.35,27.19,27.77,19.5565,2592600
2009-02-23,27.77,28.2,26.95,27.12,19.0988,2600600
2009-02-24,27.42,27.9,27.05,27.82,19.5917,3091200
2009-02-25,27.73,28.11,27.44,27.73,19.5284,3763100
2009-02-26,27.77,28.45,27.37,27.46,19.3382,2601300
2009-02-27,27.12,27.7,26.56,27.22,19.1692,4051200
2009-03-02,26.66,27.36,25.32,25.4,17.8875,6059900
2009-03-03,26.3,26.45,24.17,24.84,17.4931,5945900
2009-03-04,24.66,25.23,24.41,24.8,17.465,5703900
2009-03-05,24.64,24.64,23.66,24.14,17.0002,4025400
2009-03-06,24.34,24.76,23.09,23.73,16.7114,6167500
2009-03-09,23.47,24.26,23.31,23.81,16.7678,4530600
2009-03-10,24.3,25.17,23.98,25.05,17.641,6149200
2009-03-11,25.21,25.42,24.87,25.21,17.7537,5233900
2009-03-12,25.21,26.82,25.02,26.73,18.8241,7860100
2009-03-13,27.01,27.81,26.91,27.59,19.4298,7256600
2009-03-16,28.78,29.67,28.52,28.77,20.2608,6535600
2009-03-17,28.86,28.86,27.85,28.29,19.9227,6457400
2009-03-18,28.21,28.67,27.38,28.4,20.0002,7656400
2009-03-19,28.76,29.16,28.4,29.08,20.4791,4295700
2009-03-20,29.21,29.56,28.34,28.53,20.0917,5999900
2009-03-23,29.08,29.92,28.76,29.87,21.0354,3753900
2009-03-24,29.57,29.71,28.94,29.11,20.5002,2394200
2009-03-25,29.39,29.51,28.33,28.73,20.2326,3411800
2009-03-26,28.99,29.55,28.56,29.49,20.7678,4213200
2009-03-27,28.73,29.1,28.51,28.94,20.597,2968100
2009-03-30,28.31,28.45,27.69,28.24,20.0988,5215400
2009-03-31,28.43,29.18,28.37,28.81,20.5045,4361900
2009-04-01,28.49,29.27,28.42,28.9,20.5685,4298400
2009-04-02,29.51,30.31,28.95,29.86,21.2518,4109600
2009-04-03,29.95,30.31,29.23,29.52,21.0098,3172800
2009-04-06,29.31,29.77,28.82,29,20.6397,2591200
2009-04-07,28.51,28.97,28.31,28.51,20.291,2334300
2009-04-08,28.57,28.88,28.29,28.83,20.5187,1889700
2009-04-09,29.53,29.56,28.4,28.82,20.5116,2241200
2009-04-13,28.32,28.39,27.85,28.06,19.9707,2343000
2009-04-14,28,28.02,27.55,27.65,19.6789,2403100
2009-04-15,27.64,28.16,27.61,28.13,20.0205,3619500
2009-04-16,28.16,28.37,27.98,28.21,20.0774,3460700
2009-04-17,28.22,28.42,27.94,28.07,19.9778,4475900
2009-04-20,27.69,28.1,27.66,27.81,19.7928,2555100
2009-04-21,27.84,28.28,27.62,28.12,20.0134,2515400
2009-04-22,28,28.14,27.61,27.73,19.7358,2992800
2009-04-23,27.63,28.04,27.5,28,19.928,2242700
2009-04-24,27.97,28.42,27.87,28.16,20.0419,3461300
2009-04-27,27.98,28.58,27.76,28.23,20.0917,2108900
2009-04-28,28.13,28.5,27.8,28.2,20.0703,1757300
2009-04-29,28.23,28.81,28.23,28.64,20.3835,1519100
2009-04-30,28.88,29.16,28.22,28.51,20.291,2620400
2009-05-01,28.58,29.32,28.56,29.3,20.8532,2428600
2009-05-04,29.28,29.64,29.18,29.61,21.0738,2837200
2009-05-05,29.43,29.92,29.29,29.68,21.1237,2605300
2009-05-06,30,30.18,29.57,29.81,21.2162,2710800
