Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,31.84,33.07,31.4,33.04,12.5245,1050183
2009-01-05,33.1,33.82,32.23,33.03,12.5209,1153032
2009-01-06,33.38,34.15,32.53,33.68,12.7671,1345572
2009-01-07,33.42,33.57,32.02,32.16,12.1908,1412612
2009-01-08,32.16,33.26,31.69,33.01,12.5133,1404871
2009-01-09,32.89,33.28,31.85,32.22,12.2138,1053513
2009-01-12,31.98,32.18,30.7,31.08,11.7816,1001781
2009-01-13,30.81,31.73,30.71,30.98,11.7437,1315092
2009-01-14,30.44,30.46,29.22,29.47,11.1714,1087063
2009-01-15,29.29,30.22,28.32,29.93,11.3456,1250817
2009-01-16,30.25,30.8,29.48,30.2,11.448,1269733
2009-01-20,30.18,30.18,27.54,27.59,10.4587,1401556
2009-01-21,28.16,29.32,27.71,29.32,11.1143,1221126
2009-01-22,28.67,29.12,27.89,28.58,10.8339,1045408
2009-01-23,27.66,28.64,27.26,28.31,10.7315,1452986
2009-01-26,28.47,29.11,27.32,27.64,10.4776,1241017
2009-01-27,27.71,27.88,26.7,27.16,10.2956,1371821
2009-01-28,27.67,29.03,27.46,28.74,10.8945,1137172
2009-01-29,28.33,28.49,27.26,27.34,10.3638,995767
2009-01-30,25.48,26.79,24.76,25.95,9.8371,3340231
2009-02-02,25.56,26.18,24.97,25.31,9.5944,1572933
2009-02-03,25.73,25.99,25.04,25.42,9.6361,1232936
2009-02-04,25.88,25.88,24.84,25.01,9.4806,1206613
2009-02-05,24.9,26.02,24.45,25.72,9.7497,986723
2009-02-06,25.81,26.56,25.69,26.35,9.9887,802567
2009-02-09,26.17,26.63,25.81,26.16,9.9167,1130650
2009-02-10,25.97,26.28,24.56,24.81,9.4048,1436058
2009-02-11,24.98,25.44,24.56,24.94,9.4541,1022107
2009-02-12,24.56,24.9,23.88,24.88,9.4312,1017920
2009-02-13,25.03,25.53,24.69,24.79,9.397,965724
2009-02-17,24.24,24.24,23.44,23.61,8.95,1878259
2009-02-18,23.68,24.1,23.31,23.65,8.9652,1235847
2009-02-19,24.02,24.27,23.27,23.48,8.9006,1154425
2009-02-20,22.8,23.64,22.3,22.89,8.6769,1443310
2009-02-23,23.42,23.42,21.38,21.45,8.1313,1283915
2009-02-24,21.56,22.76,21.219,22.67,8.5936,1395256
2009-02-25,22.58,22.71,21.41,21.63,8.1993,1687971
2009-02-26,21.76,22.46,21.21,21.3,8.0743,1221316
2009-02-27,20.9,21.17,20.45,20.54,7.7862,1721410
2009-03-02,20.29,20.66,19,19.1,7.2403,2145024
2009-03-03,19.42,19.79,18.8,18.91,7.1683,1734914
2009-03-04,19.1,19.84,19.1,19.43,7.3654,1891949
2009-03-05,18.9,19.14,17.84,18,6.8233,1408634
2009-03-06,18.27,18.72,17.76,18.26,6.922,2188555
