Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,36.72,38.17,36.49,37.95,26.95,4073400
2009-01-05,37.77,38.4,36.94,37.31,26.4955,4111100
2009-01-06,37.64,39.48,37.45,39.1,27.7666,6794200
2009-01-07,38.05,38.4,36.46,36.76,26.1049,4957300
2009-01-08,36.29,37.16,36,36.99,26.2682,4009100
2009-01-09,37.14,37.5,35.56,35.7,25.3521,4557600
2009-01-12,35.67,35.67,34.39,34.71,24.6491,3846300
2009-01-13,34.61,35,33.82,34.34,24.3863,4794000
2009-01-14,33.7,33.78,32.56,33.13,23.5271,5014700
2009-01-15,33.14,33.98,31.85,33.62,23.875,5287300
2009-01-16,34.39,34.8,32.5,33.65,23.8963,4638500
2009-01-20,33.47,33.86,32.13,32.25,22.9021,5165600
2009-01-21,32.83,34,32.25,33.8,24.0029,6754500
2009-01-22,33.3,33.58,32.13,32.95,23.3992,6349700
2009-01-23,32.52,33.42,32,32.79,23.2856,4811800
2009-01-26,32.76,34.13,32.31,32.81,23.2998,4597500
2009-01-27,33.2,34.04,33.14,33.72,23.946,4800700
2009-01-28,34.35,35.5,34.35,35.11,24.9331,4926900
2009-01-29,34.71,34.86,33.38,33.69,23.9247,5247400
2009-01-30,33.75,34.27,32.41,32.7,23.2217,7626300
2009-02-02,31.37,32,30.51,31.7,22.5116,11030200
2009-02-03,33.76,34.17,32.49,33.6,23.8608,9845200
2009-02-04,33.66,34.14,32.28,32.37,22.9874,7359300
2009-02-05,32.04,33.59,32,33.27,23.6265,5781300
2009-02-06,33.13,34,33.13,33.43,23.7401,7131600
2009-02-09,33.4,35.46,33,34.97,24.8337,8864100
2009-02-10,34.68,35.11,32.53,32.79,23.2856,7131000
2009-02-11,32.95,33.95,32.21,32.65,23.4219,4502500
2009-02-12,31.96,32.59,31.17,32.48,23.3,5063300
2009-02-13,32.3,32.8,31.75,32.02,22.97,4849300
2009-02-17,31.18,31.18,29.84,29.87,21.4276,7735500
2009-02-18,30.05,30.27,29.45,29.9,21.4492,7679500
2009-02-19,30.28,30.75,29.3,29.38,21.0761,5859900
2009-02-20,28.76,29.64,28.51,29.2,20.947,7907000
2009-02-23,29.67,29.9,28.05,28.07,20.1364,7230400
2009-02-24,28.42,29.14,27.94,28.99,20.7964,6658100
2009-02-25,28.87,28.87,27.58,28.02,20.1005,8402400
2009-02-26,28.32,28.57,27.34,27.42,19.6701,7480000
2009-02-27,26.97,27.49,26.1,26.75,19.1895,7572000
2009-03-02,26.13,26.37,25.12,25.22,18.0919,8701100
2009-03-03,25.57,25.83,25.17,25.25,18.1134,8761600
2009-03-04,25.77,26.77,25.38,26.47,18.9886,9965000
2009-03-05,25.86,25.86,24.39,25.23,18.0991,10393500
2009-03-06,25.41,26.15,24.48,25.17,18.056,7289000
2009-03-09,24.9,25.61,24.65,24.87,17.8408,5831500
2009-03-10,25.34,26.95,25.34,26.85,19.2612,7441200
2009-03-11,27.13,27.77,26.81,27.39,19.6486,6587800
2009-03-12,27.38,27.51,26.72,27.43,19.6773,7891900
2009-03-13,27.64,27.64,26.32,26.82,19.2397,6647900
2009-03-16,27.09,27.8,26.79,26.85,19.2612,7547800
2009-03-17,26.93,27.04,26,27.04,19.3975,8386100
2009-03-18,26.89,28.21,26.36,27.75,19.9068,5950200
2009-03-19,27.98,28.21,27.44,27.57,19.7777,6619700
2009-03-20,27.78,28,26.71,26.8,19.2253,8055400
2009-03-23,27.5,28.96,27.23,28.96,20.7748,5198800
2009-03-24,28.51,28.85,27.83,28.48,20.4305,7231600
2009-03-25,28.12,29.09,27.62,28.45,20.409,7937400
2009-03-26,28.81,29.62,28.52,29.57,21.2124,7390100
2009-03-27,29.35,29.37,28.8,28.96,20.7748,4964300
2009-03-30,28,28.51,27.35,27.93,20.036,6825300
2009-03-31,28.21,29.43,27.9,28.58,20.5022,8302000
2009-04-01,28.19,29.71,28,29.53,21.1837,6783300
2009-04-02,30.33,31.93,30.33,31.19,22.3746,7035700
2009-04-03,31.26,32.15,31.15,31.96,22.9269,5696300
2009-04-06,31.54,31.64,30.03,30.89,22.1594,5936900
2009-04-07,32.25,32.4,30.13,30.89,22.1594,12577300
2009-04-08,30.97,31.6,29.76,30.21,21.6715,6753500
2009-04-09,31.22,32.22,31.18,32,22.9556,8004800
2009-04-13,31.75,31.94,30.92,31.6,22.6687,4852800
2009-04-14,31.59,32.35,31,31.4,22.5252,5749200
2009-04-15,31.56,32.14,31.33,31.89,22.8767,3821100
2009-04-16,32.14,33.17,31.81,33.01,23.6802,5622900
2009-04-17,32.8,33.27,32.42,33.04,23.7017,5804600
2009-04-20,32.51,32.74,31.49,31.66,22.7117,5561400
2009-04-21,31.45,32.69,31.25,32.46,23.2856,4858800
2009-04-22,32.2,33.69,32,32.75,23.4936,5002000
2009-04-23,32.75,33.07,31.9,32.76,23.5008,4160100
2009-04-24,32.85,34,32.72,33.6,24.1034,5084400
2009-04-27,33.46,33.76,32.7,33.09,23.7376,4177600
2009-04-28,32.72,32.96,32,32.75,23.4936,4615400
2009-04-29,32.53,33.85,32,33.61,24.1106,5062000
2009-04-30,33.9,34.98,33.77,34.04,24.419,5755500
2009-05-01,34.86,36.19,34.09,35.58,25.5238,7958400
2009-05-04,35.8,37.35,35.5,37.35,26.7935,6955800
2009-05-05,36.85,37.35,36.43,36.79,26.3918,5842200
2009-05-06,37.35,37.35,36,36.36,26.0833,5423000
2009-05-07,36.79,36.94,34.94,35.46,25.4377,7307700
2009-05-08,35.88,36.63,35.46,36.46,26.1551,4593200
2009-05-11,35.82,35.87,35.18,35.32,25.3373,4188200
2009-05-12,35.6,35.79,34.94,35.44,25.4234,4928000
2009-05-13,34.36,34.46,33.51,33.63,24.3517,5765900
2009-05-14,33.33,34.33,33.33,33.93,24.5689,3598500
2009-05-15,33.91,34.32,33.18,33.75,24.4386,6764800
2009-05-18,34.1,34.87,33.88,34.81,25.2061,3721500
2009-05-19,34.49,34.5,33.67,34.11,24.6992,5991100
2009-05-20,34.44,34.5,33.25,33.31,24.12,9193900
2009-05-21,33.01,33.01,31.44,31.79,23.0193,9249600
2009-05-22,31.64,32.75,31.64,32.18,23.3017,5261200
2009-05-26,32.17,33.5,31.7,33.25,24.0765,4801900
2009-05-27,33.31,33.32,32.2,32.26,23.3597,5060800
2009-05-28,32.69,32.69,31.71,32.22,23.3307,4678600
2009-05-29,32.46,32.68,31.73,32.09,23.2366,6643300
2009-06-01,32.67,34.12,32.46,33.84,24.5037,6460900
2009-06-02,33.96,34.9,33.78,34.68,25.112,5584000
2009-06-03,34.57,34.57,33.76,34.21,24.7717,5616800
2009-06-04,34.41,34.68,34,34.57,25.0323,4439300
2009-06-05,34.86,35.57,34.75,35.2,25.4885,6192900
2009-06-08,35.1,35.43,34.42,35.15,25.4523,5730200
2009-06-09,35.21,35.44,34.77,35.11,25.4234,4221500
2009-06-10,35.4,35.6,34.09,34.9,25.2713,5134500
2009-06-11,34.91,35.54,34.83,34.94,25.3003,5577900
2009-06-12,34.8,35.08,34.33,35.07,25.3944,3594200
2009-06-15,34.71,34.75,33.82,34.07,24.6703,5203100
2009-06-16,34.22,34.32,33.24,33.36,24.1562,4577200
2009-06-17,33.26,33.52,32.91,33.07,23.9462,4863700
2009-06-18,33.2,33.3,32.56,33,23.8955,4748100
2009-06-19,33.24,33.43,32.67,32.76,23.7217,6330500
2009-06-22,32.64,32.64,31.67,31.75,22.9904,5408600
2009-06-23,31.8,31.97,31.33,31.67,22.9324,3830700
2009-06-24,31.89,32.99,31.89,32.18,23.3017,5590000
2009-06-25,32.09,33.42,32.02,32.95,23.8593,6535300
2009-06-26,32.88,33.25,32.75,33.09,23.9607,4627100
2009-06-29,33.31,33.53,32.91,33.27,24.091,3188800
2009-06-30,33.05,33.41,32.3,32.4,23.461,5898800
2009-07-01,32.56,33.35,32.52,32.88,23.8086,3553500
2009-07-02,32.4,32.74,31.75,31.79,23.0193,3916400
2009-07-06,31.59,31.84,31.11,31.44,22.7659,4200400
2009-07-07,31.31,31.47,30.61,30.63,22.1794,4303000
2009-07-08,30.71,31.1,30.34,30.82,22.3169,4285800
2009-07-09,31.09,31.27,30.8,30.97,22.4256,3834000
2009-07-10,30.73,31.1,30.57,31,22.4473,4505400
2009-07-13,31.14,31.74,30.77,31.71,22.9614,3852600
2009-07-14,31.82,31.98,31.41,31.87,23.0773,2811900
2009-07-15,32.34,33.21,32,33.2,24.0403,5064800
2009-07-16,33.12,34.55,32.9,34.44,24.9382,6322800
2009-07-17,34.24,34.33,33.73,33.97,24.5979,4317000
2009-07-20,34.09,34.97,34.08,34.95,25.3075,5038400
2009-07-21,35.24,35.74,34.85,35.12,25.4306,5525400
2009-07-22,34.97,35.47,34.85,35.29,25.5537,4274600
2009-07-23,35.38,36.55,35.28,36.49,26.4226,5747400
2009-07-24,36.19,36.85,36.16,36.8,26.6471,4756500
2009-07-27,36.74,37.06,36.5,36.89,26.7123,3676800
2009-07-28,36.72,36.87,36.09,36.42,26.3719,6677200
2009-07-29,36.25,36.26,35.66,36.03,26.0895,4944900
2009-07-30,36.68,37.57,36.09,37.05,26.8281,6247300
2009-07-31,37.06,37.31,36.34,36.38,26.343,7457100
2009-08-03,36.54,36.7,35.52,36.42,26.3719,9002300
2009-08-04,35,36.36,34.38,36.12,26.1547,13500300
2009-08-05,35.65,35.9,34.59,34.83,25.2206,8923400
2009-08-06,34.79,35.04,34.65,34.76,25.1699,6851100
2009-08-07,35.18,35.83,35.01,35.64,25.8071,5342900
2009-08-10,35.54,35.84,35.29,35.79,25.9157,3980400
2009-08-11,35.83,36.15,35.4,35.97,26.0461,6017900
2009-08-12,35.79,36.42,35.58,36.01,26.3165,6554700
2009-08-13,36.27,36.32,35.79,35.91,26.2434,5087900
2009-08-14,35.86,35.9,34.88,35.19,25.7172,5847400
2009-08-17,34.68,34.9,33.93,33.99,24.8402,4829500
2009-08-18,33.72,34.8,33.72,34.72,25.3737,4174900
2009-08-19,34.25,34.97,34.24,34.58,25.2714,4760100
2009-08-20,34.74,35.15,34.24,35.07,25.6295,5271800
2009-08-21,35.34,36.2,35.09,36.02,26.3238,6069600
2009-08-24,36.13,36.62,36.06,36.5,26.6746,5486400
2009-08-25,36.53,37.71,36.46,37.57,27.4566,8747200
2009-08-26,37.57,37.64,37.04,37.56,27.4492,6884700
2009-08-27,37.36,37.65,37.02,37.43,27.3542,4235000
2009-08-28,37.65,37.8,36.79,37.2,27.1862,3910600
2009-08-31,36.82,36.96,36.5,36.87,26.945,5695100
2009-09-01,36.79,37.24,36.02,36.12,26.3969,7292700
2009-09-02,36.09,36.55,35.88,36.23,26.4773,4695700
2009-09-03,36.43,36.81,36.27,36.75,26.8573,4383000
2009-09-04,36.75,37.5,36.6,37.41,27.3396,3626200
2009-09-08,37.76,38.13,37.6,38.03,27.7927,4953000
2009-09-09,38.11,39,38.08,38.78,28.3408,6087700
2009-09-10,38.7,39.65,38.47,39.58,28.9255,5840000
2009-09-11,39.63,39.98,39.25,39.38,28.7793,4426000
2009-09-14,38.99,39.76,38.85,39.58,28.9255,3566600
2009-09-15,39.75,40.29,39.53,40.01,29.2397,4739200
2009-09-16,40.39,41.44,40.14,41.17,30.0875,6576000
2009-09-17,41.1,41.6,40.59,41.24,30.1386,5229200
2009-09-18,41.39,41.65,41.03,41.12,30.0509,5268500
2009-09-21,40.65,40.8,40.04,40.22,29.3932,4988800
2009-09-22,40.29,40.75,40.23,40.58,29.6563,3948800
2009-09-23,40.59,40.76,39.97,40.06,29.2763,5220900
2009-09-24,40.2,40.59,39.22,39.38,28.7793,5745900
2009-09-25,39.07,39.29,38.67,38.92,28.4431,4962400
2009-09-28,38.79,39.86,38.7,39.61,28.9474,3698000
2009-09-29,39.82,40.33,39.64,40.12,29.3201,5018000
2009-09-30,40.04,40.78,39.29,40.08,29.2909,6502800
2009-10-01,40.05,40.05,38.65,39.09,28.5674,6537700
2009-10-02,38.75,38.91,38.21,38.31,27.9974,5602900
2009-10-05,38.44,38.82,38.26,38.68,28.2678,3989400
2009-10-06,38.98,40.08,38.83,39.22,28.6624,6968500
