Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,32.55,33.51,32.39,33.24,10.1798,566446
2009-01-05,33.41,34.23,33.41,33.76,10.3393,623674
2009-01-06,34.31,34.39,33.37,33.5,10.2595,591784
2009-01-07,33.56,33.85,32.65,32.91,10.079,480785
2009-01-08,33.08,34.03,32.65,34.03,10.4219,521412
2009-01-09,33.71,33.75,33.01,33.22,10.1738,411997
2009-01-12,33.05,33.13,32.12,32.3,9.8921,342133
2009-01-13,32.3,32.75,31.86,32.59,9.9809,605335
2009-01-14,31.93,32.3,31.66,31.91,9.7727,467795
2009-01-15,31.9,32.41,31.25,32.21,9.8647,705591
2009-01-16,32.43,32.56,31.71,32.42,9.9289,783142
2009-01-20,32.6,32.63,31.2801,31.46,9.6349,943556
2009-01-21,31.7,32,30.69,31.96,9.7878,804582
2009-01-22,31.34,31.74,30.6918,31.41,9.6194,852417
2009-01-23,30.77,32.08,30.73,31.86,9.7574,659703
2009-01-26,32.28,32.79,32.03,32.49,9.9504,481483
2009-01-27,32.48,32.8,32.09,32.59,9.9809,508615
2009-01-28,33.32,33.74,32.9832,33.33,10.2076,478305
2009-01-29,33.39,33.91,33.12,33.31,10.2014,693617
2009-01-30,33.24,33.28,32.12,32.8,10.0452,774739
2009-02-02,32.37,32.8,32.03,32.63,9.9933,503846
2009-02-03,32.51,33.34,32.51,33.24,10.1798,983081
2009-02-04,33.18,34.07,33.07,33.58,10.2841,793942
2009-02-05,33.52,33.98,33.23,33.65,10.3055,566590
2009-02-06,33.25,34.65,32.96,34.35,10.5199,844940
2009-02-09,34.67,35.27,34.49,34.82,10.6639,590979
2009-02-10,34.61,34.96,33.4427,33.74,10.3332,647977
2009-02-11,33.28,33.81,33.03,33.39,10.3393,1002012
2009-02-12,33.18,33.49,32.69,33.49,10.3701,662116
2009-02-13,34.5,34.5,33.26,33.55,10.3888,611805
2009-02-17,33,33,31.86,32.13,9.9492,724161
2009-02-18,32.3,32.3,31.55,31.82,9.853,563672
2009-02-19,32.25,32.72,32.03,32.55,10.0793,607412
2009-02-20,31.76,33.31,31.5,32.22,9.9769,1062336
2009-02-23,32.35,32.575,30.64,30.77,9.5279,895119
2009-02-24,30.79,31.4,30.0725,30.71,9.5095,1177129
2009-02-25,30.56,30.855,29.83,30.44,9.4256,1201171
2009-02-26,30.82,31.51,30.5,31,9.5992,723583
2009-02-27,30.28,30.42,29.61,29.79,9.2245,1022127
2009-03-02,29.26,29.44,28.14,28.55,8.8406,806045
2009-03-03,28.67,28.95,27.78,27.92,8.6455,1128310
2009-03-04,28.67,29.25,28.11,28.96,8.9676,984535
2009-03-05,28.32,28.61,27.64,27.95,8.6547,593736
2009-03-06,28.05,28.8,27.7,28.18,8.726,835321
2009-03-09,27.79,28.47,27.49,28.05,8.6858,621295
2009-03-10,28.29,29.22,28.29,28.77,8.9087,430068
2009-03-11,28.97,29,28.46,28.75,8.9026,445640
2009-03-12,28.66,29.36,28.51,29.23,9.0512,364247
2009-03-13,29.24,29.52,28.91,29.28,9.0666,519849
2009-03-16,29.31,30.47,29.23,29.86,9.2462,473756
2009-03-17,29.71,31.52,29.44,31.52,9.7603,716630
2009-03-18,31.48,31.73,30.54,31.46,9.7417,620963
2009-03-19,31.93,32.26,30.98,31.09,9.6271,633683
2009-03-20,31.08,31.49,30.82,30.87,9.5591,472061
2009-03-23,31.67,31.95,31.36,31.77,9.8376,646983
2009-03-24,31.32,31.57,30.34,30.36,9.401,952916
2009-03-25,30.85,30.99,30.12,30.51,9.4476,1056389
2009-03-26,30.54,30.98,30.04,30.36,9.401,1005049
2009-03-27,30.34,30.34,29.16,29.36,9.0913,819107
2009-03-30,28.5,28.65,27.97,28.21,8.7352,628326
2009-03-31,28.6,29.05,28.33,28.8,8.918,684399
2009-04-01,28.4,28.91,28.33,28.82,8.9242,792387
2009-04-02,29.51,29.9134,29.4,29.58,9.1595,498598
2009-04-03,29.57,29.81,29.43,29.69,9.1935,745058
2009-04-06,29.6,29.71,29.01,29.48,9.1286,633408
2009-04-07,29.2,29.42,29.1,29.23,9.0512,489786
2009-04-08,29.03,29.62,29.03,29.59,9.1626,543611
2009-04-09,30.1,30.25,29.49,29.75,9.2122,343223
2009-04-13,29.68,29.95,29.49,29.83,9.2369,390328
2009-04-14,29.81,29.86,29.56,29.63,9.175,344807
2009-04-15,29.49,29.96,29.42,29.91,9.2616,387593
2009-04-16,30,30.27,29.8,30.08,9.3144,304161
2009-04-17,29.92,30.81,29.92,30.67,9.497,319883
2009-04-20,30.15,30.18,29.5,29.59,9.1626,335333
2009-04-21,29.26,29.95,29.26,29.88,9.2524,300390
2009-04-22,29.7,30.25,29.63,29.83,9.2369,362677
2009-04-23,29.81,30.18,29.645,30.16,9.3392,380738
2009-04-24,30.42,30.68,30.32,30.47,9.4351,276529
2009-04-27,30.48,30.83,30.31,30.43,9.4228,251592
2009-04-28,30.34,30.52,30.13,30.2,9.3514,295319
2009-04-29,30.21,30.97,30.21,30.6,9.4754,298584
2009-04-30,30.9,31.4,30.72,30.85,9.5529,394070
2009-05-01,31.05,31.84,30.81,31.74,9.8284,295368
2009-05-04,31.99,32.77,31.85,32.77,10.1473,321140
2009-05-05,32.8,32.92,32.35,32.47,10.0544,286672
