Date,Open,High,Low,Close,Adjusted_close,Volume
2015-06-12,33.13,35.13,33.13,35,31.5704,400
2015-06-15,34.88,35.15,33.94,33.96,30.6321,20470
2015-06-16,34.36,34.85,33.42,33.82,30.5057,33140
2015-06-17,34,34,33.04,33.04,29.8022,24724
2015-06-18,33.22,33.22,32.08,33,29.7662,528463
2015-06-19,33,33.5,33,33.1,29.8563,371623
2015-06-22,32.5,33.66,32.5,33.5,30.217,194395
2015-06-23,33.5,34,33.5,33.52,30.2352,108635
2015-06-24,33.63,34.66,33.5,34.33,30.966,242662
2015-06-25,34.18,34.2,33.9,34.2,30.8484,109856
2015-06-26,34.05,34.5,34,34.5,31.119,171636
2015-06-29,37,37,34,34.07,30.7312,61850
2015-06-30,33.55,34.8,33.51,34,30.668,432212
2015-07-01,33.9,35.68,33.31,34.05,30.7131,2953465
2015-07-02,34.99,38.27,34.94,36.65,33.0583,4456437
2015-07-06,36.54,38.96,35.88,36.39,32.8238,3281432
2015-07-07,36.35,36.83,34.76,35.31,31.8499,2569734
2015-07-08,34.65,35.25,34.121,34.92,31.498,1749736
2015-07-09,34.99,36.3,34.04,35.89,32.3728,2234804
2015-07-10,36.23,37.24,35.32,37,33.3741,1197564
2015-07-13,37.25,38.7899,36.27,38.5,34.7275,1094089
2015-07-14,38.38,38.88,37.12,37.61,33.9243,1034855
2015-07-15,38.04,38.46,37.54,37.88,34.1681,1101168
2015-07-16,38.12,39.96,38.12,39.86,35.9538,1042823
2015-07-17,39.86,41.84,39.45,41.46,37.397,1116683
2015-07-20,42,42.39,40.63,42,37.8844,1083397
2015-07-21,42,42.44,41.48,42.03,37.9111,542653
2015-07-22,41.53,42.44,41.33,42,37.8844,652924
2015-07-23,41.99,42.29,41.76,42.08,37.9565,458505
2015-07-24,41.89,42.04,41.62,41.95,37.8389,531053
2015-07-27,41.72,41.77,41.25,41.36,37.3068,871460
2015-07-28,41.44,41.965,40.54,40.59,36.6124,1157269
2015-07-29,40.87,41.3899,39.08,39.34,35.4847,1492959
2015-07-30,39.1,39.29,38.71,38.95,35.1333,934130
2015-07-31,39.35,39.72,38.18,38.51,34.7361,747079
2015-08-03,38.37,39.79,38.33,39.25,35.4037,876772
2015-08-04,39.73,40.48,38.53,38.6,34.8175,497504
2015-08-05,39.17,41,38.66,39.45,35.584,870258
2015-08-06,39.18,41.31,38.14,41.14,37.1085,525225
2015-08-07,41.23,42,40.52,40.55,36.5764,350476
2015-08-10,40.67,41.23,40.04,41.16,37.1267,567335
2015-08-11,40.72,41.5,39.73,41.32,37.2707,402749
2015-08-12,40.97,41.31,40.465,41.02,37.0003,575024
2015-08-13,41.28,41.28,39.942,40.8,36.8018,1012790
2015-08-14,40.55,41.01,40.14,40.54,36.5671,644677
2015-08-17,40.1,40.66,40.02,40.54,36.7942,609000
2015-08-18,40.21,40.83,39.91,40.46,36.7215,565153
2015-08-19,40.24,40.24,39.25,39.75,36.0772,659739
2015-08-20,39.28,39.75,38.69,38.89,35.2968,501717
2015-08-21,38.59,39.93,38.295,39.58,35.9229,966848
2015-08-24,37.29,39.97,35.17,39.5,35.8502,1610730
2015-08-25,40.23,40.5,39.38,39.78,36.1044,1088462
2015-08-26,40.3,40.54,39.38,40.1,36.3947,532826
2015-08-27,40.33,41.6,40.12,41.57,37.7291,670847
2015-08-28,41.39,41.688,41.18,41.62,37.7744,621712
2015-08-31,41.53,41.9,41.27,41.76,37.9016,324647
2015-09-01,41.66,42.6,40.83,41.46,37.629,1171519
2015-09-02,41.81,41.82,40.76,41.14,37.3386,957090
2015-09-03,41.39,41.475,40.42,41.13,37.3297,513959
2015-09-04,40.67,42.06,40.31,41.25,37.4385,831111
2015-09-08,41.62,42.42,41.235,42,38.1194,978163
2015-09-09,42.01,42.13,41.41,41.8,37.9377,588421
2015-09-10,41.81,41.95,40.09,40.47,36.7307,581112
2015-09-11,40.32,40.56,40.05,40.53,36.7851,382791
2015-09-14,40.57,40.6,40.01,40.34,36.6127,406039
2015-09-15,40.41,40.95,40.03,40.49,36.749,543053
2015-09-16,40.71,41.78,40.323,41.76,37.9016,825402
2015-09-17,41.68,42.15,41.68,42,38.1194,763391
2015-09-18,41.72,42.67,41.67,41.82,37.956,2022984
2015-09-21,42.53,42.92,41.83,42.31,38.4004,825982
2015-09-22,42.02,42.27,41.43,42.01,38.1282,400664
2015-09-23,41.86,42.212,41.36,42.01,38.1282,380218
2015-09-24,41.77,41.98,40.01,40.08,36.3765,650416
2015-09-25,40.52,40.63,39.59,40.25,36.5308,511970
2015-09-28,40.25,40.438,39.64,39.81,36.1316,779892
2015-09-29,39.88,40.065,39.06,39.28,35.6506,589259
2015-09-30,39.78,39.78,38.49,38.71,35.1334,640230
2015-10-01,38.91,41.3,38.644,40.18,36.4675,862170
2015-10-02,39.49,40.66,39.09,40.66,36.903,578897
2015-10-05,40.85,42.1,40.85,41.81,37.9468,297098
2015-10-06,41.51,41.8,40.85,41.12,37.3205,410559
2015-10-07,41.24,42.1,40.49,41.14,37.3386,375268
2015-10-08,41.15,42.12,41.1,42,38.1194,187655
2015-10-09,42.09,42.61,41.7,42.26,38.3552,298791
2015-10-12,42.08,42.995,41.9604,42.74,38.791,417021
2015-10-13,42.47,43.48,41.276,43,39.0268,430738
2015-10-14,42.77,42.84,42.03,42.36,38.4459,314039
2015-10-15,42.48,43.02,42.41,42.65,38.7094,319584
2015-10-16,42.71,42.99,42.474,42.7,38.7545,268461
2015-10-19,42.73,42.95,42.24,42.5,38.573,366521
2015-10-20,42.54,43.15,42.24,43,39.0268,275355
2015-10-21,43.03,43.34,42.52,43.11,39.1268,340597
2015-10-22,43.34,44.52,42.79,43.22,39.2266,517301
2015-10-23,43.41,43.49,42.23,43.09,39.1084,499960
2015-10-26,42.96,43.19,41.83,42.42,38.5005,406945
2015-10-27,42.13,42.71,41.9,42.49,38.564,326511
2015-10-28,42.51,43.2,42.39,43.2,39.2084,323880
2015-10-29,42.93,43.6,42.75,43.02,39.045,279938
2015-10-30,43.09,43.45,42.7,42.83,38.8726,247565
2015-11-02,43.19,43.64,42.81,43.25,39.2539,274216
2015-11-03,43.07,43.47,42.8,42.84,38.8815,423667
2015-11-04,42.79,43.11,42.12,42.44,38.5185,484942
2015-11-05,42.39,42.49,40.99,41.33,37.5112,401370
2015-11-06,41.34,41.34,40.47,40.8,37.0302,162648
2015-11-09,40.6,41.04,39.97,40.92,37.139,243501
2015-11-10,40.67,40.93,40.14,40.54,36.7942,750061
2015-11-11,40.77,41.5,39.45,39.67,36.0045,840326
2015-11-12,35.55,36.43,34.05,36.08,32.7464,3316257
2015-11-13,36.12,36.67,35.11,35.84,32.5284,1234789
2015-11-16,35.74,37.65,35.34,37.34,33.8898,590289
2015-11-17,37.14,37.58,35.92,36.01,32.6827,693066
2015-11-18,35.98,36.43,35.27,35.67,32.3741,1235531
2015-11-19,35.69,36.46,35,35.62,32.3285,872403
2015-11-20,35.7,36.51,35.11,35.27,32.0111,762379
2015-11-23,35.31,35.99,34.99,35.01,31.775,749797
2015-11-24,34.8,35.515,34.46,34.64,31.4393,1111887
2015-11-25,34.49,35.23,34.2301,34.67,31.6953,310921
2015-11-27,34.49,34.69,34.1001,34.32,31.3752,130265
2015-11-30,34.35,34.6699,33.27,33.82,30.9182,1314270
2015-12-01,33.89,34.24,33.5,34.05,31.1287,1182255
2015-12-02,34.02,34.49,33.7,33.92,31.0096,380504
2015-12-03,33.96,34.02,32.56,33.2,30.3514,1197155
2015-12-04,33.2,34.49,33.12,34.2,31.2657,797059
2015-12-07,34.16,34.4899,33.95,34.28,31.3387,348256
2015-12-08,34.01,34.5,33.77,34.05,31.1287,1027510
2015-12-09,33.96,34.65,33.75,34.03,31.1103,615922
2015-12-10,34.12,34.64,33.89,34.05,31.1287,523781
