Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,67.94,70.9,66.93,70.39,33.1961,2556300
2009-01-05,70.18,72.83,69.03,70.67,33.3281,3855523
2009-01-06,71.53,72.39,70.52,71.12,33.5404,5415048
2009-01-07,70.18,70.69,66.55,68.67,32.3849,3396093
2009-01-08,69.65,70.33,67.74,69.61,32.8282,3002494
2009-01-09,69.55,70.65,66.17,66.54,31.3806,3467973
2009-01-12,65.46,66.06,62.54,63.57,29.9797,3461386
2009-01-13,63.56,67.73,62.9,67.08,31.6349,4653425
2009-01-14,65.6,66.31,62.72,63.39,29.925,4391710
2009-01-15,63.25,64.65,61.45,64.02,30.2225,4993322
2009-01-16,65.09,65.48,62,63.73,30.0855,3807358
2009-01-20,62.66,64.88,60.29,60.73,28.6692,4223322
2009-01-21,61.12,65.59,60.92,65.32,30.8361,4008764
2009-01-22,62.88,65.38,62.01,63.72,30.0808,3380069
2009-01-23,62.44,67.63,61.41,66.57,31.4263,4124202
2009-01-26,67.7,69.94,67.03,68,32.1012,3639869
2009-01-27,67.59,67.87,66.04,66.66,31.4688,3369166
2009-01-28,68,70.17,66.84,69.96,33.0265,4140821
2009-01-29,68.37,69.85,68.01,68.57,32.3705,4392456
2009-01-30,70,70.76,67.29,67.77,31.9928,4201998
2009-02-02,66.36,67.95,66.01,66.74,31.5066,4908339
2009-02-03,67.57,68.3,66.29,67.89,32.0495,4437413
2009-02-04,68.68,70.06,67.94,68.58,32.3752,4802650
2009-02-05,68.37,70.13,67,69.09,32.6159,4910136
2009-02-06,67.62,69.31,66.44,68.41,32.2949,4244440
2009-02-09,69.26,71.16,68.25,70.74,33.3947,4016833
2009-02-10,70.95,71.72,65.79,66.4,31.3458,4048538
2009-02-11,67.6,67.71,63.35,64.36,30.383,3908011
2009-02-12,63.16,64.65,62.35,64.1,30.2601,3479994
2009-02-13,64.6,65.31,63.31,63.72,30.0808,3456929
2009-02-17,61.99,61.99,56.06,56.24,26.5496,6327994
2009-02-18,56.84,57.07,55,56.62,26.729,5905290
2009-02-19,57,57.92,55.18,55.82,26.3515,5295913
2009-02-20,54.61,56.22,54.17,55.11,26.0162,4878078
2009-02-23,55.99,56.36,50.85,50.98,24.0665,5298070
2009-02-24,51.47,53.41,50.95,53.33,25.176,4085119
2009-02-25,53.23,53.54,51.14,52.03,24.5622,4410312
2009-02-26,52.87,53.56,51.15,51.41,24.2696,3281511
2009-02-27,50.06,51.63,48.86,50.04,23.6228,3852910
2009-03-02,48.27,49.69,45.03,45.59,21.5221,5585346
2009-03-03,46.51,49.7,45.53,48.04,22.6786,7804945
2009-03-04,49.46,52.79,49.24,51.1,24.1232,7585307
2009-03-05,50.325,52.84,49.57,51.84,24.4725,7873575
2009-03-06,53.25,54.36,50.22,52.07,24.5811,5866693
2009-03-09,51.23,52.52,49.98,50.42,23.802,4321004
2009-03-10,51.57,54,51.28,52.91,24.9777,4535265
2009-03-11,53.31,54.71,52.5,54,25.4922,3850022
2009-03-12,54.27,59.1,53.66,58.81,27.7628,7035329
2009-03-13,58.75,59.44,57.75,58.99,27.8478,4493286
2009-03-16,58.6,62.97,58.6,61.52,29.0422,4555915
2009-03-17,61.46,63.1,60.37,63.1,29.7882,5393181
