Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,53.62,57.59,52.5,57.56,47.9974,784671
2009-01-05,57.42,60.74,57.42,59.27,49.4231,1410971
2009-01-06,60.62,63.06,59.9,62.89,52.4416,1415452
2009-01-07,61.35,61.66,57.5,58.09,48.439,1024903
2009-01-08,58.1,59.38,56.95,59.29,49.4398,683442
2009-01-09,59.46,60.71,57.45,57.99,48.3558,540621
2009-01-12,57.6,57.88,54.83,55.62,46.3794,515282
2009-01-13,56.06,58.15,55.65,56.36,46.9967,709159
2009-01-14,55.82,56.44,52.42,52.73,43.9696,760065
2009-01-15,52.48,53.75,49.49,52.61,43.8695,1261629
2009-01-16,53.91,54.56,52.1001,53.71,44.7869,534384
2009-01-20,52.64,53.46,48.58,48.79,40.6842,693963
2009-01-21,49.73,53.34,49.552,53.24,44.3951,561129
2009-01-22,51.87,52.83,49.78,50.69,42.2686,702046
2009-01-23,49.73,52.9,48.87,51.91,43.2858,560636
2009-01-26,52.35,54.47,52.35,53.2,44.3616,590903
2009-01-27,53.22,54.9315,52.54,53.36,44.4951,463956
2009-01-28,54.41,57.59,54.33,57.42,47.8806,941123
2009-01-29,56.57,58.69,55.84,56.16,46.8297,795886
2009-01-30,55.85,57.08,52.6,53.35,44.4867,745283
2009-02-02,53.56,55.49,52.28,54.86,45.7458,912157
2009-02-03,54.84,55.34,52.64,53.8,44.8618,875151
2009-02-04,54.82,56.11,54.16,54.76,45.6624,583800
2009-02-05,53.69,58.1,53.23,57.6,48.0305,924640
2009-02-06,57.95,61.26,57.6,60.71,50.6239,1013669
2009-02-09,60.42,61.05,59.63,60.84,50.7324,497519
2009-02-10,60.98,62.02,57.78,58.61,48.8728,1314089
2009-02-11,58.71,60.03,56.1209,58.1,48.4476,1045571
2009-02-12,54.1,54.32,50.61,52.88,44.0945,4126066
2009-02-13,52.98,53.54,50.84,51.26,42.744,1636726
2009-02-17,49.85,50.58,48.35,48.58,40.5091,1599365
2009-02-18,48.72,48.95,45.41,46.56,38.8249,1947741
2009-02-19,46.73,47.93,45.27,45.62,38.0408,1326823
2009-02-20,45,45.61,43.72,44.86,37.4072,1167701
2009-02-23,44.9,45.49,42.61,43.01,35.8645,1214212
2009-02-24,43.67,46.26,43.33,45.47,37.9158,1289832
2009-02-25,44.99,45.57,43.2,44.61,37.1986,1041499
2009-02-26,44.79,47.24,44.76,45.53,37.9658,1164481
2009-02-27,44.53,46.88,44.32,46.41,38.6997,1077888
2009-03-02,45.05,45.9,42.24,42.9,35.7726,1055307
2009-03-03,42.94,43.79,41.77,42.87,35.7478,1022647
2009-03-04,43.49,45.9,43.49,45.11,37.6156,1395226
2009-03-05,43.61,44.64,42.28,43.12,35.9563,977613
2009-03-06,43.24,43.27,41.36,42.95,35.8145,1471784
2009-03-09,42.34,44.36,41.96,42.26,35.2389,840962
2009-03-10,44.62,46.63,43.42,46.39,38.6831,1430886
2009-03-11,46.95,48.93,46.75,47.86,39.909,1111058
2009-03-12,48.06,51.25,46.7,50.98,42.5108,1369851
2009-03-13,50.47,51.86,50.27,51.61,43.0358,957800
2009-03-16,51.58,51.88,49.83,50,41.6932,856839
2009-03-17,50,52.82,49.9306,52.75,43.9865,760560
2009-03-18,52.62,55.33,51.5,54.31,45.2871,907223
2009-03-19,54.94,55.27,51.44,51.74,43.1443,1141293
2009-03-20,51.78,51.81,48.77,49.51,41.2844,1001198
2009-03-23,50.2,53.22,50,53.22,44.3784,1151759
2009-03-24,51.87,54.5,51.87,54.02,45.0452,778326
2009-03-25,52.9,57.44,52.9,56.27,46.9218,1312703
2009-03-26,55,57.7,55,57.68,48.0972,1018060
2009-03-27,56.14,58.04,55.32,57.15,47.6552,622064
2009-03-30,56.32,56.32,54.77,55.67,46.4212,642213
2009-03-31,56.01,57.92,55.6027,56.15,46.8214,738689
2009-04-01,55.77,57.75,55.05,57.62,48.0475,943726
2009-04-02,58.2,62.31,58.2,61.82,51.5493,1378297
