Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,29.87,29.87,28.05,28.23,16.6234,3956444
2009-01-05,27.94,28.39,26.95,27.29,16.0696,4817677
2009-01-06,27.57,28.22,26.69,27.94,16.4524,6550095
2009-01-07,27.39,28.17,27,27.22,16.0284,4038981
2009-01-08,27.01,27.29,26.4,26.92,15.8517,4434127
2009-01-09,27.13,27.2,25.61,25.82,15.2037,5056601
2009-01-12,25.88,25.9,24.01,24.35,14.3383,5852405
2009-01-13,24.25,26.17,24.06,25.69,15.1273,6397668
2009-01-14,24.84,25.48,24.47,24.97,14.7035,7298802
2009-01-15,24.91,27.24,24.31,26.22,15.4394,7516485
2009-01-16,27.01,27.45,25.26,27.27,16.0578,8853579
2009-01-20,26.99,27.27,24,24.18,14.2386,9891484
2009-01-21,24.65,26.34,23.4,26.19,15.4218,9158164
2009-01-22,24.77,25.59,23.75,24.38,14.3561,8356937
2009-01-23,23.51,25.32,23.42,25.13,14.7976,5988252
2009-01-26,25.54,25.54,24.31,24.71,14.5504,4876345
2009-01-27,24.99,25.47,24.51,25.02,14.7326,4719315
2009-01-28,26.22,27.52,25.32,27.36,16.1108,8996184
2009-01-29,26.53,26.68,24.78,24.98,14.7094,8511711
2009-01-30,25.6,25.81,23.39,23.93,14.091,8420658
2009-02-02,23.36,24.26,22.93,24.19,14.2438,5949613
2009-02-03,24.55,24.55,23.54,23.75,13.9848,6045140
2009-02-04,24,24.79,23.32,23.42,13.7906,6422065
2009-02-05,23.17,23.17,20.79,21.39,12.5952,10376150
2009-02-06,21.78,23.27,21.23,23.07,13.5847,7683300
2009-02-09,23.15,23.53,22.49,23.46,13.8144,4736025
2009-02-10,22.69,23.46,20.85,21.05,12.395,9892559
2009-02-11,21.2,22.45,20.66,22.29,13.1255,7852594
2009-02-12,21.64,22.31,20.4,21.94,12.9193,8807093
2009-02-13,21.77,22.29,20.99,21.05,12.395,7990112
2009-02-17,19.9,20.44,18.97,19.21,11.3117,10100691
2009-02-18,19.23,19.99,18.65,19.92,11.7296,7209354
2009-02-19,20.65,20.74,18.55,18.83,11.0878,7230275
2009-02-20,18.6,20.62,18.26,20.47,12.0536,10064244
2009-02-23,20.72,20.72,18.46,18.49,10.8878,9465989
