Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,16.05,16.92,16.05,16.83,2.1492,2185327
2009-01-05,16.94,18.26,16.94,17.86,2.2809,1893906
2009-01-06,18.16,18.69,17.76,18.22,2.3269,1306716
2009-01-07,17.8,18.32,17.8,18.11,2.3128,591772
2009-01-08,18.19,19.13,17.71,19.08,2.4367,726765
2009-01-09,19.28,19.28,18.1501,18.39,2.3485,498121
2009-01-12,18.31,18.39,17.28,17.47,2.231,448096
2009-01-13,17.24,18.11,17.16,17.96,2.2936,521885
2009-01-14,17.92,17.95,16.94,17,2.1711,756532
2009-01-15,17.05,17.28,16.37,17.05,2.1774,1212631
2009-01-16,17.5,17.57,16.79,17.06,2.1787,651629
2009-01-20,17.13,17.13,16.15,16.19,2.0676,477884
2009-01-21,16.4,16.63,16.06,16.51,2.1084,1635411
2009-01-22,16.01,16.41,15.9,16.18,2.0663,763311
2009-01-23,16,16.91,15.9,16.82,2.148,564373
2009-01-26,16.9,17.89,16.9,17.44,2.2272,743351
2009-01-27,17.64,18.29,17.58,18.2,2.3243,805480
2009-01-28,18.63,19.46,18.29,18.8,2.4009,981536
2009-01-29,18.5,18.76,18.4,18.53,2.3664,470204
2009-01-30,18.54,19,18.16,18.48,2.3601,530601
2009-02-02,18.48,18.77,18.11,18.5,2.3626,699699
2009-02-03,18.83,18.99,18.26,18.68,2.3856,603897
2009-02-04,18.52,18.52,17.94,18,2.3633,415632
2009-02-05,18.07,18.59,17.81,18.47,2.425,457535
2009-02-06,18.58,18.85,18.438,18.6,2.442,831888
2009-02-09,18.48,19,18.48,18.84,2.4736,1001932
2009-02-10,18.9,19,18.046,18.42,2.4185,1112046
2009-02-11,18.62,19.09,18.42,18.73,2.4592,1192708
2009-02-12,18.7,19.02,18.36,19.02,2.4973,633986
2009-02-13,18.8,19.85,17.85,19.57,2.5694,853090
2009-02-17,19.52,19.57,18.64,18.75,2.4617,1049425
2009-02-18,19.05,19.05,18.29,18.44,2.4211,865017
2009-02-19,18.68,18.81,18.4,18.6,2.442,878287
2009-02-20,18.14,18.69,17.86,18.54,2.4341,1242883
2009-02-23,18.73,18.91,17.71,17.9,2.3502,1182265
2009-02-24,17.78,19.07,17.29,18.96,2.4893,954539
2009-02-25,18.8,19.73,18.77,19.6,2.5733,822066
2009-02-26,19.81,20.53,19.47,19.49,2.5589,783978
2009-02-27,19.25,20.21,18.89,19.63,2.5773,583248
2009-03-02,19.3,19.39,17.63,18.19,2.3883,784618
2009-03-03,18.25,18.37,17.35,17.69,2.3226,348198
2009-03-04,18.05,19.44,18.05,19.3,2.5339,786380
2009-03-05,19.12,19.42,18.58,18.93,2.4853,753241
2009-03-06,19,19.6,17.86,18.4,2.4158,718371
2009-03-09,18.34,18.69,17.98,18.1,2.3764,751501
2009-03-10,18.53,19.46,18.36,18.93,2.4853,766344
2009-03-11,19.23,19.5,18.94,19.27,2.5301,439321
2009-03-12,19.25,20.27,18.93,20.21,2.6534,816417
2009-03-13,20.37,20.79,19.53,20.1,2.639,693519
2009-03-16,20.1,21.15,20.0599,20.43,2.6823,712705
2009-03-17,20.35,20.95,19.91,20.92,2.7467,638388
2009-03-18,21,21.05,20.19,20.8,2.7309,734666
2009-03-19,20.9,21.5,20.75,20.92,2.7467,699492
2009-03-20,20.97,21.014,20,20.15,2.6455,382014
2009-03-23,20.57,21.22,20.41,21.2,2.7834,539640
2009-03-24,21.11,21.3624,20.75,21.03,2.7611,347227
2009-03-25,21.03,21.79,20.77,21.7,2.8491,792883
2009-03-26,22.1,22.43,21.1,21.49,2.8214,626886
2009-03-27,21.17,21.34,20.82,21.13,2.7743,511626
2009-03-30,20.92,20.97,20.01,20.39,2.677,942004
2009-03-31,20.79,21.25,20.46,21.13,2.7743,626212
2009-04-01,20.8,21.737,20.66,21.52,2.8254,793816
2009-04-02,22.23,22.28,21.54,21.87,2.8714,777400
2009-04-03,21.97,22.37,21.68,22.1,2.9016,606556
2009-04-06,21.76,22.15,21.66,21.85,2.8687,489492
2009-04-07,21.72,21.72,21.24,21.53,2.8267,326660
2009-04-08,21.55,21.7,21.12,21.68,2.8464,467230
2009-04-09,22.03,22.03,21.6,22.03,2.8924,596871
2009-04-13,23.07,23.41,22.29,23.11,3.0342,1278116
2009-04-14,23.25,23.84,23.01,23.4,3.0723,1169173
2009-04-15,23.48,23.81,23.25,23.41,3.0736,1139043
2009-04-16,23.5,24.19,23.41,24.14,3.1694,1069403
2009-04-17,24.1,24.37,23.68,24.18,3.1747,875198
2009-04-20,23.99,24.05,23.2,23.4,3.0723,622441
2009-04-21,23.2,23.76,23,23.68,3.109,648385
2009-04-22,23.56,24,23.43,23.66,3.1064,609623
2009-04-23,23.78,24.11,23.6,24.11,3.1654,452220
2009-04-24,24.45,24.78,24,24.67,3.239,590412
2009-04-27,24.78,25.29,24.65,25.13,3.2994,942327
2009-04-28,25.09,25.73,24.92,25.57,3.3571,997910
2009-04-29,25.87,26.35,25.6,26.04,3.4188,816404
2009-04-30,26.45,26.488,25.57,25.64,3.3663,586035
2009-05-01,25.51,26.58,25.51,26.54,3.4845,526669
2009-05-04,26.5,27.14,26.5,26.84,3.5239,632986
2009-05-05,26.93,27.04,26.08,26.46,3.4741,518374
2009-05-06,26.51,26.51,25.37,25.94,3.4746,513611
2009-05-07,25.95,26.3199,25.25,25.53,3.4197,670489
2009-05-08,25.95,26.43,25.73,26.06,3.4907,490335
2009-05-11,26.07,26.07,25.57,25.71,3.4438,305726
2009-05-12,25.88,25.91,24.7124,25,3.3487,759001
2009-05-13,24.63,25.22,24.29,24.89,3.3341,695171
2009-05-14,24.87,25.39,24.83,24.99,3.3473,757199
2009-05-15,25,25.28,24.67,24.85,3.3286,367217
2009-05-18,25.01,25.87,25.01,25.65,3.4358,357151
2009-05-19,25.52,26.48,25.52,26.14,3.5014,338887
2009-05-20,26.41,26.75,26.32,26.45,3.543,477303
