Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,24.85,26.04,24.535,25.91,8.4899,2734200
2009-01-05,25.71,26.3,25.71,25.96,8.5064,4755600
2009-01-06,26.11,26.67,25.86,26.155,8.5704,3453400
2009-01-07,25.985,26.05,24.825,25.04,8.2051,4482400
2009-01-08,24.91,25.495,24.645,25.45,8.3393,2587000
2009-01-09,25.54,25.595,24.925,25.085,8.2197,2592000
2009-01-12,25.08,25.08,24.54,24.725,8.1018,5282400
2009-01-13,24.565,24.885,24.315,24.58,8.0542,4494600
2009-01-14,24.15,24.215,23.54,23.72,7.7724,5081000
2009-01-15,23.53,24.545,23.47,24.35,7.9789,4201800
2009-01-16,24.64,24.72,23.645,24.28,7.956,5369800
2009-01-20,23.875,23.91,23.255,23.5,7.7003,5083800
2009-01-21,23.86,23.86,23.065,23.6,7.7331,5397600
2009-01-22,23.225,23.555,22.57,22.935,7.5153,5307000
2009-01-23,22.315,23.22,22.065,22.665,7.4269,4052000
2009-01-26,22.285,22.945,21.75,22.275,7.2989,5603800
2009-01-27,22.38,22.88,22.125,22.705,7.4399,3350800
2009-01-28,23.055,23.85,22.98,23.4,7.6676,2975000
2009-01-29,23.135,23.235,22.4,22.625,7.4137,3207800
2009-01-30,22.65,22.725,21.84,22.01,7.2121,4286600
2009-02-02,21.545,21.875,21.13,21.46,7.0319,4916600
2009-02-03,21.495,21.54,21.015,21.43,7.0219,4502600
2009-02-04,21.67,21.885,21.41,21.625,7.086,3650600
2009-02-05,21.415,21.945,20.965,21.795,7.3107,3746600
2009-02-06,21.855,22.57,21.745,22.435,7.5254,2738200
2009-02-09,22.29,22.715,22.135,22.505,7.5489,2938200
2009-02-10,22.31,22.615,21.34,21.51,7.2152,3635800
2009-02-11,22.22,22.49,21.86,22.135,7.4247,4457000
2009-02-12,21.92,22,21.255,21.965,7.3677,4076600
2009-02-13,21.94,22.525,21.865,21.9,7.346,3254800
2009-02-17,21.255,21.46,20.815,21.02,7.0507,3725200
2009-02-18,21.205,21.52,20.875,20.965,7.0323,3902600
2009-02-19,21.105,21.265,20.26,20.36,6.8292,4881000
2009-02-20,20.235,20.435,19.715,20.14,6.7555,4792400
2009-02-23,20.26,20.32,19,19.02,6.3799,5362000
2009-02-24,19.045,20.035,18.69,19.865,6.6633,4812600
2009-02-25,19.79,19.9,19.115,19.23,6.4503,3778400
2009-02-26,19.44,19.52,18.08,18.135,6.0831,8350400
2009-02-27,17.83,18.665,17.37,18.075,6.063,8754200
2009-03-02,17.8,17.85,16.655,16.715,5.6068,6606600
2009-03-03,16.905,17.74,16.465,17.195,5.7678,8778400
2009-03-04,17.485,17.575,16.85,16.96,5.6888,7172200
2009-03-05,16.175,16.35,15.435,15.855,5.3183,7248400
2009-03-06,15.995,16.295,15.01,15.555,5.2176,5518400
2009-03-09,15.28,15.84,15.015,15.135,5.0767,4520000
2009-03-10,15.44,16.26,15.255,16.05,5.3837,6901200
2009-03-11,16.275,16.42,15.935,16.035,5.3788,7776000
2009-03-12,16.145,16.705,15.635,16.6,5.5682,5151200
2009-03-13,16.715,17.075,16.465,16.805,5.6371,3365600
2009-03-16,17.09,17.12,16.41,16.54,5.5481,4553000
2009-03-17,16.555,16.99,16.18,16.92,5.6755,4570600
2009-03-18,16.925,17.7,16.61,17.525,5.8785,4504800
2009-03-19,17.845,18.06,17.5,17.66,5.9236,4349600
2009-03-20,17.75,17.88,16.9,17.06,5.7227,3885800
2009-03-23,17.535,18.59,17.44,18.575,6.2306,5309000
2009-03-24,18.395,19.155,18.14,18.705,6.2743,4791800
2009-03-25,18.885,19.215,18.26,18.815,6.3112,5014600
2009-03-26,18.945,19.725,18.875,19.695,6.6064,4039400
2009-03-27,19.475,19.82,19.18,19.45,6.5241,3638400
2009-03-30,18.535,18.63,17.75,18.105,6.0729,4500400
2009-03-31,18.3,18.705,18.045,18.43,6.182,7708200
2009-04-01,18.075,18.85,18.02,18.75,6.2893,3980800
2009-04-02,19.17,21.045,19.17,20.7,6.9436,6973600
2009-04-03,20.54,21.325,20.54,21.005,7.0456,4829200
2009-04-06,20.765,20.875,20.22,20.72,6.9502,3668800
2009-04-07,20.53,20.53,19.77,19.81,6.6449,3618000
2009-04-08,19.975,20.28,19.615,20.035,6.7203,4371400
2009-04-09,20.515,22.175,20.45,21.915,7.351,6142200
2009-04-13,21.055,21.445,20.3,21.19,7.1078,5098000
2009-04-14,20.895,21.285,20.53,20.97,7.0339,3959800
2009-04-15,20.83,21.325,20.715,21.19,7.1078,3769000
