Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,83.71,84.98,82.89,84.69,52.0247,1047500
2009-01-05,84.67,86.41,84.3,85.44,52.4854,1578200
2009-01-06,85.56,86.61,83.38,84,51.6008,1847700
2009-01-07,82.96,84.27,82.43,82.93,50.9435,1877700
2009-01-08,82.85,83.48,82.1,82.94,50.9496,1501200
2009-01-09,81.73,81.73,78.47,80.12,49.2173,3015100
2009-01-12,80.32,81.43,80.3,80.82,49.6473,1438600
2009-01-13,80.96,80.96,77.06,77.61,47.6754,1999300
2009-01-14,76.57,77.06,74.59,76.19,46.8032,2318900
2009-01-15,76.21,76.83,74.22,76.17,46.7909,1799400
2009-01-16,77.05,78.29,75.85,77.11,47.3683,1563800
2009-01-20,76.92,79.94,76.44,78.31,48.1054,2692300
2009-01-21,79.25,79.42,75.96,77.86,47.829,1929600
2009-01-22,76.62,78.19,76.19,77.37,47.528,1794800
2009-01-23,76.17,78.41,75.24,78.06,47.9519,1705900
2009-01-26,78.19,80.57,77.87,79.68,48.947,1483200
2009-01-27,80.21,80.21,78.7,79.68,48.947,1174800
2009-01-28,80.11,81,79.11,79.83,49.0392,1407100
2009-01-29,78.76,79.99,77.05,77.53,47.6263,2044500
2009-01-30,77.45,78.59,76.06,76.36,46.9076,1882800
2009-02-02,73.52,74.53,73.24,73.38,45.077,2566600
2009-02-03,73.31,74.36,71,73.81,45.3411,2613300
2009-02-04,74.49,74.64,71.53,73.25,44.9971,2725500
2009-02-05,71.7,74.06,71.59,72.85,44.7514,2087400
2009-02-06,72.59,74.61,71.35,74.29,45.636,3070700
2009-02-09,73.9,74.28,72.29,72.55,45.0216,1832900
2009-02-10,72.13,72.82,70.3,70.57,43.7929,1786000
2009-02-11,70.77,71.39,69.93,70.8,43.9357,1482000
2009-02-12,69.11,70.31,67.89,69.37,43.0482,2069500
2009-02-13,69.62,70.86,68.93,69.98,43.4268,1444200
2009-02-17,69.73,70.3,68.03,69.36,43.042,2935100
2009-02-18,69.97,70.01,68.18,68.67,42.6139,2093800
2009-02-19,69.03,70.73,68.76,69.5,43.1289,1490800
2009-02-20,68.26,69.45,66.96,67.64,41.9747,2395000
2009-02-23,68.15,68.66,65.47,66.02,40.9694,2125000
2009-02-24,66.67,68.41,66.14,68.25,42.3532,1839800
2009-02-25,67.63,69.35,67.25,68.47,42.4897,2106000
2009-02-26,68.97,70.2,68.29,68.39,42.4401,2122200
2009-02-27,67.15,68.95,65.66,67.39,41.8195,1862000
