Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,20.6,20.87,20.47,20.7,13.2163,930634
2009-01-05,20.76,20.97,20.51,20.88,13.3315,1351904
2009-01-06,20.88,21.1,20.07,20.29,12.9551,1431664
2009-01-07,19.95,20.27,19.85,19.99,12.7636,1133744
2009-01-08,20.02,20.26,19.92,20.25,12.9296,899940
2009-01-09,20.24,20.25,19.6,19.67,12.559,1433070
2009-01-12,19.67,19.87,19.34,19.7,12.5783,1236572
2009-01-13,19.73,19.78,19.38,19.58,12.5017,1232194
2009-01-14,19.35,19.51,18.92,19.31,12.3291,1181258
2009-01-15,19.35,19.66,18.93,19.65,12.5463,1742879
2009-01-16,19.88,20.24,19.63,20.02,12.7828,1580586
2009-01-20,20.07,20.1,19.41,19.44,12.412,1308958
2009-01-21,19.74,19.88,19.25,19.82,12.6549,963292
2009-01-22,19.67,19.92,19.33,19.67,12.559,952052
2009-01-23,19.22,19.68,19.17,19.61,12.5209,845160
2009-01-26,19.7,20.19,19.7,19.99,12.7636,964067
2009-01-27,20.14,20.58,19.978,20.26,12.9357,922727
2009-01-28,20.5,20.59,20.24,20.47,13.0699,735448
2009-01-29,20.31,20.64,20.09,20.26,12.9357,718097
2009-01-30,20.36,20.57,19.95,20.08,12.8208,1235301
2009-02-02,19.84,20.48,19.74,20.25,12.9296,1430248
2009-02-03,20.32,20.47,19.89,20.25,12.9296,866603
2009-02-04,20.3,20.63,20.065,20.29,12.9551,838893
2009-02-05,20.23,20.62,20.04,20.45,13.057,1156190
2009-02-06,20.44,20.84,20.39,20.64,13.1786,1043661
2009-02-09,20.64,20.64,20.24,20.51,13.0954,694677
2009-02-10,20.42,20.51,19.79,19.85,12.6739,1413099
2009-02-11,19.99,19.99,18.83,19.13,12.2143,2455431
2009-02-12,19.07,19.26,18.63,19.11,12.2015,1491537
2009-02-13,19.17,19.3,18.94,19.02,12.1439,1192806
2009-02-17,18.72,18.72,18.115,18.16,11.5947,1566111
2009-02-18,18.31,18.31,17.8034,17.95,11.461,1116335
2009-02-19,18.06,18.11,17.81,17.89,11.4226,1363660
2009-02-20,17.63,17.91,17.08,17.22,10.9949,1686831
2009-02-23,17.49,17.53,16.89,16.95,10.8223,1592623
2009-02-24,16.51,17.1,16.41,17.06,10.8922,1570578
2009-02-25,17.01,17.01,16.46,16.75,10.6945,1510042
2009-02-26,16.99,17.29,16.52,16.55,10.5672,1333057
2009-02-27,17.5,17.5,16.25,16.9,10.7905,2325871
2009-03-02,16.64,17.35,16.26,16.28,10.3946,2199179
2009-03-03,16.48,16.61,15.34,15.4,9.8328,2870058
2009-03-04,15.69,16.26,15.42,16.04,10.2414,2350615
2009-03-05,15.77,15.77,14.86,14.95,9.7276,1787798
2009-03-06,14.96,15.68,14.96,15.58,10.1374,2679277
2009-03-09,15.46,15.66,15,15.09,9.8185,1733703
2009-03-10,15.43,15.6,15.15,15.45,10.0526,1417289
2009-03-11,15.56,15.79,15.36,15.64,10.1765,1580404
2009-03-12,15.66,15.97,15.51,15.87,10.3262,1751896
2009-03-13,16,16.03,15.72,15.87,10.3262,1692105
2009-03-16,15.98,16.55,15.98,16.22,10.5541,1293772
2009-03-17,16.21,16.69,16,16.69,10.8595,1040141
2009-03-18,16.5,17.42,16.5,17.29,11.25,1291835
2009-03-19,17.36,17.45,17.14,17.35,11.2888,925867
2009-03-20,17.29,17.65,17.21,17.21,11.1976,1032719
2009-03-23,17.38,18.04,17.38,18.03,11.7316,1573105
2009-03-24,17.84,18.09,17.6,17.68,11.5039,848845
2009-03-25,17.86,18.06,17.38,17.75,11.5489,1008266
2009-03-26,17.93,18.11,17.57,17.7,11.5168,1966963
2009-03-27,17.55,17.86,17.44,17.5,11.3865,1217823
2009-03-30,17.25,17.52,16.92,17.42,11.3345,1031134
2009-03-31,17.5,17.85,17.45,17.53,11.4061,1318136
2009-04-01,17.36,17.64,17.25,17.53,11.4061,1089933
2009-04-02,17.85,18.18,17.46,18.02,11.7249,1471381
2009-04-03,18.02,18.27,17.8,17.97,11.6925,744188
2009-04-06,17.88,18.12,17.6,17.66,11.4905,857645
2009-04-07,17.46,17.82,17.36,17.57,11.4317,742352
2009-04-08,17.71,17.95,17.6,17.89,11.6403,412322
2009-04-09,18.25,18.31,17.79,18.05,11.7445,779123
2009-04-13,17.97,18.04,17.59,17.66,11.4905,947839
2009-04-14,17.49,17.58,17.25,17.27,11.2366,855139
2009-04-15,17.21,17.45,17.21,17.39,11.3151,751293
2009-04-16,17.56,17.82,17.39,17.74,11.5428,1137303
2009-04-17,17.77,17.91,17.7,17.84,11.6076,839803
2009-04-20,17.62,18.01,17.45,17.46,11.3603,875588
2009-04-21,17.45,17.8199,17.43,17.61,11.4583,744435
2009-04-22,17.55,17.635,17.33,17.41,11.328,651513
2009-04-23,17.4,17.4,17.03,17.19,11.1847,1092234
2009-04-24,17.36,17.42,17.06,17.17,11.1719,830227
2009-04-27,17.02,17.53,17,17.33,11.2758,620972
2009-04-28,17.28,17.63,17.22,17.37,11.3019,773115
2009-04-29,17.49,17.79,17.35,17.69,11.5099,744518
2009-04-30,17.81,17.87,17.52,17.53,11.4061,842697
2009-05-01,17.47,17.82,17.41,17.79,11.5752,706172
2009-05-04,17.99,18.05,17.67,18.05,11.7445,691374
2009-05-05,18,18.07,17.72,18.01,11.7184,761962
2009-05-06,18.17,18.25,17.83,18.09,11.7705,827115
2009-05-07,18.18,18.35,17.96,17.99,11.7054,1165622
2009-05-08,18.23,18.49,17.87,18.1,11.7767,1415920
2009-05-11,17.9,18.1,17.59,17.61,11.4583,941376
2009-05-12,17.74,17.89,17.3,17.47,11.3672,1332068
2009-05-13,17.33,17.58,17.2,17.25,11.2238,1047063
2009-05-14,17.35,17.51,17.2,17.35,11.2888,853945
2009-05-15,17.28,17.31,16.83,16.96,11.0351,1031511
2009-05-18,17.13,17.46,16.91,17.24,11.2173,937025
2009-05-19,17.28,17.41,17.16,17.29,11.25,745174
2009-05-20,17.35,17.48,17.02,17.07,11.1066,898718
2009-05-21,16.95,16.97,16.6,16.82,10.944,1152960
2009-05-22,16.83,17.02,16.7,16.76,10.905,700937
2009-05-26,16.77,17.48,16.7,17.48,11.3735,1307504
2009-05-27,17.37,17.56,17.25,17.38,11.3084,1083075
2009-05-28,17.47,17.75,17.35,17.62,11.4646,725506
2009-05-29,17.62,17.86,17.49,17.85,11.6144,799133
2009-06-01,18.04,18.5,18,18.42,11.9853,1120124
2009-06-02,18.34,18.52,18.34,18.41,11.9786,1267692
2009-06-03,18.37,18.64,18.14,18.42,11.9853,1654972
2009-06-04,18.38,18.57,18.29,18.51,12.0435,1046249
2009-06-05,18.2,18.36,17.88,18.17,12.0172,1053986
2009-06-08,18.03,18.31,17.64,17.85,11.8058,1001612
2009-06-09,17.86,17.94,17.43,17.53,11.5938,1461011
2009-06-10,17.6,17.83,17.53,17.75,11.7393,1408794
2009-06-11,17.79,18.48,17.78,18.19,12.0305,1172292
2009-06-12,18.16,18.61,17.97,18.53,12.2551,855827
2009-06-15,18.35,18.47,17.89,18.17,12.0172,935292
2009-06-16,18.3,18.37,18.02,18.13,11.9906,703007
2009-06-17,18.12,18.48,18.1,18.39,12.1629,908746
2009-06-18,18.46,18.78,18.4,18.77,12.4142,663230
2009-06-19,18.82,18.99,18.39,18.51,12.2422,1142453
2009-06-22,18.32,18.705,18.21,18.49,12.229,1167338
2009-06-23,18.46,18.53,18.14,18.23,12.057,922303
2009-06-24,18.36,18.42,18.14,18.22,12.0503,1186808
2009-06-25,19.19,19.32,18.39,19.03,12.5859,3867745
2009-06-26,19.07,19.13,18.33,18.43,12.1891,11790301
2009-06-29,18.54,18.82,18.51,18.76,12.4076,1761800
2009-06-30,18.77,18.82,18.47,18.77,12.4142,1211068
