Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,54.29,56.26,54.05,55.99,13.9975,421667
2009-01-05,55.94,56.2,54.17,54.92,13.73,413444
2009-01-06,55.02,55.28,54.28,54.78,13.695,534564
2009-01-07,53.98,55.69,53.92,54.97,13.7425,359760
2009-01-08,54.71,55.85,54.56,55.45,13.8625,628964
2009-01-09,55.45,56.34,54.63,55.66,13.915,684712
2009-01-12,55.66,55.99,54.53,54.89,13.7225,344687
2009-01-13,54.96,55.45,54.58,55.03,13.7575,554279
2009-01-14,54.43,55.74,54.43,55.53,13.8825,572584
2009-01-15,55.53,57.1,55.17,56.6,14.15,811442
2009-01-16,57.44,57.86,56.83,57.32,14.33,509583
2009-01-20,57,57.77,55.26,55.28,13.82,850053
2009-01-21,55.65,57,55.545,56.92,14.23,459541
2009-01-22,56.3,57.15,55.56,56.75,14.1875,611742
2009-01-23,56.22,57.06,55.6101,56.86,14.215,359402
2009-01-26,57,57.8,56.95,57.08,14.27,348790
2009-01-27,57.44,58.5,57.3,57.97,14.4925,392088
2009-01-28,58.5,58.5,56.99,57.53,14.3825,512627
2009-01-29,57.28,57.98,57.1701,57.56,14.39,438363
2009-01-30,57.88,58.11,57.3,57.49,14.3725,399560
2009-02-02,57.06,57.8,56.96,57.32,14.33,610008
2009-02-03,57.31,57.93,56.58,57.4,14.35,622837
2009-02-04,57.6,60.358,56.65,60.01,15.0025,1033059
2009-02-05,59.5,60.41,59.3,60.14,15.035,598663
2009-02-06,59.99,61.2,59.68,61.1,15.275,543165
2009-02-09,61.12,61.98,60.51,61.8,15.45,514598
2009-02-10,61.29,61.76,60.72,61.1,15.275,514441
2009-02-11,61.19,61.98,60.72,61.69,15.4225,460421
2009-02-12,61.02,62.12,60.62,62.09,15.5225,414618
2009-02-13,61.9,63.18,61.56,62.93,15.7325,521693
2009-02-17,61.74,62.22,60.5,61.73,15.4325,615958
2009-02-18,61.86,62.36,61,61.48,15.37,654913
2009-02-19,61.79,61.94,61.25,61.58,15.395,479368
2009-02-20,60.76,62.03,59.81,61.1,15.275,548200
2009-02-23,61.53,61.64,57.74,58.15,14.5375,1347398
2009-02-24,58.53,60.27,58.52,60.11,15.0275,753899
2009-02-25,60.07,60.54,59.58,59.67,14.9175,693603
2009-02-26,60,60.49,57.69,57.93,14.4825,667532
2009-02-27,55.5,57.43,55.03,55.61,13.9025,1018246
2009-03-02,54.79,55.07,53.24,53.32,13.33,677726
2009-03-03,53.55,54.1,52.95,53.12,13.28,970027
2009-03-04,53.73,55.28,53.12,54.52,13.63,788291
