Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,16.1,16.14,15.61,16.04,13.6287,347108
2009-01-05,15.45,15.45,14.46,14.95,12.7025,554153
2009-01-06,15.17,15.22,14.06,14.14,12.0142,819614
2009-01-07,13.96,13.99,13.3,13.59,11.5467,1147154
2009-01-08,13.48,13.48,12.48,13.08,11.1137,992713
2009-01-09,12.61,12.78,12.25,12.27,10.4255,925360
2009-01-12,12.02,12.1,11.52,11.57,9.8303,1018709
2009-01-13,11.51,11.8,11.32,11.77,10.0005,852816
2009-01-14,11.39,11.64,10.85,10.85,9.2187,841641
2009-01-15,10.84,10.84,9.46,9.79,8.3183,1228866
2009-01-16,10.04,10.25,9.378,9.98,8.4797,1183581
2009-01-20,9.74,9.86,8.66,8.66,7.3579,1274238
2009-01-21,8.5,9.61,8.47,9.6,8.1567,1242407
2009-01-22,9.35,9.505,8.61,8.75,7.4345,1252765
2009-01-23,8.51,8.84,8.12,8.82,7.4939,1662816
2009-01-26,8.87,9.3801,8.66,8.97,7.6215,995238
2009-01-27,9.1,9.5,8.95,9.33,7.9274,772997
2009-01-28,9.78,10.65,9.76,10.3,8.7512,1931079
2009-01-29,10.05,10.14,9.42,9.68,8.2248,1700045
2009-01-30,9.82,10.14,9.39,9.49,8.0634,1092262
2009-02-02,9.3,9.61,9.11,9.6,8.1567,913926
2009-02-03,9.66,9.78,8.81,9.19,7.8083,1143626
2009-02-04,9.17,9.63,8.97,9.1,7.7321,752569
2009-02-05,9.04,9.89,8.87,9.58,8.1394,945801
2009-02-06,9.64,10.649,9.64,10.4,8.8551,1258736
2009-02-09,10.31,10.66,10.05,10.41,8.8636,722636
2009-02-10,10.29,10.6,8.93,8.93,7.6037,1006303
2009-02-11,9.55,9.72,8.89,9.17,7.8077,871979
2009-02-12,9,9,8.35,8.89,7.5693,1332881
2009-02-13,8.87,9.01,8.47,8.52,7.2544,903759
2009-02-17,8.3,8.32,7.51,7.51,6.3944,1293006
2009-02-18,7.85,7.96,7.31,7.74,6.59,1317626
2009-02-19,7.84,7.85,7.05,7.06,6.0113,683775
2009-02-20,6.92,7.26,6.59,7.09,6.0369,1439017
2009-02-23,7.2,7.46,6.89,6.9,5.8751,1001068
2009-02-24,6.98,7.41,6.72,7.24,6.1649,1388931
2009-02-25,7.14,7.3,6.6,6.94,5.9091,1974010
2009-02-26,7.09,7.59,7.09,7.17,6.1047,1311134
2009-02-27,7,7.42,6.87,7.11,6.054,1285466
2009-03-02,6.94,6.94,5.93,6.04,5.1426,2159516
2009-03-03,6.17,6.38,5.25,5.37,4.5725,1506717
2009-03-04,5.47,5.79,4.83,4.92,4.1888,2166872
2009-03-05,4.8,4.91,3.62,3.63,3.0908,2725658
2009-03-06,3.48,3.9,3.39,3.69,3.1417,1983982
2009-03-09,3.65,3.86,3.24,3.24,2.7587,1980840
2009-03-10,3.34,3.92,3.34,3.89,3.3122,2330709
2009-03-11,4.07,4.23,3.92,3.94,3.3547,1587483
2009-03-12,3.93,4.66,3.64,4.62,3.9337,1417406
2009-03-13,4.68,5.08,4.5,4.9,4.172,2172424
2009-03-16,5.02,6.15,5.02,5.43,4.6232,2363620
2009-03-17,5.45,5.64,4.69,5.05,4.3,2607167
2009-03-18,4.99,5.51,4.96,5.4,4.5978,1785054
2009-03-19,5.49,5.5,4.63,4.65,3.9594,1839120
2009-03-20,4.72,4.79,4.39,4.44,3.7803,1270861
2009-03-23,4.67,5.42,4.61,5.42,4.6148,1810793
2009-03-24,5.47,5.47,4.71,4.73,4.0275,1089092
2009-03-25,4.83,5.18,4.42,4.87,4.1465,1322553
2009-03-26,4.94,5.17,4.67,5.09,4.3339,955064
