Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,55.75,57.55,54.91,57.17,36.0531,2620200
2009-01-05,57,57.75,56.53,57.34,36.1604,2650900
2009-01-06,57.7,58.98,56.92,57.42,36.2108,3674800
2009-01-07,56.64,57.04,54.92,55.22,34.8234,3344000
2009-01-08,55.19,55.54,54.27,55.35,34.9054,4828100
2009-01-09,56.17,56.17,53.91,54.17,34.1613,2804700
2009-01-12,54.32,55.99,54.15,54.6,34.4324,2892300
2009-01-13,54.45,55.19,52.8,53.25,33.5811,4344600
2009-01-14,52.6,52.99,50.59,52.75,33.2658,4171700
2009-01-15,52.58,53.38,51.7,53.04,33.4487,3955700
2009-01-16,54.12,55.55,53.42,54.8,34.5586,3533100
2009-01-20,54.59,56.99,52.48,52.65,33.2027,4181800
2009-01-21,52.61,53.48,50.76,53.15,33.518,4935500
2009-01-22,52.62,54.66,52.1,53.88,33.9784,3955500
2009-01-23,53.01,54.92,52.01,54.65,34.464,3687500
2009-01-26,54.8,57.24,54.44,56.51,35.6369,4064700
2009-01-27,56.97,57.24,55.22,55.44,34.9622,4718300
2009-01-28,56.29,57.73,55.15,57.24,36.0973,3690600
2009-01-29,56.86,58.24,56.07,56.38,35.555,3437000
2009-01-30,57.97,57.97,53.83,54.22,34.1928,5040000
2009-02-02,53.61,55.7,53.23,55.3,34.8739,4299800
2009-02-03,55.31,57.07,55,56.77,35.8009,3376600
2009-02-04,57.16,58.33,56.77,57.68,36.3748,3713900
2009-02-05,56.82,58.24,56,57.11,36.0153,6014000
2009-02-06,56.91,58.52,56.53,57.81,36.4568,3751300
2009-02-09,57.69,58.66,56.78,57.43,36.2171,2654400
2009-02-10,57,57.79,55.5,56,35.3153,4349100
2009-02-11,56.22,56.74,54.86,55.68,35.4458,3145800
2009-02-12,55.51,55.6,52.38,53.8,34.249,4250100
2009-02-13,53.49,54.49,53.39,53.69,34.179,3090200
2009-02-17,52.52,52.65,50.04,50.42,32.0973,4795800
2009-02-18,50.25,50.39,48.63,49.11,31.2634,3784000
2009-02-19,49.56,50.22,49.14,49.68,31.6262,3909400
2009-02-20,49.02,49.36,46.55,47.94,30.5186,5511500
2009-02-23,47.48,48.87,46.13,46.32,29.4873,4689000
2009-02-24,46.67,49.17,46.18,48.7,31.0024,5184200
2009-02-25,48.52,49.55,47.78,48.69,30.996,4591800
2009-02-26,49.15,49.9,47.69,47.88,30.4804,3917600
2009-02-27,47.07,48.14,46,47.22,30.0602,5290700
2009-03-02,46.24,47.51,46.17,46.48,29.5891,5421700
2009-03-03,46.93,47.54,44.57,44.66,28.4305,4532400
2009-03-04,44.99,46.47,44.88,45.78,29.1435,5893400
2009-03-05,45.36,45.36,43.49,44.16,28.1122,6236000
2009-03-06,44.54,46,43.29,44.65,28.4241,5850800
2009-03-09,44.21,45.01,43.25,43.84,27.9085,3693900
2009-03-10,44.79,46,42.26,42.57,27.1,10692400
2009-03-11,42.01,42.54,38.41,40.15,25.5595,12872100
2009-03-12,40.05,41.5,39.59,41.38,26.3425,8928900
2009-03-13,41.83,42.24,41.16,42.02,26.7499,5416400
2009-03-16,42.11,44.14,41.53,43.22,27.5138,6173000
2009-03-17,43.35,44.14,42.75,44.1,28.074,4604600
2009-03-18,43.9,44.92,42.53,44.57,28.3732,5686300
2009-03-19,44.98,45.1,43.5,44.81,28.526,5082200
2009-03-20,44.86,45.07,43.57,43.76,27.8576,5468600
2009-03-23,44.64,45.77,44.03,45.69,29.0862,4151300
2009-03-24,45.04,46,44.59,44.61,28.3987,3894000
2009-03-25,45.12,45.8,44,44.6,28.3923,4444200
2009-03-26,45,46.03,44.44,45.89,29.2135,3991900
2009-03-27,45.38,46.06,44.37,45.74,29.118,3200700
2009-03-30,44.71,45.33,43.01,44.73,28.475,3565500
2009-03-31,45.03,46.11,44.79,45.39,28.8952,3886500
2009-04-01,44.89,45.86,44.55,45.28,28.8252,3051200
2009-04-02,46.12,47.8,45.52,46.88,29.8437,4928800
2009-04-03,46.77,48.83,46.75,48.6,30.9387,4602100
2009-04-06,48.23,48.9,47.38,47.71,30.3721,4103600
2009-04-07,46.85,47.75,46.49,47.28,30.0984,2514000
2009-04-08,47.31,47.97,46.8,47.87,30.474,2688500
2009-04-09,48.82,49.55,47.01,47.81,30.4358,2909500
2009-04-13,47.74,47.74,46.61,47.1,29.9838,2884400
2009-04-14,47.09,47.19,46.3,46.5,29.6018,3217300
2009-04-15,46.46,48.17,45.29,46.95,29.8883,3866700
2009-04-16,47.34,47.34,45.25,45.72,29.1053,5483900
2009-04-17,45.98,46.52,45.26,46.14,29.3727,4903800
2009-04-20,45.5,46.07,45.2,45.7,29.0926,3953600
2009-04-21,45.56,46.17,45.33,45.99,29.2772,3295800
2009-04-22,45.69,46.27,45.28,45.52,28.978,3549700
2009-04-23,45.33,46.17,44.65,45.78,29.1435,3392800
2009-04-24,46.33,46.42,44.42,44.72,28.4687,4478100
2009-04-27,44.75,46.36,44.24,46,29.2836,3911700
2009-04-28,45.66,46.05,44.96,45.15,28.7424,3309600
2009-04-29,45.58,46.39,45.51,45.94,29.2453,3371100
2009-04-30,46.46,46.89,45.45,46.13,29.3663,4800500
2009-05-01,46.24,47.08,45.96,46.98,29.9074,4465600
2009-05-04,47.37,47.76,46.66,47.64,30.3276,4486900
2009-05-05,47.36,47.77,47.03,47.46,30.213,2883400
2009-05-06,47.97,48.11,46.89,47.2,30.0475,4206300
2009-05-07,47.62,48.24,46.77,48.21,30.6904,5569400
2009-05-08,48.68,51.37,48.58,50.15,31.9254,6772500
2009-05-11,49.63,50.78,49.51,50.26,31.9955,3297400
2009-05-12,50.5,51.46,50.03,51.16,32.5684,3679400
2009-05-13,49.95,50.11,48.84,49.21,31.6518,5972100
2009-05-14,49.34,49.83,48.4,48.91,31.4589,3553700
2009-05-15,48.58,48.6,46.15,47.22,30.3719,5424000
2009-05-18,47.21,47.7,45.53,46.07,29.6322,5392300
2009-05-19,45.9,47.52,45.79,47.13,30.314,4391300
2009-05-20,47.58,47.58,46.23,46.37,29.8251,3816800
2009-05-21,45.85,46.01,45.3,45.92,29.5357,3515500
2009-05-22,45.94,47.28,45.9,46.64,29.9988,3053500
2009-05-26,46.74,48.04,45.7,47.87,30.7899,3903900
2009-05-27,47.8,48.25,46.93,47.14,30.3204,4094000
2009-05-28,47.55,48.52,47.24,47.89,30.8028,4361600
2009-05-29,48.25,48.47,47.38,48.01,30.88,4615800
2009-06-01,48.58,49.73,48.13,49.27,31.6904,5519100
2009-06-02,49.05,49.78,48.47,48.55,31.2273,4572800
2009-06-03,48.15,48.45,46.23,46.85,30.1339,4279200
2009-06-04,47.28,48.52,47.1,48.27,31.0472,3860600
2009-06-05,48.66,49.12,47.67,48.46,31.1694,3153700
2009-06-08,48.39,48.39,46.9,47.45,30.5198,2542600
2009-06-09,47.7,48.32,47.56,47.88,30.7964,2357100
2009-06-10,48.42,50.61,48.42,50.33,32.3722,7003700
2009-06-11,50.14,51.21,50.01,50.13,32.2436,6310000
2009-06-12,50.04,51.09,49.28,50.58,32.533,3515500
2009-06-15,50.41,50.46,48.44,49.19,31.639,3341900
2009-06-16,49.26,49.88,48.68,48.93,31.4717,3128100
2009-06-17,49.06,49.36,48.15,48.43,31.1501,3434700
2009-06-18,49.39,50.68,49.15,50.46,32.4558,4253700
2009-06-19,50.82,51,49.6,49.94,32.1214,4814200
2009-06-22,49.42,49.9,48.93,48.99,31.5103,2874300
2009-06-23,48.99,49.96,48.42,49.46,31.8126,4629000
2009-06-24,49.43,50.23,49.39,50.15,32.2565,3988400
2009-06-25,49.86,51.42,49.54,51,32.8032,9505500
2009-06-26,51.07,51.28,50.5,50.7,32.6102,6507600
2009-06-29,51,51.06,50.09,50.48,32.4687,5664000
2009-06-30,50.57,51.38,50.28,51.21,32.9382,7678400
2009-07-01,51.57,52.16,51.22,51.56,33.1634,3701600
2009-07-02,51,51,48.94,49.37,31.7547,7492100
2009-07-06,48.99,49.3,47.93,48.98,31.5039,4587500
2009-07-07,48.99,49.16,47.56,47.75,30.7128,4730800
2009-07-08,48.57,48.89,47.76,48.21,31.0086,4687000
2009-07-09,48.89,49.17,47.89,48.44,31.1566,3366200
2009-07-10,48.26,48.8,47.3,48.34,31.0923,3943200
2009-07-13,48.56,49.77,48.25,49.53,31.8577,4008700
2009-07-14,49.7,50.19,49.16,50.08,32.2114,3621100
2009-07-15,50.59,51.73,50.35,51.66,33.2277,5525100
2009-07-16,51.53,52.08,50.89,51.93,33.4013,3056600
2009-07-17,51.8,52.09,50.66,51.42,33.0733,3129600
2009-07-20,51.7,52.06,51.01,52.05,33.4785,3652200
2009-07-21,51.46,53.66,51.46,53.33,34.3018,7859000
2009-07-22,53.01,53.44,52.01,52.61,33.8387,3918000
2009-07-23,52.5,54.45,52,54.03,34.7521,4964700
2009-07-24,54.14,54.47,52.89,54.44,35.0158,4651200
2009-07-27,53.68,54.44,52.16,52.73,33.9159,5604700
2009-07-28,52.51,52.73,51.3,52.02,33.4592,4713000
2009-07-29,51.8,51.99,50.86,51.35,33.0283,4198000
2009-07-30,51.92,52.57,51.39,51.81,33.3242,3758900
2009-07-31,51.52,52.17,50.71,50.86,32.7131,3999500
2009-08-03,51.33,51.53,50.84,51.42,33.0733,3794200
2009-08-04,51.14,51.45,50.64,50.92,32.7517,2941500
2009-08-05,50.97,51.11,49.58,49.93,32.115,4181400
2009-08-06,50.05,50.28,49.07,49.61,31.9091,4412000
2009-08-07,49.93,50.4,49.52,50.04,32.1857,2601400
2009-08-10,49.77,50.48,49.42,50.42,32.4301,2217000
2009-08-11,50.33,50.65,49.81,50.41,32.4237,2347200
2009-08-12,50,50.39,49.52,49.99,32.4919,2591100
2009-08-13,49.97,50.44,49.38,50.35,32.7259,2624600
2009-08-14,50.05,50.68,49.26,49.98,32.4854,2710200
2009-08-17,49.53,49.97,48.73,49.27,32.0239,2154500
2009-08-18,49.38,49.38,48.74,49.22,31.9914,2025700
