Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,8.21,8.79,8.1,8.79,15.5052,2044301
2009-01-05,8.79,9.25,8.72,9.2,16.2278,2605596
2009-01-06,9.27,9.75,9.12,9.54,16.8286,3371007
2009-01-07,9.5,9.55,8.82,8.97,15.8232,2416559
2009-01-08,8.57,9.51,8.57,9.51,16.7746,5817050
2009-01-09,9.25,9.51,9,9.15,16.1404,2560721
2009-01-12,8.97,9.25,8.37,8.64,15.2408,4285792
2009-01-13,8.36,9.07,8.36,8.99,15.8576,3882232
2009-01-14,8.81,8.98,8.66,8.7,15.3466,3334023
2009-01-15,8.43,9.39,8.43,9.14,16.1222,3829685
2009-01-16,9.44,9.49,8.79,9.14,16.1222,2960458
2009-01-20,9.04,9.14,8.13,8.14,14.3584,4470744
2009-01-21,8.07,8.47,8.07,8.46,14.9228,3700894
2009-01-22,8.2,8.39,7.85,8.16,14.3946,4253710
2009-01-23,7.98,8.41,7.85,8.27,14.588,3300142
2009-01-26,8.1,8.5,8.06,8.28,14.6056,1988545
2009-01-27,8.3,8.63,8.23,8.58,15.1348,3825446
2009-01-28,8.78,9.43,8.61,9.3,16.4042,4359937
2009-01-29,9.21,9.28,8.92,9.03,15.9282,3990169
2009-01-30,9.29,9.64,8.92,8.93,15.7518,4098358
2009-02-02,8.8,9.01,8.56,8.91,15.7168,3008689
2009-02-03,8.95,9.2,8.73,9.15,16.1404,2425724
2009-02-04,9.23,9.5,9.095,9.27,16.352,4176657
2009-02-05,8.87,9.62,8.87,9.53,16.8106,3205472
2009-02-06,9.51,10.345,9.33,9.96,17.5688,4682161
2009-02-09,9.96,9.96,9.67,9.79,17.269,2686555
2009-02-10,9.66,9.81,9.12,9.15,16.1404,4401583
2009-02-11,9.08,9.43,9,9.19,16.2104,2549399
2009-02-12,9.03,9.26,8.79,9.1,16.0524,4562611
2009-02-13,9.14,9.33,8.97,9.17,16.1754,3279124
2009-02-17,8.65,9.03,8.19,8.35,14.7292,4994983
2009-02-18,8.49,8.61,8.06,8.53,15.0466,4052307
2009-02-19,7.76,8.54,7.49,7.9,13.9352,7759135
2009-02-20,7.84,8.09,7.49,7.74,13.6534,7208024
2009-02-23,8.19,8.5,7.78,7.85,13.847,4232123
