Date,Open,High,Low,Close,Adjusted_close,Volume
2011-09-16,11.9,12.93,11,12.7,11.68,969894
2011-09-19,12.25,13.78,12,13.78,12.6734,665400
2011-09-20,13.98,14.02,13.33,13.7,12.6,794825
2011-09-21,13.8,14,13.18,13.4,12.3239,619015
2011-09-22,13.09,13.25,12.4,13.2,12.1403,1230488
2011-09-23,13.4,13.4,12.02,12.25,11.2663,406175
2011-09-26,12.39,12.67,11.39,12.67,11.6526,181854
2011-09-27,12.75,14.34,12.75,13.37,12.2966,1788004
2011-09-28,13.29,13.7,12.75,12.85,11.8182,251689
2011-09-29,13,13.25,12.67,13.17,12.1125,222290
2011-09-30,13.03,13.25,12.06,12.4,11.404,623140
2011-10-03,12,12.68,11.75,12.3,11.3126,23632234
2011-10-04,12.19,13.25,11.05,12.3,11.3126,6068137
2011-10-05,11.55,12.3,11.26,12.2,11.2204,1982954
2011-10-06,11.9,12.98,11.9,12.76,11.7356,3333556
2011-10-07,12.59,13,12.27,12.35,11.3585,2049856
2011-10-10,12.35,12.44,11.99,12.37,11.3767,1922446
2011-10-11,11.5,12.76,11.48,12.48,11.4779,3015144
2011-10-12,12.46,12.8,12.38,12.6,11.5883,3255075
2011-10-13,12.4,12.77,12.15,12.62,11.6066,3575238
2011-10-14,12.62,13.07,12.38,13.01,11.9653,1658695
2011-10-17,13.03,13.73,13,13.72,12.6185,1767585
2011-10-18,13.8,15.25,13.78,14.48,13.3171,5257331
2011-10-19,14.33,15.25,14.33,15.06,13.8508,3400059
2011-10-20,14.91,15.24,14.68,14.93,13.7314,1252869
2011-10-21,15.11,15.49,14.78,14.95,13.7496,1741267
2011-10-24,14.92,16.4,14.92,15.8,14.5315,2008793
2011-10-25,15.74,15.83,14.75,14.78,13.5932,2284830
2011-10-26,14.71,15.33,14.51,14.88,13.6851,856825
2011-10-27,14.98,15.9,14.97,15.42,14.1819,1132761
2011-10-28,15.27,15.33,14.76,14.92,13.7219,1000623
2011-10-31,14.7,15.26,14.46,14.53,13.3634,1162112
2011-11-01,14.26,14.91,14.11,14.67,13.4921,1174822
2011-11-02,14.8,15.5,14.62,15.07,13.8599,1289198
2011-11-03,15.42,15.5,14.5,15,13.7957,2279821
2011-11-04,14.77,15.06,14.72,15,13.7957,611628
2011-11-07,14.88,14.98,14.66,14.79,13.6024,1101910
2011-11-08,14.83,15.53,14.8,15.09,13.8782,708763
2011-11-09,14.87,15.15,14.8,14.9,13.7037,1301308
2011-11-10,14.91,15.81,14.85,15.7,14.4394,801667
2011-11-11,15.88,16,15.12,15.25,14.0257,476895
2011-11-14,15.11,15.49,14.92,15.03,13.8233,325857
2011-11-15,14.94,15.72,14.8,15.49,14.2463,569380
2011-11-16,15.31,15.47,14.95,15.04,13.8323,703148
2011-11-17,14.95,15.62,14.88,15.53,14.2828,699085
2011-11-18,15.64,15.69,15.38,15.51,14.2645,449495
2011-11-21,15.25,15.35,14.98,15.26,14.0345,706737
2011-11-22,15.15,15.44,15.15,15.37,14.1358,428687
2011-11-23,15.23,15.44,15,15.31,14.0805,501134
2011-11-25,15.2,15.5,15.15,15.45,14.2093,95912
2011-11-28,15.81,16,15.49,15.97,14.6878,507548
2011-11-29,15.96,16.39,15.67,16.01,14.7248,461702
2011-11-30,16.37,16.74,16.21,16.68,15.3405,2037185
2011-12-01,16.61,16.8,15.94,15.99,14.706,663984
2011-12-02,16.19,16.57,16.15,16.52,15.1936,950575
2011-12-05,16.69,16.84,16.34,16.45,15.1293,406513
2011-12-06,16.48,16.69,16.3,16.47,15.1476,787712
2011-12-07,16.26,16.64,15.75,16.45,15.1293,538736
2011-12-08,16.15,16.54,15.9501,16.41,15.0925,707663
2011-12-09,16.39,17.09,16.32,17.01,15.6441,787162
2011-12-12,16.87,16.94,16.16,16.32,15.0098,563276
2011-12-13,16.33,16.48,15.68,15.78,14.513,313631
2011-12-14,15.68,16.05,15.4,15.98,14.6971,377821
2011-12-15,16.12,16.53,15.7,15.91,14.6325,797632
2011-12-16,15.92,15.97,15.33,15.59,14.3385,2164401
2011-12-19,15.61,15.92,15.2,15.33,14.0992,778042
2011-12-20,15.56,15.82,15.53,15.75,14.4854,513464
2011-12-21,15.69,16.3875,15.65,16.2,14.8995,775906
2011-12-22,16.31,16.53,16.22,16.45,15.1293,1535439
2011-12-23,16.52,16.84,16.5,16.7,15.3592,305372
2011-12-27,16.59,16.84,16.5206,16.65,15.3131,171982
2011-12-28,16.6,16.65,16.34,16.39,15.0737,598952
2011-12-29,16.36,16.72,16.23,16.64,15.304,537205
2011-12-30,16.62,17.04,16.62,17.03,15.6627,402055
2012-01-03,17.26,17.36,16.76,16.82,15.4695,1442178
2012-01-04,16.75,17.1,16.72,17.03,15.6627,1958428
2012-01-05,16.93,17.7,16.88,17.33,15.9385,1579900
2012-01-06,17.37,18,17.08,17.65,16.2329,642105
2012-01-09,17.69,17.93,17.27,17.78,16.3523,654789
2012-01-10,18,18.105,17.72,18.02,16.5731,691884
2012-01-11,17.9,18.02,17.75,17.98,16.5364,3590610
2012-01-12,18.32,18.35,17.977,18.29,16.8213,1250395
2012-01-13,18.18,18.35,17.82,18.22,16.7572,564301
2012-01-17,18.3,18.375,17.81,17.92,16.4811,496025
2012-01-18,17.89,18,17.58,17.81,16.3798,1438165
2012-01-19,17.82,18.17,17.77,18.1,16.6466,596083
2012-01-20,18.12,18.12,17.77,17.89,16.4536,1201843
2012-01-23,17.86,18.04,17.6,17.78,16.3523,1738001
2012-01-24,17.71,17.86,17.52,17.86,16.4261,318773
2012-01-25,17.85,17.9,17.56,17.9,16.4627,975385
2012-01-26,17.89,17.9817,17.7,17.91,16.472,667393
2012-01-27,17.87,18.0291,17.8,17.95,16.5088,424875
2012-01-30,17.75,18.35,17.74,18.32,16.8491,704958
2012-01-31,18.36,18.66,18.36,18.57,17.0789,703587
2012-02-01,18.54,19.2,18.5,18.89,17.3733,2145795
2012-02-02,18.87,19.25,18.58,19.25,17.7045,837945
2012-02-03,19.32,19.83,19.32,19.55,17.9802,1732836
2012-02-06,19.44,19.44,18.8,18.84,17.3272,907468
2012-02-07,18.8,18.8,18.28,18.65,17.1525,1368992
2012-02-08,18.64,19.14,18.51,19.11,17.5756,1063886
2012-02-09,19.1,19.32,18.935,19.22,17.6769,957166
2012-02-10,19.06,19.39,18.97,19.34,17.7872,1215194
2012-02-13,19.41,19.53,19.11,19.52,17.9525,803195
2012-02-14,19.36,19.8,19.26,19.72,18.1365,929362
2012-02-15,19.9,20.15,19.33,19.49,17.9248,1058641
2012-02-16,19.44,19.66,19.3,19.52,17.9525,650888
2012-02-17,19.56,19.73,19.3,19.32,17.7686,470226
2012-02-21,19.31,19.64,19.3,19.46,17.8976,668047
2012-02-22,19.4,19.46,19.2,19.24,17.6949,922546
2012-02-23,19.16,19.77,18.85,19.75,18.164,1001730
2012-02-24,19.68,19.8,19.29,19.41,17.8515,631868
2012-02-27,19.31,19.55,19.23,19.45,17.8881,802017
2012-02-28,19.44,19.56,19.22,19.24,17.6949,1669468
2012-02-29,19.29,19.515,19.24,19.34,17.7872,1533710
2012-03-01,19.5,19.5,19.19,19.37,17.8148,1196416
2012-03-02,19.33,19.43,19,19.15,17.6122,979467
2012-03-05,19.11,19.28,19.004,19.25,17.7045,698387
2012-03-06,19.08,19.12,18.77,19.02,17.4929,1442723
2012-03-07,19.13,19.52,18.86,19.5,17.9344,2065411
2012-03-08,19.65,20.24,19.5,20.13,18.5139,1058488
2012-03-09,20.09,20.98,19.95,20.95,19.268,903046
2012-03-12,20.17,21.18,20.17,21.02,19.332,1441775
2012-03-13,21.12,21.91,21.05,21.57,19.838,1588523
2012-03-14,21.49,21.589,20.87,21.23,19.5254,724191
2012-03-15,21.23,21.34,21,21.3,19.5897,1316217
2012-03-16,21.33,21.53,20.89,21.41,19.691,7184100
2012-03-19,21.46,21.6,21.26,21.45,19.7277,1483458
2012-03-20,21.3,21.35,20.96,21.16,19.461,598695
2012-03-21,21.19,21.25,20.81,21.12,19.4242,766313
2012-03-22,21.04,21.32,20.86,21.29,19.5805,1309122
2012-03-23,21.19,21.36,20.97,21.33,19.6172,2046131
2012-03-26,21.45,21.7,21.42,21.61,19.8748,803929
2012-03-27,21.57,21.95,21.5,21.65,19.9117,1284684
2012-03-28,21.59,22.25,21.55,22.25,20.4636,2144071
2012-03-29,22.08,22.25,21.85,22.2,20.4177,684606
2012-03-30,22.28,22.32,21.96,22.07,20.2979,805520
2012-04-02,22,22.02,21.7,21.71,19.9669,1340291
2012-04-03,21.69,21.7,21.46,21.61,19.8748,1175039
2012-04-04,21.41,21.51,20.99,21.34,19.6266,1287836
2012-04-05,21.33,21.63,21.16,21.38,19.6633,1556727
2012-04-09,21.05,21.09,20.88,21,19.3139,1041777
2012-04-10,20.92,20.94,20.05,20.21,18.5874,1883351
2012-04-11,20.37,20.67,20.19,20.54,18.8907,652466
2012-04-12,20.53,21.12,20.52,20.99,19.3047,596669
2012-04-13,20.9,21.07,20.64,20.69,19.0289,2775106
2012-04-16,20.77,20.84,20.37,20.72,19.0564,589768
2012-04-17,20.82,21.14,20.68,20.7,19.0378,2613939
2012-04-18,20.59,20.77,20.425,20.67,19.0101,1093008
2012-04-19,20.69,20.84,20.19,20.42,18.7805,766212
2012-04-20,20.47,20.79,20.14,20.7,19.0378,4172927
2012-04-23,20.39,20.55,20.15,20.39,18.753,688868
2012-04-24,20.33,20.61,20.17,20.45,18.8078,819034
2012-04-25,20.62,20.9,20.56,20.72,19.0564,2184068
2012-04-26,20.73,20.99,20.57,20.64,18.9825,2013907
2012-04-27,21.1,22.61,20.43,22.53,20.7208,9761474
2012-04-30,22.43,22.8,22.37,22.74,20.914,1777337
2012-05-01,23.08,23.85,22.51,23.44,21.558,3565111
2012-05-02,23.71,24.02,23.39,23.87,21.9533,2965805
2012-05-03,23.8,24.05,23.24,23.38,21.5029,1357807
2012-05-04,23.13,23.52,23.085,23.37,21.4934,887186
2012-05-07,23.27,23.66,23.24,23.4,21.5213,768575
2012-05-08,23.29,23.29,22.58,23.13,21.2728,1398506
2012-05-09,22.92,23.08,22.64,22.95,21.1073,826289
2012-05-10,23.07,23.46,22.97,23.18,21.3186,1183629
2012-05-11,23.02,24.11,23.02,24.04,22.1099,1194904
2012-05-14,23.75,24.08,23.37,23.74,21.8336,1037535
2012-05-15,23.61,23.85,23.22,23.62,21.7233,1645591
2012-05-16,23.66,24.02,23.4,23.55,21.659,979055
2012-05-17,23.6,23.6,22.4,22.5,20.6934,1165589
2012-05-18,22.56,22.59,21.67,21.78,20.0313,1891045
2012-05-21,21.84,22.13,21.5,22.11,20.3342,1507097
2012-05-22,22.16,22.27,21.97,22.05,20.2797,1569179
2012-05-23,21.86,22.17,21.67,22,20.2333,1240737
2012-05-24,22.09,22.46,22.03,22.36,20.5648,1269780
2012-05-25,22.47,22.73,22.31,22.6,20.7853,823456
