Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,24.88,26.96,24.8,26.74,10.4356,16145959
2009-01-05,26.5,29.34,26.25,28.22,11.0132,25682349
2009-01-06,29.56,31.44,29.04,30.81,12.0239,35454870
2009-01-07,29.61,30.04,27.83,27.99,10.9234,25195194
2009-01-08,27.39,29.35,27.06,29.25,11.4152,20369406
2009-01-09,29.77,29.98,27.9125,28.75,11.22,16379820
2009-01-12,27.54,27.68,25.13,25.44,9.9281,20290102
2009-01-13,24.89,26.36,24.6,25.8,10.0688,20970095
2009-01-14,24.93,24.98,22.13,23.03,8.9877,33370468
2009-01-15,23.34,23.99,21.97,23.69,9.2454,25177362
2009-01-16,25.7,25.93,23.155,24.4,9.5222,28043571
2009-01-20,23.75,24.4,22.02,22.14,8.6405,23070238
2009-01-21,22.56,23.54,21.67,23.5,9.1711,25763860
2009-01-22,22.64,22.98,21.9,22.56,8.8044,20773138
2009-01-23,21.77,24.06,21.16,22.81,8.9018,27108872
2009-01-26,23.57,26.29,22.92,24.94,9.7331,34813161
2009-01-27,25.38,26.2,24.69,25.63,10.0023,21392210
2009-01-28,26.35,28.38,26.29,28.07,10.9548,29536229
2009-01-29,26.93,27.36,26.25,26.68,10.4122,21296787
2009-01-30,27.12,27.13,24.77,25.14,9.8111,20073105
2009-02-02,24.22,25.6075,24.22,24.59,9.5965,19193363
2009-02-03,25.23,25.87,24.68,25.17,9.8228,19682026
2009-02-04,27.23,28.12,26.43,27.28,10.6462,36420882
2009-02-05,27,28.88,26.64,28.35,11.0639,31186714
2009-02-06,29.31,30.49,29.22,29.81,11.6336,31227192
2009-02-09,30.2,31.25,28.86,29.32,11.4425,29071356
2009-02-10,29.39,30.03,26.8,27.29,10.6503,23459902
2009-02-11,27.81,28.73,27.05,27.92,10.896,25853612
2009-02-12,27.5,29.68,27.1,29.4,11.4737,25562259
2009-02-13,29.64,30.9,29.52,30.51,11.9068,24519296
2009-02-17,28.8,28.94,27.05,27.12,10.5838,24928413
2009-02-18,27.65,28.65,26.56,28.44,11.0989,35771933
2009-02-19,29.35,29.69,27.95,28.27,11.0327,24031004
2009-02-20,27.52,29.19,27.08,28.78,11.2316,22926266
2009-02-23,29.43,29.5,26.13,26.34,10.2795,23107342
2009-02-24,26.76,28.16,26.08,27.99,10.9234,21354208
2009-02-25,28.75,29.97,27.81,29.32,11.4425,28377728
2009-02-26,30.02,31.91,29.81,30.09,11.7429,25668613
2009-02-27,28.77,31.39,28.39,30.42,11.8717,23943302
2009-03-02,29.51,29.83,26.32,26.49,10.338,30797790
2009-03-03,27.72,29.14,27.15,28.41,11.0873,27564861
2009-03-04,31,32.92,30.47,32.21,12.5703,45365448
2009-03-05,30.78,32.3,30.51,31.65,12.3517,28399924
2009-03-06,32.89,34.39,32.49,33.88,13.2219,32656396
2009-03-09,32.81,34.42,32.09,32.32,12.6132,27165430
2009-03-10,33.76,34.75,33.2,34.17,13.3351,30090910
2009-03-11,34.45,36.06,33.97,35.56,13.8777,28877464
2009-03-12,35.18,36.97,35.05,36.76,14.3459,25935782
2009-03-13,38,38,36.16,37.04,14.4552,24562240
2009-03-16,37.63,38.43,36.76,37.26,14.5412,22394389
2009-03-17,36.22,37,35.25,36.93,14.4121,21576277
2009-03-18,36.48,38.02,34.35,37.87,14.7792,33998397
2009-03-19,40.35,42.62,39.86,40.04,15.6261,35994091
2009-03-20,40.97,41.5,38.61,39,15.2201,20951370
2009-03-23,40.74,42.14,39.76,41.87,16.3401,19888058
2009-03-24,40.61,41.83,39.8,40.89,15.9577,17596037
2009-03-25,41.25,42.7,39.25,40.66,15.868,21384236
2009-03-26,42.07,43.45,41.94,43.05,16.8007,23320972
2009-03-27,41.63,42.89,41.32,42.12,16.4377,15344537
2009-03-30,40.14,40.27,37.85,38.53,15.0366,22003343
2009-03-31,39.09,39.19,36.52,38.11,14.8729,27700826
2009-04-01,36.95,40,36.6,39.71,15.4972,19666565
2009-04-02,41.48,42.87,41.35,41.57,16.2231,21676376
2009-04-03,41.4,43.75,41.25,42.67,16.6524,20078886
2009-04-06,41.37,41.84,40.36,41.75,16.2933,15915102
2009-04-07,40.95,42.71,40.9,41.36,16.1411,17873914
2009-04-08,41.62,42.1,39.68,40.62,15.8524,16031033
2009-04-09,42.84,44.26,42.1675,44.1,17.2104,19757919
2009-04-13,45.02,46.02,43.36,45.59,17.7918,17941055
2009-04-14,45.23,46.22,44.15,44.26,17.2728,17445888
2009-04-15,44.35,44.92,43.65,44.8,17.4837,16519603
2009-04-16,44.92,45,42.65,43.74,17.0699,17487091
2009-04-17,43.56,43.79,42.46,43.4,16.9373,14576108
2009-04-20,41.03,41.5,38.8725,39.11,15.2631,18183213
2009-04-21,38.05,40.75,38,40.73,15.8953,16182292
2009-04-22,39.41,42.73,39.05,40.45,15.7859,22950559
2009-04-23,40.02,40.29,38.53,39.16,15.2825,16317121
2009-04-24,40.1,41.39,39.56,40.93,15.9733,15540205
2009-04-27,39.46,40.5,38.9,39.68,15.4855,13069827
2009-04-28,38.7,39.33,38.18,38.27,14.9352,15760646
2009-04-29,39.28,41.5901,39.05,40.96,15.985,17284267
2009-04-30,42,43.47,41.53,42.65,16.6445,18171757
2009-05-01,42.59,45.6,42.46,44.48,17.3587,17018131
2009-05-04,46.1,48.68,45.94,48.64,18.9823,21645625
2009-05-05,48.86,50.48,47.39,50.01,19.5168,19960436
2009-05-06,51.82,52.99,51.23,51.85,20.235,22130841
2009-05-07,52.65,52.65,48.16,49.04,19.1385,18407636
2009-05-08,50.39,52.21,49.92,51.8,20.2154,16564951
2009-05-11,50.05,51.08,49.07,50.98,19.8954,12309912
2009-05-12,51.39,52.17,47.62,49.11,19.1656,17571730
2009-05-13,47.12,48.11,45.55,46.01,17.9559,17277586
2009-05-14,45.66,47.26,44.53,46.11,17.9947,16565039
2009-05-15,46.46,47.2,44.55,45.17,17.6281,15348863
2009-05-18,46.14,48.72,46.02,48.67,18.9938,14723268
2009-05-19,49.31,50.5,48.73,49.52,19.3256,12032248
2009-05-20,50.34,52.35,49.69,50,19.5131,13330165
2009-05-21,48.94,49.38,47.9,48.65,18.9861,14584661
2009-05-22,49.62,49.94,48.22,48.34,18.865,11691005
2009-05-26,47.24,50.53,46.58,49.99,19.5091,11984906
2009-05-27,50.27,51.99,49.61,49.75,19.4155,15082095
2009-05-28,50.62,53.04,49.97,52.2,20.3715,17443693
2009-05-29,53.88,54.45,52.63,54.43,21.2418,16645018
2009-06-01,56.69,59.45,56.6,58.12,22.6819,19600343
2009-06-02,57.7,58.98,56.44,56.88,22.198,17350853
2009-06-03,55.99,56.2,52.1,53.66,20.9414,20783210
2009-06-04,54.36,56.655,53.38,56.33,21.9832,15186908
2009-06-05,56.5,58.45,55.12,57.16,22.3072,17456815
2009-06-08,55.89,57,54.72,56.48,22.0418,11640360
2009-06-09,57.31,59.58,56.56,58.96,23.0096,17089230
2009-06-10,60.15,60.76,57.9,59.89,23.3728,20655818
2009-06-11,60.16,61.55,59.3,60.42,23.5794,18349700
2009-06-12,59.4,60.27,58.09,58.51,22.8341,17173569
2009-06-15,56.96,57.13,55.125,55.14,21.519,16698059
2009-06-16,56.15,56.4,52.01,52.39,20.4457,23552009
2009-06-17,51.26,51.48,48.75,50.48,19.7004,28232686
2009-06-18,50.12,51.41,49.31,50.5,19.7081,17161792
2009-06-19,51.51,52.38,50.3,50.93,19.8761,15793996
2009-06-22,48.95,48.97,45.09,45.18,17.6319,25258477
2009-06-23,46.34,47.8,45.7,47.18,18.4124,23252188
