Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,48.52,49.99,48.11,49.66,29.4878,1890514
2009-01-05,49.54,52,49.43,51.78,30.7466,3376712
2009-01-06,50.51,52.07,50.5,51.25,30.4318,3425094
2009-01-07,50.6,51.1,48.39,48.51,28.8049,3068054
2009-01-08,48.19,48.47,47.02,47.76,28.3594,3116011
2009-01-09,47.68,49.44,47.39,48.9,29.0368,2316160
2009-01-12,48.93,49.88,48.26,48.68,28.9061,1931678
2009-01-13,48.59,48.59,47.12,47.85,28.4132,2224517
2009-01-14,47.16,48.45,45.81,48.08,28.5496,3547190
2009-01-15,47.96,49.09,47.49,49,29.096,2895526
2009-01-16,49.62,50.36,49.17,50.03,29.7075,2528472
2009-01-20,49.88,50.63,49.04,49.09,29.1493,2140954
2009-01-21,49.71,50.3,48.48,49.95,29.66,3509252
2009-01-22,49.54,51.17,49.01,50.5,29.9868,3465998
2009-01-23,49.64,50,48.67,49.57,29.4342,2468227
2009-01-26,49.57,52,49.28,51.64,30.6632,2680933
2009-01-27,51.81,52.26,51.39,51.59,30.6338,2436960
2009-01-28,51.92,52.52,51.54,52.11,30.9428,2188927
2009-01-29,52.09,52.85,51.57,52.57,31.2159,2824918
2009-01-30,52.62,52.75,49.66,49.99,29.6838,2839230
2009-02-02,49.6,51.19,49.12,50.81,30.1705,2567554
2009-02-03,51,51.81,50.33,51.58,30.6279,2027358
2009-02-04,51.62,52,50.45,50.97,30.5919,2249077
2009-02-05,50.99,52.51,50.6,51.95,31.1799,2942908
2009-02-06,52.31,53.63,51.08,52.96,31.7862,2796035
2009-02-09,52.68,53.38,51.92,52.81,31.6961,2363800
2009-02-10,52.33,52.81,51.18,51.74,31.0539,3340912
2009-02-11,51.91,51.92,50.92,51.56,30.9457,2342642
2009-02-12,50.54,51.75,49.99,51.75,31.06,3281746
2009-02-13,51.65,52.32,51.25,51.36,30.8261,1580685
2009-02-17,50.72,50.72,47.86,48,28.8093,3094640
2009-02-18,48.14,48.32,46.91,47.23,28.3471,2702167
2009-02-19,47.48,48.93,47.48,48.22,28.9412,2817657
2009-02-20,48.43,48.43,46.8,47.39,28.4431,2795171
2009-02-23,47.65,48.07,45.28,45.43,27.2668,3852569
2009-02-24,46.38,48.3,45.95,48.02,28.8213,3430070
2009-02-25,47.88,47.88,44.72,45.78,27.4769,4155996
2009-02-26,45.99,46,43.41,43.5,26.1082,2643374
2009-02-27,42.8,43.31,41.75,42.56,25.5439,2377313
2009-03-02,41.93,42.36,40.45,40.52,24.3199,2598668
2009-03-03,40.97,41.31,39.56,39.57,23.7496,2870472
2009-03-04,40.2,40.51,39.54,39.86,23.9235,2642638
2009-03-05,39.13,39.13,37.25,37.61,22.5732,2365376
2009-03-06,37.89,38.93,36.55,37.54,22.5313,2137579
2009-03-09,37.27,37.46,36.34,37.05,22.2373,3398901
2009-03-10,37.73,38.93,37.39,37.88,22.7354,2337575
2009-03-11,38.09,38.3,36.99,37.19,22.3211,1928965
2009-03-12,37.06,37.1,36.05,36.92,22.1589,2063922
2009-03-13,37.15,37.34,35.63,35.79,21.481,5117313
2009-03-16,36.12,38.1,35.92,37.21,22.3333,2245827
2009-03-17,37.01,37.6,36.6,37.6,22.5673,2277791
2009-03-18,37.28,38.84,36.24,38.36,23.023,2262317
2009-03-19,38.68,38.78,37.57,38.64,23.1913,2474126
2009-03-20,38.69,40.3,38.69,39.65,23.7976,4358212
2009-03-23,39.98,40.432,38.98,40.19,24.122,3446676
2009-03-24,40.12,40.27,39.32,39.36,23.6237,2733400
2009-03-25,39.49,40.56,39.21,39.79,23.8815,2337606
2009-03-26,40.19,40.95,39.56,40.86,24.5239,2412411
2009-03-27,40.41,40.85,40.08,40.3,24.1878,1667823
2009-03-30,39.53,39.8,38.19,38.77,23.2694,2151801
2009-03-31,38.99,39.35,38.08,38.6,23.1675,3290876
2009-04-01,38.06,38.98,38.06,38.76,23.2634,2458545
2009-04-02,39.47,40.0775,38.82,39.47,23.6897,3456877
2009-04-03,39.58,39.95,39.05,39.44,23.6716,1631640
2009-04-06,39.03,39.57,38.41,38.63,23.1853,2007641
2009-04-07,38.21,38.92,37.71,38.48,23.0952,2388256
2009-04-08,38.55,39.98,38.31,39.91,23.9536,2593936
2009-04-09,40.66,41.02,39.69,40.21,24.1336,2632289
2009-04-13,39.99,39.99,39.34,39.57,23.7496,965241
2009-04-14,39.3,39.53,38.52,38.58,23.1556,1698746
2009-04-15,38.72,39.65,38.58,39.58,23.7557,1960459
2009-04-16,39.86,40.52,39.09,40.42,24.2596,2495154
2009-04-17,40.43,40.67,39.94,40.16,24.1037,2024808
2009-04-20,39.86,39.86,38.92,39,23.4075,1555461
2009-04-21,38.91,39.84,38.91,39.41,23.6534,1757494
2009-04-22,38.92,40.09,38.5,39.38,23.6354,2460246
2009-04-23,39.26,40.09,39.1,39.98,23.9961,1867308
2009-04-24,40.38,40.38,39.67,40.04,24.0315,1965372
2009-04-27,39.85,40.66,39.61,40.51,24.3138,2244698
2009-04-28,40.23,40.48,39.76,40.1,24.0678,1339763
2009-04-29,40.28,40.5,39.97,40.49,24.3016,1505095
2009-04-30,40.88,41.33,40.2002,40.9,24.5479,3830779
2009-05-01,41,42.39,40.88,42.38,25.4361,2406998
2009-05-04,42.99,43.07,41.81,42.95,25.7782,2094470
2009-05-05,42.61,42.67,41.64,42.01,25.5416,2552423
2009-05-06,42.13,42.39,40.72,41.47,25.2129,4485139
2009-05-07,41.47,42.34,41.13,41.84,25.4376,3695810
2009-05-08,42.33,43.29,41.23,42.48,25.8271,2572005
2009-05-11,42.08,42.28,41.32,41.67,25.3345,2222794
2009-05-12,41.95,42.29,41.4,42.18,25.6444,1622125
2009-05-13,41.73,42.43,41.07,41.11,24.9941,2007319
2009-05-14,41.26,41.41,40.12,40.34,24.5258,3283048
2009-05-15,35.56,36.74,35.26,36.47,22.1732,12300082
2009-05-18,36.81,36.81,36.24,36.51,22.1975,5511354
2009-05-19,36.45,37.58,36.45,37.32,22.6897,4590645
2009-05-20,37.83,37.83,37.145,37.36,22.7142,4395438
2009-05-21,36.99,37.59,36.9,37.19,22.6111,4974368
2009-05-22,37.2,37.57,36.96,37,22.4952,2846921
2009-05-26,37.04,38.18,36.69,37.9,23.0422,3992469
2009-05-27,37.99,38.05,37.12,37.25,22.6472,3071110
2009-05-28,37.63,38.12,37.08,37.77,22.9634,2008723
2009-05-29,37.89,38.15,37.18,37.79,22.9756,3258803
2009-06-01,38.14,39.39,37.96,39.32,23.9056,3124243
2009-06-02,38.62,39.21,38.25,38.58,23.456,5116534
2009-06-03,41,41.07,38.52,39.37,23.9363,6292535
2009-06-04,39.5,39.74,38.91,39.42,23.9664,3552743
2009-06-05,39.8,40.04,38.86,39.13,23.7903,2952177
2009-06-08,39,39.19,37.83,38.33,23.3038,2849302
2009-06-09,38.44,38.53,37.67,37.77,22.9634,2627292
2009-06-10,38.04,38.44,37.6,38.18,23.2124,2839905
2009-06-11,38.16,39.71,38.16,39.09,23.766,3886904
2009-06-12,39.01,40.6,38.56,40.48,24.6111,4120716
2009-06-15,40.32,41,39.27,39.41,23.9606,3381622
2009-06-16,39.55,39.96,38.95,39.22,23.8449,2433093
2009-06-17,39.14,39.58,38.51,38.67,23.5105,2843073
2009-06-18,38.81,39.46,38.64,39.21,23.8387,2825694
2009-06-19,39.45,39.49,38.34,38.58,23.456,3260257
2009-06-22,38.21,39.24,38.21,38.54,23.4315,2544956
2009-06-23,38.49,38.65,37.7,38.03,23.1215,2075703
