Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,16.9,17.32,16.46,17.25,16.9448,528067
2009-01-05,17.17,17.17,16.5,16.72,16.4241,378654
2009-01-06,16.69,17.32,16.69,16.92,16.6205,444378
2009-01-07,16.56,16.99,16.39,16.54,16.2474,567625
2009-01-08,14.52,16.17,14.52,16.03,15.7462,605636
2009-01-09,15.96,16.07,15.21,15.49,15.2158,475742
2009-01-12,15.58,15.89,15.29,15.56,15.2847,608576
2009-01-13,15.56,16.01,15.5,15.86,15.5796,562767
2009-01-14,15.65,15.74,15.11,15.41,15.1371,561661
2009-01-15,15.35,15.87,14.75,15.7,15.4221,442086
2009-01-16,15.98,16.19,15.1,15.79,15.5106,439683
2009-01-20,15.44,15.89,14.89,14.89,14.6263,485315
2009-01-21,15.14,15.73,14.81,15.68,15.4025,361906
2009-01-22,15.31,15.32,14.65,14.87,14.6068,603532
2009-01-23,14.62,15.16,14.4,14.76,14.4991,442878
2009-01-26,14.69,15.35,14.54,14.82,14.558,506714
2009-01-27,14.83,15.49,14.83,15.25,14.9804,259800
2009-01-28,15.26,16.1,15.26,16.03,15.7462,849874
2009-01-29,14.59,14.75,12.99,13.11,12.878,2379103
2009-01-30,13.3,13.63,12.58,12.7,12.4753,804337
2009-02-02,12.5,13.29,12.38,13.22,12.9861,710262
2009-02-03,13.25,13.43,12.61,13.26,13.0253,682669
2009-02-04,13.27,13.43,12.86,13.14,12.9074,561554
2009-02-05,13.09,13.23,12.7575,12.99,12.7601,689272
2009-02-06,12.99,13.63,12.93,13.54,13.3004,540243
2009-02-09,13.34,13.46,13,13.16,12.9273,544936
2009-02-10,13.05,13.39,12.53,12.59,12.3671,499481
2009-02-11,12.69,12.83,12.38,12.51,12.2888,377728
2009-02-12,12.29,12.43,11.96,12.38,12.1607,687285
2009-02-13,12.36,12.67,12.2,12.25,12.0528,534699
2009-02-17,11.79,11.99,11.67,11.75,11.5606,700817
2009-02-18,11.77,12.07,11.5,11.96,11.7672,580971
2009-02-19,12.29,12.29,11.5,11.6,11.4135,451337
2009-02-20,11.33,11.62,10.93,11.24,11.0591,602985
2009-02-23,11.37,11.43,10.7636,10.79,10.6162,453633
2009-02-24,10.87,11.49,10.75,11.36,11.1772,425104
2009-02-25,11.27,11.31,10.62,10.9,10.7246,393118
2009-02-26,11.09,11.14,10.72,10.74,10.5673,377753
2009-02-27,10.6,11.33,10.41,10.95,10.7736,418253
2009-03-02,10.67,10.79,10.41,10.48,10.3112,570523
2009-03-03,10.66,10.74,10.18,10.24,10.0752,380766
2009-03-04,10.38,10.88,10.19,10.66,10.4883,424442
2009-03-05,10.31,10.43,9.86,9.9,9.7406,483383
2009-03-06,9.99,10.25,9.76,10.09,9.9275,465832
2009-03-09,10.4,11.47,10.4,11.14,10.9604,829592
2009-03-10,11.56,12.83,11.48,12.77,12.5644,1047388
2009-03-11,12.77,13.22,12.57,12.69,12.4857,501876
2009-03-12,12.71,13.36,12.54,13.28,13.0662,567389
2009-03-13,13.17,13.46,12.97,13.12,12.9086,469141
2009-03-16,13.3,13.57,12.83,12.86,12.6529,417043
2009-03-17,12.89,13.24,12.73,13.24,13.0267,447217
2009-03-18,13.24,13.62,12.98,13.44,13.2235,596391
2009-03-19,13.65,13.76,13.24,13.34,13.1251,519597
2009-03-20,13.47,13.55,12.67,12.72,12.5153,609116
2009-03-23,13.08,13.77,12.83,13.6,13.3811,661939
2009-03-24,13.39,13.65,13.32,13.35,13.1349,375271
2009-03-25,13.42,14.43,13.42,14.18,13.9516,545127
2009-03-26,14.35,14.98,14.34,14.97,14.7291,461461
2009-03-27,14.73,14.9,14.04,14.19,13.9616,410929
2009-03-30,13.59,13.95,13.22,13.44,13.2235,405630
2009-03-31,13.62,14.49,13.58,14.07,13.8436,457271
2009-04-01,13.81,14.47,13.63,14.15,13.922,372633
2009-04-02,14.53,15.63,14.53,15.21,14.9651,470353
2009-04-03,15.02,15.39,14.95,15.35,15.1027,254507
2009-04-06,15.2,15.54,14.93,15.51,15.2603,476771
2009-04-07,15.45,15.45,14.97,15.09,14.847,653791
2009-04-08,15.15,15.54,15.12,15.33,15.0833,423315
2009-04-09,15.73,16.69,15.56,16.65,16.3817,456290
2009-04-13,16.54,16.73,16.18,16.64,16.3718,299977
2009-04-14,16.36,16.4,15.7,16.07,15.8111,345250
2009-04-15,15.99,16.28,15.79,16.14,15.8803,341172
2009-04-16,16.25,17.47,16.23,17.36,17.0804,484117
2009-04-17,17.33,18.33,17.16,18.24,17.9461,567241
2009-04-20,17.56,17.56,14.5,14.5,14.2664,1127221
2009-04-21,14.39,15.27,14.12,15.13,14.8862,815360
2009-04-22,14.95,15.65,14.56,15.19,14.9454,684978
2009-04-23,15.34,15.63,14.66,15.27,15.024,846188
2009-04-24,15.4,16.17,15.22,16.01,15.752,698754
2009-04-27,15.8,17.08,15.66,16.95,16.6774,804188
2009-04-28,15.92,16.2,15.52,15.88,15.6244,552041
2009-04-29,16.24,17.03,15.62,16.81,16.5392,416010
2009-04-30,16.84,17.27,16.76,16.82,16.5492,372823
2009-05-01,16.44,16.79,16.33,16.54,16.2735,325168
2009-05-04,16.75,17.27,16.64,17.27,16.9916,343944
2009-05-05,17.21,17.48,17.09,17.34,17.0607,404079
2009-05-06,17.48,17.63,16.88,17.53,17.2478,339022
2009-05-07,17.38,17.72,16.44,16.66,16.3915,346635
2009-05-08,16.95,17.55,16.81,17.55,17.2671,362778
2009-05-11,17.53,17.53,17.07,17.23,16.9527,251195
2009-05-12,17.29,17.45,16.57,16.93,16.6574,224268
2009-05-13,16.58,16.58,15.79,15.86,15.6047,386463
2009-05-14,16,16.83,15.82,16.47,16.2045,337125
2009-05-15,16.46,16.93,16.46,16.59,16.3228,303335
2009-05-18,16.77,17.25,16.62,17.19,16.9132,440201
2009-05-19,17.16,17.49,17.02,17.25,16.9719,378646
2009-05-20,17.39,17.75,17.02,17.05,16.7753,567965
2009-05-21,16.9,17.07,16.65,16.91,16.6375,528280
2009-05-22,16.98,17.3,16.8,16.88,16.6276,364479
2009-05-26,16.69,17.87,16.55,17.73,17.465,365712
2009-05-27,17.58,17.88,17.33,17.34,17.0809,331261
2009-05-28,17.44,17.766,16.97,17.32,17.0612,522030
2009-05-29,17.45,17.58,17.11,17.58,17.3174,402760
2009-06-01,17.92,18.55,17.87,18.35,18.0757,640489
2009-06-02,18.33,18.5,18.05,18.36,18.0856,514292
2009-06-03,18.18,18.38,17.9,18.11,17.8395,311367
2009-06-04,18.14,18.46,18.04,18.26,17.9873,228098
2009-06-05,18.39,18.6,18.16,18.37,18.0955,284562
2009-06-08,18.37,18.37,17.87,18.07,17.8001,230693
2009-06-09,18.07,18.15,17.69,17.72,17.4551,343707
2009-06-10,17.75,17.75,16.58,17,16.7462,519441
2009-06-11,17.11,17.35,16.95,17.06,16.8048,586369
2009-06-12,16.96,17.05,16.35,17,16.7462,286933
2009-06-15,16.77,16.89,16.1,16.23,15.9877,313192
2009-06-16,16.39,16.45,15.75,15.76,15.5245,345485
2009-06-17,15.84,16.12,15.6,15.87,15.6331,371202
2009-06-18,15.82,15.98,15.6,15.83,15.5937,497585
2009-06-19,16.09,16.09,15.47,15.62,15.3866,583355
2009-06-22,15.51,15.91,15.13,15.13,14.9039,455061
2009-06-23,15.15,15.47,15.15,15.16,14.9336,324446
2009-06-24,15.18,15.35,15.08,15.31,15.0814,313760
2009-06-25,15.13,15.42,15,15.4,15.17,270340
2009-06-26,15.25,15.84,15.25,15.7,15.4654,646224
2009-06-29,15.51,15.69,15.331,15.41,15.1799,347709
2009-06-30,15.49,15.8195,15.37,15.46,15.229,279683
2009-07-01,15.67,16,15.57,15.83,15.5937,209177
2009-07-02,15.48,15.48,14.98,14.98,14.7563,173195
2009-07-06,14.96,15.07,14.49,14.69,14.4705,243491
2009-07-07,14.63,14.75,14.26,14.32,14.106,298191
2009-07-08,14.48,14.55,13.94,14,13.7909,345802
2009-07-09,14.22,14.22,13.81,13.88,13.6724,459094
2009-07-10,13.82,14.2,13.82,14.04,13.8304,253128
2009-07-13,14.05,14.25,13.6801,14.19,13.9782,571539
2009-07-14,14.16,14.33,13.94,14.1,13.8892,722785
2009-07-15,14.35,14.37,14.04,14.19,13.9782,731044
2009-07-16,14.16,14.75,14.16,14.74,14.5198,561409
2009-07-17,14.64,14.98,14.55,14.98,14.7563,722850
2009-07-20,15.06,15.25,14.98,15.13,14.9039,393884
2009-07-21,15.28,15.45,15.08,15.43,15.1993,347904
2009-07-22,15.34,16.05,15.23,15.81,15.574,749664
2009-07-23,16.2,18.44,16.06,18.08,17.81,1939410
2009-07-24,17.85,17.93,17.56,17.8,17.5339,338960
2009-07-27,17.89,18.256,17.83,17.92,17.6521,422740
2009-07-28,17.92,18.52,17.92,18.48,18.2041,597746
2009-07-29,18.23,18.6,18.23,18.45,18.1743,299438
2009-07-30,18.75,19.0499,18.55,18.92,18.6372,594879
2009-07-31,18.83,19.45,18.83,19.19,18.9031,498517
2009-08-03,19.31,19.77,18.97,19.72,19.4253,533020
2009-08-04,19.55,20.6,19.54,20.6,20.2921,651491
2009-08-05,20.58,20.58,20.04,20.28,19.977,480295
2009-08-06,20.27,20.93,20.08,20.7,20.3908,560440
2009-08-07,20.99,21.66,20.84,21.55,21.2278,408102
2009-08-10,21.3,21.8,20.8901,21.6,21.2774,452987
2009-08-11,21.56,21.56,21.1,21.3,20.9818,430206
2009-08-12,21.17,22.38,21.11,21.82,21.4939,691017
2009-08-13,21.98,22.39,21.841,22.39,22.0555,540236
2009-08-14,22.42,22.42,22,22.28,21.9472,422524
2009-08-17,21.81,22,21,21.32,21.0015,648821
2009-08-18,21.2,22.25,21.01,22.16,21.8289,415115
2009-08-19,21.34,22.55,21.04,22.51,22.1737,346132
2009-08-20,22.41,23.45,22.4,23.36,23.0111,555223
2009-08-21,23.49,24.22,23.12,24.13,23.7694,696899
2009-08-24,24.17,24.33,23.86,23.96,23.602,505271
2009-08-25,23.99,24.25,23.63,24.12,23.7597,404129
2009-08-26,24.02,24.47,23.95,24.22,23.8582,203616
2009-08-27,24.41,24.49,23.17,23.75,23.3949,249357
2009-08-28,23.92,24.06,23.12,23.32,22.9716,281094
2009-08-31,22.79,22.96,21.94,22.3,21.967,710078
2009-09-01,22.05,22.73,21.45,21.75,21.4251,498312
2009-09-02,21.73,21.73,21.11,21.23,20.9129,372772
2009-09-03,21.43,21.44,20.68,21.43,21.1099,762596
2009-09-04,21.36,21.6,21.17,21.56,21.2578,220990
2009-09-08,21.71,22,21.44,21.74,21.4351,175250
2009-09-09,21.75,22.4,21.65,22.36,22.0465,209990
2009-09-10,22.28,22.64,21.91,22.57,22.2536,155701
2009-09-11,22.55,22.55,22.06,22.28,21.9678,324625
2009-09-14,22.09,22.12,21.83,22.08,21.7705,305076
2009-09-15,22.1,22.1,21.84,21.99,21.6816,314061
2009-09-16,22,22.19,21.73,22.13,21.8197,365017
2009-09-17,22.08,22.49,22.03,22.2,21.8887,342567
2009-09-18,22.27,22.28,21.89,22.2,21.8887,645774
2009-09-21,21.86,22.24,21.8549,22.07,21.7608,404175
2009-09-22,22.07,22.27,21.94,22.23,21.9183,402524
2009-09-23,22.23,22.32,21.97,21.97,21.6619,262479
2009-09-24,21.98,22.07,21.54,21.65,21.3465,409128
2009-09-25,21.55,21.68,21.15,21.19,20.893,203383
2009-09-28,21.36,21.87,21.16,21.73,21.4254,198198
2009-09-29,21.68,21.83,21.51,21.55,21.2478,265185
2009-09-30,21.63,21.77,21.23,21.49,21.1886,333996
2009-10-01,21.48,21.49,21.16,21.19,20.893,263900
2009-10-02,21.01,21.46,21.01,21.37,21.0705,308550
2009-10-05,21.53,21.67,21.31,21.54,21.2378,290748
2009-10-06,21.79,21.79,21.44,21.58,21.2776,238982
2009-10-07,21.58,21.65,21.41,21.63,21.3267,248471
2009-10-08,21.9,22.29,21.6,22.25,21.938,1183052
2009-10-09,22.2,22.8,22.15,22.75,22.4313,164487
2009-10-12,22.89,23.08,22.53,22.68,22.362,100926
2009-10-13,22.72,22.77,22.22,22.23,21.9183,190104
2009-10-14,22.59,22.59,22.22,22.53,22.2141,165296
2009-10-15,22.42,22.68,22.29,22.55,22.2338,139186
2009-10-16,22.33,22.5649,21.87,22.21,21.8985,159055
2009-10-19,22.21,22.69,22.12,22.64,22.3225,165171
2009-10-20,22.61,22.61,21.94,22.09,21.7804,146575
2009-10-21,22.03,22.74,22.03,22.22,21.9084,340660
2009-10-22,22.145,22.78,22.06,22.62,22.3026,170411
2009-10-23,22.64,22.77,22.12,22.31,21.997,244339
2009-10-26,22.26,22.99,22,22.18,21.8691,267082
2009-10-27,22.23,22.59,21.93,21.97,21.6619,175619
2009-10-28,21.98,22.14,21.34,21.37,21.0705,154285
2009-10-29,21.65,21.7,21.29,21.44,21.1394,138717
2009-10-30,21.26,21.3,20.195,20.33,20.045,343134
2009-11-02,20.38,20.45,19.71,20.02,19.7394,248094
2009-11-03,19.84,20.36,19.8,20.31,20.0254,194494
2009-11-04,20.32,20.46,19.5,19.51,19.2367,301703
2009-11-05,18.77,18.77,18.2,18.56,18.2995,562165
2009-11-06,18.3,18.75,18.18,18.65,18.3886,312111
2009-11-09,18.75,19.065,18.735,19,18.7336,334235
2009-11-10,17.63,18.73,17.63,18.07,17.8168,644484
2009-11-11,18.27,18.43,18.045,18.37,18.1124,357381
