Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,16.36,17.1199,16.22,17.05,14.6732,1374685
2009-01-05,16.92,17.2,16.69,17.15,14.759,1564888
2009-01-06,17.37,17.55,17.14,17.42,14.9913,2500216
2009-01-07,16.87,17.3,16.32,17.01,14.6389,2757143
2009-01-08,16.65,17.25,16.65,17.16,14.7681,1579604
2009-01-09,17.06,17.12,16.71,16.82,14.4753,1436400
2009-01-12,16.73,16.88,16.1401,16.27,14.0022,1032107
2009-01-13,16.23,17.02,16.19,16.85,14.5009,2048107
2009-01-14,16.58,16.86,16.05,16.3,14.0276,2073524
2009-01-15,16.04,16.72,15.95,16.44,14.1481,2589965
2009-01-16,16.8,16.91,16.22,16.44,14.1481,2918678
2009-01-20,16.26,16.57,15.89,15.91,13.6922,2314351
2009-01-21,16.1,16.22,15.69,16.18,13.9244,2024138
2009-01-22,15.62,16.02,15.62,15.86,13.6491,2292951
2009-01-23,15.54,15.93,15.2,15.79,13.5888,1918791
2009-01-26,15.85,16.29,15.7175,16.03,13.7952,1778868
2009-01-27,16.03,16.16,15.8902,16.1,13.8557,1804138
2009-01-28,16.49,16.82,16.24,16.74,14.4066,1523639
2009-01-29,16.68,16.69,16.17,16.22,13.9588,1229562
2009-01-30,16.33,16.38,15.8,15.91,13.6922,2078831
2009-02-02,15.82,16.21,15.66,16.15,13.8986,1822099
2009-02-03,16.16,16.5,15.95,16.41,14.1223,1500716
2009-02-04,16.44,16.92,16.4,16.68,14.3545,2239493
2009-02-05,16.47,17.23,16.47,17.06,14.6818,2116917
2009-02-06,17,17.65,17,17.55,15.1035,2243970
2009-02-09,17.55,17.76,17.29,17.66,15.1979,1314322
2009-02-10,17.535,17.76,16.43,16.54,14.2341,2713553
2009-02-11,17.71,18.87,17.25,18.26,15.7145,4392232
2009-02-12,16.83,18.49,16.83,18.43,15.861,2412712
2009-02-13,18.33,18.86,18.24,18.29,15.7401,2079736
2009-02-17,17.56,18.03,17,17.7,15.2324,2425598
2009-02-18,17.86,17.86,17.38,17.58,15.1292,1463400
2009-02-19,17.68,18.09,17.48,17.56,15.1121,1969203
2009-02-20,17.24,17.8,15.86,17.63,15.1724,2760973
2009-02-23,17.8,17.91,17.17,17.22,14.819,2038943
2009-02-24,17.36,17.68,17.1,17.6,15.1467,2733066
2009-02-25,17.69,17.84,17.19,17.52,15.0776,3567995
2009-02-26,17.77,17.89,17.32,17.47,15.0348,2190876
2009-02-27,17.12,17.62,17.12,17.5,15.0601,3428479
2009-03-02,17.27,17.63,16.85,16.88,14.5267,3719202
2009-03-03,17.1,17.1,16.45,16.69,14.3631,2425431
2009-03-04,16.92,17.325,16.75,16.98,14.6127,3813766
2009-03-05,16.42,16.97,16.27,16.42,14.131,2755407
2009-03-06,16.54,16.55,15.85,16.39,14.1052,2762852
2009-03-09,16.39,16.43,15.42,15.52,13.3562,2834742
2009-03-10,15.88,16.46,15.55,16.42,14.131,2638193
2009-03-11,16.51,16.71,16.31,16.53,14.2253,1709120
2009-03-12,16.29,17.02,16.04,16.98,14.657,2295603
2009-03-13,16.83,17.48,16.83,17.11,14.7696,2548235
2009-03-16,17.12,17.39,16.97,17.03,14.7004,2456132
2009-03-17,17.1,17.49,16.94,17.48,15.0887,1994439
2009-03-18,17.55,17.99,17.16,17.88,15.434,2211887
2009-03-19,17.96,17.96,17.61,17.63,15.2183,1789686
