Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,36.045,38.39,36.045,38.19,9.5475,1447209
2009-01-05,37.87,38.2,37.44,38.14,9.535,1291267
2009-01-06,38.27,39.03,37.86,38.66,9.665,1507203
2009-01-07,38.14,38.38,37.04,37.26,9.315,1784835
2009-01-08,38.33,38.33,36.55,37.29,9.3225,1152539
2009-01-09,37.37,37.37,35.82,36.09,9.0225,1071842
2009-01-12,36.18,36.62,35.29,35.51,8.8775,1287164
2009-01-13,35.56,35.98,35.31,35.67,8.9175,1439029
2009-01-14,35.23,35.69,34.11,34.24,8.56,1406977
2009-01-15,34.22,34.83,33.56,34.59,8.6475,1776482
2009-01-16,35.04,35.11,32.37,33.51,8.3775,3110970
2009-01-20,33.73,33.9,31.65,31.67,7.9175,1877598
2009-01-21,32.31,32.61,31.43,32.59,8.1475,2365549
2009-01-22,31.78,32.56,31.35,31.88,7.97,2622703
2009-01-23,31.28,32.09,30.91,31.52,7.88,1759218
2009-01-26,31.45,32.46,31.38,31.95,7.9875,1220051
2009-01-27,31.85,32.13,31.48,31.82,7.955,1366860
2009-01-28,32.33,33.73,32.06,33.36,8.34,2187318
2009-01-29,32.88,33.35,32.45,32.55,8.1375,1542765
2009-01-30,32.83,33.08,31.66,31.75,7.9375,1713930
2009-02-02,31.5,32.07,31.13,31.82,7.955,1912089
2009-02-03,32.01,33.07,31.39,32.94,8.235,2301111
2009-02-04,33.49,34.36,32.89,34.02,8.505,2997511
2009-02-05,33.44,35.37,33.0901,35.17,8.7925,3575152
2009-02-06,35.37,36.44,34.88,36.3,9.075,2347662
2009-02-09,36.14,36.82,35.7,36.38,9.095,1383285
2009-02-10,35.91,36.76,34.76,34.77,8.6925,2692630
2009-02-11,35.2,35.716,34.65,35.22,8.805,1814024
2009-02-12,34.76,35.46,34.27,35.41,8.8525,1402308
2009-02-13,36.08,36.08,35.02,35.27,8.8175,1383073
2009-02-17,34.01,34.27,33.17,33.76,8.44,2058799
2009-02-18,34.13,34.36,33.33,33.6,8.4,1837224
2009-02-19,33.79,34.09,33.2,33.2,8.3,1450595
2009-02-20,33.27,33.84,32.86,33.42,8.355,1736909
2009-02-23,33.73,33.98,32.76,32.83,8.2075,1917656
2009-02-24,33.05,34.31,32.92,34.24,8.56,3022526
2009-02-25,33.99,34.33,32.82,33.73,8.4325,2166220
2009-02-26,34.03,34.06,32.7,32.74,8.185,2468248
2009-02-27,32.86,33.28,32.6,32.62,8.155,2493907
2009-03-02,32.61,32.98,32,32.02,8.005,2204841
2009-03-03,32.25,32.63,31.163,31.3,7.825,2512459
2009-03-04,31.58,32.26,31.3,31.93,7.9825,2374997
2009-03-05,31.28,31.66,30.45,30.45,7.6125,2584155
2009-03-06,30.67,31.29,30.15,30.7,7.675,2658871
2009-03-09,30.31,30.93,29.46,29.64,7.41,2215981
2009-03-10,30.12,31.33,29.53,31.33,7.8325,3032625
2009-03-11,31.39,32.14,31.13,31.87,7.9675,2354197
2009-03-12,31.71,32.92,31.25,32.86,8.215,2374120
2009-03-13,32.74,33.13,32.14,32.83,8.2075,1841586
2009-03-16,33.03,33.74,32.67,32.9,8.225,2476855
2009-03-17,33,34.27,32.81,34.12,8.53,2230741
2009-03-18,34.13,35.45,33.6,35.17,8.7925,3238514
2009-03-19,34.34,35.37,34.34,34.59,8.6475,1843387
2009-03-20,34.95,35.6,33.97,34.1,8.525,3472984
2009-03-23,35.16,37.21,34.51,36.96,9.24,3643758
2009-03-24,36.31,36.5,35.56,35.59,8.8975,2100377
2009-03-25,35.88,36.65,35.09,36.14,9.035,2668894
2009-03-26,36.58,37.03,36.15,36.98,9.245,2334649
2009-03-27,36.76,37.12,35.75,35.77,8.9425,2125168
2009-03-30,35.4,35.7,34.93,35.34,8.835,3129794
2009-03-31,35.57,36.9,35.22,36.46,9.115,2809821
2009-04-01,37.44,37.44,36.19,36.72,9.18,3577336
2009-04-02,35.85,37.33,35.85,36.84,9.21,4342473
2009-04-03,37.1,37.19,36.34,37.01,9.2525,2997458
2009-04-06,37.04,37.04,36.12,36.76,9.19,2636449
2009-04-07,36.21,36.5,35.72,35.76,8.94,2144609
2009-04-08,36.13,36.49,35.76,36.27,9.0675,2413215
2009-04-09,37.17,37.17,36.06,36.5,9.125,3280459
2009-04-13,36.26,36.74,35.91,36.45,9.1125,2026482
2009-04-14,37.1,37.1,35.92,36.38,9.095,2104076
2009-04-15,36.03,36.6,36.01,36.58,9.145,2512420
2009-04-16,36.88,37.59,36.74,37.44,9.36,2256681
2009-04-17,37.48,37.5,36.4,36.67,9.1675,3374595
