Date,Open,High,Low,Close,Adjusted_close,Volume
2013-08-19,24.41,24.42,24.2,24.21,22.3787,7675
2013-08-20,24.24,24.55,24.24,24.51,22.6559,14813
2013-08-21,24.4,24.52,24.31,24.33,22.4893,9936
2013-08-22,24.58,24.71,24.58,24.68,22.8131,7495
2013-08-23,24.64,24.7,24.62,24.7,22.8317,2792
2013-08-26,24.76,24.83,24.64,24.68,22.8131,8574
2013-08-27,24.36,24.43,24.1,24.12,22.2956,6665
2013-08-28,24.1,24.25,24.1,24.17,22.3416,24190
2013-08-29,24.16,24.45,24.16,24.35,22.508,10154
2013-08-30,24.28,24.28,23.95,23.95,22.1384,7208
2013-09-03,24.39,24.39,23.9,24.01,22.1939,3420
2013-09-04,24.189,24.3,24.189,24.25,22.4156,1508
2013-09-05,24.34,24.42,24.34,24.38,22.5361,7364
2013-09-06,24.48,24.52,24.21,24.38,22.5361,21635
2013-09-09,24.43,24.789,24.43,24.789,22.9138,36300
2013-09-10,24.94,25.05,24.92,25.05,23.1554,22070
2013-09-11,25.02,25.1,24.98,25.1,23.2012,17614
2013-09-12,25.08,25.08,24.939,24.94,23.0536,20710
2013-09-13,25.02,25.05,24.87,25.04,23.1458,16701
2013-09-16,25.41,25.41,25,25.14,23.2383,51250
2013-09-17,25.17,25.35,25.17,25.35,23.4324,19295
2013-09-18,25.34,25.7,25.13,25.57,23.6359,79520
2013-09-19,25.72,25.72,25.54,25.582,23.647,26943
2013-09-20,25.64,25.64,25.431,25.45,23.5249,16551
2013-09-23,25.46,25.46,25.25,25.364,23.4455,12273
2013-09-24,25.495,25.62,25.391,25.414,23.4914,10418
2013-09-25,25.49,25.59,25.37,25.452,23.5267,13712
2013-09-26,25.5,25.619,25.432,25.49,23.5619,12928
2013-09-27,25.4,25.5,25.365,25.46,23.5342,23489
2013-09-30,25.22,25.47,25.15,25.42,23.4972,6840
2013-10-01,25.6199,26.64,25.6199,25.71,23.785,10825
2013-10-02,25.54,25.67,25.5,25.65,23.7295,6077
2013-10-03,25.6,25.6,25.224,25.43,23.5258,11579
2013-10-04,25.45,25.67,25.392,25.62,23.7017,35381
2013-10-07,25.33,25.49,25.3,25.32,23.4241,29078
2013-10-08,25.32,25.32,24.94,24.97,23.1003,35026
2013-10-09,25.04,25.04,24.8,24.9,23.0357,51284
2013-10-10,25.59,25.59,25.26,25.476,23.5685,49771
2013-10-11,25.44,25.8,25.44,25.8,23.8682,28232
2013-10-14,25.68,25.93,25.489,25.93,23.9884,51697
2013-10-15,25.87,25.89,25.614,25.69,23.7663,28523
2013-10-16,25.79,26.076,25.78,25.958,24.0142,49510
2013-10-17,25.9,26.21,25.9,26.21,24.2477,56407
2013-10-18,26.36,26.48,26.26,26.47,24.4879,39726
2013-10-21,26.53,26.624,26.378,26.45,24.4694,31625
2013-10-22,26.6,26.724,26.48,26.53,24.5435,53241
2013-10-23,26.44,26.479,26.379,26.45,24.4694,26678
2013-10-24,26.45,26.579,26.41,26.56,24.5712,25324
2013-10-25,26.66,26.66,26.55,26.64,24.6453,19181
2013-10-28,26.7,26.7,26.5,26.58,24.5896,23891
2013-10-29,26.74,26.77,26.569,26.73,24.7286,18223
2013-10-30,26.73,26.74,26.381,26.51,24.525,45395
2013-10-31,26.45,26.619,26.35,26.44,24.4604,41596
2013-11-01,26.52,26.58,26.26,26.49,24.5067,30629
2013-11-04,26.6,26.729,26.52,26.729,24.7276,93464
2013-11-05,26.65,26.7,26.5,26.61,24.6176,9135
2013-11-06,26.82,26.82,26.47,26.573,24.5837,26047
2013-11-07,26.66,26.67,26.08,26.1,24.1458,19353
2013-11-08,26.07,26.509,25.84,26.5,24.5154,42871
2013-11-11,26.46,26.599,26.452,26.59,24.5988,12370
2013-11-12,26.5,26.596,26.411,26.586,24.5952,16220
2013-11-13,26.41,26.846,26.41,26.846,24.8359,21039
2013-11-14,26.85,26.94,26.731,26.94,24.9227,19717
2013-11-15,26.97,27.03,26.88,27.01,24.9875,15819
2013-11-18,27.13,27.13,26.771,26.771,24.7665,10711
2013-11-19,26.79,26.886,26.576,26.638,24.6433,15832
2013-11-20,26.81,26.84,26.6,26.612,24.6195,16341
2013-11-21,26.74,27.066,26.74,27.01,24.9875,19369
2013-11-22,27.05,27.159,27.005,27.13,25.0984,11636
2013-11-25,27.22,27.23,27.076,27.13,25.0984,9491
2013-11-26,27.14,27.302,27.11,27.269,25.2273,19823
2013-11-27,27.26,27.38,27.21,27.37,25.3206,20803
2013-11-29,27.48,27.48,27.335,27.34,25.2928,18797
2013-12-02,27.38,27.38,27.14,27.163,25.129,42728
2013-12-03,27.15,27.2,26.96,27.08,25.0523,12113
2013-12-04,26.96,27.165,26.75,27.07,25.043,9483
2013-12-05,27,27.076,26.922,27,24.978,11850
2013-12-06,27.18,27.314,27.152,27.25,25.2098,30091
2013-12-09,27.31,27.339,27.189,27.25,25.2098,28843
2013-12-10,27.21,27.33,27.1,27.13,25.0984,26720
2013-12-11,27.17,27.17,26.68,26.719,24.7183,34188
2013-12-12,26.69,26.84,26.621,26.76,24.7564,18113
2013-12-13,26.82,26.85,26.71,26.85,24.8397,8141
2013-12-16,26.96,27.119,26.95,27.092,25.0634,10541
2013-12-17,27.09,27.1,26.9,27.07,25.043,14876
2013-12-18,27.12,27.383,26.9,27.37,25.3206,23323
2013-12-19,27.39,27.39,27.232,27.269,25.2273,16179
2013-12-20,27.25,27.6,27.25,27.6,25.5334,9829
2013-12-23,27.75,27.8,27.64,27.79,25.7737,15664
2013-12-24,27.82,27.96,27.82,27.9,25.8759,12998
2013-12-26,28.03,28.05,27.852,27.852,25.8314,21392
2013-12-27,27.85,27.94,27.82,27.92,25.8947,15894
2013-12-30,27.92,27.97,27.88,27.93,25.9037,20566
2013-12-31,28.01,28.07,27.921,27.99,25.9593,72168
2014-01-02,27.92,27.92,27.601,27.73,25.718,34295
2014-01-03,27.83,27.889,27.72,27.84,25.8203,16456
2014-01-06,27.97,27.97,27.611,27.62,25.6165,20376
2014-01-07,27.76,27.939,27.74,27.83,25.8108,14624
2014-01-08,27.86,27.905,27.73,27.86,25.8387,64808
2014-01-09,27.95,27.95,27.72,27.86,25.8387,209584
2014-01-10,27.85,28,27.83,27.99,25.9593,19246
2014-01-13,27.93,27.95,27.48,27.609,25.606,35053
2014-01-14,27.76,27.9483,27.726,27.93,25.9037,20333
2014-01-15,28,28.13,28,28.08,26.0429,20179
2014-01-16,28.06,28.07,27.951,28.059,26.0235,20809
2014-01-17,28.02,28.04,27.89,27.906,25.8815,11750
2014-01-21,28.11,28.11,27.91,28.03,25.9966,45493
2014-01-22,28.08,28.212,28.04,28.21,26.1635,26917
2014-01-23,28.05,28.05,27.8,27.94,25.913,29459
2014-01-24,27.78,27.78,27.2004,27.26,25.2825,46603
2014-01-27,27.29,27.42,26.77,27.04,25.0784,38824
2014-01-28,27,27.22,27,27.17,25.1989,48818
2014-01-29,27.17,27.17,26.84,26.88,24.93,21112
2014-01-30,27.13,27.3,27.02,27.23,25.2547,33229
2014-01-31,27.75,27.8,26.9,27.05,25.0876,22113
2014-02-03,26.97,26.97,26.121,26.21,24.3083,46759
2014-02-04,26.34,26.53,26.2,26.5,24.5776,41559
2014-02-05,26.32,26.44,26.1,26.364,24.4512,15853
2014-02-06,26.48,26.73,26.48,26.69,24.7537,21797
2014-02-07,26.8,26.95,26.72,26.94,24.9854,26102
2014-02-10,26.91,26.96,26.75,26.92,24.9671,28563
2014-02-11,26.97,27.279,26.94,27.22,25.2452,44172
2014-02-12,27.26,27.41,27.225,27.29,25.3102,6931
2014-02-13,27.06,27.638,27.06,27.638,25.6328,82871
2014-02-14,27.51,27.71,27.47,27.71,25.6998,19110
2014-02-18,27.75,27.904,27.68,27.88,25.8575,64252
2014-02-19,27.79,27.96,27.641,27.66,25.6532,15469
2014-02-20,27.7,27.94,27.678,27.92,25.8947,26307
2014-02-21,27.96,28.05,27.88,27.95,25.9223,9542
2014-02-24,27.99,28.33,27.99,28.17,26.1266,38315
2014-02-25,28.14,28.25,28.08,28.16,26.1168,35004
2014-02-26,28.15,28.45,28.14,28.3,26.2471,24147
2014-02-27,28.2,28.46,28.2,28.46,26.3952,32385
2014-02-28,28.49,28.65,28.35,28.47,26.4045,16431
2014-03-03,29.49,29.49,28.08,28.31,26.2564,31141
