Date,Open,High,Low,Close,Adjusted_close,Volume
2010-12-09,27.25,28.11,26.99,27.92,21.8849,10609618
2010-12-10,27.4,27.72,27.06,27.41,21.4849,1206789
2010-12-13,27.5,27.72,27,27.4,21.4772,473175
2010-12-14,27.7,27.97,27.02,27.31,21.4066,358132
2010-12-15,27.2,27.7,27.19,27.45,21.516,242116
2010-12-16,27.6,27.65,27.205,27.65,21.6733,259964
2010-12-17,27.55,28.06,27.5,28.06,21.9944,129213
2010-12-20,28.1,28.42,27.84,28.14,22.057,65874
2010-12-21,28.17,29.04,28.01,28.91,22.6607,210110
2010-12-22,29,30.5204,28.96,29.45,23.084,102993
2010-12-23,29.68,29.68,28.89,29.1,22.8094,66042
2010-12-27,29.15,29.3599,28.87,28.98,22.7158,29746
2010-12-28,28.99,29.125,28.81,29.05,22.7704,90199
2010-12-29,29.25,29.25,28.84,29.08,22.7938,85288
2010-12-30,29.23,29.95,28.61,28.96,22.6997,149771
2010-12-31,29,29.12,28.83,29.12,22.8254,68713
2011-01-03,29.5,29.51,28.735,28.98,22.7158,230818
2011-01-04,29.23,29.23,28.5,28.53,22.3631,56486
2011-01-05,28.68,28.9,28.3,28.41,22.2685,178655
2011-01-06,28.61,29.21,28.53,29,22.7312,218536
2011-01-07,31.04,31.2,30.1501,30.54,23.9383,2145345
2011-01-10,30.89,31.33,30.82,30.9299,24.2439,622561
2011-01-11,31.2,31.24,30.41,30.58,23.9696,330910
2011-01-12,30.78,30.9,30.21,30.3,23.7502,216450
2011-01-13,30.38,30.76,30.3,30.51,23.9148,132859
2011-01-14,30.67,31.35,30.59,31.35,24.573,269260
2011-01-18,31.15,31.47,30.3,30.89,24.2128,275611
2011-01-19,30.67,30.83,30.41,30.52,23.9227,300332
2011-01-20,30.3,31.09,29.98,30.6,23.9854,155258
2011-01-21,30.71,30.71,29.99,30.22,23.6873,152228
2011-01-24,30.18,30.44,29.8,30.3,23.7502,85085
2011-01-25,30.21,30.32,30,30.32,23.7659,54043
2011-01-26,30.27,30.4399,30.07,30.35,23.7892,62519
2011-01-27,30.71,31,30.29,30.31,23.7581,168401
2011-01-28,30.19,30.2,29.3,29.72,23.2956,311541
2011-01-31,29.78,29.7801,29.56,29.73,23.3036,57303
2011-02-01,29.75,29.86,29.22,29.28,22.9508,197892
2011-02-02,29.13,29.49,29.05,29.12,22.8254,100466
2011-02-03,29.09,29.2997,28.88,28.9,22.6527,169546
2011-02-04,28.89,29.22,28.6,29.2,22.8882,146363
2011-02-07,29.74,29.74,29.45,29.5,23.1233,148270
2011-02-08,29.67,29.89,29.2,29.84,23.3896,107240
2011-02-09,29.62,29.7499,29.4,29.46,23.0918,35893
2011-02-10,29.26,29.42,28.58,29.25,22.9272,197376
2011-02-11,29.2,29.37,28.84,29.13,22.8333,91551
2011-02-14,29,29.1,28.66,28.83,22.598,75804
2011-02-15,28.8,29.15,28.8,29.04,22.7626,59739
2011-02-16,29.03,29.14,28.8,29.14,22.841,75797
2011-02-17,29.15,29.33,28.98,29.02,22.7467,49674
2011-02-18,29.02,29.76,29,29.76,23.3267,59093
2011-02-22,29.5,29.71,29,29.21,22.8961,146296
2011-02-23,29,29.6,29,29.06,22.7784,158491
2011-02-24,29.08,29.415,29.02,29.1,22.8094,102301
2011-02-25,29.12,29.88,29.12,29.3,22.9662,99528
2011-02-28,29.34,29.88,29.2,29.25,22.9272,182808
2011-03-01,29.4,29.4599,28.95,29.06,22.7784,133007
2011-03-02,29,29.08,28.5,28.74,22.5276,177547
2011-03-03,28.58,29.1,28.58,29.08,22.7938,101501
2011-03-04,29.1,29.22,28.7,28.8,22.5747,119392
2011-03-07,28.92,28.92,27.96,28,21.9471,183711
2011-03-08,28,28.87,27.93,28.74,22.5276,263162
2011-03-09,28.63,29.03,28.24,28.9,22.6527,147691
2011-03-10,28.66,28.75,28.16,28.5,22.3392,134085
2011-03-11,28.02,28.43,27.76,28.28,22.1668,143104
2011-03-14,27.98,28.29,27.9,28.18,22.0887,119083
2011-03-15,27.71,29.25,27.6,29.07,22.7863,278660
2011-03-16,29.01,29.44,28.34,29.36,23.0136,421534
2011-03-17,29.47,30,29.4,29.97,23.4916,154315
2011-03-18,30,30.34,29.9,30.34,23.7815,209145
