Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,57.76,59.87,57.19,59.76,45.6917,1649100
2009-01-05,59.38,60.18,58.89,59.74,45.6764,1467200
2009-01-06,61.46,61.46,59.74,61.23,46.8156,2256400
2009-01-07,60.67,60.67,58.36,58.83,44.9806,1751200
2009-01-08,58.47,59.27,57.65,59.21,45.2711,1929400
2009-01-09,57.72,58.95,57.33,57.92,44.2848,1761400
2009-01-12,57.92,58.41,57.28,57.68,44.1013,1806900
2009-01-13,57.61,57.61,54.75,55.1,42.1287,4161200
2009-01-14,54.48,55.31,53.89,54.47,41.9132,4076200
2009-01-15,54.61,55.18,51.49,53.06,40.8283,3953200
2009-01-16,53.65,54.99,53.21,54.59,42.0056,2954400
2009-01-20,54.25,54.73,52.06,52.2,40.1665,4021700
2009-01-21,52.64,54.21,51.92,54.01,41.5593,2481900
2009-01-22,53.55,54.37,52.68,53.88,41.4592,2827300
2009-01-23,52.93,53.99,51.95,53.32,41.0283,2162700
2009-01-26,52.97,54.84,52.79,54.6,42.0133,3338600
2009-01-27,54.99,56.53,54.8,55.72,42.8751,2636400
2009-01-28,59.32,61.38,58.56,60.01,46.1761,5319200
2009-01-29,58.84,59.14,57.11,58.24,44.8142,5189100
2009-01-30,58.5,58.88,56.18,56.73,43.6523,2683800
2009-02-02,55.99,56,54.53,55.29,42.5442,2578100
2009-02-03,55.79,55.97,54.13,55.3,42.5519,3514100
2009-02-04,55.35,56.39,54.8,55.05,42.3595,2466600
2009-02-05,54.56,56.82,54.56,56.23,43.2675,2357900
2009-02-06,56.01,57.44,55.96,57.21,44.0216,3254000
2009-02-09,56.96,57.54,56.35,56.75,43.6676,2447200
2009-02-10,56.11,56.75,54.08,54.44,41.8902,2631700
2009-02-11,54.83,55.1,53.36,53.89,41.4669,2834900
2009-02-12,53.05,53.9,52.01,53.83,41.4208,3510000
2009-02-13,53.8,55.37,53.64,54.49,41.9286,2037100
2009-02-17,53.66,53.66,51.86,52.88,40.6898,3103700
2009-02-18,53.11,53.11,51.9,51.96,39.9819,2690900
2009-02-19,52.29,52.93,51.73,51.87,39.9126,3040100
2009-02-20,51.22,51.64,49.92,50.82,39.1047,4080700
2009-02-23,51.21,51.21,48.81,48.94,37.6581,2218900
2009-02-24,49.24,49.47,47.85,49.02,37.7196,3933900
2009-02-25,48.87,48.87,46.31,46.54,35.8113,5078500
2009-02-26,47.09,47.2,45.39,45.68,35.1496,2867600
2009-02-27,44.96,45.13,43.76,43.82,33.7183,3566000
2009-03-02,42.94,42.94,40.94,41.05,31.5869,5063400
2009-03-03,41.47,41.78,39.76,39.83,30.6481,4875200
2009-03-04,40.31,40.61,39.56,40.22,30.9482,7107100
2009-03-05,37.5,39.41,36.98,37.38,28.7629,10657700
2009-03-06,36.99,38,35.28,36.49,28.0781,7498500
2009-03-09,36.06,36.65,35.81,36.31,27.9396,5291800
2009-03-10,36.85,37.73,36.13,37.6,28.9322,4291700
2009-03-11,37.77,38.07,35.85,36.41,28.0165,4446000
2009-03-12,36.51,37.81,35.91,37.57,28.9091,4211400
2009-03-13,37.81,38.17,37.28,37.6,28.9322,3967800
2009-03-16,37.95,40.26,37.66,39.05,30.048,4302700
2009-03-17,39.21,39.57,38.26,39.55,30.4327,3406500
2009-03-18,39.4,40.09,37.96,39.22,30.1788,4463000
2009-03-19,39.37,39.73,37.28,37.86,29.1323,5653100
2009-03-20,37.89,38.42,37.31,37.65,28.9707,4414000
2009-03-23,38.05,39.67,38.05,39.64,30.5019,4359900
2009-03-24,39.29,40.17,39.18,39.5,30.3942,4206500
2009-03-25,40.1,41.17,39.42,40.31,31.0175,3685700
2009-03-26,40.72,43.13,40.4,43.07,33.1412,4874100
2009-03-27,42.63,43.45,42.22,43.12,33.1797,4652500
2009-03-30,42.23,42.56,41.24,42.34,32.5795,5585200
2009-03-31,42.68,42.72,41.51,41.59,32.0024,4799700
2009-04-01,41.2,42.33,40.78,42.19,32.4641,3398600
2009-04-02,42.89,44.15,42.62,43.12,33.1797,4052900
2009-04-03,42.96,43.31,41.86,42.66,32.8258,3408000
2009-04-06,42.71,45.91,42.3,45.56,35.0572,5881100
2009-04-07,44.97,45.78,43.19,43.55,33.7924,4316100
2009-04-08,43.61,44.15,43.29,44,34.1416,2675400
2009-04-09,44.84,45.1,44.36,44.94,34.871,3582700
2009-04-13,44.52,44.68,43.62,44.01,34.1494,2898800
2009-04-14,43.71,44.16,43.11,43.93,34.0873,2654100
2009-04-15,43.82,44.39,43.37,44.3,34.3744,2300400
2009-04-16,44.63,45.79,44.04,45.54,35.3366,3139900
2009-04-17,45.75,46.8,45.32,46.55,36.1203,4076800
2009-04-20,46,46,44.83,45.37,35.2047,3543700
2009-04-21,45.26,46.59,45.06,46.47,36.0582,4226800
2009-04-22,46.88,49.25,46.88,48.23,37.4239,4100900
2009-04-23,48.5,49.5,47.61,49.5,38.4093,4639700
2009-04-24,49.81,49.81,48.5,49.18,38.161,3371800
2009-04-27,49.82,52.62,49.42,51.28,39.7905,4047700
2009-04-28,50.69,51.12,50,50.61,39.2706,2500300
2009-04-29,52.79,54.34,52.01,53.34,41.3889,4211400
2009-04-30,53.51,53.8,51.48,51.67,40.0931,4642200
2009-05-01,52.02,52.78,51.26,52.38,40.644,3303600
2009-05-04,52.31,54.09,52.31,54,41.9011,2900100
2009-05-05,53.97,54.15,53.05,53.62,41.6062,2152600
2009-05-06,53.78,54.32,53.23,54.24,42.0873,2152000
2009-05-07,54.53,54.84,53.19,53.66,41.6372,3312400
2009-05-08,54.27,55.94,53.87,55.88,43.3599,3274600
2009-05-11,55.12,55.79,54.06,54.13,42.0019,2537300
2009-05-12,54.43,55.54,53.67,55.3,42.9098,2463500
2009-05-13,55.06,55.37,53.51,55.3,42.9098,3482200
2009-05-14,55.31,56.07,55.01,55.84,43.3288,3105100
2009-05-15,55.84,56.25,54.73,55.01,42.6848,3488900
2009-05-18,54.95,55.51,54.18,55.46,43.0339,3297300
2009-05-19,55.6,57.32,55.55,56.87,44.128,2932700
2009-05-20,57.16,57.96,56.91,57.17,44.3608,2543300
2009-05-21,56.69,56.69,54.92,55.7,43.2202,2200100
2009-05-22,55.79,56.4,55.15,55.7,43.2202,1830100
2009-05-26,55.47,56.85,55.25,56.27,43.6625,4603800
2009-05-27,56.37,56.94,55.69,55.72,43.2357,2241900
2009-05-28,56.22,57.33,55.22,57.04,44.26,2343400
2009-05-29,57.01,57.44,55.91,56.9,44.1513,2361900
2009-06-01,57.28,59.45,57.27,59.31,46.0214,2066200
2009-06-02,59.28,60.3,59.17,59.98,46.5412,2116600
2009-06-03,59.8,59.97,58,58.59,45.4627,2301000
2009-06-04,58.39,59.24,57.98,59.1,45.8584,2028200
2009-06-05,59.39,61.12,59.39,60.45,46.9059,2769000
