Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,16.51,17.07,16.27,17.07,11.5593,57151376
2009-01-05,17.17,17.24,16.5,16.63,11.2613,72545568
2009-01-06,16.86,16.98,16.46,16.86,11.4174,71201034
2009-01-07,16.67,16.7,16.01,16.11,10.9091,70864684
2009-01-08,16.05,16.2028,15.72,16.14,10.9293,62139490
2009-01-09,16.21,16.39,15.83,16,10.8349,53162754
2009-01-12,15.965,16.2,15.68,15.83,10.7197,65377025
2009-01-13,15.65,15.69,14.72,14.94,10.1173,129126761
2009-01-14,14.59,14.64,14.02,14.11,9.5551,100896917
2009-01-15,14.08,14.14,13.25,13.77,9.3247,140629614
2009-01-16,14.2,14.34,13.06,13.96,9.4535,129003918
2009-01-20,13.95,14.09,12.8,12.93,8.7561,118805282
2009-01-21,11.88,13.23,11.88,13.03,8.8235,147489718
2009-01-22,12.39,13.56,12.0715,13.48,9.1283,151556624
2009-01-23,12.69,13.19,11.87,12.03,8.1463,326452811
2009-01-26,12.48,12.65,12.17,12.42,8.4109,124298715
2009-01-27,12.73,13.19,12.65,13.06,8.8438,119524153
2009-01-28,13.31,13.75,13.17,13.5,9.1418,115454608
2009-01-29,13.33,13.35,12.69,12.72,8.6136,79788186
2009-01-30,12.72,12.8,12.01,12.13,8.2141,111445162
2009-02-02,12.03,12.03,11.51,11.62,7.869,140563792
2009-02-03,11.88,11.88,11.32,11.37,7.6995,125994810
2009-02-04,11.56,11.78,11.19,11.26,7.6251,103156253
2009-02-05,11.09,11.28,10.66,10.85,7.3474,194796255
2009-02-06,10.9,11.45,10.75,11.1,7.5168,218787549
2009-02-09,11.34,12.9,11.12,12.64,8.5597,232937330
2009-02-10,12.54,12.64,11.36,11.62,7.869,196305906
2009-02-11,11.95,12.05,11.71,11.94,8.0859,87572853
2009-02-12,11.75,11.75,11.2,11.68,7.9097,132083894
2009-02-13,11.55,11.74,11.35,11.44,7.7469,86594997
2009-02-17,11.2,11.2,10.71,10.81,7.3206,133781058
2009-02-18,11.07,11.15,10.68,10.86,7.354,95281881
2009-02-19,10.94,10.98,9.95,10.06,7.0128,156970343
2009-02-20,9.71,9.84,8.98,9.38,6.5386,324897013
2009-02-23,9.58,9.6,8.78,8.85,6.1693,224012693
2009-02-24,8.95,9.26,8.43,9.08,6.3295,261491684
2009-02-25,9.09,9.46,8.71,9.01,6.2808,191834683
2009-02-26,9.28,9.75,9.01,9.1,6.3433,155333206
2009-02-27,8.6,9.2,8.4,8.51,5.9322,320709654
2009-03-02,8.29,8.3,7.51,7.6,5.2979,295778423
2009-03-03,7.84,7.89,6.85,7.01,4.8863,414437124
2009-03-04,7.24,7.25,5.7279,6.69,4.6635,752906054
2009-03-05,6.75,7.17,6.525,6.66,4.6423,445327128
2009-03-06,7,7.25,6.66,7.06,4.9213,319471894
2009-03-09,6.95,7.83,6.88,7.41,5.1654,265045990
2009-03-10,8.01,8.99,7.95,8.87,6.183,368767365
2009-03-11,9.23,9.36,8.31,8.49,5.9183,251451845
2009-03-12,8.73,9.78,8.43,9.57,6.6709,355141242
2009-03-13,9.9,9.98,9.3,9.62,6.706,216297410
2009-03-16,9.97,10.36,9.6,9.66,6.7337,226291460
2009-03-17,9.85,10.05,9.44,10,6.9709,150552678
2009-03-18,9.93,10.69,9.7,10.32,7.1938,199587241
2009-03-19,11.2,11.35,9.95,10.13,7.0615,287814092
2009-03-20,10.05,10.07,9.26,9.54,6.6499,252823603
2009-03-23,10.28,10.45,9.78,10.43,7.2707,212923298
2009-03-24,10.22,10.91,10.05,10.41,7.2566,196526003
2009-03-25,10.74,11.09,10.09,10.49,7.3123,209634451
2009-03-26,10.85,11,10.65,10.9,7.5982,160903050
2009-03-27,10.77,11.03,10.65,10.78,7.5145,104650060
2009-03-30,10.33,11.17,9.78,9.93,6.9222,154240751
2009-03-31,10.33,10.46,9.93,10.11,7.0475,132740205
2009-04-01,9.91,10.26,9.8,10.17,7.0891,113956495
2009-04-02,10.75,11,10.57,10.74,7.4864,146649831
2009-04-03,10.81,10.99,10.71,10.94,7.6262,123701474
2009-04-06,10.85,11.23,10.66,11.19,7.8004,131579863
2009-04-07,10.9,10.91,10.57,10.65,7.4237,107503059
2009-04-08,10.73,10.77,10.41,10.64,7.4169,95852785
2009-04-09,11.24,11.63,11.09,11.33,7.8982,150453465
2009-04-13,11.44,12.42,11.25,12.13,8.4555,190532130
2009-04-14,12.49,12.5,11.42,11.51,8.0234,183572367
2009-04-15,11.49,11.95,11.14,11.83,8.2463,120205466
2009-04-16,12.06,12.43,11.71,12.27,8.5527,132513500
2009-04-17,12.4,12.73,11.75,12.39,8.6368,223472721
2009-04-20,12,12.12,11.25,11.35,7.9117,143579125
2009-04-21,10.99,11.89,10.85,11.7,8.1559,123408351
2009-04-22,11.66,12.48,11.52,11.8,8.2257,130202761
2009-04-23,12.16,12.19,11.57,11.88,8.2812,94889996
2009-04-24,12.03,12.35,11.95,12.11,8.4417,97434081
2009-04-27,12.13,12.35,11.85,12.09,8.4276,81725371
2009-04-28,11.95,12.28,11.78,12,8.3649,82536500
2009-04-29,12.17,12.57,12.11,12.22,8.5183,101896519
2009-04-30,12.53,12.81,12.52,12.65,8.8184,114419151
2009-05-01,12.74,12.85,12.5,12.69,8.8459,80027284
2009-05-04,12.96,13.17,12.81,13.1,9.132,117408153
2009-05-05,13.25,13.49,13,13.1,9.132,105501267
2009-05-06,13.47,13.8,13.31,13.67,9.529,128908384
2009-05-07,14.3,14.39,13.77,13.96,9.7312,142137394
2009-05-08,14.38,14.55,14.14,14.53,10.1287,128026140
2009-05-11,14.38,14.42,14.1,14.19,9.8915,93490705
2009-05-12,14.24,14.31,13.26,13.68,9.5361,118114493
2009-05-13,13.21,13.25,12.75,12.91,8.9996,106630441
2009-05-14,12.77,13.18,12.5,13.04,9.0902,90244434
2009-05-15,13.07,13.26,12.7,12.86,8.964,83378305
2009-05-18,13.11,13.5,13.08,13.47,9.3894,76849633
2009-05-19,13.64,13.9592,13.49,13.7,9.5502,92104147
2009-05-20,14.03,14.38,13.74,13.77,9.5987,113598933
2009-05-21,13.51,13.53,13.05,13.24,9.2295,105432562
2009-05-22,13.36,13.4,13.02,13.1,9.132,54029750
2009-05-26,13.02,13.61,12.85,13.39,9.3337,95920365
2009-05-27,13.47,13.5,12.86,12.99,9.0548,107521447
2009-05-28,13.23,13.28,12.81,13.19,9.1943,82480027
2009-05-29,13.33,13.53,12.22,13.48,9.3964,84888255
2009-06-01,13.82,13.99,13.51,13.86,9.6613,86398604
2009-06-02,13.7,13.85,13.55,13.8,9.6197,66116068
2009-06-03,13.65,13.7,13.3,13.5,9.4106,68342938
2009-06-04,13.62,13.75,13.43,13.75,9.5849,58371604
2009-06-05,13.96,13.98,13.51,13.54,9.4383,75656003
2009-06-08,13.5,13.69,13.34,13.56,9.4524,58481137
2009-06-09,13.56,13.69,13.4,13.57,9.4593,54367363
2009-06-10,13.72,13.77,13.12,13.4,9.3409,81913359
2009-06-11,13.43,13.75,13.34,13.46,9.3829,71429611
2009-06-12,13.45,13.52,13.29,13.51,9.4173,57438407
2009-06-15,13.36,13.36,13.01,13.15,9.1666,75502442
2009-06-16,13.18,13.23,12.72,12.78,8.9086,91392643
2009-06-17,12.71,12.73,12.14,12.25,8.5394,129681427
2009-06-18,12.19,12.2369,11.46,11.97,8.4126,176125962
2009-06-19,12.13,12.27,11.93,12.1,8.5038,124480951
2009-06-22,11.86,11.9,11.5,11.52,8.0965,102436805
