Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,25.45,26.175,25.33,26.09,11.5349,11257050
2009-01-05,25.88,25.99,25.205,25.5,11.2741,15667170
2009-01-06,25.605,25.625,24.5,24.815,10.9713,17652898
2009-01-07,24.495,25,24.075,24.36,10.7702,15564804
2009-01-08,24.335,24.435,23.805,24.435,10.8032,15022278
2009-01-09,24.545,24.55,23.68,23.885,10.56,13732904
2009-01-12,23.88,24.13,23.45,23.825,10.5336,12794046
2009-01-13,23.89,24.695,23.825,24.205,10.7016,16263022
2009-01-14,23.88,24.21,23.695,23.81,10.527,15289536
2009-01-15,23.695,24.26,23.62,24.015,10.6177,16829620
2009-01-16,24.015,24.325,23.765,24.14,10.6728,17154702
2009-01-20,24.055,24.53,23.6,23.6,10.434,18140992
2009-01-21,23.975,24.785,23.782,24.7,10.9203,20986180
2009-01-22,24.045,24.58,24,24.35,10.7657,14829088
2009-01-23,24.105,24.35,23.9,24.125,10.6662,12969950
2009-01-26,24.395,24.7,23.95,24.195,10.697,15352698
2009-01-27,24.5,24.5,23.91,24.115,10.6617,15350732
2009-01-28,24.71,25.69,24.6,25.27,11.1725,30514420
2009-01-29,25.055,25.63,24.915,25.32,11.1946,16238302
2009-01-30,25.34,25.905,25.31,25.385,11.2232,17628746
2009-02-02,25.273,26.005,25.14,25.935,11.4665,16475476
2009-02-03,26.02,26.555,25.59,26.4,11.6721,16591322
2009-02-04,26.56,26.64,25.8,25.98,11.4863,17837866
2009-02-05,25.72,26.23,25.27,26.115,11.546,18308362
2009-02-06,26.045,26.515,25.94,26.225,11.5946,20649380
2009-02-09,26.095,26.145,25.455,25.755,11.3868,13950086
2009-02-10,25.72,25.925,24.595,24.885,11.0022,23053200
2009-02-11,25.25,25.25,24.585,24.98,11.0443,14574212
2009-02-12,24.7775,25.25,24.55,25.25,11.1636,14053350
2009-02-13,25.27,25.5,24.945,25.125,11.1083,11086436
2009-02-17,24.755,24.79,24.265,24.36,10.7702,16252754
2009-02-18,24.48,24.93,24.19,24.795,10.9623,16678670
2009-02-19,24.92,25.075,24.52,24.52,10.8409,12473196
2009-02-20,24.57,25.12,24.25,25,11.053,22627160
2009-02-23,25.055,25.25,24.475,24.475,10.821,16633802
2009-02-24,24.475,25.285,24.375,25.17,11.1283,18872188
2009-02-25,24.905,25.35,24.615,24.77,10.9513,16422002
2009-02-26,24.755,24.96,23.5,23.535,10.4053,24678960
2009-02-27,22.99,23.535,22.39,22.4,9.9035,32017640
2009-03-02,22.015,22.455,21.825,22.135,9.7865,30900940
2009-03-03,22.265,22.715,22.15,22.51,9.9523,24546580
2009-03-04,22.655,23,22.3,22.685,10.0295,17409924
2009-03-05,22.35,22.66,21.85,21.89,9.678,23158940
2009-03-06,21.975,22.305,21.73,22.005,9.7289,24313820
2009-03-09,21.99,22.355,21.8,21.855,9.6626,16421854
2009-03-10,22.095,22.26,21.83,22.255,9.8395,21678080
2009-03-11,22.305,22.625,21.91,22.02,9.7355,22299720
2009-03-12,20.55,22.31,20.31,22.215,9.8218,39389558
2009-03-13,22.29,22.735,22.13,22.715,10.0428,20397980
2009-03-16,22.725,22.905,21.875,22.095,9.7686,19103222
2009-03-17,22.345,23.105,22.125,23.05,10.1909,17358506
2009-03-18,23.05,23.095,22.28,22.57,9.9787,18901732
2009-03-19,22.82,22.82,21.9139,22.15,9.793,15390602
2009-03-20,22.52,22.69,22,22.155,9.7952,26965640
2009-03-23,22.385,23.05,22.3,22.84,10.0981,18725534
2009-03-24,22.85,22.915,21.99,22.28,9.8504,22755960
2009-03-25,22.01,22.58,21.61,21.94,9.7001,20071860
2009-03-26,22.11,22.31,21.585,21.97,9.7135,20104080
2009-03-27,22.1,22.705,22.05,22.185,9.8085,14908884
2009-03-30,21.955,22.82,21.81,22.81,10.0847,23080780
2009-03-31,22.875,23.45,22.735,23.16,10.2395,19735872
2009-04-01,22.55,22.75,22.16,22.59,9.9876,26792880
2009-04-02,23,23.045,22.18,22.35,9.8815,21809520
2009-04-03,24.155,24.1833,23.015,23.49,10.3854,30236520
2009-04-06,23.435,24.225,23.325,24.185,10.6928,23090740
