Date,Open,High,Low,Close,Adjusted_close,Volume
2010-02-11,13,13.25,12.4,12.84,25.9511,16892087
2010-02-12,12.76,13.41,12.76,13.41,8.228,884000
2010-02-16,13.4,13.42,12.91,13.32,8.1728,166887
2010-02-17,13.22,14,13.2,13.3,8.1605,400367
2010-02-18,13.1,13.15,12.85,13.03,7.9949,402287
2010-02-19,13,13.23,12.9,13.23,8.1176,325529
2010-02-22,13.28,13.7,13.06,13.09,8.0317,189849
2010-02-23,13.05,13.3,13.01,13.07,8.0194,109977
2010-02-24,13,13.05,12.92,13.05,8.0071,36705
2010-02-25,13,13.2,12.99,13.2,8.0992,192512
2010-02-26,13.02,13.54,13.01,13.43,8.2403,72055
2010-03-01,13.5,13.55,13.11,13.25,8.1299,92135
2010-03-02,13.25,13.38,13.05,13.23,8.1176,100382
2010-03-03,13.12,13.26,13.04,13.14,8.0623,39686
2010-03-04,13.04,13.35,13.0101,13.25,8.1299,53509
2010-03-05,13.2,13.2,13.05,13.1,8.0378,43992
2010-03-08,13.13,13.55,13.1068,13.48,8.271,32663
2010-03-09,13.36,13.58,13.21,13.58,8.3323,30682
2010-03-10,13.4,13.83,13.38,13.75,8.4366,75944
2010-03-11,13.51,14.09,13.5,13.99,8.5839,127632
2010-03-12,13.84,14.2,13.7,14.15,8.6821,147047
2010-03-15,14,15.69,14,14.99,9.1975,413050
2010-03-16,15.31,15.79,14.65,15.33,9.4061,289711
2010-03-17,15.27,15.5,14.38,15.4,9.4491,168211
2010-03-18,15.3,15.45,15.21,15.39,9.4429,38597
2010-03-19,15.12,15.5,14.3,15.4,9.4491,204177
2010-03-22,15.24,15.45,15.04,15.11,9.2711,96023
2010-03-23,15.18,15.73,14.8,15.15,9.2957,171669
2010-03-24,15.11,15.26,14.92,15.18,9.314,56280
2010-03-25,15.02,15.18,14.81,15.02,9.2158,50380
2010-03-26,14.91,15.44,14.51,14.75,9.0502,265402
2010-03-29,13.51,14.615,13.51,14.42,8.8478,351344
2010-03-30,14.75,15.19,14.05,14.14,8.676,254593
2010-03-31,14.25,14.39,13.82,14.01,8.5962,1530568
2010-04-01,14.05,14.37,13.945,14.3,8.7741,200245
2010-04-05,14.42,14.5399,14.32,14.4,8.8355,98597
2010-04-06,14.25,14.82,14.15,14.79,9.0748,72668
2010-04-07,14.7,14.91,14.55,14.9,9.1422,66268
2010-04-08,14.9,15.4,14.77,15.38,9.4368,62999
2010-04-09,15.25,15.38,15.2,15.31,9.3938,95902
2010-04-12,15.35,15.54,15.2,15.24,9.3509,91529
2010-04-13,15.16,15.41,14.84,15.22,9.3386,81930
2010-04-14,15.35,15.5,15.1,15.23,9.3447,131917
2010-04-15,15.33,15.42,15.2,15.3,9.3877,220566
2010-04-16,15.33,15.54,15.21,15.29,9.3816,84069
2010-04-19,15.27,15.42,14.97,15.25,9.357,46942
2010-04-20,15.27,15.27,15.06,15.19,9.3202,91857
2010-04-21,15.21,15.42,15.15,15.31,9.3938,46621
2010-04-22,15.27,15.41,15.17,15.4,9.4491,84165
