Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,32.93,34.27,32.51,34.18,16.8783,751675
2009-01-05,34,34.17,33.24,33.5,16.5425,689041
2009-01-06,33.74,34.88,33.49,34.78,17.1743,929513
2009-01-07,33.26,35.44,33.26,34.95,17.2583,1806744
2009-01-08,34.75,35.37,34.5,35.23,17.3966,876776
2009-01-09,35.49,36.25,35,35.49,17.525,1050485
2009-01-12,35.17,35.8,35.1,35.25,17.4065,1071639
2009-01-13,35.33,35.84,34.7,35.43,17.4954,1067881
2009-01-14,35,35.48,34.37,34.55,17.0609,1374979
2009-01-15,34.37,35.11,33.88,34.72,17.1447,1120739
2009-01-16,35.55,35.55,33.6,34.62,17.0955,914749
2009-01-20,34.19,34.68,32.67,32.67,16.1326,1862461
2009-01-21,33.19,33.58,32.37,33.58,16.5819,854123
2009-01-22,32.77,33.45,32.48,32.9,16.2463,1059441
2009-01-23,32.47,33.18,31.75,32.7,16.1474,728301
2009-01-26,32.65,33.2,32.05,32.38,15.9893,922036
2009-01-27,32.6,33.74,32.55,33.58,16.5819,864861
2009-01-28,34.02,35.48,33.75,35.2,17.3819,936879
2009-01-29,34.82,34.99,34.52,34.63,17.1005,654755
2009-01-30,34.63,35.26,34.45,34.71,17.1398,1003802
2009-02-02,34.08,35.2,34,35.02,17.2931,1089045
2009-02-03,35.18,35.86,34.55,35.23,17.3966,876021
2009-02-04,35.3,35.53,34.608,34.95,17.2583,841401
2009-02-05,34.82,35.93,34.82,35.68,17.6189,590163
2009-02-06,35.54,36.68,35.45,36.3,17.925,718245
2009-02-09,36.27,36.27,35.31,35.75,17.6535,351154
2009-02-10,35.54,36.15,34.72,34.8,17.1843,565650
2009-02-11,35.02,35.3,34.48,34.96,17.2732,444285
2009-02-12,34.5,35.59,34.5,35.52,17.55,532221
2009-02-13,35.39,36.06,35.18,35.25,17.4166,439710
2009-02-17,34.72,34.97,33.93,33.98,16.789,832273
2009-02-18,34.2,34.61,33.7908,34.17,16.883,598260
2009-02-19,34.56,34.56,32.84,32.93,16.2703,694007
2009-02-20,32.85,33.14,31.78,32.8,16.2061,770389
2009-02-23,32.95,33.33,31.3,31.3,15.465,917696
2009-02-24,31.62,32.76,31.36,32.7,16.1566,790497
2009-02-25,32.43,32.84,31.61,31.87,15.7465,597234
2009-02-26,32.24,32.3,30.85,30.96,15.2971,626664
2009-02-27,30.49,31.3,30.22,30.68,15.1585,1162948
2009-03-02,30.2,30.52,28.94,28.96,14.3089,1036730
2009-03-03,29.48,30.13,28.94,29.88,14.7633,1132488
2009-03-04,29.94,30.17,29.34,29.53,14.5904,1099718
2009-03-05,29,29.43,28.54,28.67,14.1655,854868
2009-03-06,28.88,29.02,27.62,28.34,14.0025,902433
2009-03-09,28.1,28.6,27.48,27.59,13.6319,652405
2009-03-10,27.98,29.05,27.6,29.03,14.3436,978567
2009-03-11,29.24,29.56,28.91,29.35,14.5015,1057019
2009-03-12,29.09,29.82,28.63,29.61,14.63,1072592
2009-03-13,29.84,30.79,29.79,30.68,15.1585,1095862
2009-03-16,30.83,31.31,30.54,30.7,15.1685,870834
2009-03-17,30.62,31.48,30.5,31.48,15.5539,542369
2009-03-18,31.3,32.6,31.17,32.12,15.8701,843079
2009-03-19,32.38,32.63,31.57,31.57,15.5983,601452
2009-03-20,31.7,32.35,31.7,31.91,15.7663,1020198
2009-03-23,32.45,33.43,31.92,33.4,16.5024,939559
2009-03-24,32.9,33.09,32.3,32.35,15.9837,712445
2009-03-25,32.49,33.16,31.99,32.77,16.1913,770757
2009-03-26,32.9,34.01,32.86,33.91,16.7547,875347
2009-03-27,33.58,33.9,32.98,33.1,16.3542,596358
2009-03-30,32.5,32.92,32.25,32.69,16.1516,846800
2009-03-31,32.91,33.85,32.78,33.41,16.5074,780466
2009-04-01,32.98,33.68,32.46,33.35,16.4777,1012269
2009-04-02,33.87,34.39,33.59,33.82,16.71,1101714
2009-04-03,34.33,34.75,30.82,32,15.8109,3016957
2009-04-06,31.85,32.11,31.25,31.89,15.7565,1102556
2009-04-07,31.41,32.81,31.18,32.37,15.9936,1495713
2009-04-08,32.5,33.16,32.08,33.09,16.3492,998777
2009-04-09,33.49,33.49,32.83,33.4,16.5024,1365110
2009-04-13,33.03,33.12,32.42,32.77,16.1913,831761
2009-04-14,32.42,32.78,32.19,32.23,15.9244,865323
2009-04-15,32.03,32.69,32.03,32.69,16.1516,684341
2009-04-16,32.99,33.67,32.63,33.54,16.5718,634612
2009-04-17,33.525,33.65,32.8,33.4,16.5024,983779
2009-04-20,32.93,33.21,32.43,32.54,16.0778,860573
2009-04-21,32.5,32.5,31.57,32.21,15.9145,1042926
2009-04-22,31.96,32.74,31.65,32,15.8109,1232098
2009-04-23,31.98,32.28,31.05,31.64,15.633,1008153
2009-04-24,31.88,32.09,30.86,30.97,15.302,2023605
2009-04-27,30.82,31.5,30.77,31.27,15.4501,1123658
