Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,84.02,87.62,82.19,86.76,75.0182,14139228
2009-01-05,85.81,90.95,85.46,88.78,76.7649,16009641
2009-01-06,90.05,92.2,87.72,88.71,76.7046,21555887
2009-01-07,86.91,87.85,83.65,84.5,73.0641,12589410
2009-01-08,83.52,86.52,82.6801,85.41,73.8514,13448016
2009-01-09,85.91,86.87,80.41,83.92,72.5628,12226114
2009-01-12,83.36,83.76,76.43,77.67,67.1587,15778764
2009-01-13,74.16,78.88,73.71,77.92,67.3747,25866499
2009-01-14,75.88,76.88,73.45,75.69,65.4463,18422528
2009-01-15,75.03,76.2,69,73.83,63.838,25823352
2009-01-16,75.98,76.5,69.95,73.05,63.1638,26051647
2009-01-20,69.6,70.26,59.13,59.2,51.1881,33135562
2009-01-21,63.39,70.1,63.25,69.9,60.4402,38183318
2009-01-22,67.28,73.69,65.53,71.03,61.4169,24608185
2009-01-23,67.87,75.35,67.12,74.91,64.7723,21924074
2009-01-26,76.06,78.75,72.77,74.2,64.1583,18744776
2009-01-27,75.51,78.65,74.77,78.26,67.6686,20691123
2009-01-28,84.28,89.1,83.37,87.7,75.8313,34388608
2009-01-29,85.13,86.59,82.12,82.72,71.5248,21634815
2009-01-30,83.59,84.78,79.35,80.73,69.8044,20351034
2009-02-02,78.78,84,78.57,83.57,72.2603,18487865
2009-02-03,84.3,84.5,79.8,82.81,71.6031,19445931
2009-02-04,83.7,89.92,83.45,87.97,76.0644,29780451
2009-02-05,86.77,94.7,86.26,92.85,80.2837,33850338
2009-02-06,94.27,96.58,91.56,96.57,83.5005,26559786
2009-02-09,97.02,98.66,94.63,97.89,84.6423,18745502
2009-02-10,96.79,97.89,89.7,90.4,78.1658,29866528
2009-02-11,91.75,94.94,90.42,94.71,81.8923,19561384
2009-02-12,92.65,96.2,91.47,95.58,82.6445,22915372
2009-02-13,95,97.98,94.5,96.45,83.397,22980565
2009-02-17,92.26,92.48,84.79,85.71,74.1107,31085792
2009-02-18,87.69,87.69,81.07,84.5,73.0641,32610761
2009-02-19,86.41,88.87,85.53,86.01,74.3696,24479315
2009-02-20,81.95,87.15,79.27,84.59,73.5409,36151895
2009-02-23,86.51,87.77,79.79,80.07,69.6115,22305565
2009-02-24,81.53,93.09,81.51,92.98,80.8352,33115900
2009-02-25,91.55,93.5,87.3,89.92,78.1748,36253684
2009-02-26,92.3,94,90.02,92.15,80.1134,27519668
2009-02-27,88.63,93.38,87.5,91.08,79.1835,26046640
2009-03-02,87.86,90.21,85.56,86.27,75.0018,24074128
2009-03-03,88.33,88.84,80.29,82.37,71.6111,30943519
2009-03-04,84.9,88,81.5,85.47,74.3061,28053665
2009-03-05,82.88,85.7,79.35,81.72,71.046,24833125
2009-03-06,82.33,84.4799,73.25,75.65,65.7688,33492921
2009-03-09,73.77,77.4,72.78,73.95,64.2911,23656424
2009-03-10,77.68,85.45,77.1,85.28,74.141,35007177
2009-03-11,86.89,93.5,85.58,92.39,80.3222,38005897
2009-03-12,92.03,97.5,90.18,97.25,84.5473,30824626
2009-03-13,97.79,99.84,95.64,98.8,85.8951,30963595
2009-03-16,100.33,101.41,93.19,93.9,81.6353,28250021
2009-03-17,92.64,99.01,92.55,98.99,86.0602,23362216
2009-03-18,97.58,106.79,96.7,105.25,91.5025,34385290
2009-03-19,104.65,105.77,99.26,99.3,86.3297,28584222
2009-03-20,99.51,100.5,95.1,97.32,84.6083,29143142
2009-03-23,102.5,111.93,101.3,111.93,97.31,33595204
2009-03-24,110.59,115.65,109.34,110.33,95.9192,30913685
2009-03-25,111.13,113.91,106.13,112.95,98.1971,32808129
2009-03-26,112,113.19,109.45,111.99,97.3623,28851131
2009-03-27,109.61,111.5,107.82,108.08,93.9629,21572565
2009-03-30,104.11,105.05,100.46,100.46,87.3382,21363797
2009-03-31,102.81,108.5,102.48,106.02,92.1719,25927355
2009-04-01,104.1,111.34,103.94,110.29,95.8841,24882974
2009-04-02,115.21,115.9,112.5,114.22,99.3008,30059186
2009-04-03,112.8,119.76,112.55,119.4,103.8042,23692027
2009-04-06,116,117.95,114.05,116.65,101.4132,21100063
2009-04-07,114,119.76,113.57,116.08,100.9179,22188514
2009-04-08,117.37,117.55,112.5,114.75,99.7615,20412166
2009-04-09,119.79,124.98,117.45,124.33,108.0904,25610659
2009-04-13,122.81,131.27,122.5,130.15,113.1502,36460715
2009-04-14,123.76,124.24,115.1,115.11,100.0746,79935753
2009-04-15,116.72,122.1,113.57,121.19,105.3605,41345774
2009-04-16,123.09,123.67,119.58,121.19,105.3605,23580154
2009-04-17,120.84,122.96,118.96,120.6,104.8474,21848615
2009-04-20,116.97,118.9,115,115.01,99.9876,21609466
2009-04-21,113.76,121.03,113.38,120.36,104.639,24778654
2009-04-22,118.61,124.8,117.836,120.49,104.7522,28224161
2009-04-23,121.64,122.97,118.21,122.81,106.769,20137646
2009-04-24,123.25,123.7,120.25,121.3,105.4561,22410665
2009-04-27,119.34,124.37,119.34,120.9,105.108,19131352
2009-04-28,120.17,122.25,119.8,120.67,104.9084,14912581
2009-04-29,122.02,127.94,121.6,127.18,110.5684,23009653
2009-04-30,128.52,129.65,125.18,128.5,111.7162,24838895
2009-05-01,127.9,130.27,126.16,127.08,110.4812,17540245
2009-05-04,127.51,134.43,126.16,134.16,116.6364,23435904
2009-05-05,132.9,136.2,132.55,135.2,117.5407,16813748
2009-05-06,136.8,140.36,136.05,139.22,121.0355,20517670
2009-05-07,140.98,141.56,131.81,133.73,116.2625,23188551
2009-05-08,134.89,139.59,133.15,139.59,121.3569,19156598
2009-05-11,136.85,138.96,134.83,135.78,118.0444,18395009
2009-05-12,137.03,138.4,132.21,135.41,117.7231,21101321
2009-05-13,133.2,133.39,128.06,129.26,112.3764,18621278
2009-05-14,129.12,134.44,128.94,133.6,116.1495,17417516
2009-05-15,134.02,136.1,132.2,134.4,116.845,14754645
2009-05-18,137.2,143.15,136.78,143.15,124.4521,18622661
2009-05-19,142.59,144.86,141.15,141.15,122.7131,15331473
2009-05-20,142.31,142.63,136.02,136.44,118.6184,21441043
2009-05-21,134.05,139.45,133.92,137.16,119.5514,16135416
