Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,78.85,81.1794,76.73,80.59,65.7009,1039546
2009-01-05,80.02,80.75,78.17,78.81,64.2498,1480270
2009-01-06,79.16,79.33,77.85,78.51,64.0045,1529271
2009-01-07,77.78,78.53,76.99,77.5,63.1817,1356004
2009-01-08,76.15,77.61,74.83,77.44,63.1326,2078928
2009-01-09,77.42,77.69,74.91,76.53,62.3912,1380342
2009-01-12,76.4,77,75.04,75.83,61.82,1403927
2009-01-13,75.79,77.24,75.09,76.23,62.1463,950406
2009-01-14,75.04,75.3,73.5,73.99,60.3199,1243854
2009-01-15,74.23,76.22,73.22,75.55,61.5919,1213908
2009-01-16,76.53,77.07,74.418,76.52,62.3824,1423362
2009-01-20,76.31,76.84,72.42,72.65,59.2275,2079277
2009-01-21,73.61,73.74,70.01,72.7,59.2682,2545048
2009-01-22,71,71.91,70.12,71.19,58.0374,1963751
2009-01-23,69.82,73.25,69.33,71.82,58.5508,1623529
2009-01-26,70.95,73,70,71.16,58.0129,1839190
2009-01-27,71.68,74.09,71.51,73.51,59.9289,1495585
2009-01-28,74.5,75.54,73.82,75.28,61.3717,1228142
2009-01-29,74.14,75,73.31,74.11,60.4178,1463150
2009-01-30,74.62,75.22,72.26,72.95,59.4722,1346955
2009-02-02,72.01,73.11,71.04,72.56,59.1542,1340487
2009-02-03,72.64,74.56,71.73,74.2,60.4909,1053546
2009-02-04,72.53,74.07,71.55,72.14,58.8119,2266150
2009-02-05,71.46,73.7,70.79,73.08,59.9106,1196503
2009-02-06,73.27,75.61,72.9,75.23,61.6727,1109587
2009-02-09,75.04,76.26,74.35,75.31,61.7384,777146
2009-02-10,74.49,75.66,71.72,72.11,59.115,1512637
2009-02-11,71.33,72.2,69.9,71.48,58.5989,2330439
2009-02-12,71.94,74.13,71.36,73.73,60.4434,2255096
2009-02-13,73.45,74.99,73.04,74.17,60.8038,1801320
2009-02-17,72.01,73.89,71.61,72.87,59.7382,1581312
2009-02-18,73.51,73.51,70.11,71,58.2054,1903597
2009-02-19,71.45,72.13,68.84,69.11,56.6557,1635408
2009-02-20,68.18,69.815,67.215,68.74,56.3527,2151197
2009-02-23,69.54,69.54,65.79,65.92,54.0404,2341732
2009-02-24,66,69.03,65.95,68.53,56.1805,1219785
2009-02-25,67.89,69.15,67.0575,67.66,55.467,1773123
2009-02-26,67.79,68.49,66.76,66.77,54.7374,1439090
2009-02-27,65.73,67.46,65.73,66.16,54.2375,1525788
2009-03-02,65.17,66.02,63.12,64.05,52.5072,1760554
2009-03-03,64.8,65.25,63.23,63.85,52.3439,1924900
2009-03-04,64.66,65.4,62.95,64.4,52.7945,2466706
2009-03-05,63.25,63.44,61.22,61.71,50.5893,2136325
2009-03-06,61.5,63.37,59.95,61.45,50.376,2511003
2009-03-09,60.45,62.41,60.32,61.37,50.3106,1585460
2009-03-10,62.65,65.33,61.93,65.17,53.4257,2068545
2009-03-11,65.99,66,63.04,64.21,52.6392,1866648
2009-03-12,64.18,66.74,62.89,66.44,54.467,1247852
2009-03-13,66.88,66.88,64.76,65.85,53.9836,1011583
2009-03-16,66.69,66.8,62.76,64.33,52.7371,1980897
2009-03-17,64.7,66.47,63.73,66.47,54.4916,1076536
2009-03-18,65.67,68.3,65,67.56,55.3849,1323230
2009-03-19,68.16,68.16,66.63,67.66,55.467,1091952
2009-03-20,68.2,68.604,66.07,66.71,54.6882,1154450
2009-03-23,67.89,70.49,67.15,70.45,57.754,1232162
2009-03-24,69.63,71.47,69.24,70.21,57.5576,984900
2009-03-25,70.63,73.24,68.795,70.89,58.1149,1270413
2009-03-26,71.75,73.6,71.25,73.6,60.3365,1142272
2009-03-27,72.6,72.99,71.21,71.69,58.7706,833967
2009-03-30,70.57,71.06,69.28,70.56,57.8443,1001982
2009-03-31,70.7,71.49,68.7,70.18,57.5328,1191834
2009-04-01,69.39,72.01,68.61,71.77,58.8366,1079322
2009-04-02,73.3,75.5,73.27,74.7,61.2384,1302015
2009-04-03,74.5,75.49,73.99,75.24,61.6811,919774
2009-04-06,74.55,75.25,73.48,74.86,61.3696,882799
2009-04-07,73.63,74.23,71.399,72.27,59.2462,832912
2009-04-08,72.44,73.06,71.4,72.64,59.5497,685681
2009-04-09,74.42,77.42,74.13,77,63.1241,1263595
2009-04-13,76.41,77.98,75.55,77.24,63.3207,1162266
2009-04-14,80,86.06,78.21,79.96,65.551,5063363
2009-04-15,80.5,81.25,78.12,79.59,65.2471,1519171
2009-04-16,79.93,80.65,78.76,80.33,65.854,1624881
2009-04-17,80.6,81.05,78.82,79.44,65.1242,1258977
2009-04-20,78.46,78.75,76.78,77.34,63.4028,1067058
2009-04-21,76.89,78.04,76.65,77.72,63.7146,934928
2009-04-22,77.65,80.5,76.9,79.44,65.1242,1211023
2009-04-23,78.85,79.99,77.74,79.16,64.8948,773009
2009-04-24,79.65,83.11,78.68,82.09,67.2969,1218662
2009-04-27,80.76,82.12,80.23,80.99,66.3949,644704
2009-04-28,80.3,82.1,79.9,81.49,66.8047,838183
2009-04-29,82.56,84,81.5,83.06,68.0919,957673
2009-04-30,83.34,86.36,83.07,83.88,68.7639,1312703
2009-05-01,83.88,84.23,82.039,82.79,67.8705,1002990
2009-05-04,83.5,84.06,81.201,84.06,68.9115,1176877
2009-05-05,83.18,83.56,81.2,83.38,68.3543,1319881
2009-05-06,83.49,84.81,81.62,82.97,68.018,1189915
2009-05-07,83.48,83.48,79.61,80.27,66.1715,964161
2009-05-08,81.41,82.17,79.54,80.79,66.6002,905316
2009-05-11,79.07,79.5,77.72,78.67,64.8529,968383
2009-05-12,79.58,80.81,78.56,80.05,65.9901,987570
2009-05-13,79,79.22,77.06,77.55,63.9295,706098
2009-05-14,77.86,78.93,77.2,77.34,63.7562,831373
2009-05-15,77.05,79.02,77.05,77.71,64.061,681916
2009-05-18,78.14,80.2,77.98,80.18,66.0971,503692
2009-05-19,79.75,80.68,78.82,79,65.1246,686485
2009-05-20,79.48,80.17,76.75,76.96,63.4433,855181
2009-05-21,76.21,76.21,74.58,75.55,62.2807,812200
2009-05-22,75.58,76.59,74.55,75.72,62.4208,559541
2009-05-26,75.26,79.17,74.95,78.61,64.8031,823302
2009-05-27,78.67,79.85,77.35,77.45,63.847,986843
2009-05-28,77.26,78.53,75.865,78.25,64.5062,931933
2009-05-29,78.12,79.07,77.69,78.83,64.9842,650869
2009-06-01,79.91,83.48,79.77,82.93,68.3643,1005225
2009-06-02,83.21,83.94,82.2,83.63,68.9413,964898
2009-06-03,82.96,83.96,81.8,82.82,68.2737,1212031
2009-06-04,83.11,83.75,82.45,83.37,68.7269,1177575
2009-06-05,84.21,84.4,82.39,82.99,68.4138,932434
2009-06-08,82.82,84.95,82.75,84.43,69.6009,860078
2009-06-09,84.23,85,83.92,84.32,69.5101,2363228
2009-06-10,85.1,85.45,82.8801,84.03,69.2709,1051015
2009-06-11,84.52,85.48,83.8,84.12,69.3457,923307
2009-06-12,83.84,83.96,82.91,83.81,69.0899,836313
2009-06-15,83.07,83.09,81.24,82.24,67.7956,712457
2009-06-16,82.5,83,81.1,81.16,66.9054,652061
2009-06-17,80.71,83.3,80.4,82.44,67.9602,756953
2009-06-18,82.6,82.72,81.41,82.4,67.9274,611027
2009-06-19,82.31,82.65,80.44,80.9,66.6911,1548673
2009-06-22,80.36,80.48,78.36,78.36,64.5967,819092
2009-06-23,78.13,78.81,77.1199,78.03,64.3251,1017942
2009-06-24,78.48,81.35,78.14,80.56,66.4109,1277708
2009-06-25,80.23,82.79,79.8,82.71,68.1828,1067994
2009-06-26,82.86,83.99,82.42,82.79,68.249,1494195
2009-06-29,83.28,83.62,82.07,82.82,68.2737,529966
2009-06-30,82.83,83.11,81.12,81.88,67.4988,641505
2009-07-01,82.15,82.79,81.42,81.94,67.548,625089
2009-07-02,81.39,82.08,80.06,80.11,66.0395,1092005
2009-07-06,80.42,82.3,79.5588,81.79,67.4247,1019416
2009-07-07,81.9,82,80.25,80.33,66.2208,662488
