Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,29.36,29.91,28.71,29.6,21.8073,1253304
2009-01-05,29.64,29.74,28.82,29.42,21.6747,1887444
2009-01-06,29.43,29.69,28.67,29.28,21.5716,2099051
2009-01-07,28.64,29.74,28.42,29.61,21.8148,3111697
2009-01-08,29.32,29.44,28.05,28.9,21.2917,2623140
2009-01-09,28.85,28.85,27.85,27.98,20.614,1683123
2009-01-12,27.91,28.14,26.99,27.2,20.0394,2014217
2009-01-13,27.11,27.46,26.55,26.99,19.8848,2181758
2009-01-14,26.69,26.74,26.06,26.47,19.5018,1761410
2009-01-15,26.35,27.13,25.95,26.85,19.7811,1743307
2009-01-16,27.05,27.09,26.33,26.89,19.811,1463985
2009-01-20,26.56,26.95,25.8,25.84,19.0372,1938181
2009-01-21,26.07,26.96,25.79,26.95,19.8553,2419620
2009-01-22,26.38,26.57,25.75,26.19,19.2952,1904456
2009-01-23,25.71,26.25,25.48,25.84,19.0372,1332839
2009-01-26,25.92,26.48,25.46,25.94,19.1109,1128387
2009-01-27,25.96,26.31,25.7,26.06,19.1993,1101116
2009-01-28,26.21,26.67,26.06,26.62,19.6119,1332618
2009-01-29,26.13,26.53,25.29,25.5,18.7867,1681977
2009-01-30,25.52,25.52,24.03,24.13,17.9181,2414301
2009-02-02,22.47,22.55,21.68,21.93,16.2842,6742911
2009-02-03,22.01,22.68,21.7,22.54,16.7373,2746781
2009-02-04,22.41,22.72,21.9,22.59,16.7748,1881097
2009-02-05,22.54,23.57,22.39,23.32,17.3168,4561000
2009-02-06,23.2,23.77,23.01,23.54,17.4799,2859519
2009-02-09,23.57,25.49,23.57,25.07,18.6161,5320794
2009-02-10,24.79,25.12,24.16,24.23,17.9925,3590038
2009-02-11,24.18,24.31,23.92,24.17,17.948,2872305
2009-02-12,23.84,24.15,23.18,24.01,17.829,3410660
2009-02-13,24.05,24.36,23.74,23.8,17.673,2154655
2009-02-17,23.47,23.85,21.68,23.51,17.4576,3163732
2009-02-18,23.7,23.7,23.02,23.33,17.3241,2935518
2009-02-19,23.46,24.03,23.01,23.13,17.1757,3623842
2009-02-20,23,23.55,22.8,23.2,17.2273,5298304
2009-02-23,23.2,23.35,22.41,22.5,16.7078,3189723
2009-02-24,22.71,23.04,22.36,22.87,16.9822,3616444
2009-02-25,22.73,23.45,22.17,22.99,17.0718,4359519
2009-02-26,23.13,23.47,22.47,22.58,16.7669,2848967
2009-02-27,22.32,23.53,22.12,22.89,16.9973,3298844
2009-03-02,22.74,23,22.33,22.51,16.7152,3455813
2009-03-03,22.8,22.97,22.12,22.24,16.5147,5407011
2009-03-04,22.58,22.81,21.6,22.42,16.6484,4462208
2009-03-05,21.98,22.57,21.79,22,16.3366,5136599
2009-03-06,21.94,22.36,21.43,22.07,16.3883,3479340
2009-03-09,21.92,22.12,21.14,21.32,15.8314,2772848
2009-03-10,21.59,22.44,21.32,22.35,16.5961,2676498
2009-03-11,22.32,22.63,21.9,22.06,16.381,2506288
2009-03-12,21.98,23.18,21.84,23.08,17.1383,2145013
2009-03-13,23.21,23.4,22.88,23.25,17.2645,1957224
2009-03-16,23.41,23.46,22.7,22.78,16.9154,2430078
2009-03-17,22.72,23.19,22.49,23.19,17.22,1938994
2009-03-18,23.33,23.94,22.87,23.7,17.5988,2748460
2009-03-19,23.86,23.86,23.2704,23.7,17.5988,1619927
2009-03-20,23.71,23.95,23.19,23.3,17.3019,1973264
2009-03-23,23.41,23.81,23.17,23.79,17.6653,2306424
2009-03-24,23.46,23.7,22.87,22.92,17.0197,2727324
2009-03-25,23.09,24.33,23.09,24.06,17.8662,2839211
2009-03-26,24.25,25.56,24.14,25.26,18.7572,3335649
2009-03-27,25.13,25.75,25.13,25.46,18.9058,2385724
2009-03-30,24.87,25.33,24.29,24.93,18.512,3388590
2009-03-31,25.48,25.57,24.75,25.07,18.6161,2333059
2009-04-01,24.93,25.35,24.76,25.24,18.7423,2185145
2009-04-02,25.45,26.89,25.45,26.37,19.5813,2393472
2009-04-03,26.49,26.74,26.09,26.74,19.856,1817111
2009-04-06,26.62,26.95,26.25,26.83,19.9231,1650774
2009-04-07,26.52,26.7,25.61,25.69,19.0766,1380707
2009-04-08,25.66,26.3,25.66,26.11,19.3883,1986814
2009-04-09,26.55,26.86,26.27,26.86,19.9452,1257835
2009-04-13,26.78,26.84,26.33,26.69,19.8191,915381
2009-04-14,26.32,26.5,25.63,25.69,19.0766,1731917
2009-04-15,25.69,26.12,25.26,25.55,18.9726,1507943
2009-04-16,25.77,26.39,25.56,26.19,19.4475,2055649
2009-04-17,26.39,28.02,26.34,27.91,20.7248,3413777
2009-04-20,27.49,29.23,26.81,27.16,20.1677,3410773
2009-04-21,26.33,26.6,26.01,26.46,19.6481,3380603
2009-04-22,26.53,28.26,26.42,27.68,20.5541,3578536
2009-04-23,27.67,27.69,26.81,27.37,20.3239,1976973
