Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,7.88,8,7.45,7.98,6.1558,4066241
2009-01-05,7.93,8,7.48,7.79,6.0093,5473742
2009-01-06,7.87,8,7.6,7.7,5.9401,6697163
2009-01-07,7.55,7.6,7.13,7.15,5.5154,5080822
2009-01-08,7.01,7.24,6.75,7.02,5.4153,6821771
2009-01-09,7.12,7.12,6.59,6.64,5.1222,7206253
2009-01-12,6.57,6.62,5.9,6.01,4.6363,11982681
2009-01-13,6.03,6.13,5.61,5.91,4.5592,14798647
2009-01-14,5.6,5.6,4.56,4.95,3.8186,22789628
2009-01-15,4.87,5.04,4.02,4.29,3.3097,19836366
2009-01-16,4.5,4.7,4.16,4.56,3.5173,15246320
2009-01-20,4.53,4.95,3.79,3.81,2.939,12889157
2009-01-21,4.14,4.65,4.03,4.61,3.5561,13427000
2009-01-22,3.61,3.75,2.88,3.2,2.4686,25916749
2009-01-23,3.1,3.36,2.96,3.27,2.5224,19727708
2009-01-26,3.32,3.6,3.11,3.11,2.3992,15526996
2009-01-27,3.2,3.3325,3.08,3.13,2.4143,8040762
2009-01-28,3.5,4.09,3.35,3.69,2.8467,26910529
2009-01-29,3.65,3.69,3.35,3.43,2.6461,9448458
2009-01-30,3.48,3.52,2.84,2.88,2.2218,10951846
2009-02-02,2.85,2.85,1.93,2.02,1.5579,27842022
2009-02-03,2.12,2.29,1.76,1.81,1.3962,21271877
2009-02-04,1.92,2.01,1.37,1.44,1.1111,23676328
2009-02-05,1.5,1.99,1.28,1.79,1.3807,32736927
2009-02-06,1.96,2.54,1.85,2.36,1.8208,27198942
2009-02-09,2.83,3.05,2.55,2.61,2.0135,25648293
2009-02-10,2.66,2.68,1.75,1.96,1.5117,39848562
2009-02-11,2.04,2.25,1.75,1.88,1.4503,23009059
2009-02-12,1.81,1.86,1.67,1.81,1.3962,13658817
2009-02-13,1.77,1.86,1.67,1.69,1.3037,10654157
2009-02-17,1.51,1.52,1.3,1.31,1.0108,21728752
2009-02-18,1.45,1.46,1.24,1.31,1.0108,17829990
2009-02-19,1.3,1.36,1.03,1.03,0.7946,20466752
2009-02-20,1.01,1.45,1,1.36,1.049,32324394
2009-02-23,1.63,1.63,1.13,1.16,0.8948,16088340
2009-02-24,1.2,1.45,1.13,1.41,1.0875,21991470
2009-02-25,1.38,1.73,1.21,1.66,1.2808,24643253
2009-02-26,1.82,2.08,1.66,1.98,1.5272,35572033
2009-02-27,1.52,1.83,1.45,1.46,1.1262,21320930
2009-03-02,1.35,1.44,1.26,1.28,0.987,10961776
2009-03-03,1.44,1.47,1.19,1.2,0.9255,12097079
2009-03-04,1.37,1.39,1.15,1.18,0.9104,18725242
2009-03-05,1.14,1.17,1.05,1.06,0.8178,10203238
2009-03-06,1.12,1.18,1.02,1.02,0.7864,10325498
2009-03-09,1.04,1.14,1.02,1.08,0.833,8979539
2009-03-10,1.23,1.37,1.17,1.34,1.0337,17314306
2009-03-11,1.47,1.49,1.2,1.25,0.9713,16976190
2009-03-12,1.25,1.68,1.15,1.68,1.306,23013057
2009-03-13,1.76,1.78,1.47,1.56,1.2124,16616386
2009-03-16,1.65,1.85,1.56,1.76,1.3678,21886731
2009-03-17,1.76,1.76,1.55,1.74,1.3524,10024103
2009-03-18,1.73,2.04,1.68,2.02,1.5696,22885289
2009-03-19,2.22,2.25,1.75,1.8,1.3988,16918599
2009-03-20,1.87,1.94,1.61,1.76,1.3678,21410279
2009-03-23,2.01,2.12,1.88,2.09,1.6242,15885919
2009-03-24,1.93,2,1.74,1.74,1.3524,21391909
2009-03-25,1.76,1.85,1.52,1.62,1.2589,21837993
2009-03-26,1.71,1.73,1.56,1.59,1.2359,16816485
2009-03-27,1.54,1.71,1.52,1.68,1.306,12577148
2009-03-30,1.52,1.57,1.44,1.44,1.1193,10861979
2009-03-31,1.57,1.66,1.47,1.66,1.2902,13369017
2009-04-01,1.64,1.95,1.55,1.9,1.4767,29635043
2009-04-02,2.18,2.25,1.88,1.96,1.5234,26127406
2009-04-03,1.93,2.04,1.82,2.01,1.5623,14838926
2009-04-06,1.96,2.04,1.88,1.94,1.5077,9107181
