Date,Open,High,Low,Close,Adjusted_close,Volume
2011-03-10,31.2,31.5,30.7,31.02,24.1049,64600369
2011-03-11,30.5,31.29,30.5,31.12,24.1828,9531504
2011-03-14,30.96,31.05,30.57,30.91,24.0195,8663783
2011-03-15,30.39,31.5,30.36,31.34,24.3538,7126571
2011-03-16,31.25,31.95,31.12,31.25,24.2838,6157808
2011-03-17,31.54,31.93,31.4,31.91,24.7966,3332379
2011-03-18,32.11,33.08,31.9,33.06,25.6903,5463348
2011-03-21,33.39,33.39,32,32.25,25.0609,3823474
2011-03-22,32.37,32.39,31.3904,31.87,24.7656,3943895
2011-03-23,31.7,32.68,31.5,32.68,25.395,4216233
2011-03-24,32.53,32.95,32.5,32.69,25.4027,2125551
2011-03-25,32.71,33.1,32.58,32.95,25.6047,3026587
2011-03-28,32.87,33.11,32.75,33.04,25.6748,2112581
2011-03-29,33.44,34.01,33.05,33.89,26.3351,5137353
2011-03-30,34.57,34.57,33.93,34.24,26.6072,3049809
2011-03-31,34,34.11,33.665,33.87,26.3196,1960876
2011-04-01,33.89,34.1,33.66,33.74,26.2185,1822039
2011-04-04,33.87,33.87,33.31,33.67,26.1642,2647964
2011-04-05,33.7,34.05,33.25,34.02,26.4363,3607250
2011-04-06,33.75,34.2,33.24,33.3,25.8767,2718425
2011-04-07,33.28,33.85,32.85,33.66,26.1565,1947469
2011-04-08,33.52,33.99,32.99,33.17,25.7756,2340014
2011-04-11,33.34,33.34,30.79,32.12,24.9596,15028125
2011-04-12,32.11,32.59,31.33,31.53,24.5013,3848784
2011-04-13,32,32.45,31.7,32.06,24.9131,3969785
2011-04-14,31.89,32.5,31.79,32.14,24.9754,1565889
2011-04-15,32.3,32.38,31.89,31.98,24.8509,3073284
2011-04-18,31.82,32.54,30.75,32.08,24.9286,2911031
2011-04-19,33.08,33.1,31.66,31.74,24.6644,3838184
2011-04-20,32,32.1897,31.15,31.65,24.5946,3866027
2011-04-21,31.81,31.98,31.27,31.4,24.4001,1461936
2011-04-25,31.56,31.5999,31.1,31.4,24.4001,732637
2011-04-26,31.35,32.07,31.16,32,24.8665,1771522
2011-04-27,32.26,33,32.2503,32.65,25.3716,3354452
2011-04-28,32.51,32.99,32.25,32.57,25.3095,1571782
2011-04-29,32.5,32.86,32.03,32.8,25.4882,1233833
2011-05-02,32.8,33.79,32.8,33.44,25.9854,2786222
2011-05-03,33.59,33.882,31.94,32.61,25.3407,3429362
2011-05-04,33.1,33.96,32.79,33.55,26.0709,4518260
2011-05-05,33.45,34.74,33.15,34.34,26.685,2612938
2011-05-06,34.06,34.5,33.89,34.25,26.615,1601327
2011-05-09,34.35,34.75,34.14,34.49,26.8014,1996004
2011-05-10,34.03,34.86,34,34.59,26.8793,1475160
2011-05-11,34.2,34.79,34.06,34.54,26.8402,1431728
2011-05-12,34.3,34.59,34.12,34.51,26.817,814706
2011-05-13,34.43,34.769,34.232,34.6,26.8869,1694184
2011-05-16,34.3,34.6,34.05,34.25,26.615,1719853
2011-05-17,34.21,34.95,34,34.54,26.8402,3037305
2011-05-18,34.4,35.24,34.15,35.07,27.2521,2070267
2011-05-19,35.02,35.23,34.5,35.05,27.2366,1183894
2011-05-20,34.9,35.04,34.15,34.63,26.9102,2012662
2011-05-23,34.4,34.55,34,34.41,26.7393,2180438
2011-05-24,34.53,34.64,34.07,34.49,26.8014,3046754
2011-05-25,34.57,35,34.24,34.68,26.9491,2539055
2011-05-26,34.9,34.91,34.05,34.83,27.0658,1798281
2011-05-27,34.92,35.1,34.41,34.74,26.9959,1474669
2011-05-31,34.99,35.31,34.56,34.89,27.1121,8113338
2011-06-01,35,35.27,34.42,34.77,27.019,3049797
2011-06-02,34.84,35.05,34.25,34.36,26.7005,2160044
2011-06-03,34,34.15,33.72,34.14,26.5295,2519008
2011-06-06,33.98,34.28,33.06,33.74,26.2185,2360977
2011-06-07,33.79,34.9,33.73,34.52,26.8248,1896517
2011-06-08,34.57,34.99,34.25,34.76,27.0111,1458308
2011-06-09,35.03,35.37,34.58,35.24,27.3843,1634034
2011-06-10,35,35,33.86,33.9,26.343,2222630
2011-06-13,34.15,34.15,33.25,33.65,26.1486,1671649
2011-06-14,33.8,34.07,33.26,33.54,26.0633,1846285
2011-06-15,33.25,33.52,32.62,33.15,25.7602,2544669
2011-06-16,34.05,34.8,33.5,33.87,26.3196,5779259
2011-06-17,34,34.99,33.95,34.59,26.8793,3872503
2011-06-20,34.72,34.72,34.05,34.23,26.5993,1461612
2011-06-21,34.2,34.36,33.5,33.9,26.343,2728101
2011-06-22,33.9,33.995,33.36,33.42,25.97,2487424
2011-06-23,33.3,33.44,32.28,33.21,25.8066,3222017
2011-06-24,33.31,33.31,32.16,32.25,25.0609,11475082
2011-06-27,32.4,32.71,31.49,32.48,25.2396,3136953
2011-06-28,32.59,33.08,32.58,32.75,25.4493,2536483
2011-06-29,32.98,33.3,32.59,32.76,25.4571,1405715
2011-06-30,32.78,33.39,32.63,33,25.6436,1479194
2011-07-01,33.14,33.5,32.54,33.06,25.6903,1663110
2011-07-05,33.07,33.47,32.98,33.17,25.7756,957818
2011-07-06,33.26,34.17,33.12,33.99,26.4129,2467427
2011-07-07,34.25,34.74,34,34.29,26.6461,1928512
2011-07-08,33.96,34.01,33.29,33.83,26.2885,874719
2011-07-11,33.54,33.665,32.99,33.06,25.6903,777890
2011-07-12,33.05,33.73,32.65,32.8,25.4882,1075721
2011-07-13,32.98,33.67,32.81,33.24,25.8301,1120040
2011-07-14,33.3,33.54,32.98,33.22,25.8144,1107784
2011-07-15,33.27,33.28,32.74,33.22,25.8144,1116681
2011-07-18,33.04,33.0723,32.44,32.59,25.3249,1609431
2011-07-19,33.04,33.93,32.87,33.03,25.6668,2768163
2011-07-20,33.2,33.51,32.69,33.25,25.8378,721634
2011-07-21,33.43,34.56,33.43,34.43,26.7548,1554058
2011-07-22,34.32,34.92,34.02,34.61,26.8947,2101253
2011-07-25,30.05,30.8,27.51,27.97,21.735,25103520
2011-07-26,27.67,28.38,26.9636,28.04,21.7893,7726233
2011-07-27,27.96,28.38,27.33,27.37,21.2686,7519385
2011-07-28,27.52,27.9,26.89,27.22,21.1521,3745220
2011-07-29,27.03,27.15,26.5,26.68,20.7325,4122661
2011-08-01,26.96,27.19,23.53,24.94,19.3804,11984959
2011-08-02,25.95,26.09,24.34,24.64,19.1473,4763039
2011-08-03,24.57,24.8971,22.71,24.76,19.2405,8645788
2011-08-04,24.63,24.65,22.58,22.9,17.7951,6588376
2011-08-05,23.09,23.25,21.69,21.99,17.0881,5344888
2011-08-08,21.58,21.67,17.25,18.19,14.1352,10498307
2011-08-09,18.51,19.26,17.03,18.35,14.2594,8246155
2011-08-10,17.8,18.96,17.68,18.58,14.4382,12044326
2011-08-11,18.79,19.87,18.75,19.47,15.1296,7056780
2011-08-12,19.52,21.41,18.59,21.22,16.4895,6144946
2011-08-15,21.42,23.55,21.42,22.58,17.5465,7085271
2011-08-16,22.33,22.41,21.52,21.77,16.9169,2753144
2011-08-17,21.95,22.06,20.81,20.99,16.3108,3437358
2011-08-18,20.49,20.7,19.67,19.96,15.5104,3699803
2011-08-19,19.67,20.05,19.06,19.27,14.9742,1865137
2011-08-22,19.57,19.91,18.8,19.06,14.8112,1311308
2011-08-23,19.14,19.595,18.55,19.58,15.2151,3408793
2011-08-24,19.56,20.24,19.09,20.04,15.5725,2030399
2011-08-25,20.24,20.24,18.87,19.06,14.8112,1532467
2011-08-26,19.02,19.6,18.47,19.5,15.1531,1455909
2011-08-29,19.73,20.44,19.64,19.98,15.526,2126304
2011-08-30,19.93,20,19.61,19.86,15.4329,1880193
2011-08-31,19.89,20.41,19.75,20.03,15.5649,2863194
2011-09-01,20.16,20.62,19.08,19.19,14.912,1599133
2011-09-02,18.82,19,18.31,18.65,14.4924,1920890
2011-09-06,18.08,18.91,17.87,18.76,14.578,2362924
2011-09-07,19.1,20.11,18.9,19.84,15.4174,2327121
2011-09-08,19.71,20.15,19.42,19.49,15.1453,1370967
2011-09-09,19.32,19.5899,18.28,18.3,14.2204,2377961
2011-09-12,18.09,18.84,17.6,18.4,14.2983,3584262
2011-09-13,18.07,18.07,17.2,17.66,13.7233,4192435
2011-09-14,17.71,19.11,17.6,18.61,14.4614,7234752
2011-09-15,19.96,21,19.93,20.84,16.1944,7338508
2011-09-16,21.26,21.54,20.75,21.23,16.4974,3972548
2011-09-19,20.73,20.74,19.74,19.81,15.3938,3967872
2011-09-20,20,20.19,19.49,19.9,15.4639,2470346
2011-09-21,19.89,20.52,19.7539,19.82,15.4016,4255775
2011-09-22,19.03,20.33,19.03,19.92,15.4795,3843215
2011-09-23,19.53,19.84,19.23,19.46,15.1219,2915531
2011-09-26,19.77,20,19.37,19.85,15.4249,2518321
2011-09-27,20.3,20.37,19.75,19.83,15.4095,1372800
2011-09-28,19.88,19.88,19.2,19.2,14.9199,1466964
2011-09-29,19.5,19.94,19.23,19.8,15.3862,1730055
2011-09-30,19.52,20.31,19.47,20.16,15.6658,4126678
2011-10-03,20.09,20.49,18.72,18.81,14.6169,4123810
2011-10-04,18.51,18.68,17.43,18.61,14.4614,4096760
2011-10-05,17.88,18.84,17.7,18.07,14.0419,4669798
2011-10-06,18.11,18.8,17.99,18.27,14.1972,2032412
2011-10-07,18.58,19.02,18.15,18.6,14.4538,2169230
2011-10-10,18.99,19.28,18.82,19.18,14.9043,1054585
2011-10-11,19.19,19.2641,18.86,19.1,14.842,875663
2011-10-12,19.29,20.8,19.11,20.32,15.7903,4898777
2011-10-13,20.12,21.21,19.92,21.13,16.4198,3378238
2011-10-14,21.47,22.16,21.34,22.05,17.1347,3463523
2011-10-17,21.95,22.21,21.46,21.8,16.9404,1974288
2011-10-18,21.92,22.88,21.755,22.7,17.6399,2975499
2011-10-19,22.75,22.86,21.76,21.94,17.0491,2507399
2011-10-20,21.93,22.13,21.11,21.67,16.8392,3167372
2011-10-21,22.1,23.38,22.1,23.31,18.1137,3662455
2011-10-24,23.27,23.55,22.54,22.8,17.7175,1943447
2011-10-25,22.59,22.59,22.1,22.16,17.2201,1445989
2011-10-26,22.52,22.7,21.45,22.34,17.3599,2247254
2011-10-27,22.95,22.95,21.33,22.54,17.5153,3777710
2011-10-28,22.48,23.09,22.256,22.78,17.7018,2215256
2011-10-31,22.68,23.73,22.52,23.45,18.2224,4239316
2011-11-01,22.94,25.64,22.5,23.5,18.2613,5719594
2011-11-02,24.05,24.7,23.31,23.35,18.1447,4120535
2011-11-03,23,23.42,22.52,23.09,17.9428,3674763
2011-11-04,23.23,23.62,22.85,23.51,18.2692,1343586
2011-11-07,23.35,24.605,23.35,24.52,19.054,2935950
2011-11-08,24.38,25.59,23.9,25.21,19.5902,6044272
2011-11-09,24.32,25.4,24.32,25.02,19.4424,3704659
2011-11-10,25.01,25.98,25.01,25.87,20.103,4279309
2011-11-11,26.12,26.86,25.95,26.53,20.6159,4686695
2011-11-14,26.4,26.725,26.06,26.53,20.6159,2890928
2011-11-15,26.43,26.76,25.94,26.61,20.6782,2435327
2011-11-16,26.52,26.75,25.46,25.52,19.8312,2462482
2011-11-17,25.41,25.78,24.72,25.05,19.4659,3054255
2011-11-18,25.09,25.69,24.63,25.2,19.5824,3779433
2011-11-21,24.68,25.5,24.68,25.04,19.458,2041607
2011-11-22,24.93,25.025,23.79,23.95,18.6111,2668731
2011-11-23,23.73,24.01,23.22,23.58,18.3236,2631006
2011-11-25,23.59,23.99,23.41,23.46,18.2303,258763
2011-11-28,23.86,24.36,23.61,23.77,18.4712,1704934
2011-11-29,23.9,24.24,23.42,24.05,18.6887,1698940
2011-11-30,24.68,24.73,23.91,24.38,18.9451,3441391
2011-12-01,24.29,24.575,24.05,24.19,18.7974,1495606
2011-12-02,24.02,24.47,21.55,22.45,17.4454,8681337
2011-12-05,23.74,24,23.37,23.65,18.3779,4116409
2011-12-06,23.65,24.03,23,23.24,18.0594,3034532
2011-12-07,23.06,23.19,22.43,22.67,17.6164,2697221
2011-12-08,22.53,22.55,21.13,21.45,16.6682,2941457
2011-12-09,21.51,21.73,21.17,21.18,16.4585,1562124
2011-12-12,21.08,21.28,20.34,20.66,16.0544,2690267
2011-12-13,20.68,21.24,20.13,20.22,15.7126,2385353
2011-12-14,20.16,20.77,19.86,20.6,16.0078,4290408
2011-12-15,20.63,21.28,20.53,21.14,16.4273,3124216
2011-12-16,21.42,21.9,21.2,21.57,16.7616,6189115
2011-12-19,21.67,21.9,21.14,21.23,16.4974,1709626
2011-12-20,21.53,21.8,20.94,21.06,16.3652,2592247
2011-12-21,21.07,21.98,21.07,21.9,17.018,1678732
2011-12-22,21.91,22.22,21.69,21.88,17.0023,1272532
2011-12-23,21.8,21.91,21.41,21.46,16.6762,1161506
2011-12-27,21.41,21.69,21.05,21.38,16.614,981690
2011-12-28,21.4,21.44,20.82,20.91,16.2487,1201799
2011-12-29,20.93,21.39,20.85,21.27,16.5286,781247
2011-12-30,21.22,22.35,21.22,22.03,17.1191,1972403
2012-01-03,22,22.13,21.27,21.64,16.8161,1943414
2012-01-04,21.5,21.5,20.7,20.8,16.1632,2927039
2012-01-05,20.65,21.57,20.65,21.29,16.544,1959212
2012-01-06,21.3,22.64,21.3,22.34,17.3599,3020308
2012-01-09,22.14,22.68,21.59,21.65,16.8239,1920518
2012-01-10,21.98,22.5,20.33,22.46,17.4532,5678443
2012-01-11,22.29,23.95,22.19,23.8,18.4944,5801331
2012-01-12,23.95,24.1,22.89,23.32,18.1216,4220721
2012-01-13,23.32,24.1,23.17,23.9,18.5723,2466263
2012-01-17,23.92,24.18,23.56,24.02,18.6654,1640922
2012-01-18,24.05,24.54,23.84,24.26,18.852,2147162
2012-01-19,24.25,24.8,24.16,24.51,19.0461,2033138
2012-01-20,24.5,24.59,24.1525,24.5,19.0384,1470762
2012-01-23,24.43,24.8,24.43,24.64,19.1473,1551249
2012-01-24,24.6,26.155,24.47,26.06,20.2506,6702100
2012-01-25,26.12,27.03,25.89,27,20.9812,5779456
2012-01-26,26.55,26.87,26.175,26.36,20.4838,1779378
2012-01-27,26.23,26.26,25.71,25.72,19.9864,2851853
2012-01-30,25.65,25.82,24.72,24.85,19.3105,2473337
2012-01-31,25.13,25.45,24.275,24.44,18.9917,3677459
2012-02-01,24.83,25.25,24.4,24.97,19.4037,3174462
2012-02-02,25.04,25.31,24.78,25.27,19.6369,2187588
2012-02-03,25.26,26.5,25.26,26.46,20.5616,4523959
2012-02-06,28.99,28.99,27.43,28.4,22.069,11567719
2012-02-07,28.48,29.3,28.48,28.82,22.3955,6231549
2012-02-08,28.9,29.3,28.45,28.97,22.5118,4131518
2012-02-09,29,29,27.41,27.8,21.6027,6654698
2012-02-10,27.8,28.2,27.53,27.83,21.6261,5351734
2012-02-13,28.13,28.2,26.43,27.31,21.2221,5520392
2012-02-14,25.21,25.46,24.99,25.09,21.0375,2461936
2012-02-15,25.23,25.36,24.66,24.84,20.828,2673922
2012-02-16,25,25.98,24.82,25.94,21.7503,3320490
2012-02-17,25.83,25.995,24.91,25.08,21.0292,2057995
2012-02-21,25.18,25.47,25.0008,25.17,21.1047,978469
2012-02-22,25.16,25.75,25.11,25.6,21.4653,2004169
2012-02-23,26.08,26.3,25.83,26.07,21.8591,1886486
2012-02-24,26.11,26.83,25.94,26.74,22.4211,2369038
2012-02-27,26.54,27.2,26.5,26.98,22.6223,2401415
