Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,23.07,24.19,22.96,24.13,18.4431,14920928
2009-01-05,24.02,24.88,23.81,24.71,18.8861,22589119
2009-01-06,24.94,25.49,24.62,25.26,19.3063,22880151
2009-01-07,24.87,25.16,24.43,24.57,18.7792,19884754
2009-01-08,24.12,24.46,23.7,24.39,18.6419,17319799
2009-01-09,24.48,24.48,23.54,23.86,18.2366,16977625
2009-01-12,23.85,23.96,22.62,22.97,17.5565,23561364
2009-01-13,22.96,23.1,22.25,22.51,17.2045,20447797
2009-01-14,22.15,22.26,21.68,21.91,16.7462,20709326
2009-01-15,21.92,23.31,21.66,22.81,17.4339,26061863
2009-01-16,23.34,23.38,22.5722,23.2,17.7322,20945043
2009-01-20,22.9,23.2,21.84,21.99,16.8071,20340653
2009-01-21,22.29,22.44,21.6,22.28,17.0291,19677246
2009-01-22,21.91,22.35,21.49,21.97,16.7917,22725547
2009-01-23,21.38,21.98,21.3,21.72,16.601,20867053
2009-01-26,22.1,23.14,22.05,22.73,17.3728,34375536
2009-01-27,22.74,22.89,21.81,22.12,16.9067,21694880
2009-01-28,22.59,23.23,22.3,23,17.5788,20566128
2009-01-29,22.5,23.08,21.91,22,16.8149,18032263
2009-01-30,22.22,22.35,21.35,21.53,16.456,27041743
2009-02-02,21.21,22.09,21.11,21.57,16.4861,17972174
2009-02-03,21.97,22.04,20.83,21.92,16.7539,17471969
2009-02-04,21.63,22.07,21.5,21.73,16.6088,18488426
2009-02-05,21.48,22.45,21.36,22.4,17.1208,24669065
2009-02-06,22.39,23.85,22.37,23.53,17.9843,31085479
2009-02-09,23.47,23.63,22.56,23.09,17.6477,16315104
2009-02-10,22.9,23.23,22,22.21,16.9751,21899803
2009-02-11,22.36,22.5,21.9,22.14,16.9218,17896473
2009-02-12,21.7,22.06,21.15,21.98,16.7999,23454951
2009-02-13,21.78,22.16,21.2,21.22,16.2185,18598193
2009-02-17,20.7,20.75,19.86,19.94,15.2404,35715261
2009-02-18,20.25,20.26,19.43,19.8,15.1335,23376057
2009-02-19,19.95,20.44,19.93,20.16,15.4086,20354121
2009-02-20,19.68,20.25,19.17,19.46,14.8736,29577168
2009-02-23,19.43,19.84,18.24,18.71,14.3004,26931934
2009-02-24,19.65,20.78,19.44,20.67,15.7983,37720371
2009-02-25,20.35,20.78,20.01,20.31,15.5232,27023740
2009-02-26,20.55,20.89,20.33,20.64,15.7754,22729191
2009-02-27,20.17,21.28,20.17,20.89,15.9667,23321656
2009-03-02,20.35,20.95,19.84,19.92,15.2252,25496926
2009-03-03,19.58,19.95,18.76,18.89,14.4377,29268732
2009-03-04,18.99,19.37,18.7,19.01,14.5295,22094187
2009-03-05,18.51,19.18,18,18.15,13.8723,23777927
2009-03-06,18.3,18.6022,17.54,18,13.7579,25863225
2009-03-09,17.74,18.95,17.49,18.23,13.9337,28388462
2009-03-10,18.34,19.58,18.26,19.42,15.0283,25540168
2009-03-11,19.42,19.92,19.2,19.68,15.2297,21666696
2009-03-12,19.65,20.45,19.28,20.33,15.7327,17505168
2009-03-13,20.44,21,19.8,20.71,16.0269,22210714
2009-03-16,20.73,21.06,20.06,20.14,15.5856,17035448
2009-03-17,20.5,21.49,20.34,21.48,16.6226,25430994
2009-03-18,21.3,22.84,21.05,22.58,17.4736,31813901
2009-03-19,22.52,22.835,22.2,22.44,17.3657,22957163
2009-03-20,22.59,22.73,21.76,22.16,17.149,22362495
2009-03-23,22.43,23.28,22.17,23.25,17.9923,22872682
2009-03-24,23.03,23.47,22.88,22.95,17.7602,20471968
2009-03-25,23.27,23.95,22.77,23.28,18.0157,33358832
2009-03-26,23.81,24.36,23.53,24.14,18.6811,29259240
2009-03-27,23.82,24.1,23.33,23.63,18.2864,18858829
2009-03-30,23.24,23.46,22.66,23.38,18.0932,21580698
2009-03-31,23.52,23.7649,22.64,23.56,18.2324,27463293
2009-04-01,23.15,23.89,22.92,23.83,18.4411,21365438
2009-04-02,24.31,25.24,24.24,24.77,19.1687,30265984
2009-04-03,24.69,25.125,24.34,25,19.3468,20294404
2009-04-06,24.78,25.03,24.46,24.85,19.2308,17140814
2009-04-07,24.47,24.64,24.13,24.37,18.8591,16838097
2009-04-08,24.69,25.31,24.69,25.12,19.4395,18547507
2009-04-09,25.56,25.96,25.44,25.9,20.0433,20317497
2009-04-13,25.63,26.1,25.58,25.96,20.0895,11593332
2009-04-14,25.59,25.68,25.05,25.34,19.6096,14961682
2009-04-15,25.22,25.75,25.1,25.67,19.8652,17464023
2009-04-16,25.78,26.16,25.28,25.97,20.0973,16673939
2009-04-17,26.16,26.47,26.05,26.1,20.1981,21671267
2009-04-20,25.72,25.87,24.91,25.15,19.4628,17480672
2009-04-21,25.2,26.05,24.78,25.87,20.0197,20556568
2009-04-22,25.63,26.92,25.48,26.17,20.2522,23918550
2009-04-23,25.96,26.22,25.31,25.76,19.935,17976343
2009-04-24,25.93,26.82,25.56,26.31,20.3606,21857579
2009-04-27,25.9,26.3,25.6,25.88,20.0278,14868640
2009-04-28,25.57,26.48,25.3536,26.07,20.1745,14949176
2009-04-29,26.27,26.845,26.02,26.34,20.3834,21349378
2009-04-30,26.55,27.07,26.27,26.32,20.3683,18251586
2009-05-01,26.58,26.58,25.51,25.77,19.9424,15046185
2009-05-04,26.14,26.77,25.83,26.21,20.2831,18077121
2009-05-05,26.18,26.4,25.93,26.19,20.2678,11348795
2009-05-06,26.31,26.51,25.56,26.04,20.1515,13892293
2009-05-07,26.19,26.34,25.31,25.61,19.8187,20583385
2009-05-08,25.78,25.78,24.75,25.5,19.7336,18468937
2009-05-11,24.81,25.25,24.54,24.93,19.2926,17525215
2009-05-12,25.11,25.23,24.27,24.64,19.0678,19445680
2009-05-13,24.95,25.14,24.22,24.83,19.2152,32343361
2009-05-14,25.02,25.16,24.48,24.53,18.9831,15822974
2009-05-15,24.45,24.915,24.22,24.4,18.8822,20391288
2009-05-18,25.66,26.15,25.36,26.02,20.1357,26101629
2009-05-19,25.39,25.4,24,24.63,19.0605,39888579
2009-05-20,24.85,25,23.56,23.83,18.4411,31472812
2009-05-21,23.49,23.83,22.64,22.89,17.714,25542001
2009-05-22,23.2,23.24,22.6,22.86,17.6906,15136092
2009-05-26,22.67,23.97,22.58,23.8,18.418,20316754
2009-05-27,23.9,24.21,23.21,23.33,18.0542,18507916
2009-05-28,23.63,23.63,22.33,22.7,17.5668,27154155
2009-05-29,22.99,23.19,22.65,23.16,17.9228,18683026
2009-06-01,23.59,24.43,23.39,24.16,18.6966,18094995
2009-06-02,23.96,24.8,23.83,24.5,18.9596,18366069
2009-06-03,24.39,24.81,24.09,24.37,18.8591,14454286
2009-06-04,24.39,24.65,23.75,24.57,19.014,15777921
2009-06-05,24.78,24.89,23.97,24.17,18.7043,14749879
2009-06-08,24.24,24.78,24,24.56,19.0059,13186784
2009-06-09,24.34,24.59,24.08,24.35,19.0181,13041253
2009-06-10,25.06,25.12,24.19,24.39,19.0493,24359643
2009-06-11,24.39,24.64,24.16,24.23,18.924,17913963
2009-06-12,24.19,24.24,23.8298,24.15,18.8619,18283987
2009-06-15,23.94,24,23.52,23.85,18.6274,13949262
2009-06-16,23.86,23.98,23.17,23.2,18.1198,17028756
2009-06-17,23.24,24.04,23.01,23.65,18.471,19016390
2009-06-18,23.73,23.76,23.26,23.35,18.237,11367072
2009-06-19,23.47,23.71,23.36,23.52,18.3698,15215218
2009-06-22,23.37,23.64,23.16,23.25,18.1587,12932517
2009-06-23,23.24,23.25,22.715,22.88,17.8699,15209449
2009-06-24,23.15,23.16,22.53,22.68,17.7137,14806619
2009-06-25,22.67,23.75,22.65,23.57,18.4085,18940640
2009-06-26,23.47,24.06,23.42,23.61,18.4397,18879842
2009-06-29,23.66,24.16,23.56,23.87,18.6431,12323341
2009-06-30,23.92,24.01,23.35,23.63,18.4559,12677844
2009-07-01,23.8,23.94,23.48,23.71,18.5179,13278275
2009-07-02,23.37,23.71,22.75,22.81,17.8151,13535043
2009-07-06,22.76,23.14,22.52,22.88,17.8699,12638959
2009-07-07,22.91,22.91,22.32,22.4,17.4948,15016831
2009-07-08,22.38,22.75,22.29,22.66,17.6981,14713536
2009-07-09,22.85,22.97,22.33,22.68,17.7137,14324325
2009-07-10,22.58,22.82,22.33,22.52,17.5886,9834681
2009-07-13,22.51,23.14,22.27,23.11,18.0496,17805901
2009-07-14,23.09,23.69,22.95,23.68,18.4946,15595921
2009-07-15,23.88,24.14,23.64,24.08,18.8073,13914791
2009-07-16,24.07,24.52,23.82,24.4,19.0566,13633619
2009-07-17,24.6,24.75,24.32,24.67,19.2678,15284372
2009-07-20,24.66,24.86,24.49,24.8,19.3696,10166004
2009-07-21,24.87,24.9,24.13,24.46,19.104,13717099
2009-07-22,24.37,24.9,24.27,24.77,19.3459,11348927
2009-07-23,24.76,25.51,24.51,25.28,19.744,20783605
2009-07-24,25.23,25.43,24.95,25.32,19.7751,11246797
2009-07-27,25.25,25.32,24.78,25.16,19.6508,13451520
2009-07-28,25.08,25.4,24.96,25.39,19.83,11689668
2009-07-29,25.37,25.65,25.12,25.39,19.83,11970728
2009-07-30,25.7,26.16,25.53,25.85,20.1892,13548510
2009-07-31,25.84,26.19,25.8,25.94,20.2597,11709979
2009-08-03,26.18,26.38,25.67,26.32,20.5564,12025694
2009-08-04,26.16,26.44,26.08,26.29,20.5333,10413059
2009-08-05,26.3,26.46,25.96,26.33,20.5645,9997054
2009-08-06,26.4,26.74,26.17,26.54,20.7282,13755416
2009-08-07,26.73,27.48,26.61,27.26,21.2906,16416012
2009-08-10,27.18,27.24,26.77,27.1,21.1658,10408140
2009-08-11,27.03,27.11,26.73,26.89,21.0018,9524721
2009-08-12,26.8,27.528,26.75,27.2,21.2437,13270528
2009-08-13,27.42,27.81,27,27.68,21.6187,19973485
2009-08-14,27.67,27.75,26.9,27.14,21.1971,16136985
2009-08-17,25.92,26.44,25.43,26.11,20.3926,30849251
2009-08-18,26.95,27.3,26.57,26.93,21.0331,35350209
2009-08-19,26.75,26.93,26.47,26.75,20.8922,19456932
2009-08-20,26.79,26.81,26.5,26.68,20.8378,14196721
2009-08-21,26.94,27.53,26.66,27.5,21.4781,18667973
2009-08-24,27.73,27.73,26.94,27.03,21.1109,16237894
2009-08-25,27.22,27.725,27,27.32,21.3375,21848729
2009-08-26,27.28,27.94,27.22,27.57,21.5326,15608364
2009-08-27,27.6,27.69,27.2,27.55,21.5173,13446768
2009-08-28,27.68,27.755,27.24,27.69,21.6264,12841807
2009-08-31,27.5,27.6,27.1,27.29,21.3141,13092358
2009-09-01,27.01,27.48,26.63,26.74,21.0581,15738792
2009-09-02,26.62,26.82,26.35,26.53,20.8927,10691831
2009-09-03,26.61,26.91,26.43,26.9,21.1845,9733159
2009-09-04,26.93,27.16,26.76,27.03,21.2863,8150268
2009-09-08,27.23,27.57,27.04,27.48,21.6408,12253317
2009-09-09,27.44,27.5,27.22,27.38,21.562,10679541
2009-09-10,27.4,27.59,27.22,27.53,21.6803,9446493
2009-09-11,27.5,27.52,26.99,27.34,21.5308,14667900
2009-09-14,27.16,27.66,27.09,27.51,21.6647,8349450
2009-09-15,27.59,27.7,27.25,27.41,21.5859,10050030
2009-09-16,27.64,28.21,27.56,28.06,22.0977,17815685
2009-09-17,28.41,28.43,27.75,27.92,21.9874,13319429
2009-09-18,28.01,28.44,28,28.23,22.2316,15769271
2009-09-21,27.96,28.4,27.84,28.14,22.1608,8915647
2009-09-22,28.24,28.31,27.48,27.62,21.7518,14329807
2009-09-23,27.72,27.95,27.31,27.35,21.5385,14092201
2009-09-24,27.52,27.54,26.89,27.04,21.2946,12039445
2009-09-25,26.88,27.23,26.55,26.85,21.1447,11859546
2009-09-28,26.95,27.43,26.9,27.26,21.4676,6862850
2009-09-29,27.32,27.44,26.68,26.83,21.129,13765346
2009-09-30,26.94,26.94,26.32,26.64,20.9793,16565716
2009-10-01,26.65,26.65,26.11,26.32,20.7273,16260789
2009-10-02,26.15,26.27,25.87,26.03,20.4988,13849234
2009-10-05,26.16,26.33,26,26.15,20.5935,10169251
2009-10-06,26.31,26.48,26.18,26.29,20.7038,14354797
2009-10-07,26.27,26.4206,26.07,26.14,20.5856,13455631
2009-10-08,26.41,27.06,26.38,26.89,21.1762,16128221
2009-10-09,26.85,27.01,26.65,26.96,21.2316,11117819
2009-10-12,27.1,27.44,27.01,27.04,21.2946,11018888
2009-10-13,27.02,27.61,26.86,27.53,21.6803,13896727
2009-10-14,27.76,28.02,27.32,27.38,21.562,17513348
2009-10-15,27.28,27.37,27.05,27.3,21.4991,13350145
2009-10-16,27.15,27.37,26.84,27.26,21.4676,12071954
2009-10-19,27.28,27.69,27.22,27.63,21.7586,8301941
2009-10-20,27.33,27.67,26.86,26.97,21.2393,12904512
2009-10-21,26.89,27.23,26.22,26.32,20.7273,23490458
2009-10-22,26.21,26.85,26.05,26.72,21.0423,14891536
2009-10-23,26.64,26.74,26.17,26.27,20.6884,16330704
2009-10-26,26.3,26.54,26,26.1,20.5542,17852784
2009-10-27,26.1,26.39,25.97,26,20.4754,16017330
2009-10-28,25.99,26,25.16,25.21,19.8533,22500284
2009-10-29,25.5,26.09,25.25,25.91,20.4043,12981226
2009-10-30,25.83,25.9,24.96,25.09,19.7586,19426440
2009-11-02,25.14,25.6655,24.71,25.06,19.735,15586322
2009-11-03,24.91,25.28,24.47,25,19.6882,17426540
2009-11-04,25.27,25.5,24.9,24.96,19.6563,18646555
2009-11-05,25.18,25.81,25.13,25.63,20.1843,15411973
2009-11-06,25.87,26.29,25.8,26.08,20.5384,15067613
2009-11-09,26.31,26.87,26.2,26.81,21.1132,13332129
2009-11-10,26.81,26.99,26.5,26.82,21.1212,14851808
2009-11-11,27.15,27.45,27.05,27.31,21.5072,18716905
2009-11-12,27.33,27.79,27.17,27.24,21.4519,18714085
2009-11-13,27.26,27.55,26.88,27.34,21.5308,14185037
2009-11-16,27.63,27.95,27.4,27.65,21.7747,18792481
2009-11-17,27.1,27.3,26.35,26.99,21.2548,31048329
2009-11-18,26.86,27.31,26.85,27.29,21.4914,17841332
2009-11-19,27.21,27.24,26.8,27.11,21.3493,11302632
2009-11-20,26.98,27.27,26.74,27.18,21.4045,17602540
2009-11-23,27.37,27.6,27.23,27.51,21.6647,18226129
2009-11-24,27.5,27.67,27.38,27.56,21.7042,11705709
2009-11-25,27.57,27.89,27.2844,27.85,21.9325,11452621
2009-11-27,27.16,27.8,27.11,27.61,21.743,7517737
2009-11-30,27.59,27.75,26.96,27.36,21.5465,16718315
2009-12-01,27.49,28.29,27.35,28,22.2334,20488680
2009-12-02,28.03,28.48,28,28.33,22.4953,17298407
2009-12-03,28.34,28.34,27.85,27.93,22.1778,15503753
2009-12-04,28.43,28.5,27.95,28.08,22.2967,16845444
