Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,73.54,77.48,72.56,76.73,7.0902,10673559
2009-01-05,75.89,76.66,72.66,73.9,6.8287,9059920
2009-01-06,75.8,75.94,74.33,75.2,6.9488,9272307
2009-01-07,69.47,69.47,66.3,67.41,6.229,11205357
2009-01-08,66.87,67.76,66.18,67.53,6.2401,5902647
2009-01-09,68.98,69.58,67.04,68.2,6.302,4002019
2009-01-12,67.65,67.65,64.34,64.76,5.9841,4135395
2009-01-13,64.25,67.67,64.25,66.48,6.1431,3930182
2009-01-14,64.51,64.72,61.91,62.9,5.8123,6275180
2009-01-15,61.4,63.07,57.67,61.2,5.6552,7546764
2009-01-16,64.85,65.88,60.29,61.96,5.7254,5033954
2009-01-20,59,59,54.81,55.06,5.0878,7442384
2009-01-21,56.2,57.88,53.85,57.73,5.3345,8169796
2009-01-22,55.7,58.53,54.45,56.36,5.2079,4216750
2009-01-23,54.61,56.55,53.14,56.28,5.2005,4059129
2009-01-26,56.35,59.33,56.22,56.9,5.2578,3849117
2009-01-27,57.58,58.6,56.64,57.74,5.3354,2918866
2009-01-28,59.5,63.95,59.05,62.64,5.7882,7189039
2009-01-29,61,61.35,58.4,58.79,5.4325,3643062
2009-01-30,60.23,60.65,57.1,57.66,5.3281,3861210
2009-02-02,56.51,57.1092,55.1286,57.02,5.2689,2819356
2009-02-03,57.95,58.41,56,57.9,5.3502,3254348
2009-02-04,57.85,59.24,56.76,57.43,5.3068,2778568
2009-02-05,58.22,60.25,55.01,59.03,5.4547,4370966
2009-02-06,58.87,62.12,58.26,62.1,5.7383,6374470
2009-02-09,60.52,63.75,60.52,62.94,5.816,4002029
2009-02-10,61.19,63.55,58.05,58.23,5.3807,8953847
2009-02-11,59.42,61.74,59.13,60.43,5.584,3807828
2009-02-12,59.57,62.23,58.75,62.05,5.7337,4574535
2009-02-13,60.82,62,59.31,60.5,5.5905,5251821
2009-02-17,57.62,57.62,54.04,55.83,5.159,6818841
2009-02-18,56.41,56.7,53.3,54.31,5.0185,5956079
2009-02-19,56.35,56.6,54,54.17,5.0055,3838827
2009-02-20,52.04,55.06,51.42,54.27,5.0148,5511288
2009-02-23,54.92,55.62,51.61,51.93,4.7986,4258410
2009-02-24,52.79,55.79,51.41,55.69,5.146,7860334
2009-02-25,54.4,54.4,52,52.79,4.8781,9084668
2009-02-26,53.6,53.6,51.59,51.77,4.7838,7686882
2009-02-27,51.6,53.19,51,51,4.7127,7498932
2009-03-02,49.75,50,46.76,47.38,4.3781,7521456
2009-03-03,48.18,49.66,47,48.73,4.5029,9535541
2009-03-04,50.1,51.365,48.89,50.61,4.6766,6116116
2009-03-05,47.26,47.86,46,46.73,4.3181,10275647
2009-03-06,47.75,48.39,46.2,47.71,4.4086,6601365
2009-03-09,46.35,48.09,45.5,45.95,4.246,4147959
2009-03-10,47.53,51.21,47.39,50.99,4.7117,6900066
2009-03-11,51.37,51.69,49.82,50.17,4.6359,4104125
2009-03-12,48.99,51.42,48.28,51.31,4.7413,7182847
2009-03-13,52.32,53.57,51.39,53.19,4.915,7089379
2009-03-16,53.5,55.39,52.25,52.34,4.8365,6760619
2009-03-17,51.86,53.49,51.86,53.44,4.9381,3892780
2009-03-18,53.44,55.99,51.68,55.99,5.1738,6526782
2009-03-19,55.8,56.01,53.82,54.31,5.0185,5003546
2009-03-20,53.1,54.5,51.03,51.66,4.7736,5972361
2009-03-23,54.1,63.76,53.52,63.76,5.8917,14152598
2009-03-24,62.06,62.73,60.02,60.03,5.5471,7907114
2009-03-25,61.22,63.18,60.28,62.82,5.8049,5840598
2009-03-26,63.28,63.99,62.04,63.96,5.9102,4381696
2009-03-27,62.86,62.86,60.9201,61.01,5.6376,4231418
2009-03-30,57.55,58.69,55.48,55.83,5.159,6829321
2009-03-31,58.31,61.93,58.04,60.93,5.6302,5569329
2009-04-01,61,62.77,59.42,62.38,5.7642,5935771
2009-04-02,64.01,67.6,63.83,65.78,6.0784,6329895
2009-04-03,66.31,67.61,64.88,67.51,6.2382,4734481
2009-04-06,67,67.27,64.87,66.03,6.1015,4651202
2009-04-07,65,65.53,63.71,63.73,5.889,4040553
