Date,Open,High,Low,Close,Adjusted_close,Volume
2015-11-02,14.99,15.17,13.86,14.49,7.7964,40866212
2015-11-03,14.07,14.71,13.675,14.36,7.7266,40205820
2015-11-04,14.39,14.51,13.61,13.66,7.3499,31525806
2015-11-05,13.64,13.89,13.12,13.28,7.1455,22190459
2015-11-06,13.18,14.48,13.15,14.4,7.748,30049954
2015-11-09,14.26,14.48,14.13,14.2,7.6404,17528088
2015-11-10,14.13,14.44,14.01,14.41,7.7533,14777765
2015-11-11,14.2,14.31,14.09,14.11,7.592,11009387
2015-11-12,13.81,13.82,13.59,13.7,7.3713,20371666
2015-11-13,13.61,13.76,13.15,13.39,7.2045,14924533
2015-11-16,13.37,13.61,13.14,13.38,7.1993,13781675
2015-11-17,13.38,13.49,13.12,13.22,7.113,12420759
2015-11-18,13.48,13.73,13.1886,13.64,7.3391,13020475
2015-11-19,13.53,13.89,13.52,13.78,7.4144,13171491
2015-11-20,13.78,14.63,13.68,14.21,7.6458,18559394
2015-11-23,14.17,14.21,13.57,13.85,7.4521,15317345
2015-11-24,13.58,14.025,13.5,13.69,7.366,24110878
2015-11-25,13.91,14.86,13.84,14.12,7.5974,22677094
2015-11-27,14.12,14.64,14.05,14.35,7.7211,6041718
2015-11-30,14.23,15,14.18,14.86,7.9956,29104253
2015-12-01,14.88,15.88,14.85,15.61,8.399,25106564
2015-12-02,15.37,15.54,14.87,14.95,8.0438,12681142
2015-12-03,15,15.34,14.58,14.62,7.8664,18905240
2015-12-04,14.39,15.295,14.24,15.22,8.1892,12001085
2015-12-07,15,15.48,14.92,15.45,8.33,9546047
2015-12-08,15.09,15.29,14.62,15.17,8.1791,11617601
2015-12-09,14.99,15.39,14.68,14.85,8.0066,14261925
2015-12-10,14.79,14.81,14.53,14.72,7.9366,11350209
2015-12-11,14.99,15.4,14.14,14.18,7.6455,10616156
2015-12-14,14.3,14.5,13.92,14.44,7.7856,11528144
2015-12-15,14.51,14.98,14.485,14.56,7.8503,12888739
2015-12-16,14.62,14.81,14.55,14.7,7.9258,7840968
2015-12-17,14.61,14.72,14.22,14.31,7.7156,7625458
2015-12-18,14.27,14.385,14,14.16,7.6348,19337615
2015-12-21,14.12,14.4,13.87,14.02,7.5591,9863255
2015-12-22,14.04,14.14,13.9201,14.06,7.5809,7292476
2015-12-23,14.19,14.97,14.05,14.91,8.0391,11252128
2015-12-24,14.81,15.17,14.7901,15.02,8.0983,2178459
2015-12-28,14.89,15.28,14.82,15.23,8.2116,5930636
2015-12-29,15.29,15.4371,15.18,15.2,8.1954,6275753
2015-12-30,15.29,15.48,15.15,15.28,8.2386,6275778
2015-12-31,15.23,15.31,15.1,15.2,8.1954,6768073
2016-01-04,14.97,15.15,14.74,15.13,8.1578,15076835
