Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,36.25,36.94,35.46,36.81,13.8443,14593734
2009-01-05,36.8,36.8,36.05,36.33,13.6639,14602662
2009-01-06,37.08,39.53,36.99,39.31,14.7847,30633850
2009-01-07,38.46,38.71,37.25,37.84,14.2318,24913506
2009-01-08,37.7,37.75,36.86,37.64,14.1566,15505825
2009-01-09,37.81,38.22,36.94,37.49,14.1,17030770
2009-01-12,37.45,37.6,36.52,36.98,13.9083,14955919
2009-01-13,36.5,36.73,35.72,35.83,13.4757,19803701
2009-01-14,35.51,35.8,34.89,35.39,13.3103,19925608
2009-01-15,35.49,36.11,34.96,35.75,13.4457,23702061
2009-01-16,36.2,36.2,34.18,34.77,13.0772,28838889
2009-01-20,34.43,34.68,33.18,33.34,12.5392,17729476
2009-01-21,34.18,35.15,33.44,35.11,13.2051,18023168
2009-01-22,34.42,35.97,34,35.49,13.3479,21281121
2009-01-23,34.85,36.68,34.55,35.79,13.4607,19159187
2009-01-26,35.78,35.97,35.04,35.57,13.3781,17410904
2009-01-27,35.83,36.09,35.3,35.89,13.4983,11867800
2009-01-28,36.46,37.72,36.23,37.41,14.0702,17637993
2009-01-29,36.52,37,35.82,35.93,13.5134,14781128
2009-01-30,36.13,36.33,34.5,34.75,13.0695,17359641
2009-02-02,34.15,35.29,34,34.66,13.0357,15696078
2009-02-03,34.98,36.25,34.43,36.1,13.5773,14390625
2009-02-04,36.05,37,35.87,36.03,13.5511,14539078
2009-02-05,35.45,35.47,34.76,35.09,13.1975,27497610
2009-02-06,35.23,37.2,35.05,36.85,13.8595,23288432
2009-02-09,36.45,36.76,36.1,36.33,13.6639,14083822
2009-02-10,35.97,36.69,35,35.21,13.2427,17230801
2009-02-11,35.46,35.55,34.55,35.08,13.1937,17118470
2009-02-12,34.26,35.28,33.76,35.24,13.254,19713132
2009-02-13,35.07,36.24,34.88,35.87,13.4908,20768342
2009-02-17,35.07,35.21,34.32,34.34,12.9153,20797655
2009-02-18,34.61,34.97,33.53,34.08,12.8175,28653349
2009-02-19,32.79,32.92,30.67,31.39,11.8059,57042656
2009-02-20,30.86,31.84,30.69,31.24,11.7493,26074285
2009-02-23,31.29,31.48,29.17,29.28,11.0123,32505716
2009-02-24,29.15,29.93,28.75,29.62,11.1403,40929086
2009-02-25,29.56,30.65,29.2,30.12,11.3282,28095159
2009-02-26,30.37,31.09,30.08,30.24,11.3734,21254946
2009-02-27,29.72,29.96,28.95,29.03,10.9183,39284781
2009-03-02,28.75,29.06,27.9,28.07,10.5573,27972127
2009-03-03,27.71,28.74,27.71,28.17,10.595,27310237
2009-03-04,28.99,29.18,28.25,28.65,10.7755,26669333
2009-03-05,28.11,28.29,26.81,27.08,10.1848,30225367
2009-03-06,26.19,27.38,25.7,26.98,10.1474,33507817
2009-03-09,26.47,27.03,25.39,25.53,9.6157,30630876
2009-03-10,26.06,27.11,25.59,27.04,10.1844,35677432
2009-03-11,27.87,28.91,27.6,28.61,10.7757,27941873
2009-03-12,28.5,29.45,28.061,29.34,11.0507,24029562
2009-03-13,29.6,30,29.13,29.45,11.0921,23675011
2009-03-16,29.64,29.88,28.9,29.02,10.9301,17665834
2009-03-17,29.26,29.79,28.9,29.75,11.205,19598593
2009-03-18,29.35,29.84,28.34,28.99,10.9187,32067072
2009-03-19,29.51,29.75,28.99,29.1,10.9602,19194582
2009-03-20,29.31,29.99,28.7,28.85,10.8661,28253333
2009-03-23,29.65,31.19,29.29,31.19,11.7473,26873593
2009-03-24,30.9,31.22,30.5,30.66,11.5478,18386165
2009-03-25,30.99,31.5,30.14,31.01,11.6797,24936806
2009-03-26,31.79,33.32,31.59,33.2,12.5045,35442467
2009-03-27,32.8,33.64,32.5,33.33,12.5533,28460711
2009-03-30,32.26,32.4,31.48,32.12,12.0976,28471190
2009-03-31,32.5,32.81,32.02,32.06,12.0751,19193210
2009-04-01,31.36,33.05,30.98,32.88,12.384,20937811
2009-04-02,33.56,34.92,33.5,33.69,12.6891,23047534
2009-04-03,33.66,34.91,33.66,34.15,12.8621,20080430
2009-04-06,34.02,34.09,32.92,33.76,12.7153,15919639
