Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,31.19,31.61,30.71,31.55,6.9687,322881
2009-01-05,31.54,31.84,31.14,31.46,6.9488,649001
2009-01-06,31.67,31.78,30.77,31.5,6.9576,855228
2009-01-07,31.31,31.88,30.83,31.04,6.856,900432
2009-01-08,30.55,31.15,30.54,30.88,6.8207,509488
2009-01-09,30.96,30.96,30.1906,30.41,6.7169,440085
2009-01-12,30.35,30.72,30.03,30.68,6.7765,396103
2009-01-13,30.53,31.45,30.53,31.26,6.9046,462405
2009-01-14,31,31.2,30.37,30.65,6.7699,417486
2009-01-15,30.645,30.74,30.06,30.74,6.7898,521893
2009-01-16,31.06,31.44,30.66,31.35,6.9245,444774
2009-01-20,31.34,31.58,30.75,30.78,6.7986,591620
2009-01-21,30.92,30.99,29.93,30.51,6.7494,625050
2009-01-22,30.19,30.86,29.94,30.79,6.8114,600373
2009-01-23,30.2,30.59,30.02,30.45,6.7361,444090
2009-01-26,30.59,31.14,30.37,30.66,6.7825,416796
2009-01-27,30.52,31.02,30.37,30.95,6.8467,401973
2009-01-28,31.19,31.39,30.75,31.12,6.8843,335612
2009-01-29,30.76,31.13,30.48,30.87,6.8291,279736
2009-01-30,30.86,31.08,29.57,29.83,6.5989,635529
2009-02-02,29.68,30.46,29.25,30.39,6.7228,520606
2009-02-03,30.37,31.07,30.06,30.88,6.8314,373153
2009-02-04,30.86,30.99,30.3,30.51,6.7494,460351
2009-02-05,30.48,30.9,30.4,30.75,6.8025,410082
2009-02-06,30.71,31.49,30.64,31.41,6.9485,440525
2009-02-09,31.42,31.51,31.06,31.3,6.9242,292361
2009-02-10,31.18,31.39,30.47,30.61,6.7714,314570
2009-02-11,30.78,31.12,30.72,30.96,6.849,338816
2009-02-12,30.56,31.32,30.56,31.28,6.9197,351848
2009-02-13,31.38,31.53,30.93,31.03,6.8644,261319
2009-02-17,30.57,31.19,30.28,30.79,6.8114,399220
2009-02-18,30.67,31.01,30.04,30.42,6.7294,566598
2009-02-19,31.5,33.05,31.01,32.81,7.2582,1202955
2009-02-20,32.37,32.97,31.68,31.98,7.0746,653547
