Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,7.85,7.87,7.51,7.73,5.5193,9188703
2009-01-05,7.62,7.74,7.34,7.4,5.2839,12307770
2009-01-06,7.52,8.22,7.435,8.1,5.7834,15150050
2009-01-07,7.9,7.9,7.41,7.48,5.3411,13182810
2009-01-08,7.46,7.88,7.05,7.64,5.4551,11281010
2009-01-09,7.64,7.7,7.16,7.22,5.1554,11220240
2009-01-12,7.23,7.38,6.55,6.7,4.7839,13416520
2009-01-13,6.83,6.84,6.41,6.59,4.7055,15840870
2009-01-14,6.4,6.41,6.09,6.18,4.4123,13039380
2009-01-15,6.08,6.55,5.84,6.34,4.527,16457301
2009-01-16,6.63,6.8,6.38,6.77,4.8338,16536061
2009-01-20,6.52,6.66,5.55,5.58,3.9844,22072939
2009-01-21,5.85,6.4,5.37,6.29,4.4911,20105449
2009-01-22,5.89,6.24,5.71,5.74,4.0985,18129230
2009-01-23,5.44,5.96,5.24,5.89,4.2056,17951141
2009-01-26,5.63,6.1,5.63,5.96,4.2556,13454610
2009-01-27,6.08,6.25,5.78,5.88,4.1984,11906020
2009-01-28,5.89,6.35,5.73,6.24,4.4553,20571170
2009-01-29,5.95,6.19,5.74,5.76,4.1127,15231580
2009-01-30,5.84,5.93,5.23,5.38,3.8412,16872359
2009-02-02,5.2,5.53,5.12,5.47,3.9057,15288260
2009-02-03,5.56,5.56,5.32,5.46,3.8985,13440350
2009-02-04,5.51,5.72,5.12,5.14,3.6702,13847320
2009-02-05,5.09,5.28,4.87,5.09,3.6345,13862620
2009-02-06,5.19,5.53,5.16,5.49,3.9199,15737700
2009-02-09,5.34,5.59,5.25,5.57,3.977,11746240
2009-02-10,5.49,5.57,4.81,4.83,3.4484,20359359
2009-02-11,4.87,5.02,4.37,4.69,3.3488,23474369
2009-02-12,4.24,4.73,4.24,4.73,3.3773,19023789
2009-02-13,4.6,4.76,4.25,4.38,3.1272,18310811
2009-02-17,4.24,4.44,4.11,4.2,2.9989,21334141
2009-02-18,4.15,4.44,3.93,4.11,2.9347,16931980
2009-02-19,4.89,4.89,3.76,3.86,2.7559,19695961
2009-02-20,3.72,4.2,3.47,4.15,2.9633,17878980
2009-02-23,4.25,4.29,3.81,3.83,2.7346,18870711
2009-02-24,3.87,4.33,3.72,4.28,3.056,19559301
2009-02-25,4.33,4.35,3.9,4.12,2.9418,14543240
2009-02-26,4.12,4.26,3.74,3.83,2.7346,13026530
2009-02-27,3.68,3.94,3.66,3.7,2.642,14321400
2009-03-02,3.55,3.78,3.34,3.41,2.4347,20389779
2009-03-03,3.47,3.8,3.32,3.5,2.4991,15285130
2009-03-04,3.56,3.77,3.42,3.65,2.6061,16364520
2009-03-05,3.49,3.65,3.31,3.4,2.4276,24190420
2009-03-06,3.5,3.61,3.08,3.54,2.5276,24283170
2009-03-09,3.59,3.72,3.21,3.58,2.5562,15193690
2009-03-10,3.63,4.28,3.61,4.26,3.0417,30297160
2009-03-11,4.31,4.49,4.13,4.2,2.9989,22036141
2009-03-12,4.17,4.91,4.11,4.82,3.4413,23166250
2009-03-13,4.87,4.9,4.28,4.65,3.32,12552430
2009-03-16,4.72,4.84,4.07,4.07,2.906,18884561
2009-03-17,4.18,4.69,4.02,4.69,3.3488,17779359
2009-03-18,4.49,5.11,4.32,4.99,3.5629,23070051
2009-03-19,5.12,5.13,4.37,4.37,3.1203,23541670
2009-03-20,4.47,4.47,3.78,3.78,2.6991,20633619
2009-03-23,4.12,4.86,4.1,4.8,3.4272,29875711
2009-03-24,4.68,4.8,4.15,4.38,3.1272,23413430
2009-03-25,4.41,4.77,4.04,4.73,3.3773,19668910
2009-03-26,4.75,4.9,4.4,4.81,3.4341,19026381
2009-03-27,4.52,4.63,4.23,4.25,3.0346,15766370
2009-03-30,4.28,4.28,3.7,3.72,2.6562,22873490
2009-03-31,3.85,4.02,3.77,3.92,2.7991,28595529
2009-04-01,4.15,4.2,3.73,3.91,2.7918,16113930
2009-04-02,4.19,4.48,4.07,4.43,3.1627,31805260
2009-04-03,4.42,5.16,4.33,5.01,3.577,24068980
2009-04-06,4.89,5.33,4.8475,5.12,3.6556,16469801
2009-04-07,5,5.08,4.46,4.49,3.2061,15768580
2009-04-08,4.54,4.67,4.32,4.65,3.32,14559670
2009-04-09,4.78,5.54,4.7,5.5,3.9269,25664301
2009-04-13,5.26,5.74,5.2,5.6,3.9985,16517920
2009-04-14,5.48,5.68,5.33,5.48,3.9128,30457109
2009-04-15,5.41,5.9,5.2,5.86,4.184,21737529
2009-04-16,5.95,6.87,5.66,6.5,4.641,26437240
2009-04-17,6.49,6.92,6.26,6.46,4.6125,31595881
2009-04-20,6.17,6.33,5.5,5.55,3.9625,26724359
2009-04-21,5.35,6.58,5.34,6.4,4.5696,28713430
2009-04-22,6.14,6.51,6,6.08,4.3414,28085971
2009-04-23,6.13,7.88,6.13,7.1,5.0695,37765039
2009-04-24,7.51,8.1,7.12,7.8,5.5695,69119469
2009-04-27,7.31,7.43,6.12,6.64,4.7414,37136609
2009-04-28,6.44,7.48,6.32,7.11,5.0767,30136721
2009-04-29,7.24,7.93,6.92,7.54,5.3834,34377820
2009-04-30,7.84,8.42,7.36,7.69,5.4907,34185199
2009-05-01,7.66,7.88,7.42,7.54,5.3834,21863570
2009-05-04,7.73,8.45,7.52,8.38,5.9836,30026770
2009-05-05,8.34,8.94,8.34,8.73,6.2334,28299570
2009-05-06,8.98,9.44,8.655,9.44,6.7403,30046230
2009-05-07,9.5,9.85,8.32,8.47,6.0475,28921670
2009-05-08,8.63,9.71,8.56,9.56,6.8259,25859551
2009-05-11,9.17,9.17,8.74,8.83,6.3047,19560711
2009-05-12,8.86,9.14,8.09,8.45,6.0333,16338050
2009-05-13,8.22,8.4,7.59,7.65,5.4622,18310289
