Date,Open,High,Low,Close,Adjusted_close,Volume
2010-03-26,13.5,15.5,13.49,13.92,3.3466,5833879
2010-03-29,14.12,14.91,14.1,14.75,3.5462,1158287
2010-03-30,14.61,15.25,14.26,14.47,3.4789,667314
2010-03-31,14.63,15.1,14.3336,14.98,3.6015,558053
2010-04-01,15.02,16,15.02,16,3.8467,703389
2010-04-05,16.56,18.58,16.07,17.12,4.116,851301
2010-04-06,17.26,17.7099,16.1,16.89,4.0607,378437
2010-04-07,17.03,17.32,16.4,16.75,4.027,213842
2010-04-08,16.58,16.66,16.05,16.19,3.8924,127710
2010-04-09,16.5,16.7499,15.39,16.24,3.9044,311898
2010-04-12,16.41,16.46,15.985,16.19,3.8924,105647
2010-04-13,16.01,16.255,15.65,15.81,3.801,264362
2010-04-14,15.67,16,14.96,15.05,3.6183,751335
2010-04-15,14.98,15.75,14.67,15.58,3.7457,269265
2010-04-16,15.5,15.5,15.202,15.4,3.7025,47378
2010-04-19,15.3,16.48,15.25,16.45,3.9549,396091
2010-04-20,16.5,16.55,15.84,16.54,3.9765,118732
2010-04-21,16.71,16.71,16,16.03,3.8539,92481
2010-04-22,15.88,16.41,15.52,16.34,3.9284,50823
2010-04-23,16.34,16.56,16.04,16.56,3.9813,47825
2010-04-26,16.73,16.73,16.35,16.49,3.9645,55972
2010-04-27,16.4,16.7,16.25,16.25,3.9068,88534
2010-04-28,16.25,16.33,15.53,15.6,3.7505,109971
2010-04-29,15.57,15.58,15,15.13,3.6375,114996
2010-04-30,15.1,15.4485,14.93,15.09,3.6279,110198
2010-05-03,15.02,15.17,14.95,15.1,3.6303,39468
2010-05-04,15.05,15.06,14.5,14.54,3.4957,102483
2010-05-05,14.5,14.52,13.95,14.1,3.3899,262346
2010-05-06,13.94,14.19,13.81,13.96,3.3563,368230
2010-05-07,14,14.39,13.98,14.28,3.4332,60472
2010-05-10,14.35,15.41,14.35,15.15,3.6423,63870
2010-05-11,15,15.08,14.75,14.78,3.5534,201217
2010-05-12,14.79,15,14.5201,14.67,3.5269,43600
2010-05-13,14.7,14.925,14.515,14.69,3.5317,29380
2010-05-14,14.89,14.89,14.5301,14.67,3.5269,65406
2010-05-17,14.73,15,14.585,14.99,3.6039,139513
2010-05-18,15.16,15.25,14.6301,15.05,3.6183,69248
2010-05-19,14.97,15.02,14.32,14.5,3.4861,209229
2010-05-20,14.5,14.54,14.01,14.4,3.462,26557
2010-05-21,14.14,14.49,13.8623,14.27,3.4308,43320
2010-05-24,14.17,14.63,14.17,14.39,3.4596,3638
2010-05-25,14.03,14.4,13.9601,14.2,3.414,11961
2010-05-26,14.42,14.42,13.85,14.03,3.3731,19716
2010-05-27,14.24,14.59,14.1,14.1,3.3899,18806
2010-05-28,14.2,14.34,14.2,14.34,3.4476,14297
2010-06-01,14.6,14.9,14.2,14.29,3.4356,26054
2010-06-02,14.25,14.41,14.1,14.26,3.4284,20204
