Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,37.38,37.75,36.28,37.27,34.5232,2065461
2009-01-05,37.14,38.59,36.42,38.12,35.3108,2023334
2009-01-06,38.43,38.8,36.78,37.97,35.1718,1970935
2009-01-07,37.49,37.66,36.52,36.69,33.9856,1634969
2009-01-08,36.51,37.06,35.74,36.65,33.9488,1884037
2009-01-09,36.65,37.31,35.82,36.89,34.1713,1591404
2009-01-12,36.99,36.99,34.99,35.23,32.6337,2125738
2009-01-13,35.27,35.89,33.8,34.35,31.8187,3429402
2009-01-14,33.84,34.19,32.29,32.44,30.049,2666963
2009-01-15,32.4,32.44,30.49,31.65,29.3173,4938119
2009-01-16,32.44,33.76,31.85,33.28,30.8274,2932198
2009-01-20,33.14,33.79,31.78,31.97,29.6139,2833372
2009-01-21,32.37,33.8,31.94,33.76,31.2721,2556532
2009-01-22,33.12,35.7,33.12,35.31,32.7076,4284209
2009-01-23,34.74,37.3,34.13,37.15,34.412,3270777
2009-01-26,37.36,38.41,36.41,36.88,34.1621,2601211
2009-01-27,37.06,39.16,37.04,38.93,36.0607,3127133
2009-01-28,39.67,42.28,39.67,41.37,38.3212,3764342
2009-01-29,41.14,41.19,39.14,39.69,36.765,3503058
2009-01-30,39.94,40.01,37.59,37.93,35.1346,3027432
2009-02-02,36.72,41.55,36.06,40.13,37.1724,7410613
2009-02-03,40.45,43.23,39.92,42.54,39.4047,4456312
2009-02-04,42.56,43.02,41.25,41.94,38.8494,3563520
2009-02-05,41.99,44.76,41.99,44.67,41.3782,3677572
2009-02-06,44.24,45.47,44.17,44.55,41.2668,2983836
2009-02-09,44.35,46,44.35,45.8,42.4247,2652351
2009-02-10,45.59,46.01,43.39,43.56,40.3494,3117668
2009-02-11,43.16,44.22,42.46,43.51,40.3033,2529393
2009-02-12,42.99,44.07,41.925,43.95,40.711,2249732
2009-02-13,43.75,43.99,42.3875,42.75,39.5994,2230352
2009-02-17,41.54,42.5,40.75,42.03,38.9322,2357983
2009-02-18,42.09,42.42,40.26,41.66,38.5897,2380333
2009-02-19,41.87,42.94,40.72,40.93,37.9133,2385467
2009-02-20,40.89,41.02,39.36,40.54,37.5525,2790475
2009-02-23,36.74,36.86,30.19,30.83,28.5576,14971601
2009-02-24,30.97,32.23,30.3,31.36,29.0487,5090754
2009-02-25,31.34,31.5,29.21,29.36,27.1963,5753632
2009-02-26,28.86,28.86,23.04,23.64,21.8977,14653030
2009-02-27,23.67,25.5,22.65,23.67,21.9255,7998723
2009-03-02,22.64,22.82,19.76,20,18.5258,10080127
2009-03-03,20.64,21.37,18.65,20.03,18.5538,10383152
2009-03-04,20.7,21.71,20.1,20.99,19.443,5598546
2009-03-05,20.65,20.65,18.57,18.77,17.3866,6232185
2009-03-06,19.22,19.84,18.6,19.54,18.1,5648675
2009-03-09,19.4,20.82,18.66,19.97,18.4982,5687738
2009-03-10,20.48,21.96,20.29,21.61,20.0173,5383603
2009-03-11,21.96,22.51,20.6175,20.78,19.2484,5394577
2009-03-12,20.92,23.2,20.502,23.06,21.3605,5114963
2009-03-13,23.41,26.75,23.06,24.83,23.0003,12330848
2009-03-16,25,25.37,24,24.09,22.3147,4229548
2009-03-17,24,25.2,23.44,24.98,23.1386,3817487
2009-03-18,25.23,27.46,24.96,26.36,24.4177,4994873
2009-03-19,26.74,27.58,25.34,25.49,23.6113,3476730
2009-03-20,25.75,25.75,24.12,24.43,22.6295,3389697
2009-03-23,24.96,25.55,24.14,25.53,23.6485,3626813
2009-03-24,25.02,25.58,24.16,24.6,22.7871,3751439
2009-03-25,24.55,25.61,24.55,25.24,23.3798,2813112
2009-03-26,25.41,27.11,25.24,26.58,24.6214,3585944
2009-03-27,26.29,26.29,24.9,25.06,23.213,2971089
2009-03-30,23.93,25.64,23.49,25.14,23.2874,3948441
2009-03-31,25.17,26.8896,25.17,26.08,24.158,3367729
2009-04-01,25.92,26.41,24.75,25.91,24.0006,3647590
2009-04-02,26.48,27.42,26.31,27,25.0102,2723081
2009-04-03,26.98,27.43,24.93,25.46,23.5837,6452693
2009-04-06,25.41,26.68,24.92,26.31,24.371,4380569
2009-04-07,25.92,28.38,24.64,27.92,25.8625,9294615
2009-04-08,28.22,28.85,26.68,27.41,25.3899,4318287
2009-04-09,27.95,28.93,27.48,28.88,26.7515,3810673
2009-04-13,29.83,29.98,29.14,29.66,27.4742,3224592
2009-04-14,28.78,29.755,28.63,29.07,26.9278,2953769
2009-04-15,28.81,30.1,28.16,29.6,27.4184,5272534
2009-04-16,29.31,29.88,27.86,28.61,26.5016,4678450
2009-04-17,28.37,29.46,27.7,28.95,26.8163,5431139
2009-04-20,28.55,29.37,28.09,28.62,26.5106,3609483
2009-04-21,28.58,29.7,27.45,28.22,26.1405,3335840
2009-04-22,28.03,29.34,27.9,28.54,26.4368,3050836
2009-04-23,28.12,29.07,26.85,27.46,25.4365,4414377
2009-04-24,27.57,28.35,26.93,27.36,25.3436,3399415
2009-04-27,28.9,29.8,28.02,29.25,27.0944,10920785
2009-04-28,29.05,30.33,28.73,28.99,26.8537,5666548
2009-04-29,29.24,29.59,28.25,28.83,26.705,4084361
2009-04-30,29.18,29.43,28.41,28.78,26.6591,3188804
2009-05-01,28.83,29.11,28.15,28.92,26.7889,3470642
2009-05-04,29.19,29.22,28.21,28.86,26.7332,2418102
2009-05-05,28.79,30.26,28.77,29.64,27.4555,3992707
2009-05-06,29.74,30.13,29.17,29.77,27.5761,3119222
2009-05-07,29.96,32.15,29.81,31.04,28.7525,5008323
2009-05-08,31.45,32.88,31.35,32.62,30.2162,3242545
2009-05-11,31.88,32.49,30.71,31.08,28.7892,2319820
2009-05-12,30.98,31.76,29.97,31.06,28.7708,3148981
2009-05-13,30.58,31.85,30.18,30.67,28.4097,2764453
2009-05-14,30.64,32.19,30.22,31.79,29.447,2243974
2009-05-15,32.03,33.1,31.34,31.58,29.2525,3026163
2009-05-18,31.81,31.81,30.16,31.42,29.1042,3223331
2009-05-19,31.12,31.98,30.83,31.13,28.836,1569657
2009-05-20,31.25,32.23,31.05,31.26,28.956,1931963
2009-05-21,31.07,32.06,30.38,30.76,28.493,1815053
2009-05-22,30.76,31.2,30.18,30.43,28.1873,1170565
2009-05-26,30.38,31.3,29.56,31.13,28.836,2444789
2009-05-27,31.06,31.85,30.88,31.17,28.8728,1626698
2009-05-28,31.22,32.24,31.12,31.36,29.0487,1582444
2009-05-29,31.39,31.59,30.73,31.33,29.0209,1584881
2009-06-01,31.54,32.35,31.36,32.15,29.7807,1804425
2009-06-02,32.12,32.91,31.62,32.14,29.7711,1858290
2009-06-03,31.01,31.75,30.55,31,28.7155,3207442
2009-06-04,31.36,31.67,30.59,31.01,28.7243,2257049
2009-06-05,31.45,31.5835,30.05,30.96,28.6781,1846467
2009-06-08,30.85,30.95,29.5,29.91,27.7058,2970549
2009-06-09,30.25,30.25,29.05,29.2,27.048,2516789
2009-06-10,29.4,29.71,29.01,29.45,27.2797,3004630
2009-06-11,28.85,29.7,28.29,29.1,26.9554,3107527
2009-06-12,28.9,29.63,28.44,29.41,27.2422,1926098
2009-06-15,29.17,29.21,28.12,28.2,26.1217,2521738
2009-06-16,28.2,29.58,27.75,28.28,26.1959,3325210
2009-06-17,28.3,29.06,28.07,28.34,26.2515,2228538
2009-06-18,28.46,30.76,28.38,30.64,28.3818,5281115
2009-06-19,31.35,32.63,30.89,31.59,29.2617,4752738
2009-06-22,31.13,31.21,29.52,29.74,27.5482,2390300
2009-06-23,29.91,30.37,29.16,29.81,27.613,1907768
2009-06-24,30,30.69,29.57,30.51,28.2613,2302930
2009-06-25,30.43,32.52,30.22,31.55,29.2248,3474336
2009-06-26,31.59,31.88,30.93,31.71,29.3733,2360097
2009-06-29,31.7,31.88,30.93,31.39,29.0768,2321420
2009-06-30,31.37,32.44,31.26,32.26,29.8825,3735243
2009-07-01,32.3,33.19,31.97,32.52,30.1229,2559400
2009-07-02,32.03,32.23,31.02,31.18,28.8822,2100487
2009-07-06,30.99,31.57,30.5,30.94,28.6598,1793660
2009-07-07,30.82,33.035,30.65,31.98,29.6231,5833872
2009-07-08,32.07,32.07,30.35,30.83,28.5576,3525967
2009-07-09,31.05,31.94,30.1408,31.21,28.9097,3175873
2009-07-10,31,32.01,30.28,30.36,28.1226,3167834
2009-07-13,30.39,31.05,29.95,30.59,28.3355,2638963
2009-07-14,28.49,29.8,27.96,28.28,26.1959,7978134
2009-07-15,28.43,29.16,27.54,28.52,26.418,5303969
2009-07-16,28.47,29.69,28.37,29.36,27.1963,3312225
2009-07-17,29.42,29.67,28.83,28.98,26.8441,2185334
2009-07-20,29.13,29.17,28.4,29.05,26.9093,1991794
2009-07-21,29.45,29.65,28.97,29.44,27.2705,2067173
2009-07-22,29.33,29.94,29.23,29.38,27.2148,1943718
2009-07-23,29.38,30.67,28.92,30.57,28.3172,2505004
2009-07-24,30.5,31.58,30.4,31.53,29.206,2013587
2009-07-27,30.94,31.85,30.71,31.05,28.7616,2204117
2009-07-28,31.26,33.48,30.79,32.97,30.5399,3306288
2009-07-29,32.76,33.89,32.38,32.75,30.3361,3206859
2009-07-30,33.37,34.43,32.95,33.09,30.6512,2410044
2009-07-31,33.03,33.63,32.68,32.85,30.429,2958429
2009-08-03,34.68,34.68,32.34,33.76,31.2721,5116487
2009-08-04,33.57,34.27,33.2,33.5,31.031,1735259
2009-08-05,33.57,33.57,32.44,32.72,30.3085,1871928
2009-08-06,32.79,32.96,31.92,32.89,30.466,2555715
2009-08-07,33.18,33.66,32.9,33.5,31.031,1824374
2009-08-10,33.36,34.8,33.25,34.4,31.8649,2331737
2009-08-11,34.2,34.93,33.93,34.13,31.6148,2371269
2009-08-12,34.13,34.45,33.72,33.8,31.3088,1793571
2009-08-13,34.03,34.98,33.69,34.91,32.3371,1918142
2009-08-14,34.93,35,34.06,34.69,32.1332,1617960
2009-08-17,33.91,36.85,33.91,35.53,32.9115,4588767
2009-08-18,35.54,35.54,34.64,35,32.4205,2387410
2009-08-19,34.66,34.98,34.37,34.92,32.3464,2214112
2009-08-20,35.05,36.22,35.05,35.67,33.041,1786337
2009-08-21,36.21,36.34,35.58,36.05,33.3933,1399982
2009-08-24,36.49,37.25,36.16,36.93,34.2083,2112198
