Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,83.89,87.59,83.89,87.37,63.4724,7558200
2009-01-05,86.42,87.67,86.18,86.82,63.0729,8315700
2009-01-06,87.11,90.41,86.37,89.23,64.8237,9649500
2009-01-07,87.83,88.8,87.12,87.79,63.7776,8455100
2009-01-08,87.81,88.14,85.98,87.18,63.3344,7231800
2009-01-09,87.05,87.5,84.25,84.7,61.5327,7440300
2009-01-12,84.57,86.6,84.42,85.71,62.2665,8072700
2009-01-13,85.5,86.59,84.79,85.34,61.9977,7657200
2009-01-14,84.2,84.82,82.11,83.19,60.4358,9470000
2009-01-15,83.61,84.83,82.26,84.12,61.1114,11734800
2009-01-16,84.61,85.74,83.08,84.92,61.6926,11245300
2009-01-20,84.76,84.92,81.76,81.98,59.5567,13800100
2009-01-21,86.29,91.6,86,91.42,66.4147,24905000
2009-01-22,89.83,90.74,88.11,90.07,65.4339,12350700
2009-01-23,88.4,90.7,87.81,89.49,65.0125,10253700
2009-01-26,89.77,92.67,89.52,91.6,66.5454,9840800
2009-01-27,91.77,91.97,90.5,91.66,66.589,8720800
2009-01-28,92.7,94.94,91.91,94.82,68.8847,13407200
2009-01-29,93.58,94.58,92.02,92.51,67.2066,9233500
2009-01-30,92.23,93.48,91.25,91.65,66.5818,9617000
2009-02-02,90.6,91.86,89.69,90.93,66.0587,9926400
2009-02-03,91.07,93.73,90.16,93.48,67.9112,8864500
2009-02-04,93.74,94.91,91.82,92.83,67.439,10189800
2009-02-05,92.13,93.2,91.22,92.41,67.1339,11622900
2009-02-06,92.51,97.1,91.65,96.14,70.2236,13055900
2009-02-09,95.93,96.98,94.72,96.82,70.7203,8165800
2009-02-10,95.58,96.82,92.96,93.27,68.1273,13541300
2009-02-11,93.48,95.77,93,95.16,69.5078,10765700
2009-02-12,94.41,95.2,92.2,95.07,69.4421,9917700
2009-02-13,94.79,95.18,93.57,93.84,68.5437,6742400
2009-02-17,91.73,92.49,90.5,90.67,66.2282,8903500
2009-02-18,91.17,92.25,90.44,91.51,66.8417,8492600
2009-02-19,91.06,92.16,88.45,88.93,64.9572,12622700
2009-02-20,88.05,89.9,87.34,88.79,64.855,12400700
2009-02-23,89.3,89.33,84.19,84.37,61.6264,13509600
2009-02-24,84.63,87.08,84.1,86.4,63.1092,12915300
2009-02-25,86,87.12,82.85,85.9,62.744,12646400
2009-02-26,86.85,90.2,86.33,88.97,64.9864,17423200
2009-02-27,88.12,93.28,88.01,92.03,67.2216,21311200
2009-03-02,91.17,91.9,88.75,89.05,65.0449,15231700
2009-03-03,90.16,90.18,87.19,87.77,64.1099,13744100
2009-03-04,88.97,91.24,87.6,89.49,65.3662,15391700
2009-03-05,88.13,90.16,87.02,87.48,63.8981,14930100
2009-03-06,87.47,88.25,83.81,85.81,62.6783,15186000
2009-03-09,84.7,86.8,83.02,83.48,60.9764,13151800
2009-03-10,85.11,87.25,83.64,87.25,63.7301,15914800
2009-03-11,87.51,89.54,86.72,88.62,64.7308,11823900
2009-03-12,88.59,90.6,87.49,90.4,66.031,11829200
2009-03-13,90.4,90.65,89.29,90.36,66.0017,9111900
2009-03-16,91.65,93,90.54,91.22,66.6299,11793700
2009-03-17,91.11,92.91,90.45,92.91,67.8643,11489700
2009-03-18,89.46,92.9,89.41,91.95,67.1631,17954300
2009-03-19,92.84,93.35,91.51,92.66,67.6817,9899300
