Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,82.21,85,79.59,84.57,15.5909,1347466
2009-01-05,80.42,81,72.66,73,13.4579,3788852
2009-01-06,70.95,71.02,61.05,62.59,11.5388,9783937
2009-01-07,61.22,65.9,59.54,64.08,11.8134,4397292
2009-01-08,63.23,65.74,62.52,64.8,11.9462,2479362
2009-01-09,64.75,65.02,62.91,63.88,11.7765,2151389
2009-01-12,63.51,63.89,60.52,61.25,11.2917,1968614
2009-01-13,60.5,62.97,59.13,61.83,11.3986,1713018
2009-01-14,59.82,60.98,56.8,58.99,10.8751,3095711
2009-01-15,59.14,60.305,54.8,57.41,10.5838,3728111
2009-01-16,59.25,60.97,56.69,57.66,10.6299,3174240
2009-01-20,57.63,57.63,50.92,50.92,9.3873,3763535
2009-01-21,52.01,55.68,51.06,55.44,10.2207,3418828
2009-01-22,53.7,55.46,51.3,53.13,9.7948,2279300
2009-01-23,52,56.99,50.1,56.63,10.44,2814651
2009-01-26,57.3,58.97,54.22,55.78,10.2833,1826334
2009-01-27,56.5,58.85,55.25,58.16,10.7221,2101178
2009-01-28,60.7,62.45,59.06,61.82,11.3968,2815607
2009-01-29,60.06,60.65,57.17,57.96,10.6852,2588300
2009-01-30,59.05,59.83,56.11,56.93,10.4953,2368252
2009-02-02,55.57,55.83,53.34,54.95,10.1303,2227791
2009-02-03,55.57,59.98,55.54,58.91,10.8603,2602703
2009-02-04,59.49,61.08,58.31,59.18,10.9101,1627231
2009-02-05,58.15,62.65,57.92,61.42,11.3231,1813059
2009-02-06,61.86,65.78,61.13,63.47,11.701,2393374
2009-02-09,62.91,64.47,61.03,62.26,11.478,2942851
2009-02-10,59.61,67.01,59.54,61.44,11.3267,4091234
2009-02-11,62.6,63.7,60.54,62.86,11.5886,2608944
2009-02-12,60.93,62.38,59,61.98,11.4264,2166103
2009-02-13,61.16,64.59,61.05,63.12,11.6365,1929472
2009-02-17,60.36,60.52,58.04,58.33,10.7534,2157388
2009-02-18,59.4,60.08,56.43,58.14,10.7183,1574395
2009-02-19,59.16,59.88,56.17,56.48,10.4124,2130232
2009-02-20,55.22,58.83,54.25,58.04,10.7,2462195
2009-02-23,59.31,59.31,53.78,53.78,9.9146,1693821
2009-02-24,54.41,57,52.59,56.66,10.4455,1918126
2009-02-25,56.28,61.19,55.26,58.81,10.8419,2333781
2009-02-26,60.2,61.77,58,59,10.8769,2004569
2009-02-27,57.77,60,56.52,56.77,10.4658,1673034
2009-03-02,55.99,57.16,52.7356,52.81,9.7358,1858110
2009-03-03,53.96,56.3995,53.27,54.61,10.0676,1744151
2009-03-04,56.26,58.58,55.3001,57.37,10.5764,1915316
2009-03-05,58.52,60.22,56.54,58.01,10.6944,2435675
2009-03-06,58.87,60.45,56.3,60.39,11.1332,2382036
2009-03-09,60.32,63.88,60.05,61.08,11.2604,2267252
2009-03-10,63.13,63.13,59.54,60.52,11.1572,3091371
2009-03-11,61.31,64.02,59.06,62.69,11.5572,2128930
2009-03-12,62.38,67.23,61.2,66.74,12.3039,2216197
2009-03-13,66.74,68.9,65.01,68.43,12.6154,2569009
2009-03-16,69.61,71.51,68.28,68.7,12.6652,2704199
2009-03-17,68.75,72.21,67.22,72.2,13.3104,2091393
2009-03-18,71.02,78.38,70.23,77.76,14.3354,3960046
2009-03-19,79.16,79.5,73.65,73.95,13.633,3125383
2009-03-20,74.54,75.3625,71.63,71.65,13.2091,1820555
2009-03-23,74.52,79.55,74.06,79.55,14.6654,2343028
2009-03-24,76.81,79.57,76.01,76.38,14.081,2225328
2009-03-25,75.83,79.19,72.37,76.34,14.0736,2452299
2009-03-26,77.38,81.45,76.04,80.9,14.9143,2360090
2009-03-27,79.26,80.726,78.2,78.61,14.4921,1367822
2009-03-30,75.41,76.11,72.88,73.07,13.4708,2211597
2009-03-31,74.33,75.411,72.78,74.47,13.7289,2005934
2009-04-01,73,75.22,72.06,73.65,13.5777,2140218
2009-04-02,75.12,79.97,75.12,78.2,14.4165,2871300
2009-04-03,80.29,85.27,79.76,85.27,15.7199,3805331
2009-04-06,82.95,83.56,81.52,82.42,15.1945,2359541
2009-04-07,81.59,88.59,81.3,84.47,15.5725,3654125
2009-04-08,85.37,87.67,83.09,87.23,16.0812,2495948
2009-04-09,87.51,89.12,86.01,89.12,16.4297,2456523
2009-04-13,88.74,91.43,86.88,91.17,16.8076,1744588
2009-04-14,90,90.28,85.64,85.82,15.8214,2179036
2009-04-15,86.04,87.31,84.3,86.8,16.0021,2083089
2009-04-16,87.71,87.72,82.6,85.17,15.7015,2308309
2009-04-17,84.76,87.74,83.01,86.59,15.9632,1988462
2009-04-20,84.95,88,82.58,84.17,15.5172,2580068
2009-04-21,83.99,89,83.16,88.74,16.3597,2019123
2009-04-22,87.05,89.78,81.85,82.71,15.248,2719112
2009-04-23,84.52,84.99,81.26,84.67,15.6093,2903909
2009-04-24,84.05,85.32,82.3,84.39,15.5577,1839247
2009-04-27,84.3,89.27,83.2,87.7,16.1679,2301617
2009-04-28,85.51,88,83.8,83.8,15.4489,1973182
2009-04-29,84.9,87.75,84.14,87.11,16.0592,1680448
2009-04-30,88.37,90.23,86.91,87.6,16.1495,1508648
2009-05-01,87.18,88.92,84.56,85.15,15.6978,1380073
2009-05-04,87.49,90.55,87.02,90.43,16.6711,2926762
2009-05-05,89.32,104.6,89.32,102,18.8042,5550225
2009-05-06,101.05,101.64,94.76,97.78,18.0262,3646034
2009-05-07,98,98.5,94.4,95.16,17.5432,2445685
2009-05-08,96.73,98.39,95.5,97.28,17.934,2096502
2009-05-11,95,96.27,92,92.28,17.0123,1637016
2009-05-12,93.37,97.97,91.682,96.5,17.7903,2843723
2009-05-13,94.57,101.5,93.22,96.59,17.8068,5358537
2009-05-14,98.35,103.32,98.21,100.76,18.5757,4545610
2009-05-15,99.45,100,96.58,96.92,17.8677,2269802
2009-05-18,97.8,103.99,97.14,103.61,19.1009,2318756
2009-05-19,102.49,108.69,100.31,104.08,19.1877,3464081
2009-05-20,104.51,106.01,97.75,98.31,18.1239,3303424
2009-05-21,98.37,100.9,96.1,98.66,18.1885,2244449
2009-05-22,102.25,102.25,98.66,99.5,18.3433,1767235
2009-05-26,99.82,102.69,98.17,102.08,18.8189,2220377
2009-05-27,102.92,105.97,101.37,102.48,18.8927,2173564
2009-05-28,102.95,108.11,102.9,107.7,19.855,1894216
2009-05-29,108.02,108.38,104.9,107.79,19.8716,1634190
2009-06-01,108,112.14,107.67,110.03,20.2846,1968665
2009-06-02,110.55,116.58,109.52,115.15,21.2285,2677744
2009-06-03,114.45,114.74,111.63,112.5,20.7399,1589269
2009-06-04,113.95,120,112.25,119.74,22.0746,2443299
2009-06-05,121.93,121.93,113.76,114.86,21.175,2567092
2009-06-08,113.97,119.39,111.5,118.11,21.7741,1925370
2009-06-09,119.76,121.65,117.23,117.84,21.7244,2233012
2009-06-10,120.25,120.34,112.56,114.74,21.1529,2140225
2009-06-11,115.1,118.2425,113.21,116.61,21.4976,1418613
2009-06-12,114.32,116.38,112.9,116.1,21.4035,1091794
2009-06-15,114.8,114.99,111.0818,113.08,20.8468,1165415
2009-06-16,113.97,114.49,110.2,111.59,20.5721,1481641
2009-06-17,111.68,113.54,108.84,108.99,20.0928,1851322
2009-06-18,108.81,113.5,108.25,112.91,20.8155,1457624
2009-06-19,114.5,115.98,111.83,115.27,21.2506,1524977
2009-06-22,113.07,113.76,106.03,106.03,19.5471,1884930
2009-06-23,106.34,107.46,103.98,107.17,19.7573,1542369
2009-06-24,109,113.49,108.09,112.53,20.7454,1579684
2009-06-25,112.49,114.4399,110.24,113.77,20.974,1306315
2009-06-26,113.41,117.53,112.97,116.02,21.3889,1592263
2009-06-29,115.34,118.37,114.24,118.36,21.8202,1140832
2009-06-30,117.2,118.25,113.97,114.24,21.0607,1270981
2009-07-01,114.67,115.26,111.51,111.72,20.5961,1249601
2009-07-02,110.05,112.74,109.14,109.14,20.1205,1544887
2009-07-06,108.52,111.64,107.9,110.08,20.2938,1404382
2009-07-07,109.63,110.56,96.74,98.03,18.0723,4281391
2009-07-08,94.67,95,83.72,85.2,15.707,10869071
2009-07-09,88.37,89.83,85.56,85.83,15.8232,5610698
2009-07-10,86.075,87.03,83,84.7,15.6149,3052868
2009-07-13,86.35,89.4,83.3,89.02,16.4113,3048614
2009-07-14,89.2,89.2,83.74,85.27,15.7199,2431455
2009-07-15,87.67,93.61,86.8,91.3,16.8316,4722902
2009-07-16,90.8,92.34,88.27,90.03,16.5974,2515852
2009-07-17,89.94,91.8,88.5,91,16.7763,1611434
2009-07-20,91.4,94.22,89.55,92.64,17.0786,1803987
2009-07-21,93.4,94,89.82,90.74,16.7284,1386223
2009-07-22,90,91.88,88.86,89.71,16.5385,1282538
2009-07-23,90.05,94.37,88.11,93.63,17.2611,2127531
2009-07-24,92.55,93.2,90.77,93.12,17.1671,1156534
2009-07-27,92.54,94.78,91.58,93.5,17.2372,1623999
2009-07-28,90.42,92,88.16,91.08,16.791,2363099
2009-07-29,90.12,94,90,93,17.145,1778082
2009-07-30,94.05,97.81,93.78,95.94,17.687,1970849
2009-07-31,95.52,96.36,93,94.06,17.3404,1823022
2009-08-03,95.36,96.74,93,96.07,17.711,2512948
2009-08-04,94.51,98.2,90.36,91.54,16.8758,3454287
2009-08-05,93.81,94.5,92.52,93.54,17.2445,1529795
2009-08-06,94.47,94.56,90.31,92.14,16.9865,1575438
2009-08-07,93.57,95.53,90.82,93.6,17.2556,1701451
2009-08-10,93.07,94.5,92.205,93.68,17.2703,1301388
2009-08-11,94,94.621,90.06,90.3,16.6472,1820619
2009-08-12,90.95,92.37,90.11,91.15,16.8039,1199100
2009-08-13,92,92.27,89.6,91.07,16.7892,1074976
2009-08-14,90.61,91.46,89.3819,90.49,16.6823,825582
2009-08-17,88.04,89.28,85.08,87.04,16.0462,1413318
2009-08-18,87.55,89.45,86.38,89.12,16.4297,1430070
2009-08-19,87.16,90.53,86.9,89.85,16.5643,1717163
2009-08-20,90,95.06,89.84,95,17.5137,1934873
2009-08-21,96,96.22,93.94,95.94,17.687,1890325
2009-08-24,96.74,98.58,94.11,94.28,17.3809,1976629
2009-08-25,94.84,96.29,92.23,93.37,17.2132,1674726
2009-08-26,93.01,93.09,91.4,92.98,17.1413,1448191
2009-08-27,92.89,93.49,91.01,91.3,16.8316,1447560
2009-08-28,92.09,93.67,91.36,93.41,17.2206,1365594
2009-08-31,91.99,94.09,90.78,93.8,17.2925,1154915
2009-09-01,93.7,95.3,91.27,91.36,16.8427,1300497
