Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,36.24,36.76,35.24,36.59,18.295,385597
2009-01-05,36.5,36.67,34.58,34.79,17.395,620430
2009-01-06,31.8,33.37,31.08,32.99,16.495,1432461
2009-01-07,33.07,33.31,31.79,32.24,16.12,876368
2009-01-08,32.5,32.86,31.1,31.5,15.75,790999
2009-01-09,31.58,31.69,30.54,30.7,15.35,608395
2009-01-12,30.49,30.92,29.66,30.05,15.025,846600
2009-01-13,30.09,30.97,29.71,30.7,15.35,798952
2009-01-14,30.23,30.34,29.61,29.96,14.98,875211
2009-01-15,30,31.16,29.75,30.95,15.475,954334
2009-01-16,31,31.72,30.45,31.49,15.745,714236
2009-01-20,31.36,32.23,31.3075,31.38,15.69,1388936
2009-01-21,31.67,32.32,31.502,32.18,16.09,952536
2009-01-22,31.915,32.09,31.1,31.53,15.765,669950
2009-01-23,31.17,31.52,30.5901,31.2,15.6,479156
2009-01-26,31.19,32.53,31.1,31.25,15.625,753735
2009-01-27,31.5,31.89,31.08,31.52,15.76,684584
2009-01-28,32.09,32.45,31.87,32.12,16.06,624062
2009-01-29,31.85,32.15,31.18,31.34,15.67,905001
2009-01-30,31.89,33.5,31.4,32.8,16.4,2110333
2009-02-02,32.48,32.69,32.15,32.57,16.285,969515
2009-02-03,32.55,32.72,32.11,32.59,16.295,908700
2009-02-04,32.55,33.25,32.27,32.81,16.405,616051
2009-02-05,32.67,33.632,32.53,33.24,16.62,512020
2009-02-06,33.42,34.96,33.34,34.7,17.35,1003885
2009-02-09,34.47,35.06,34.47,34.59,17.295,651476
2009-02-10,34.53,34.92,33.48,33.56,16.78,460552
2009-02-11,33.86,34.23,33.5,34,17,323537
2009-02-12,33.66,34.66,33.19,34.59,17.295,462557
2009-02-13,34.75,34.92,34.26,34.37,17.185,476775
2009-02-17,33.57,33.75,32.81,33.23,16.615,712055
2009-02-18,33.57,33.75,32.85,33,16.5,456984
2009-02-19,33.24,33.43,32.52,32.57,16.285,419371
2009-02-20,32.46,32.78,32,32.36,16.18,673564
2009-02-23,32.49,32.65,30.21,30.41,15.205,950063
2009-02-24,30.75,32.14,30.72,31.85,15.925,560792
2009-02-25,31.59,31.86,30.9,31.35,15.675,480624
2009-02-26,31.73,31.79,30.48,30.62,15.31,664188
2009-02-27,30.29,30.84,29.69,30.1,15.05,702877
2009-03-02,29.88,30.23,27.72,27.85,13.925,732428
2009-03-03,27.94,28.975,27.68,28.72,14.36,1014898
2009-03-04,28.93,30.12,28.54,29.79,14.895,750975
2009-03-05,29.25,29.84,28.75,29.08,14.54,545859
2009-03-06,29.17,29.42,28.52,29.23,14.615,735693
2009-03-09,28.89,29.71,28.3,28.59,14.295,602114
2009-03-10,29.08,30.09,28.61,30.05,15.025,672645
2009-03-11,30.04,30.64,29.45,29.66,14.83,417345
2009-03-12,29.74,31.57,29.27,31.37,15.685,472433
2009-03-13,31.37,31.85,31.12,31.7,15.85,312969
2009-03-16,31.92,32.66,31.67,31.76,15.88,335450
2009-03-17,31.84,33.09,31.57,33.09,16.545,365335
2009-03-18,32.9,34.41,32.77,33.96,16.98,309189
2009-03-19,34.07,34.35,32.81,33.45,16.725,344128
2009-03-20,33.54,34.05,32.23,32.56,16.28,457082
2009-03-23,32.66,34.38,32.62,34.25,17.125,347689
