Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,24.51,25.25,24.16,25.15,2.7281,1864605
2009-01-05,24.78,26.14,24.78,25.99,2.8192,2604329
2009-01-06,26,26.99,25.77,26.6,2.8854,3821942
2009-01-07,25.33,28.31,25.15,26.94,2.9223,6415785
2009-01-08,26.67,27.25,26.2812,26.64,2.8898,2752696
2009-01-09,27.34,27.39,25.81,26.47,2.8713,2175956
2009-01-12,25.66,26.78,25.54,25.88,2.8073,3821054
2009-01-13,27.25,28.15,26.61,27.4,2.9722,5240162
2009-01-14,27.3,27.39,26.25,26.43,2.8669,4306238
2009-01-15,26.4,27.53,25.86,27.15,2.9451,3196464
2009-01-16,27.62,27.85,26.85,27.7,3.0047,2854549
2009-01-20,27.23,27.52,26.16,26.17,2.8388,3166449
2009-01-21,26.06,26.77,25.59,26.74,2.9006,3353197
2009-01-22,26.29,26.5,25,25.53,2.7693,2931114
2009-01-23,25.02,26.59,25.01,26.06,2.8269,3334505
2009-01-26,26.27,27.23,26.15,26.7,2.8963,1864221
2009-01-27,27.03,27.38,26.7,27.11,2.9407,1766369
2009-01-28,27.83,28.38,27.67,28.04,3.0416,2290662
2009-01-29,27.95,28.14,27.29,27.46,2.9787,2138608
2009-01-30,27.38,27.51,26.38,26.56,2.8811,3585752
2009-02-02,26.35,26.91,26.1,26.62,2.8875,1692874
2009-02-03,26.66,27.51,26.28,27.44,2.9765,1761736
2009-02-04,27.36,27.72,26.65,27.08,2.9375,3290826
2009-02-05,26.35,26.98,25.95,26.8,2.9071,3017920
2009-02-06,26.91,29.17,26.45,28.99,3.1446,4947080
2009-02-09,28.65,29.34,28.1,29.34,3.1827,2244826
2009-02-10,29,29.02,27.07,27.11,2.9407,3679407
2009-02-11,27.82,28,26.67,26.99,2.9277,3413540
2009-02-12,26.5,27.15,25.76,27.07,2.9364,4031362
2009-02-13,27.05,27.26,26.08,26.38,2.8616,3078599
2009-02-17,25.39,25.58,24.85,25.09,2.7216,3333970
2009-02-18,24.92,25.47,24.75,25.15,2.7281,2172676
2009-02-19,25.3,25.92,24.64,24.72,2.6815,2290871
2009-02-20,24.44,25.02,23.91,24.16,2.6208,3145157
2009-02-23,24.36,24.66,23.65,23.68,2.5687,2284729
2009-02-24,24.11,24.87,23.9,24.78,2.688,2371179
2009-02-25,24.53,25.05,24.33,24.62,2.6707,2269687
2009-02-26,24.77,25.06,24.2,24.2,2.6251,3290143
2009-02-27,24.27,24.65,23.885,24.2,2.6251,3293579
2009-03-02,23.54,23.9,22.69,22.78,2.471,4671140
2009-03-03,22.79,23.51,22.61,23.08,2.5036,2759830
2009-03-04,23.5,24.47,23.5,24.08,2.6121,2518642
2009-03-05,23.5,23.77,22.8,22.94,2.4884,2937558
2009-03-06,23.36,23.51,22.79,23.32,2.5296,3259236
2009-03-09,23.3,23.38,22.6299,22.82,2.4754,1760949
2009-03-10,23.17,24.52,22.94,24.51,2.6587,2794686
