Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,14.69,15.25,14.47,15.2,10.8446,52208200
2009-01-05,15.07,15.29,14.81,14.91,10.6378,57320400
2009-01-06,15.09,15.51,15.08,15.37,10.9659,61631400
2009-01-07,14.79,15.06,14.34,14.44,10.3021,131389200
2009-01-08,14.45,14.57,14.25,14.55,10.3805,63101600
2009-01-09,14.59,14.6,14.02,14.15,10.0955,45551100
2009-01-12,14.16,14.3,13.62,13.79,9.8383,54082500
2009-01-13,13.59,14.18,13.45,13.67,9.7527,65565100
2009-01-14,13.46,13.63,12.97,13.08,9.3319,69549600
2009-01-15,13.01,13.45,12.71,13.29,9.4818,73153900
2009-01-16,13.88,13.96,13.27,13.74,9.8027,83985300
2009-01-20,13.56,13.74,12.81,12.86,9.1749,71563900
2009-01-21,13.01,13.26,12.5,13.26,9.4605,56622000
2009-01-22,12.83,13.07,12.55,12.82,9.1465,72704000
2009-01-23,12.85,13.39,12.58,13.12,9.3603,63162200
2009-01-26,13.08,13.58,13.03,13.38,9.5458,49562500
2009-01-27,13.51,13.95,13.5,13.81,9.8528,45615800
2009-01-28,14.13,14.27,13.79,14.01,9.9957,57065400
2009-01-29,13.85,13.85,13.31,13.37,9.5389,51354500
2009-01-30,13.45,13.5,12.9,12.9,9.2037,47000100
2009-02-02,12.82,13.71,12.75,13.63,9.7242,69886500
2009-02-03,13.67,13.79,13.29,13.73,9.7958,56695700
2009-02-04,13.78,14.56,13.71,13.88,10.005,77692400
2009-02-05,13.65,14.4,13.53,14.25,10.2715,61024500
2009-02-06,14.44,14.88,14.21,14.73,10.6173,62677300
2009-02-09,14.64,15.05,14.54,14.91,10.7472,64735500
2009-02-10,14.78,15.15,14.04,14.08,10.1487,94001200
2009-02-11,14.26,14.32,13.73,14.08,10.1487,57378700
2009-02-12,13.81,14,13.49,14,10.0912,76366300
2009-02-13,13.91,14.26,13.85,13.88,10.005,55953700
2009-02-17,13.56,13.73,13.21,13.21,9.5219,60690300
2009-02-18,13.32,13.7,13.09,13.36,9.6299,51305600
2009-02-19,13.33,13.38,12.67,12.68,9.1398,56175100
2009-02-20,12.53,13.02,12.53,12.78,9.2118,73617900
2009-02-23,12.9,12.91,12.05,12.08,8.7072,88416500
2009-02-24,12.17,12.81,12.09,12.73,9.1755,74644300
2009-02-25,12.72,13.48,12.58,13.03,9.3922,108225000
2009-02-26,13.32,13.6,12.66,12.71,9.1614,69012700
2009-02-27,12.5,13.14,12.49,12.74,9.1829,69764500
2009-03-02,12.51,13.02,12.31,12.31,8.8732,64495900
2009-03-03,12.48,12.63,12.14,12.28,8.8517,76602000
2009-03-04,12.7,13.05,12.36,12.76,9.1972,84412100
2009-03-05,12.56,12.86,12.3,12.31,8.8732,76644500
2009-03-06,12.43,12.92,12.07,12.41,8.9452,79191400
2009-03-09,12.33,13,12.3,12.55,9.0462,87044700
2009-03-10,12.8,13.95,12.75,13.92,10.0333,92478000
2009-03-11,14.05,14.1,13.64,13.96,10.0626,82085400
2009-03-12,14.24,14.6,13.88,14.52,10.4659,84846000
2009-03-13,14.57,14.7,14.21,14.7,10.5959,66631100
2009-03-16,14.79,14.85,14.14,14.25,10.2715,72651200
2009-03-17,14.32,14.9,14.25,14.9,10.7401,64928700
2009-03-18,14.9,15.41,14.72,15.24,10.9848,91361600
2009-03-19,15.39,15.39,14.72,15.15,10.9202,66560800
2009-03-20,15.19,15.4,14.35,14.65,10.5597,84639100
2009-03-23,15.02,15.54,14.94,15.52,11.187,64167500
2009-03-24,15.26,15.41,15,15,10.8122,59468600
2009-03-25,15.08,15.71,14.71,14.94,10.769,94510300
2009-03-26,15.23,15.89,15.18,15.82,11.4029,77554300
2009-03-27,15.49,15.66,15.26,15.42,11.1148,45694300
2009-03-30,15.09,15.1,14.48,14.72,10.6103,55433000
2009-03-31,14.91,15.37,14.9,15.03,10.8337,62044500
2009-04-01,14.77,15.32,14.62,15.03,10.8337,75052800
2009-04-02,15.38,16,15.26,15.7,11.3166,77688000
2009-04-03,15.63,15.96,15.35,15.95,11.4968,51137100
2009-04-06,15.65,15.87,15.45,15.86,11.4315,47650800
2009-04-07,15.6,15.78,15.26,15.45,11.1365,52741800
2009-04-08,15.35,15.73,15.15,15.27,11.0065,68332300
2009-04-09,15.62,16.07,15.6,15.98,11.5183,58560100
2009-04-13,15.81,16.09,15.56,15.98,11.5183,45423200
2009-04-14,15.98,16.39,15.8,16.01,11.54,92083600
2009-04-15,15.36,15.68,15.11,15.62,11.2589,152727500
2009-04-16,15.84,15.93,15.4,15.89,11.4534,68775100
2009-04-17,15.88,15.89,15.45,15.6,11.2446,67299700
2009-04-20,15.36,15.37,15,15,10.8122,66489000
2009-04-21,14.98,15.52,14.96,15.36,11.0714,85204200
2009-04-22,15.19,16.11,15.08,15.67,11.2947,95293600
2009-04-23,15.68,15.79,15.1,15.53,11.1938,74517400
2009-04-24,15.61,15.74,15.3,15.62,11.2589,67621900
2009-04-27,15.31,15.63,15.21,15.28,11.0136,64601800
2009-04-28,15.12,15.41,15.04,15.05,10.8481,55510200
