Date,Open,High,Low,Close,Adjusted_close,Volume
2017-01-31,20,20,20,20,19.1093,0
2017-02-01,20.1,20.42,19.8,20,19.1093,30832953
2017-02-02,20.04,20.41,20.04,20.23,19.3292,4901231
2017-02-03,20.35,20.8,20.3,20.63,19.7113,2631545
2017-02-06,21.14,21.14,20.55,20.73,19.8071,1836800
2017-02-07,20.75,20.86,20.62,20.8,19.8739,3521570
2017-02-08,20.8,20.92,20.73,20.84,19.9122,973618
2017-02-09,20.89,20.97,20.83,20.88,19.9504,1798591
2017-02-10,20.92,21.87,20.78,21.02,20.0841,1560824
2017-02-13,21.14,21.19,20.955,21,20.065,896041
2017-02-14,20.89,21.05,20.75,21.03,20.0935,1143094
2017-02-15,21.16,21.16,20.86,20.91,19.9791,1065698
2017-02-16,20.8,21.05,20.78,20.96,20.0267,740470
2017-02-17,20.93,21.215,20.76,21.15,20.2082,664029
2017-02-21,21.3,21.5,21.28,21.47,20.5141,793309
2017-02-22,21.45,21.65,21.4,21.57,20.6096,675062
2017-02-23,21.68,21.81,21.37,21.58,20.6191,641434
2017-02-24,21.52,21.71,21.5,21.6,20.6382,763716
2017-02-27,21.58,21.99,21.55,21.81,20.8389,1159288
2017-02-28,21.91,22.15,21.765,21.79,20.82,1583632
2017-03-01,22.14,22.146,21.17,21.53,20.5714,1415061
2017-03-02,21.6,21.78,21.33,21.72,20.753,1123486
2017-03-03,21.56,21.95,21.26,21.81,20.8389,1077753
2017-03-06,21.78,22,21.62,21.92,20.9438,1333155
2017-03-07,21.8,21.98,21.5,21.81,20.8389,709011
2017-03-08,21.78,21.82,21.52,21.55,20.5905,797640
2017-03-09,21.6,21.74,21.04,21.24,20.2942,1303081
2017-03-10,21.28,21.54,21.28,21.4,20.4471,1193724
2017-03-13,21.39,21.84,21.06,21.38,20.4281,1841007
2017-03-14,21.38,21.45,21.05,21.25,20.3039,778245
2017-03-15,21.39,21.6,21.245,21.52,20.5617,1520784
2017-03-16,21.6,21.68,21.25,21.48,20.5236,1181759
2017-03-17,21.55,21.79,21.47,21.6,20.6382,8630179
2017-03-20,21.5,21.65,21.35,21.54,20.5809,1357769
2017-03-21,21.58,21.58,21.315,21.39,20.4377,1762859
2017-03-22,21.41,21.53,21.251,21.5,20.5428,1419148
2017-03-23,21.35,21.55,21.27,21.49,20.5333,1571324
2017-03-24,21.53,21.7,21.5,21.58,20.6191,1069116
2017-03-27,21.46,21.6,21.4,21.53,20.5714,894619
2017-03-28,21.45,21.68,21.45,21.64,20.6765,988367
2017-03-29,21.71,21.79,21.62,21.69,20.7243,878483
2017-03-30,21.78,21.86,21.59,21.75,20.7816,551682
2017-03-31,21.78,21.98,21.52,21.83,20.8581,5648435
2017-04-03,21.85,21.89,21.56,21.63,20.6668,1013715
2017-04-04,21.46,21.8599,21.45,21.54,20.5809,1355775
2017-04-05,21.66,21.6675,21.45,21.58,20.6191,766778
2017-04-06,21.49,21.82,21.46,21.7,20.7338,924919
2017-04-07,21.76,21.84,21.58,21.61,20.6478,394134
2017-04-10,21.6,21.765,21.6,21.64,20.6765,400707
2017-04-11,21.69,21.69,21.43,21.55,20.5905,1138763
2017-04-12,21.48,21.66,21.42,21.55,20.5905,652518
2017-04-13,21.62,21.67,21.19,21.29,20.3421,962875
2017-04-17,21.26,21.91,21.181,21.67,20.7051,931946
2017-04-18,21.62,21.81,21.62,21.77,20.8007,812722
2017-04-19,21.77,21.85,21.67,21.75,20.7816,1154764
2017-04-20,21.68,21.825,21.4,21.49,20.5333,1312592
2017-04-21,21.43,21.76,21.17,21.66,20.6956,1174101
2017-04-24,21.76,21.77,21.54,21.64,20.6765,576937
2017-04-25,21.65,21.75,21.565,21.72,20.753,733861
2017-04-26,21.65,21.72,21.51,21.68,20.7148,632046
2017-04-27,21.7,21.745,21.55,21.59,20.6287,457186
2017-04-28,21.59,21.64,21.51,21.55,20.5905,782233
2017-05-01,21.58,21.75,21.58,21.68,20.7148,704630
2017-05-02,21.59,21.76,21.45,21.52,20.5617,1224119
2017-05-03,21.38,21.53,21.12,21.48,20.5236,1162872
2017-05-04,21.49,21.49,21.09,21.2,20.2561,1759528
2017-05-05,21.25,21.49,21.179,21.27,20.323,899630
2017-05-08,21.35,21.47,21.14,21.28,20.3326,816968
2017-05-09,21.25,21.56,21.18,21.45,20.4949,1270806
2017-05-10,21.37,21.89,21.37,21.67,20.7051,2430792
2017-05-11,21.68,22.02,21.39,21.9,20.9831,1253891
2017-05-12,21.95,21.95,21.53,21.79,20.8777,709920
2017-05-15,21.75,21.91,21.54,21.9,20.9831,1227833
2017-05-16,21.86,21.91,21.25,21.37,20.475,1815054
2017-05-17,21.25,21.74,21.25,21.54,20.638,1234265
2017-05-18,21.49,21.79,21.3,21.65,20.7435,1092140
