Date,Open,High,Low,Close,Adjusted_close,Volume
2010-11-11,15,16.2,14.73,15.3,15.3,5252322
2010-11-12,15.45,16,15.35,15.63,15.63,439804
2010-11-15,15.8,16.12,15.4,15.84,15.84,238035
2010-11-16,15.68,16.44,15.55,15.9,15.9,316510
2010-11-17,16.25,16.25,15.9,16,16,274505
2010-11-18,16.32,16.58,16.01,16.2,16.2,282771
2010-11-19,16.28,16.28,15.15,15.18,15.18,133658
2010-11-22,15.06,15.37,14.8,15.13,15.13,151022
2010-11-23,15,15.25,14.85,15.12,15.12,78703
2010-11-24,15.42,16.06,15.2,15.65,15.65,50904
2010-11-26,15.35,15.5,15.265,15.48,15.48,20623
2010-11-29,15.42,15.79,15.42,15.57,15.57,74551
2010-11-30,15.52,16,15.5,15.9,15.9,110260
2010-12-01,15.92,16.08,15.79,15.95,15.95,154165
2010-12-02,16.03,16.03,15.54,15.85,15.85,93952
2010-12-03,15.57,16.47,15.57,16.2,16.2,137765
2010-12-06,16.09,16.96,16.09,16.77,16.77,212223
2010-12-07,16.93,18.36,16.8501,17.83,17.83,255355
2010-12-08,18.18,18.48,17.95,18.28,18.28,195320
2010-12-09,18.84,19.83,18.452,19.21,19.21,342496
2010-12-10,19.21,19.78,18.57,19.48,19.48,87149
2010-12-13,19.4,19.65,19.0401,19.61,19.61,84734
2010-12-14,19.56,19.56,18.48,18.77,18.77,142143
2010-12-15,18.57,18.89,17.49,18.39,18.39,96662
2010-12-16,18.42,18.73,17.95,18.26,18.26,51070
2010-12-17,18.25,18.5599,17.52,18.37,18.37,626654
2010-12-20,18.47,18.53,17.9,18.33,18.33,95285
2010-12-21,19,19.77,18.36,19.76,19.76,342517
2010-12-22,19.61,20.19,19.27,19.9,19.9,240274
2010-12-23,20.04,20.04,19.37,20.01,20.01,76025
2010-12-27,19.88,20.48,19.7,20.39,20.39,67435
2010-12-28,20.36,20.9361,19.89,20.41,20.41,247896
2010-12-29,20.54,20.675,20.4,20.56,20.56,113584
2010-12-30,20.56,20.78,20.17,20.2,20.2,53487
2010-12-31,20.21,20.6,19.99,20.09,20.09,126606
2011-01-03,20.28,21.47,20.2001,21.23,21.23,151230
2011-01-04,21.32,21.52,19.25,20.74,20.74,153094
2011-01-05,20.88,21.75,20.39,21.68,21.68,103204
2011-01-06,21.45,21.94,21.45,21.6,21.6,44452
2011-01-07,21.58,21.6,20.51,20.63,20.63,53794
2011-01-10,20.61,20.98,20.11,20.61,20.61,127497
2011-01-11,20.8,20.8,20.1901,20.44,20.44,204140
2011-01-12,20.6,20.84,20.05,20.44,20.44,164043
2011-01-13,20.57,20.779,20.054,20.22,20.22,133831
2011-01-14,20.12,20.255,19.9,20.08,20.08,179100
2011-01-18,20.1,20.156,19.55,20.05,20.05,185250
2011-01-19,20.08,20.5,19.1,19.5,19.5,124589
2011-01-20,19.5,19.57,17.84,18.02,18.02,152728
2011-01-21,18.07,18.22,17.6,17.99,17.99,119697
2011-01-24,18.01,18.42,17.4,17.45,17.45,125449
2011-01-25,17.31,17.5,17.16,17.3,17.3,45817
2011-01-26,17.26,17.98,16.91,17.85,17.85,174704
