Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,126.38,132.7,126.38,132.41,44.1367,694579
2009-01-05,128.59,131.45,125.03,125.54,41.8467,1045688
2009-01-06,126.28,127.205,120.26,122.19,40.73,1123253
2009-01-07,120.5,123.48,116.5,117.88,39.2933,1914173
2009-01-08,100.51,113.2,99.75,110.54,36.8467,7319008
2009-01-09,109.97,110,101.05,101.8,33.9333,2425513
2009-01-12,103.83,105.9,100.2,100.75,33.5833,1801342
2009-01-13,99.76,104.27,98.42,102.65,34.2167,1478573
2009-01-14,100.15,101.49,98.65,99.34,33.1133,1912262
2009-01-15,99.84,102.5,96.17,100.68,33.56,1311622
2009-01-16,102.69,103.94,97.65,99.97,33.3233,1333984
2009-01-20,100.48,101.89,94.22,94.65,31.55,1423392
2009-01-21,96.39,98.55,94.93,97,32.3333,1426991
2009-01-22,97.99,97.99,91.57,96.01,32.0033,2520311
2009-01-23,88.08,96.23,87.14,93.29,31.0967,3195066
2009-01-26,94.79,101.5,93.31,99.05,33.0167,2699265
2009-01-27,99.98,101.99,98.85,101.5,33.8333,1296144
2009-01-28,102.68,106.92,100.3,104.96,34.9867,2103878
2009-01-29,104.83,104.83,101.38,102.01,34.0033,1041818
2009-01-30,102.06,106.8,101.08,103.23,34.41,1911257
2009-02-02,101.97,104.67,100.42,102.91,34.3033,1376271
2009-02-03,103.95,114.58,101.35,112.53,37.51,4059767
2009-02-04,112.97,114.12,107.17,108.01,36.0033,2316723
2009-02-05,107.38,112,105.51,110.68,36.8933,1640097
2009-02-06,111.71,116,109.89,114.62,38.2067,1218362
2009-02-09,114.51,115.5,110.39,114.19,38.0633,1157546
2009-02-10,112.83,116,107.1,107.85,35.95,1225952
2009-02-11,108.23,109.55,103.74,108.16,36.0533,1334469
2009-02-12,106.39,112.25,105.55,112.23,37.41,1178820
2009-02-13,111.99,113.44,110.56,112.09,37.3633,780181
2009-02-17,106.2,108.99,105.73,107.27,35.7567,1092278
2009-02-18,108.5,108.96,103.65,106.81,35.6033,1012951
2009-02-19,109.98,109.98,106.99,107,35.6667,983870
2009-02-20,106.17,108.1,103.09,106.01,35.3367,1550731
2009-02-23,107.16,108.76,99.88,100.47,33.49,1149448
2009-02-24,99.27,104.24,97.65,103.67,34.5567,1489693
2009-02-25,103.15,103.97,99.46,101.22,33.74,1152962
2009-02-26,102.78,103.8,95.67,96.24,32.08,1219944
2009-02-27,95,96,90.96,90.96,30.32,2089165
2009-03-02,89.42,90.6,84.86,85.33,28.4433,2524066
2009-03-03,86.14,88.85,85.09,87.37,29.1233,1466399
2009-03-04,90,93.7,88.97,91.69,30.5633,1728142
2009-03-05,92.71,93.3,89.79,90.2,30.0667,1933264
2009-03-06,91.5,95.94,91.01,95.89,31.9633,1736711
2009-03-09,95.0101,100.44,95.0101,96.87,32.29,1269913
2009-03-10,98.05,101.5,96.56,101.12,33.7067,1114453
2009-03-11,101.38,101.6,96.31,97.55,32.5167,1396645
2009-03-12,96.93,103.79,95.07,103.24,34.4133,2192809
2009-03-13,103.4,103.72,100.91,103.03,34.3433,1101218
2009-03-16,103.25,104.97,100.63,100.81,33.6033,1068456
2009-03-17,103.74,105.11,100.11,105.11,35.0367,1038501
2009-03-18,101.75,104.2,99.11,101.81,33.9367,1955508
2009-03-19,102.88,102.902,96,97.18,32.3933,1396971
2009-03-20,98.09,98.31,92.67,93.68,31.2267,1694263
2009-03-23,96.26,97.33,93.5,97.22,32.4067,1395258
2009-03-24,95.21,96.74,94.29,95.073,31.691,1285572
2009-03-25,95.75,98.7,93.5402,96.21,32.07,1018857
2009-03-26,97.99,97.99,94.52,97.32,32.44,1207325
2009-03-27,96.69,96.92,94.6007,96.42,32.14,727007
2009-03-30,94.54,95.33,92.8603,93.9,31.3,757873
2009-03-31,95,97.52,93.51,95.36,31.7867,877956
2009-04-01,93.105,94.92,91.52,94.33,31.4433,1293372
2009-04-02,95.75,99.19,94.75,98.31,32.77,1863380
2009-04-03,98.5,99.67,96,96.73,32.2433,1182524
2009-04-06,96.5,99.09,95.81,98.88,32.96,1052202
2009-04-07,94,97.89,94,96.78,32.26,1615094
2009-04-08,96.46,101.58,95.49,101.47,33.8233,1514011
2009-04-09,103.95,112.9,103.75,112.24,37.4133,2313940
2009-04-13,109.88,117.45,109.88,114.72,38.24,1775945
2009-04-14,117,120.888,114.301,118.07,39.3567,2233283
2009-04-15,117.6,119.4766,115.2,117.41,39.1367,1357436
2009-04-16,122.8077,127.32,113.2,118,39.3333,5844701
2009-04-17,116.87,132.45,114.1,130.35,43.45,4329452
2009-04-20,127.17,132.95,125.5,125.98,41.9933,1675669
2009-04-21,124.18,129.462,123.982,128.96,42.9867,976523
2009-04-22,126.24,139,126,135.39,45.13,1924113
2009-04-23,136.22,138.35,131.46,136.51,45.5033,1189049
2009-04-24,136.51,154.71,136.0301,150.24,50.08,3245841
2009-04-27,146,150.292,143.02,144.92,48.3067,1435747
2009-04-28,140.56,143.98,139,139.09,46.3633,1821157
2009-04-29,141,147.5399,140.71,146.36,48.7867,1207861
2009-04-30,150.96,150.96,141.76,143.73,47.91,1503160
2009-05-01,143.24,144.9,140.08,142.8,47.6,854479
2009-05-04,145,149.38,143.09,148.75,49.5833,1514324
2009-05-05,148.86,154.19,148.86,152.64,50.88,1739794
2009-05-06,154.6,158.93,153.57,157.75,52.5833,1535389
2009-05-07,160.22,164.5,157.01,159.08,53.0267,1656379
2009-05-08,160.21,163.89,155.47,158.77,52.9233,1127447
2009-05-11,156.45,161.4985,153.56,158.83,52.9433,1026805
